prefecture,city,number,address,name,lat,long,note
宮城県,白石市,1,大手町３０－３,城下広場入口南側,38.002274,140.619873,緯度経度は怪しい
宮城県,白石市,2,沢端町５２－４,神石しろいし北側,38.00462,140.617981,緯度経度は怪しい
宮城県,白石市,3,西益岡町２５０－１,広瀬医院向,38.00428,140.613174,緯度経度は怪しい
宮城県,白石市,4,字本町１０７－１,専念寺東側,38.002773,140.623306,緯度経度は怪しい
宮城県,白石市,5,西益岡町２０－１,武家屋敷駐車場南側,38.00428,140.613174,緯度経度は怪しい
宮城県,白石市,6,益岡町８８－１地内,市営球場南側,38.002186,140.616119,緯度経度は怪しい
宮城県,白石市,7,沢端町１０５－９地内,白石分団第１３班消防詰所西側,38.00462,140.617981,緯度経度は怪しい
宮城県,白石市,8,字延命寺６７－２,延命寺児童公園東側,38.009274,140.624207,緯度経度は怪しい
宮城県,白石市,9,字柳川原地内,masked,38.013943,140.627228,緯度経度は怪しい
宮城県,白石市,10,字半沢屋敷前６０,宍戸鍼灸療院南西側,38.011097,140.62384,緯度経度は怪しい
宮城県,白石市,11,字半沢屋敷前３３－４、３４－１,白石第一小学校北側,38.010265,140.622284,緯度経度は怪しい
宮城県,白石市,12,字亘理町３７－１、３７－３,情報センター（アテネ）西側,38.007771,140.621552,緯度経度は怪しい
宮城県,白石市,13,大川町１１１－２,渡辺製材所北側,38.008736,140.618576,緯度経度は怪しい
宮城県,白石市,14,南町一丁目３６３－３，３６４－２,福祉プラザやまぶき北側,37.999523,140.619278,緯度経度は怪しい
宮城県,白石市,15,南町一丁目１２８－１地内,白石中学校南側,37.999523,140.619278,緯度経度は怪しい
宮城県,白石市,16,南町二丁目地内,masked,37.996025,140.61821,緯度経度は怪しい
宮城県,白石市,17,田町二丁目１８０－１,高橋牧場西側,37.992863,140.622101,緯度経度は怪しい
宮城県,白石市,18,字白石沖６７－１,白石第二小学校西側,37.998707,140.623932,緯度経度は怪しい
宮城県,白石市,19,字本町６１－１,中央公園南側,38.000565,140.623474,緯度経度は怪しい
宮城県,白石市,20,字銚子ヶ森１０－１４,清原歯科北側,38.00061,140.62735,緯度経度は怪しい
宮城県,白石市,21,東町一丁目１－１１,masked,37.9967083,140.6273034,
宮城県,白石市,22,緑が丘１－１１２,鷹巣地区コミュニティセンター北側,38.0006041,140.6370908,
宮城県,白石市,23,緑が丘８－１,緑が丘県営住宅向,38.0011518,140.6394057,
宮城県,白石市,24,寿山８－７４,白石ソーイング入口,38.0032468,140.6313938,
宮城県,白石市,25,寿山６０－１２０,寿山会館東側,38.002335,140.633255,緯度経度は怪しい
宮城県,白石市,26,字寺屋敷前６１－２,中央公民館入口脇,38.005898,140.628433,緯度経度は怪しい
宮城県,白石市,27,字寺屋敷前７０－１、７３－１,㈲髙橋材木店東側,38.005898,140.628433,緯度経度は怪しい
宮城県,白石市,28,郡山字花見平１８－３６,花見平入口,38.004311,140.637512,緯度経度は怪しい
宮城県,白石市,29,郡山字鹿野２９－１,奈良工業所北側,38.006401,140.638611,緯度経度は怪しい
宮城県,白石市,30,松ヶ丘一丁目４－１,松ヶ丘第１公園北側,38.004784,140.646042,緯度経度は怪しい
宮城県,白石市,31,郡山字鍋石山２－６５,鍋石山入口,38.005455,140.643127,緯度経度は怪しい
宮城県,白石市,32,郡山字観音崎１７４,観音崎児童公園西側,38.008568,140.633652,緯度経度は怪しい
宮城県,白石市,33,郡山字平成１２２－１,masked,38.012871,140.632355,緯度経度は怪しい
宮城県,白石市,34,郡山字江坪地内,ＪＲ江坪踏切東側,38.021011,140.636627,緯度経度は怪しい
宮城県,白石市,35,小下倉字岩崎山３９－１,masked,38.023121,140.637726,緯度経度は怪しい
宮城県,白石市,36,小下倉字六角元５５－２,小下倉集会所東側,38.025822,140.637192,緯度経度は怪しい
宮城県,白石市,37,鷹巣西二丁目４－１１，４－１２,互助センターフローラ倉庫北側,37.9993056,140.6338282,
宮城県,白石市,38,鷹巣東二丁目１－１,キューブ西側,37.9965429,140.6379026,
宮城県,白石市,39,鷹巣東三丁目６－６,石松園北側,37.9973005,140.6428185,
宮城県,白石市,40,鷹巣東一丁目１０－３,スーパーコインランドリー白石蔵王店東側,37.9958732,140.6342768,
宮城県,白石市,41,旭町五丁目２－１,市営桜田住宅集積所北側,37.9911685,140.6333832,
宮城県,白石市,42,越河字町屋敷地内,深山神社東側,37.923248,140.583908,緯度経度は怪しい
宮城県,白石市,43,越河字町屋敷２０,masked,37.923248,140.583908,緯度経度は怪しい
宮城県,白石市,44,越河字石坊町２１－１,masked,37.923248,140.583908,緯度経度は怪しい
宮城県,白石市,45,越河五賀字南原２－１,越河公民館前,37.939785,140.591934,緯度経度は怪しい
宮城県,白石市,46,越河五賀字南台５１－２,パール美容室西側,37.939785,140.591934,緯度経度は怪しい
