prefecture,city,number,address,name,lat,long,note
愛媛県,今治市,1-1,北宝来町1-1-11地先,今治駅前バス停留所,34.0640395,132.9945851,
愛媛県,今治市,1-2,別宮町1-4-1,市役所第2別館前植込,34.0663659,132.9975793,
愛媛県,今治市,1-3,別宮町1-4-1,公会堂東側植込,34.0663659,132.9975793,
愛媛県,今治市,1-4,別宮町2-3-2,森見公園大正町側,34.0686579,132.9967177,
愛媛県,今治市,1-5,共栄町4-6-3先,旧ニーヴィアーネ歩道橋前ガードパイプ,34.0704502,132.9974112,
愛媛県,今治市,2-1,別宮町6-2-1,今治中央体育館前,34.0724123,132.9929141,
愛媛県,今治市,2-2,別宮町5-1-7,別宮小学校南門横,34.0714021,132.9922273,
愛媛県,今治市,2-3,別宮町9-6-50,コンドー装飾横ガードパイプ,34.07156,132.990153,
愛媛県,今治市,2-4,高地町1-甲1740-1,元町山離製前ガードパイプ,34.072559,132.9852194,
愛媛県,今治市,2-5,別宮町9-7-28地先,八幡地攤北角ガードレール,34.0691077,132.9907549,
愛媛県,今治市,3-1,宝屋町6-3-21,北乳児保育所横,34.0662024,132.9977906,
愛媛県,今治市,3-2,共栄町5-2-1先,四国ガス工場前ガードパイプ,34.0716249,132.9975659,
愛媛県,今治市,3-3,美保町2-1-22,美保公園入口フェンス,34.0740252,132.9994976,
愛媛県,今治市,3-4,本町5-2-24,慶応公園西角,34.073934,132.9977593,
愛媛県,今治市,3-5,本町6-4-30先,masked,34.0765755,132.996332,
愛媛県,今治市,4-1,片原町3丁目2番地先,みなと交流センター駐車場1付近植込,34.071484,133.0029385,
愛媛県,今治市,4-2,通町1-1-4,辰之口公園入口フェンス,34.0673653,133.0040195,
愛媛県,今治市,4-3,黄金町1-9-1,旧美須賀小学校裏門横,34.0656213,133.0035372,
愛媛県,今治市,4-4,黄金町1-9-1,旧美須賀小学校裏門横ブロック塀,34.0656213,133.0035372,
愛媛県,今治市,4-5,黄金町3-3-3,吹揚小学校正門横,34.0621379,133.0046148,
愛媛県,今治市,4-6,通町3-1-1地先,吹揚駐車場横,34.0627665,133.0066744,
愛媛県,今治市,5-1,旭町5-1-2地先,東洋紡維協同組合横,34.0575623,133.0061519,
愛媛県,今治市,5-2,旭町5-2-2地先,ハリソン電気横ガードパイプ,34.0572539,133.0053743,
愛媛県,今治市,5-3,蔵敷町2-12-2,蔵敷公園入口,34.0569147,133.0019624,
愛媛県,今治市,5-4,南宝来町1-6-1,旧日吉小学校正門横,34.0616478,132.999118,
愛媛県,今治市,5-5,南宝来町1-6-1,旧日吉小学校裏門横(向って右),34.0616478,132.999118,
愛媛県,今治市,6-1,中日吉町2-6-55,常盤小学校正門横(向って右),34.0601109,132.9893644,
愛媛県,今治市,6-2,北日吉町1-10,北高線北駒橋角ガードパイプ(向かって右),34.065071,132.9901798,
愛媛県,今治市,6-3,常盤町5-7-6地先,鷲之町公園(電話BOX横),34.0618193,132.9936185,
愛媛県,今治市,6-4,中日吉町1-3-70,日吉中学校正門横(向って右),34.061065,132.9922139,
愛媛県,今治市,6-5,中日吉町1-3-70,日吉中学校裏門横(向って左),34.061065,132.9922139,
愛媛県,今治市,6-6,中日吉町2-1-5,市営南日吉団地フェンス,34.0595832,132.9916989,
愛媛県,今治市,7-1,常盤町7-2-1,南高等学校北角ガードパイプ,34.0553115,132.9894203,
愛媛県,今治市,7-2,鯉池町2-408,市営鯉池住宅入口,34.0525247,132.9889646,
愛媛県,今治市,7-3,鯉池町3-2-16地先,masked,34.0512771,132.9905081,
愛媛県,今治市,7-4,南日吉町2-1-29地先,三木病院駐車場前ガードパイプ,34.0590879,132.9958001,
愛媛県,今治市,45-1,吉海町仁江15番地,元関西酒造㈱吉海工場西側,34.14878,133.0441124,
