prefecture,city,number,address,name,lat,long,note
愛媛県,宇和島市,01-01,堀端町1番25号,中央公民館,33.217,132.56734,
愛媛県,宇和島市,01-02,丸之内1丁目3番,宇和島自動車（株）第２車庫,33.21945,132.56696,
愛媛県,宇和島市,01-03,丸之内5丁目3番,宇和島信用金庫駐車場,33.22214,132.56506,
愛媛県,宇和島市,01-04,中央町1丁目5番1号,masked,33.21985,132.56891,
愛媛県,宇和島市,01-05,中央町2丁目1番,中央町児童公園,33.22155,132.5691,
愛媛県,宇和島市,01-06,新町1丁目2番21号,元ＮＴＴ宇和島支店（東側鉄柵）,33.22302,132.56768,
愛媛県,宇和島市,01-07,新町1丁目2番21号,元ＮＴＴ宇和島支店（西側鉄柵）,33.22293,132.5671,
愛媛県,宇和島市,02-01,桝形町3丁目1番24号,桝形町排水ポンプ場,33.22055,132.56028,
愛媛県,宇和島市,02-02,明倫町1丁目1番16号,四国ガス（株）宇和島支店,33.21997,132.55815,
愛媛県,宇和島市,02-03,明倫町5丁目1番13号,ヨコイ株式会社,33.21806,132.55712,
愛媛県,宇和島市,02-04,坂下津甲347番地7,坂下津児童遊園東側,33.22082,132.54649,
愛媛県,宇和島市,02-05,佐伯町2丁目3番35号,市立宇和島病院佐伯町医師住宅,33.21495,132.56075,
愛媛県,宇和島市,02-06,桜町1番50号,宇和島市医師会,33.21513,132.56495,
愛媛県,宇和島市,02-07,御殿町1番1号,市立宇和島病院駐車場（院内道路側）,33.21582,132.56579,
愛媛県,宇和島市,02-08,御殿町1番1号,市立宇和島病院駐車場（表通り側）,33.21673,132.56541,
愛媛県,宇和島市,02-09,丸之内2丁目3番5号,元ＪＴ宇和島営業所,33.21788,132.565,
愛媛県,宇和島市,02-10,天赦公園,天赦公園東側,33.2159,132.56204,
愛媛県,宇和島市,02-11,文京町2番1号,市立鶴島小学校東側角,33.21883,132.56056,
愛媛県,宇和島市,03-01,神田川原83番地2（神田川原2区）,御通橋横,33.21396,132.56401,
愛媛県,宇和島市,03-02,賀古町2丁目1番37号,JCHO宇和島病院南側,33.2152,132.5691,
愛媛県,宇和島市,03-03,京町1番24号,鶴城幼稚園,33.21614,132.56832,
愛媛県,宇和島市,03-04,賀古町2丁目1番37号,JCHO宇和島病院入口横駐車場,33.21613,132.57045,
愛媛県,宇和島市,03-05,妙典寺前乙640番地,市立宇和津小学校正門横,33.21293,132.56868,
愛媛県,宇和島市,03-06,京町3番7号先,神田橋横,33.21428,132.5667,
愛媛県,宇和島市,03-07,野川甲1157番地先,龍華橋横,33.21674,132.57333,
愛媛県,宇和島市,03-08,野川甲1243番地（3区）,徳岡月極駐車場,33.21768,132.57777,
愛媛県,宇和島市,04-01,弁天町1丁目3番19号,宇和島倉庫株式会社,33.22393,132.55833,
愛媛県,宇和島市,04-02,弁天町3丁目6番,弁天町児童遊園,33.22478,132.55589,
愛媛県,宇和島市,04-03,寿町1丁目2番,モータープール,33.22541,132.56205,
愛媛県,宇和島市,04-04,寿町2丁目2番,寿町二児童遊園,33.22338,132.55947,
愛媛県,宇和島市,04-05,栄町港1丁目5番1号,小林魚網店前,33.22273,132.56411,
愛媛県,宇和島市,04-06,弁天町1丁目きさいや広場前,きさいや広場前,33.22189,132.55863,
愛媛県,宇和島市,04-07,栄町港3丁目3番,ＪＡえひめ南農協駐車場（国道側）,33.22491,132.56341,
愛媛県,宇和島市,04-08,曙町1番地,市役所北東角,33.22396,132.56092,
愛媛県,宇和島市,05-01,丸穂町4丁目1番24号先,古川橋元,33.22317,132.569,
愛媛県,宇和島市,05-02,大宮町3丁目4番10号,天神小学校登り口,33.22252,132.57183,
愛媛県,宇和島市,05-03,丸穂町3丁目2番30号,済美保育園付近,33.22402,132.56859,
愛媛県,宇和島市,05-04,錦町10番,ＪＲ宇和島運転区東側,33.22967,132.57149,
愛媛県,宇和島市,05-05,天神町4番43号,宇和島年金事務所,33.22715,132.56975,
