prefecture,city,number,address,name,lat,long,note
愛媛県,砥部町,1,伊予郡砥部町 宮内900,向南台区入口ガードレール,33.747564,132.789228,緯度経度は怪しい
愛媛県,砥部町,2,伊予郡砥部町 千足54,富士区入口ガードレール,33.745228,132.7903581,緯度経度は怪しい
愛媛県,砥部町,3,伊予郡砥部町 北川毛586,北川毛遊園地フェンス,33.7376664,132.7772167,緯度経度は怪しい
愛媛県,砥部町,4,伊予郡砥部町 岩谷口207,平成館前ガードレール,33.7366335,132.7946912,緯度経度は怪しい
愛媛県,砥部町,5,伊予郡砥部町 大南1219,天神区集中浄化槽前,33.7331501,132.7905815,緯度経度は怪しい
愛媛県,砥部町,6,伊予郡砥部町 五本松59,masked,33.73671600000001,132.7878606,緯度経度は怪しい
愛媛県,砥部町,7,伊予郡砥部町 外山250,消防団第7分団旧車庫前ガードレール,33.7302741,132.7693502,緯度経度は怪しい
愛媛県,砥部町,8,伊予郡砥部町 大南1375,masked,33.7226885,132.7881985,緯度経度は怪しい
愛媛県,砥部町,9,伊予郡砥部町 大南330,Aマートとべ店駐車場フェンス,33.7391697,132.7929134,緯度経度は怪しい
愛媛県,砥部町,10,伊予郡砥部町 大南709,砥部幼稚園前フェンス,33.7376814,132.7928855,緯度経度は怪しい
愛媛県,砥部町,11,伊予郡砥部町 大南1935,長生地橋付近ガードレール,33.7319254,132.7936668,緯度経度は怪しい
愛媛県,砥部町,12,伊予郡砥部町 川登333,川下集会所付近ガードレール,33.6923322,132.8003978,緯度経度は怪しい
愛媛県,砥部町,13,伊予郡砥部町 川登540,余毛橋付近フェンス,33.7172913,132.8036873,緯度経度は怪しい
愛媛県,砥部町,14,伊予郡砥部町 万年497,万年集会所付近ガードレール,33.7064885,132.783318,緯度経度は怪しい
愛媛県,砥部町,15,伊予郡砥部町 八倉320,矢取橋付近ガードレール,33.7867988,132.7771259,緯度経度は怪しい
愛媛県,砥部町,16,伊予郡砥部町 重光223,荒倉橋付近ガードレール,33.7823208,132.7796573,緯度経度は怪しい
愛媛県,砥部町,17,伊予郡砥部町 高尾田71,Aコープ城南フェンス,33.7822515,132.7930024,緯度経度は怪しい
愛媛県,砥部町,18,伊予郡砥部町 麻生216,麻生保育所フェンス,33.7770032,132.7881524,緯度経度は怪しい
愛媛県,砥部町,19,伊予郡砥部町 原町249,総合福祉センターはちまち前ガードパイプ,33.7722945,132.7926599,緯度経度は怪しい
