prefecture,city,number,address,name,lat,long,note
愛媛県,西予市,1-1,明浜町田之浜481,旧田之浜小学校教員住宅前,33.3183978,132.3956028,緯度経度は怪しい
愛媛県,西予市,1-2,明浜町田之浜1097,田之浜停留所前護岸,33.3196656,132.3935283,緯度経度は怪しい
愛媛県,西予市,1-3,明浜町田之浜1134-3,米屋カネ子氏倉庫前,33.3200828,132.391446,緯度経度は怪しい
愛媛県,西予市,1-4,明浜町高山1365,旧伊予銀行前ちびっこ広場フェンス,33.3199525,132.4339275,緯度経度は怪しい
愛媛県,西予市,1-5,明浜町高山3630,西予市明浜支所ガードパイプ,33.3224549,132.4324985,緯度経度は怪しい
愛媛県,西予市,1-6,明浜町高山3678,高山・宮野浦地域づくり活動センター前,33.3202133,132.4321009,緯度経度は怪しい
愛媛県,西予市,1-7,明浜町高山2889-4,masked,33.3186456,132.4294283,緯度経度は怪しい
愛媛県,西予市,1-8,明浜町宮野浦2,旧明浜西中学校前バス停横護岸,33.3160821,132.4267195,緯度経度は怪しい
愛媛県,西予市,1-9,明浜町宮野浦313,旧高山保育園フェンス,33.3145423,132.4251354,緯度経度は怪しい
愛媛県,西予市,1-10,明浜町宮野浦1474-2,町営住宅跡地（宮の串）,33.3078332,132.4226079,緯度経度は怪しい
愛媛県,西予市,1-11,明浜町宮野浦1693-4,masked,33.3079024,132.4117993,緯度経度は怪しい
愛媛県,西予市,1-12,明浜町狩浜2-40-1,門之脇集会所フェンス,33.3194858,132.4687789,緯度経度は怪しい
愛媛県,西予市,1-13,明浜町狩浜2-1970,旧狩江小学校プールフェンス,33.3195873,132.4653638,緯度経度は怪しい
愛媛県,西予市,1-14,明浜町狩浜3-2-1,旧狩江診療所医師住宅塀,33.3179144,132.4665858,緯度経度は怪しい
愛媛県,西予市,1-15,明浜町狩浜3-195-1,狩江地域づくり活動センター前,33.3164365,132.4640213,緯度経度は怪しい
愛媛県,西予市,1-16,明浜町渡江123-1,masked,33.3194767,132.4822482,緯度経度は怪しい
愛媛県,西予市,1-17,明浜町渡江1055,masked,33.3184381,132.4803869,緯度経度は怪しい
愛媛県,西予市,1-18,明浜町俵津1-264-1,俵津大浦団地フェンス,33.3203831,132.4951333,緯度経度は怪しい
愛媛県,西予市,1-19,明浜町俵津2-465,俵津東川付近護岸ガードパイプ,33.32306,132.4954374,緯度経度は怪しい
愛媛県,西予市,1-20,明浜町俵津3-6,旧東宇和農協明浜支店前ガードパイプ,33.3257825,132.4931201,緯度経度は怪しい
愛媛県,西予市,1-21,明浜町俵津3-287-1,俵津地域づくり活動センターフェンス,33.3274306,132.4896576,緯度経度は怪しい
愛媛県,西予市,1-22,明浜町俵津5-265,masked,33.3325976,132.4862212,緯度経度は怪しい
愛媛県,西予市,1-23,明浜町俵津3-166,masked,33.3246312,132.4894762,緯度経度は怪しい
愛媛県,西予市,2-1,宇和町久保1−93−1,久保公会堂前ガードレール,33.4432361,132.5177147,緯度経度は怪しい
愛媛県,西予市,2-2,宇和町瀬戸671,瀬戸公会堂横畑,33.4181082,132.5124536,緯度経度は怪しい
愛媛県,西予市,2-3,宇和町東多田340,多田センター前ガードレール,33.4257844,132.5117082,
愛媛県,西予市,2-4,宇和町信里852,信里集会所付近,33.4332915,132.5165488,緯度経度は怪しい
愛媛県,西予市,2-5,宇和町河内91-1,多田地域づくり活動センター記念碑前,33.4271186,132.5055522,
愛媛県,西予市,2-6,宇和町河内494,河内公会堂前,33.4326691,132.5029616,緯度経度は怪しい
愛媛県,西予市,2-7,宇和町岡山248,岡山公会堂前ガードレール,33.4232039,132.5001737,
愛媛県,西予市,2-8,宇和町伊延566,伊延東集会所付近ガードレール,33.4263109,132.4986235,緯度経度は怪しい
愛媛県,西予市,2-9,宇和町伊延西626,伊延西公会堂前,33.4171949,132.4891878,緯度経度は怪しい
愛媛県,西予市,2-10,宇和町大江749,大江集会所横黒田直紀氏畑,33.4089003,132.5122892,
愛媛県,西予市,2-11,宇和町加茂766,加茂公会堂横農事用倉庫,33.4017153,132.5130175,緯度経度は怪しい
愛媛県,西予市,2-12,宇和町田苗真土1553-2,真土公会堂前,33.401318,132.5057913,
愛媛県,西予市,2-13,宇和町田苗真土2032,中川地域づくり活動センター前,33.398568,132.50765,緯度経度は怪しい
愛媛県,西予市,2-14,宇和町田苗真土806,田苗公会堂,33.4044999,132.4988813,
愛媛県,西予市,2-15,宇和町杢所558-1,杢所公会堂前部落倉庫横ガードレール,33.3998791,132.4974828,
愛媛県,西予市,2-16,宇和町坂戸922,坂戸公会堂前,33.392122,132.5083122,
愛媛県,西予市,2-17,宇和町清沢851-1,清沢集会所前,33.3914402,132.493197,緯度経度は怪しい
愛媛県,西予市,2-18,宇和町小原282,小原集会所前ガードレール,33.3904068,132.4824048,緯度経度は怪しい
愛媛県,西予市,2-19,宇和町岩木1501,旧東宇和農協岩木取次店,33.3964099,132.4745661,
愛媛県,西予市,2-20,宇和町岩木333-2,JR伊予石城駅トイレ付近,33.3913958,132.4733325,緯度経度は怪しい
愛媛県,西予市,2-21,宇和町郷内411,郷内公会堂横畑,33.3894273,132.4624505,
愛媛県,西予市,2-22,宇和町西山田2408,狭間コミュニティセンター前ガードパイプ,33.3821763,132.4653432,緯度経度は怪しい
愛媛県,西予市,2-23,宇和町西山田1332,東宇和農協山田取次店前,33.3756174,132.470559,
愛媛県,西予市,2-24,宇和町西山田423,石城地域づくり活動センター前ガードパイプ,33.3845015,132.4737045,
