prefecture,city,number,address,name,lat,long
愛知県,一宮市,1,大宮４丁目５番,宮西小学校東正門南側,35.310831,136.800709
愛知県,一宮市,2,大宮４丁目５番,宮西小学校西門南側,35.310831,136.800709
愛知県,一宮市,3,大宮３丁目３番２３号先,用水上緑地帯,35.310042,136.79986
愛知県,一宮市,4,文京２丁目１番,一宮商業高校南側,35.31346,136.803939
愛知県,一宮市,5,文京１丁目３番,宮西公民会館南側,35.289248,136.822085
愛知県,一宮市,6,九品町３丁目１６番先,市民病院第７駐車場西側フェンス,35.315235,136.805313
愛知県,一宮市,7,真清田２丁目１０番１４号先,masked,35.310223,136.802307
愛知県,一宮市,1,音羽２丁目２番２９号,押場保育園南側,35.308628,136.79631
愛知県,一宮市,2,音羽１丁目４番,上本町公園北側,35.308285,136.795862
愛知県,一宮市,3,大宮１丁目７番２３号先,大崎会計事務所東側用水上緑地帯,35.307887,136.798898
愛知県,一宮市,4,音羽３丁目１２番,野黒公園南側東,35.311089,136.794189
愛知県,一宮市,5,音羽３丁目１３番,音羽公園南側,35.311848,136.796066
愛知県,一宮市,6,真清田１丁目２番３０号,スポーツ文化センター北側,35.308121,136.800659
愛知県,一宮市,7,大宮２丁目８番１６号先,masked,35.308586,136.796286
愛知県,一宮市,1,北神明町３丁目２９番,北神明公園東側,35.324238,136.803574
愛知県,一宮市,2,東島町１丁目１４番地１,大江川遊歩道沿いフェンス,35.317249,136.814514
愛知県,一宮市,3,北丹町２番地,療育サポートプラザ北側,35.322178,136.801956
愛知県,一宮市,4,西島町１丁目３５番地北,いちい信用金庫宮西支店東向側,35.319412,136.805847
愛知県,一宮市,5,小栗町２９番地１先,東南側,35.324577,136.801132
愛知県,一宮市,6,中島通３丁目２１番地,中小島ちびっ子広場（一宮中島郵便局北側）,35.321609,136.809906
愛知県,一宮市,7,東島町３丁目３５番地１北,東島霊園南入口東側,35.319942,136.815125
愛知県,一宮市,8,常願通１丁目４番地,常願通ポンプ場東側,35.318596,136.804245
愛知県,一宮市,1,貴船１丁目６番１０号,北部中学校正門南側,35.312157,136.806839
愛知県,一宮市,2,貴船１丁目１番２０号,高齢者作業センター南側,35.310513,136.807678
愛知県,一宮市,3,桜３丁目１４番１,大乗公園南西角,35.309245,136.808426
愛知県,一宮市,4,貴船１丁目８番４６号,貴船小学校北東（正門北側）,35.310768,136.809784
愛知県,一宮市,5,下沼町３丁目２,一宮市管路保全課（旧上下水道施設管理センター）北側,35.312607,136.815643
愛知県,一宮市,6,浜町６丁目２,中部電力パワーグリッド㈱一宮支所西門北側,35.310406,136.81514
愛知県,一宮市,7,両郷町４丁目３１－１,愛宕神社西側,35.314461,136.820435
愛知県,一宮市,8,松山町１番地５０,松山町ちびっこ広場西側、ゴミ置場北側,35.299362,136.798889
愛知県,一宮市,1,新生１丁目１００－３,名鉄一宮駅西口タクシー乗り場西側歩道,35.302101,136.795837
愛知県,一宮市,2,新生２丁目１０番,久古見公園南側,35.299831,136.797287
愛知県,一宮市,3,野口１丁目１９－７,野口保育園南側,35.299095,136.792206
愛知県,一宮市,4,神山１丁目７番,橋呑公園東側,35.302926,136.792364
愛知県,一宮市,5,神山２丁目７番,富古場公園北側,35.303758,136.788495
愛知県,一宮市,6,平和２丁目12番,神山小学校東門南側,35.292636,136.810031
愛知県,一宮市,7,神山３丁目４番,弁天公園西側,35.303967,136.788379
愛知県,一宮市,8,住吉１丁目５番,西側,35.324082,136.794947
愛知県,一宮市,1,末広２丁目２０番,末広小学校東側,35.295136,136.789021
愛知県,一宮市,2,末広３丁目１０番,堀田公園南側,35.294767,136.788412
愛知県,一宮市,3,昭和２丁目８番,柳下公園西側,35.293004,136.787706
愛知県,一宮市,4,中町１丁目１番,梅ケ枝公園南側,35.299723,136.806591
愛知県,一宮市,5,新生４丁目１０番,南山公園北側,35.29554,136.796143
愛知県,一宮市,6,末広３丁目２番,市営苅安賀住宅東側,35.294394,136.785529
愛知県,一宮市,7,末広１丁目９番,低見公園北側,35.295206,136.789376
愛知県,一宮市,8,花池1丁目4-35,尾張農林水産事務所一宮支所北側,35.294254,136.794785
愛知県,一宮市,1,八幡１丁目１１番,稲荷公園西側,35.305575,136.79432
愛知県,一宮市,2,八幡４丁目１－１１１,中部中学校テニスコート北側,35.306343,136.790497
愛知県,一宮市,3,八幡５丁目１番１４,新濃尾農地防災事業所南側（神山３丁目バス停前）,35.307029,136.785447
愛知県,一宮市,4,八幡５丁目１番８９,県営一宮八幡住宅駐車場北,35.308983,136.787262
愛知県,一宮市,5,一色町７６,一色保育園東側,35.310753,136.787231
