prefecture,city,number,address,name,lat,long,note
愛知県,大口町,1,丹羽郡大口町替地二丁目１８７,替地もりもり広場　北,35.314602,136.903671,
愛知県,大口町,2,丹羽郡大口町替地二丁目２３７,替地集積場　東,35.314602,136.903671,
愛知県,大口町,3,丹羽郡大口町秋田三丁目３９８,長桜集会場　北東,35.319973,136.897934,
愛知県,大口町,4,丹羽郡大口町秋田二丁目４４－１,秋田グラウンド　北,35.322578,136.904648,
愛知県,大口町,5,丹羽郡大口町替地三丁目１,リンナイ㈱大口工場・技術センター　西用水　ガードパイプ,35.311012,136.897781,
愛知県,大口町,6,丹羽郡大口町伝右一丁目１７９,㈱山一工業所　北西ガードパイプ,35.327106,136.911285,
愛知県,大口町,7,丹羽郡大口町伝右二丁目１３６,㈱日章　西用水先　ガードパイプ,35.324104,136.909119,
愛知県,大口町,8,丹羽郡大口町豊田二丁目１３９,小折新田集会場　西,35.310436,136.888885,
愛知県,大口町,9,丹羽郡大口町御供所一丁目１０,大口町有機資源保管所　南西,35.318302,136.885147,
愛知県,大口町,10,丹羽郡大口町堀尾跡一丁目８３,東御供所集会場　東,35.31778,136.888214,
愛知県,大口町,11,丹羽郡大口町堀尾跡二丁目２４－１,豊田学習等共同利用施設　南,35.318382,136.891006,
愛知県,大口町,12,丹羽郡大口町奈良子一丁目２３２地先,西奈良子生活センター　南,35.320187,136.889374,
愛知県,大口町,13,丹羽郡大口町堀尾跡二丁目１３,秋葉橋　東,35.318321,136.891037,
愛知県,大口町,14,丹羽郡大口町奈良子三丁目１１６,大口南小学校　北西,35.319359,136.895782,
愛知県,大口町,15,丹羽郡大口町高橋一丁目４７,青山製作所南駐車場　南,35.323837,136.895554,
愛知県,大口町,16,丹羽郡大口町大屋敷三丁目２３５,一期一会荘東,35.326015,136.901428,
愛知県,大口町,17,丹羽郡大口町大御堂一丁目２７１,大御堂児童遊園　東　ガードパイプ,35.331753,136.895309,
愛知県,大口町,18,丹羽郡大口町大屋敷二丁目１１１,大屋敷交差点　北,35.326916,136.899963,
愛知県,大口町,19,丹羽郡大口町高橋二丁目１６１,日本紙工名古屋工場　南,35.325439,136.903458,
愛知県,大口町,20,丹羽郡大口町丸一丁目３８,大口中学校　正門東,35.332119,136.903381,
愛知県,大口町,21,丹羽郡大口町丸二丁目８,大口町民会館　東,35.330742,136.905304,
愛知県,大口町,22,丹羽郡大口町外坪五丁目１６３－４,松山集会所　北東,35.321091,136.917114,
愛知県,大口町,23,丹羽郡大口町外坪一丁目６８,外坪公園,35.324471,136.919968,
愛知県,大口町,24,丹羽郡大口町外坪三丁目８５,外坪巾共同集荷所北,35.322315,136.921997,
愛知県,大口町,25,丹羽郡大口町外坪一丁目１０６,大口精糧南,35.325127,136.921036,
愛知県,大口町,26,丹羽郡大口町外坪一丁目１７４,外坪交差点　東,35.326984,136.922348,
愛知県,大口町,27,丹羽郡大口町河北二丁目１６,妙智寺　南,35.348061,136.93219,
愛知県,大口町,28,丹羽郡大口町河北三丁目２５,河北グラウンド,35.344933,136.934555,
愛知県,大口町,29,丹羽郡大口町河北二丁目４８７地先,ヴィーゴ愛松西側,35.346783,136.930618,
愛知県,大口町,30,丹羽郡大口町仲沖一丁目４１,仲沖児童遊園　西,35.340931,136.933075,
愛知県,大口町,31,丹羽郡大口町二ツ屋一丁目１２０,水野商店　西,35.334316,136.932358,
愛知県,大口町,32,丹羽郡大口町河北二丁目４５５,河北墓地　北,35.345985,136.931595,
愛知県,大口町,33,丹羽郡大口町二ツ屋二丁目４８地先,二ツ屋二丁目集落南端,35.330589,136.930603,
愛知県,大口町,34,丹羽郡大口町余野六丁目４３６,余野中央公園　北東,35.340004,136.903061,
愛知県,大口町,35,丹羽郡大口町余野六丁目８３,余野５号公園　北,35.341774,136.900574,
愛知県,大口町,36,丹羽郡大口町余野一丁目６０,東久(株）　南　　　　　　　　　　　,35.343552,136.902603,
愛知県,大口町,37,丹羽郡大口町余野六丁目３１４,第１号調整池　西側フェンス,35.33992,136.901855,
愛知県,大口町,38,丹羽郡大口町余野一丁目１５３,余野神社　東,35.342545,136.905167,
愛知県,大口町,39,丹羽郡大口町余野六丁目４４０,大口西小学校東側,35.338264,136.904861,
愛知県,大口町,40,丹羽郡大口町余野二丁目１６２,丸周建設㈱倉庫　南西,35.343861,136.907745,
愛知県,大口町,41,丹羽郡大口町余野三丁目２５６,余野２号公園　東,35.345539,136.911575,
愛知県,大口町,42,丹羽郡大口町余野五丁目１９８,西保育園　南西,35.339344,136.906769,
愛知県,大口町,43,丹羽郡大口町余野五丁目３１９,白山ふれあい広場(調整池) 西,35.337635,136.908401,
愛知県,大口町,44,丹羽郡大口町余野五丁目３７,ヴォルテージ　南,35.340828,136.908005,
愛知県,大口町,45,丹羽郡大口町余野三丁目５５５,余野３号公園　北,35.342381,136.910294,
愛知県,大口町,46,丹羽郡大口町余野三丁目２１３,町バス２７余野三丁目バス停北,35.345039,136.912506,
愛知県,大口町,47,丹羽郡大口町余野三丁目１３８,余野１号公園,35.346157,136.913803,
愛知県,大口町,48,丹羽郡大口町上小口一丁目６６８,上小口西児童遊園　東,35.349251,136.917709,
愛知県,大口町,49,丹羽郡大口町上小口一丁目５４－４,北の山児童遊園,35.34996,136.921219,
愛知県,大口町,50,丹羽郡大口町上小口一丁目３１６－１,上小口交差点東,35.346989,136.919266,
愛知県,大口町,51,丹羽郡大口町上小口一丁目３－４７,善光寺塚公園　南,35.350651,136.919525,
愛知県,大口町,52,丹羽郡大口町上小口三丁目２４２,コーポてらざわ　北東,35.344322,136.922028,
愛知県,大口町,53,丹羽郡大口町上小口三丁目１８１,わかしゃち国体記念運動公園　北,35.343914,136.920837,
愛知県,大口町,54,丹羽郡大口町萩島一丁目１３３－１,圓應寺　東,35.333916,136.9263,
愛知県,大口町,55,丹羽郡大口町中小口一丁目１１６,兼房株式会社　駐車場東側,35.346416,136.914932,
愛知県,大口町,56,丹羽郡大口町中小口二丁目１１２,丸広水道南側,35.341946,136.918228,
愛知県,大口町,57,丹羽郡大口町城屋敷一丁目１２６,中小口共同集荷所　北東,35.342148,136.915878,
愛知県,大口町,58,丹羽郡大口町城屋敷一丁目２６１,小口城址公園西,35.341099,136.916367,
愛知県,大口町,59,丹羽郡大口町中小口三丁目１２９,masked,35.341576,136.921036,
愛知県,大口町,60,丹羽郡大口町中小口三丁目２５８,大口北小学校北,35.339355,136.923126,
愛知県,大口町,61,丹羽郡大口町新宮二丁目４０,さくら総合病院　南　駐車場　東　ガードパイプ,35.327587,136.920593,
愛知県,大口町,62,丹羽郡大口町下小口五丁目２５－２４,昭和橋　南東,35.333725,136.917877,
愛知県,大口町,63,丹羽郡大口町下小口七丁目１６７,役場南ひろば　北側フェンス,35.333549,136.908783,
愛知県,大口町,64,丹羽郡大口町下小口一丁目１３４－１,下小口児童遊園　南,35.33717,136.90947,
愛知県,大口町,65,丹羽郡大口町下小口二丁目１０８,名岐電設㈱　北,35.338852,136.912766,
愛知県,大口町,66,丹羽郡大口町下小口一丁目２１－４,さかい建築設計　南東,35.338982,136.910675,
愛知県,大口町,67,丹羽郡大口町竹田一丁目１３１,竹田一丁目交差点　北,35.337669,136.899612,
愛知県,大口町,68,丹羽郡大口町竹田三丁目４４,竹田公園　北,35.334679,136.90007,
愛知県,大口町,69,丹羽郡大口町垣田８,masked,35.346661,136.91069,
愛知県,大口町,70,丹羽郡大口町さつきケ丘二丁目２２６,さつきケ丘児童遊園　東,35.344788,136.908539,
愛知県,大口町,71,丹羽郡大口町垣田８,masked,35.346661,136.91069,
愛知県,大口町,72,丹羽郡大口町垣田８,masked,35.346661,136.91069,
愛知県,大口町,73,丹羽郡大口町垣田８,masked,35.346661,136.91069,
愛知県,大口町,74,丹羽郡大口町垣田８,masked,35.346661,136.91069,
愛知県,大口町,75,丹羽郡大口町垣田８,masked,35.346661,136.91069,
