prefecture,city,number,address,name,lat,long,note
愛知県,尾張旭市,1,,西山公園（南側）,35.197444,137.013297,
愛知県,尾張旭市,2,,宅地（北側ブロック塀）,35.198402,137.015623,
愛知県,尾張旭市,3,,東山公園（南側）,35.199332,137.016611,
愛知県,尾張旭市,4,,ｽﾎﾟｯﾄｶﾞｰﾃﾞﾝ庄南,35.197122,137.019783,
愛知県,尾張旭市,5,,庄南公園（北側）,35.19587,137.018254,
愛知県,尾張旭市,6,,駐車場（東側）,35.196873,137.01727,
愛知県,尾張旭市,7,,旭名東営業所（北側）,35.196101,137.015731,
愛知県,尾張旭市,8,,駐車場（北側）,35.201019,137.015695,
愛知県,尾張旭市,9,,瑞鳳小学校（西側フェンス）,35.201378,137.018958,
愛知県,尾張旭市,10,,大塚公園（南側）,35.20195,137.021131,
愛知県,尾張旭市,11,,大塚公園（北側）,35.203047,137.020881,
愛知県,尾張旭市,12,,吉岡調整池（北側フェンス）,35.205339,137.026825,
愛知県,尾張旭市,13,,吉岡公園（南側）,35.203387,137.025835,
愛知県,尾張旭市,14,,印場大塚古墳（北側フェンス）,35.20046,137.020247,
愛知県,尾張旭市,15,,下水処理場用地（東側フェンス）,35.207056,137.012556,
愛知県,尾張旭市,16,,旭野高校（北側フェンス）,35.211403,137.020859,
愛知県,尾張旭市,17,,二反田公園（北側）,35.211877,137.024716,
愛知県,尾張旭市,18,,渋川小学校（南側フェンス）,35.20753,137.019617,
愛知県,尾張旭市,19,,渋川福祉センター（北側）,35.205469,137.017916,
愛知県,尾張旭市,20,,庄中集会所（西側フェンス）,35.203583,137.016623,
愛知県,尾張旭市,21,,南島公園（北側）,35.203618,137.013864,
愛知県,尾張旭市,22,,印場駅北公園（西側）,35.21222,137.011183,
愛知県,尾張旭市,23,,白鳳公園（西側）,35.212986,137.012518,
愛知県,尾張旭市,24,,白鳳小学校（東側）,35.212832,137.014881,
愛知県,尾張旭市,25,,白鳳公民館（南側フェンス）,35.211611,137.014578,
