prefecture,city,number,address,name,lat,long,note
愛知県,岡崎市,1,十王町２丁目９番地,市役所西庁舎南西角,34.9546083,137.1729666,
愛知県,岡崎市,2,曙町１丁目２番地東側,太陽緑道西側,34.9574941,137.1750171,
愛知県,岡崎市,3,花崗町８１番地２,伝馬交番西、こども広場フェンス,34.9587921,137.1709166,
愛知県,岡崎市,4,祐金町１丁目３１番地,善立寺北フェンス,34.9565011,137.1702974,
愛知県,岡崎市,5,伝馬通５丁目２０番地西側,旧ほかほか亭　西　太陽緑道,34.9563392,137.1749455,
愛知県,岡崎市,6,伝馬通１丁目５８番地,社会福祉協議会駐車場,34.9579284,137.1679346,
愛知県,岡崎市,7,菅生町元菅１７番地２西側,トーエネック岡崎支店西側,34.9544885,137.16876,
愛知県,岡崎市,8,若宮町２丁目１番地１,げんき館駐車場東側,34.9532557,137.1809192,
愛知県,岡崎市,9,中町４丁目４番地３北側,根石消防団車庫南側フェンス,34.9542457,137.1825316,
愛知県,岡崎市,10,若宮町２丁目５３番地西側,若宮公園東側,34.952588,137.1800275,
愛知県,岡崎市,11,栄町４丁目５０番地南側,栄町公園北側フェンス,34.9466316,137.1824794,
愛知県,岡崎市,12,両町２丁目５６番地西側,両町公園南側フェンス,34.9545204,137.1758079,
愛知県,岡崎市,13,朝日町３丁目３６番地５,せきれいホール西側,34.9538618,137.1766859,
愛知県,岡崎市,14,若宮町３丁目３番地１,「倉橋歯科医院」前　三角花壇,34.9516571,137.1816435,
愛知県,岡崎市,15,欠町字石ヶ崎１番地２,根石小学校南側フェンス,34.9541805,137.1890995,
愛知県,岡崎市,16,欠町字足延３７番地１東側,東公園西側,34.9532303,137.1896592,
愛知県,岡崎市,17,中町２丁目２番地西側,市有中町共同墓地東側,34.956796,137.1840523,
愛知県,岡崎市,18,小呂町６丁目５２番地西側,東名高速北側,34.9651327,137.1881844,
愛知県,岡崎市,19,欠町字清水田２８－２南側,東公園足延池北側,34.9551099,137.1908394,
