prefecture,city,number,address,name,lat,long,note
愛知県,幸田町,1,長嶺神宮司5,三村神社,34.8977633,137.1824476,
愛知県,幸田町,2,長嶺北郷中3,白山神社東（コミュニティバス停）,34.8972034,137.186763,
愛知県,幸田町,3,久保田社口25-2,久保田コミュニティホーム入口（駐車場西）,34.8890939,137.1903308,
愛知県,幸田町,4,久保田本郷35-6,防火水槽前,34.892356,137.1877106,
愛知県,幸田町,5,坂崎揚り山41-1,坂崎小学校正門前,34.8934953,137.1773459,
愛知県,幸田町,6,坂崎迎山33-1,坂崎８番組コミュニティホーム,34.9017236,137.1712979,
愛知県,幸田町,7,坂崎御屋敷33-2,坂崎公民館,34.8942375,137.1735359,
愛知県,幸田町,8,坂崎京ヶ峯南100,幸多の杜南西角,34.9009719,137.1788864,
愛知県,幸田町,9,坂崎城1,坂崎７番組コミュニティホーム,34.895928,137.1671783,
愛知県,幸田町,10,大草会下127,大草神社前,34.87804490229, 137.1902275680077,
愛知県,幸田町,11,大草丸山102,町民会館南側入口横,34.8738162,137.1794796,
愛知県,幸田町,12,大草羽根72-1,大草ちびっ子広場,34.8770196,137.1810038,
愛知県,幸田町,13,大草寺西16-6,大草西コミュニティホーム,34.8815326,137.1758409,
愛知県,幸田町,14,大草馬場74-1,馬場ノ池西側堤防,34.8756138,137.1758219,
愛知県,幸田町,15,高力越丸13-1,高力老人憩の家,34.8867266,137.168069,
愛知県,幸田町,16,相見越丸19-2,北部中学校前,34.88820058494077, 137.16540725081703,
愛知県,幸田町,17,高力神山35,神山住宅東側,34.88072075952966, 137.17061037189615,
愛知県,幸田町,18,相見阿原173,阿原公園,34.8856316,137.1635508,
愛知県,幸田町,19,相見北鷲田98,北鷲田ちびっ子広場,34.88431758922584, 137.1659888391721,
愛知県,幸田町,20,相見相見35,相見駅東口（あいみ駅前公園地内）,34.8869488,137.1642406,
愛知県,幸田町,21,菱池三保田1-76,三保田住宅東ちびっ子広場,34.8747192,137.1674212,
愛知県,幸田町,22,菱池野々宮36-20,野々宮ちびっ子広場,34.8786276,137.1669276,
愛知県,幸田町,23,菱池寺東72,わしだ霊園進入口,34.8804868,137.1682023,
愛知県,幸田町,24,菱池新田110,新田老人憩いの家,34.883258,137.14992,
愛知県,幸田町,25,菱池大山1-16,「幸田町菱池」交差点（県道岡崎幸田線）南,34.8661626,137.1663274,
愛知県,幸田町,26,菱池矢尻12-8,岩堀児童遊園（熊野神社東側）,34.8738946,137.1709547,
愛知県,幸田町,27,菱池蔵前200,フィール幸田店駐車場北側,34.8693842,137.1663269,
愛知県,幸田町,28,菱池矢尻5-2,熊野神社西側,34.8742836,137.1722592,
愛知県,幸田町,29,菱池前田49-1,幸田町消防本部入口前,34.8701975,137.1627169,
愛知県,幸田町,30,菱池前田24-1,菱池保育園北側,34.8701975,137.1627169,
愛知県,幸田町,31,菱池池端22,駅西公園東側,34.8634225,137.1627169,
愛知県,幸田町,32,横落郷中8-1,町営横落住宅西側,34.8675429,137.1757925,
愛知県,幸田町,33,横落郷中45-1,横落住民広場北側,34.8671704,137.1735287,
愛知県,幸田町,34,横落郷中45-1,横落住民広場西側,34.8671704,137.1735287,
愛知県,幸田町,35,横落郷中68,横落コミュニティセンター入口,34.867179,137.1746027,
愛知県,幸田町,36,横落竹ノ花32,高齢者生きがいセンター南側,34.86814,137.1708645,
愛知県,幸田町,37,横落郷前234,郷前公園（新堤池東側）,34.8657859,137.1701012,
愛知県,幸田町,38,横落北門9-1,中央小学校正門付近,34.8690919,137.1718595,
愛知県,幸田町,39,芦谷毛倉54,駅西駐車場正面入口前,34.8588711,137.1639358,
愛知県,幸田町,40,芦谷北屋敷24-1,芦谷ちびっ子広場,34.8592626,137.1700309,
愛知県,幸田町,41,芦谷幸田130-5,幸田交番西（幸田駅前）,34.8597112,137.1649639,
愛知県,幸田町,42,芦谷福田19-1,芦谷住民広場,34.8561742,137.1694214,
愛知県,幸田町,43,芦谷宮ノ根14-1,幸田保育園駐車場北（幸田中央公園側）,34.8622042,137.1698852,
愛知県,幸田町,44,荻郷添5,荻ちびっ子広場,34.8592779,137.1829224,
愛知県,幸田町,45,荻姫田142-3,「荻西野」交差点（国道248号線）東側,34.8627769,137.1755171,
愛知県,幸田町,46,芦谷東山2,荻谷小学校南側,34.8598731,137.1733835,
愛知県,幸田町,47,深溝大池田12-2,三ヶ根駅西口,34.8356718,137.1772795,
愛知県,幸田町,48,深溝山脇2-1,三ヶ根駅東口,34.8355791,137.1777079,
愛知県,幸田町,49,深溝上一木13-1,海谷公民館南側,34.8275009,137.1869484,
愛知県,幸田町,50,深溝柳縄手4,里前公園東側,34.8376329,137.1784128,
愛知県,幸田町,51,深溝緑台240,曲松公園（旧：里北ちびっ子広場）,34.84466007183771, 137.17178976615781,
愛知県,幸田町,52,深溝会下後37,市場公民館前,34.839869,137.1699928,
愛知県,幸田町,53,深溝花籠53,一ノ瀬コミュニティホーム前,34.8318148,137.1653027,
愛知県,幸田町,54,深溝石落2,仲組コミュニティホーム前,34.8294429,137.1881679,
愛知県,幸田町,55,逆川大坪143-2,やまびこ館南,34.8319847,137.1523315,
愛知県,幸田町,56,上六栗中切34,上六栗老人憩の家,34.8469864,137.1639366,
愛知県,幸田町,57,上六栗金ヶ崎62-4,幸南工業前,34.8452494,137.1663738,
愛知県,幸田町,58,上六栗天ヶ峯5-1,上六栗住民広場前,34.84432839999999,137.1590603,
愛知県,幸田町,59,六栗西山88,六栗住民広場前,34.85563326975364, 137.15642162567778,
愛知県,幸田町,60,六栗本郷34,「六栗」交差点（県道幸田幡豆線）西側,34.8561516,137.1602792,
愛知県,幸田町,61,六栗前無2-13,六栗コミュニティホーム前,34.8544525,137.1611452,
愛知県,幸田町,62,桐山中屋敷17-5,桐山中央コミュニティホーム前,34.8431925,137.1475943,
愛知県,幸田町,63,桐山縄手18-1,「桐山西」交差点西,34.843748,137.1483219,
愛知県,幸田町,64,野場大日蔭5-1,大日蔭グラウンド入口,34.86731830111726, 137.15175149654078,
愛知県,幸田町,65,野場井戸田48,豊坂小学校東側,34.8643436,137.1550993,
愛知県,幸田町,66,野場上市場50-1,畑,34.8692494,137.1462643,
愛知県,幸田町,67,野場西脇19-1,熊野神社南側,34.87341501977868, 137.17095119499425,
愛知県,幸田町,68,野場石荒50-19,石荒ちびっ子広場,34.8625161,137.1541397,
愛知県,幸田町,69,須美向屋敷85-2,須美住民広場,34.8552828,137.1310351,
愛知県,幸田町,70,須美下野24,masked,34.8576443,137.123848,
愛知県,幸田町,71,永野中道147,永野老人憩の家,34.8882082,137.1444365,
愛知県,幸田町,72,永野池田212,永野ちびっ子広場前,34.8850921,137.1431324,
