prefecture,city,number,address,name,lat,long,note
愛知県,愛西市,1,佐屋町亥新田40番地3,旧喫茶「もん」（40番地3）東公園フェンス,35.1488778,136.7112909,
愛知県,愛西市,2,須依町喜之助2189番地,日鉄物産荒井オートモーティブ株式会社（旧荒井製作所）北敷地（2189番地）,35.1476587,136.7161235,
愛知県,愛西市,3,佐屋町道西27番地,石原歯科（27番地）東 公園ガードパイプ,35.1540173,136.7134051,
愛知県,愛西市,4,内佐屋町郷 西松原30番地,津島自動車学校（西松原30番地）前水路フェンス,35.1598631,136.7152173,
愛知県,愛西市,5,内佐屋町河原19番地,丸八ﾓｰﾀｰｽ佐屋店（19番地）北西水路ガードパイプ,35.158567, 136.719281,緯度経度は怪しい
愛知県,愛西市,6,須依町元屋敷,佐屋西小東　信号交差点南水路ガードパイプ,35.1555, 136.71833,緯度経度は怪しい
愛知県,愛西市,7,須依町前田面,ヨシヅヤ佐屋店駐車場北,35.151430, 136.718841,緯度経度は怪しい
愛知県,愛西市,8,須依町白山33番地1,パーマナチ（33番地1）西道路敷,35.1567414,136.7262245,
愛知県,愛西市,9,須依町東田面6番地,佐屋児童館（6番地）北フェンス,35.1533846,136.7253851,
愛知県,愛西市,10,北一色町証文,北一色ちびっ子広場,35.14709, 136.72053,
愛知県,愛西市,11,北一色町昭和113番地,佐屋中央保育園（113番地）フェンス,35.1504672,136.7257461,
愛知県,愛西市,12,北一色町証文179番地,高尾電気（179番地）北畑,35.1468479,136.7236565,
愛知県,愛西市,13,北一色町東田面 四町161番地,旧アプリコット北（四町161番地）ガードパイプ,35.14561, 136.72827,
愛知県,愛西市,14,北一色町昭和,ピアゴ佐屋店西フェンス,35.14787, 136.72955,緯度経度は怪しい
愛知県,愛西市,15,柚木町中田面542番地,masked,35.1628862,136.7252784,
愛知県,愛西市,16,日置町上川田,日置西児童遊園東ガードパイプ,35.16195, 136.73012,
愛知県,愛西市,17,日置町本郷29番地1,日置公民館（29番地1）西フェンス,35.1598, 136.73126,
愛知県,愛西市,18,稲葉町米野226番地1,愛西の里さや（226番地1）東フェンス,35.15412, 136.72892,
愛知県,愛西市,19,稲葉町本郷28番地1,最強ホルモン愛西店（28番地1）前,35.1505, 136.73137,
愛知県,愛西市,20,甘村井町西出割49番地,甘楽社（49番地）西防火水槽,35.152565,136.7346168,
愛知県,愛西市,21,金棒町南87番地,masked,35.1504496,136.7439202,詳細な場所は把握できず
愛知県,愛西市,22,落合町下通,旧みよし食堂西　道路西ガードレール,35.14357, 136.73428,
愛知県,愛西市,23,西保町西川原194番地24,名探団地集会所（194番地24）北フェンス,35.1417645,136.7078649,
愛知県,愛西市,24,西保町北川原23番地15,西保公民館（23番地15）北ガードパイプ,35.1387982,136.7073195,
愛知県,愛西市,25,西保町北川原,大和建材工業㈱南防火水槽,35.13313, 136.70599,目視で確認済み
愛知県,愛西市,26,西保町堤外新田3514番地18,西保ビニール種苗(3514番地18)南畑,35.1302969,136.7067041,
愛知県,愛西市,27,西保町中田11番地1,masked,35.1331096,136.7108756,
愛知県,愛西市,28,西保町森浦60番地1,名神西保団地集会所（60番地1）前,35.1332607,136.713581,
愛知県,愛西市,29,西保町観音堂 古堤西7番地,masked,35.13729, 136.7079,
愛知県,愛西市,30,東保町西河原,星大明社東公園フェンス,35.14418, 136.71422,
愛知県,愛西市,31,東保町宮越401番地,masked,35.1439822,136.718669,
愛知県,愛西市,32,西條町北廻り87番地,カイベ商会(87番地)南ガードレール,35.14101, 136.72603,
愛知県,愛西市,33,西條町伊重1番地2,林證寺（1番地2）南畑,35.1391, 136.72365,
愛知県,愛西市,34,東條町西田面11番地1,市江地区コミュニティセンター（11番地1）東ガードパイプ,35.13945, 136.7281,
愛知県,愛西市,35,本部田町本西60番地,青木酒造（60番地）東畑,35.13662, 136.7368,
愛知県,愛西市,36,本部田町本東138番地,masked,35.1342187,136.7456691,
愛知県,愛西市,37,大井町同所,集会所西防火水槽前,35.1390933,136.7442224,詳細な位置は把握できず
愛知県,愛西市,38,大井町五川東37番地,カフェレスト「シエン」（37番地）駐車場西畑,35.13941, 136.74947,
愛知県,愛西市,39,大井町六川北 七川北72番地,JAあいち海部永和支店（七川北72番地）北西ｶﾞｰﾄﾞﾊﾟｲﾌﾟ,35.136704, 136.754001,
愛知県,愛西市,40,大井町弥八169番地,永和駐在所（169番地）前,35.1335967,136.7609571,
愛知県,愛西市,41,大井町石池102番地3,masked,35.140891, 136.756382,
愛知県,愛西市,42,大井町宮新田,永和台南西公園西田,35.14205, 136.75419,詳細な位置はわからずそれっぽい名前の公園の位置を記載
愛知県,愛西市,43,大井町宮新田20番地13,永和台集会所（20番地13）公園東,35.1449727,136.7531098,
愛知県,愛西市,44,大野町茶木236番地,立松ビル（236番地）北畑,35.131431, 136.768190,
愛知県,愛西市,45,大野町郷西301番地2,大野屋商店（301番地2）南,35.1324176,136.7643645,
愛知県,愛西市,46,大野町山,富吉駅北東自転車置場ガードレール,35.12446, 136.76967,
愛知県,愛西市,47,鰯江町郷裏147番地,永和地区防災コミュニティセンター（147番地）前,35.128379, 136.762629,
愛知県,愛西市,48,鰯江町郷中 郷西62番地,masked,35.126895, 136.760762,
愛知県,愛西市,49,善太新田町大前 十割上55番地,伊藤造園（十割上55番地）北公園フェンス前,35.123151, 136.758674,
愛知県,愛西市,50,善太新田町十一上46番地,善太公民館（46番地）南ガードパイプ,35.1214164,136.7629458,
愛知県,愛西市,51,早尾町南川並200番地3,カラオケ＆パブハウス「集楽」（200番地3）南,35.1959293,136.7062227,
愛知県,愛西市,52,早尾町村北115番地,常徳寺（115番地）駐車場西畑,35.19059, 136.70388,
愛知県,愛西市,53,早尾町枝郷,枝郷集出荷所南道路敷,35.185783, 136.687523,詳細な位置は把握できず
愛知県,愛西市,54,葛木町長池43番地2,渡辺商店（43番地2）東水路ガードレール,35.18399, 136.68428,
愛知県,愛西市,55,新右エ門新田町郷前83番地,立田北部小学校（83番地）北フェンス,35.18227, 136.69519,
愛知県,愛西市,56,四会町村内,四会集会所前ガードレール,35.17709, 136.70202,
愛知県,愛西市,57,下一色町倉前,野田工事倉庫東道路敷,35.1808, 136.70305,
愛知県,愛西市,58,宮地町大縄場,宮地農村公園西ガードレール,35.16947, 136.70769,
愛知県,愛西市,59,石田町宮東68番地,立田庁舎（68番地）前ガードレール,35.1701, 136.69508,
愛知県,愛西市,60,雀ケ森町郷中96番地,神明社（96番地）西ガードレール,35.15967, 136.70158,
愛知県,愛西市,61,小茂井町中,小茂井農村公園入口,35.160184, 136.694945,
愛知県,愛西市,62,三和町田尻41番地,masked,35.1592703,136.6885875,
愛知県,愛西市,63,山路町小割7番地,立田南部小学校（7番地）北フェンス,35.15273, 136.69638,
愛知県,愛西市,64,山路町上井65番地,古江モータース（65番地）東ガードレール,35.1517202,136.706034,
愛知県,愛西市,65,森川町村仲46番地1,立田南部地区防災コミュニティ（46番地1）東フェンス,35.1444, 136.69987,
愛知県,愛西市,66,立田町船頭平42番地,八幡社（42番地）西ガードレール,35.1359118,136.6912552,
愛知県,愛西市,67,立田町福原55番地,masked,35.14111, 136.67556,
愛知県,愛西市,68,福原新田町屋敷附286番地12,旧境屋商店（286番地12）西道路敷,35.1303352,136.6816068,
愛知県,愛西市,69,川北町下129番地1,masked,35.2305951,136.6936851,
愛知県,愛西市,70,鵜多須町下中山27番地,宇太志神社（27番地）南東防火水槽,35.226635, 136.703314,
愛知県,愛西市,71,鵜多須町二本松11番地,masked,35.2208927,136.7030802,
愛知県,愛西市,72,鵜多須町中道248番地,開治小（248番地）東フェンス,35.221854, 136.708721,
愛知県,愛西市,73,上東川町宮東127番地,美樹園（127番地）東空地,35.2290155,136.7198049,
愛知県,愛西市,74,下東川町蔵之段,下東川橋北西ガードレール,35.222816, 136.717377,
愛知県,愛西市,75,二子町小判山224番地,masked,35.2163, 136.70201,
愛知県,愛西市,76,二子町丸島15番地1,八開電話交換所（15番地1）北フェンス,35.212397,136.7098751,
愛知県,愛西市,77,藤ケ瀬町西藤44番地,masked,35.2288764,136.6873422,
愛知県,愛西市,78,江西町街道西,巡回バス江西バス停北,35.2198933,136.6883422,詳細なバス停の位置はわからず
愛知県,愛西市,79,江西町宮西38番地,八開総合福祉センター（38番地）前花壇,35.219, 136.69315,
愛知県,愛西市,80,江西町大縄場151番地1,八開庁舎（151番地1）前フェンス,35.218715, 136.697685,
愛知県,愛西市,81,立石町中,立石集会所前ガードレール,35.20848, 136.69236,
愛知県,愛西市,82,下大牧町中央81番地1,下大牧出荷場（81番地1）北水路フェンス,35.2073241,136.6897384,
愛知県,愛西市,83,赤目町海用,赤目コミュニティセンター前フェンス,35.204, 136.69777,
愛知県,愛西市,84,塩田町池田165番地,masked,35.1942361,136.6883062,
愛知県,愛西市,85,勝幡町元池,元池交差点東ガードパイプ,35.201462,136.748947,詳細な位置は把握できず
愛知県,愛西市,86,勝幡町駅東26番地1,勝幡地域防災コミュニティセンター（26番地1）東ガードレール,35.1985112,136.7531648,
愛知県,愛西市,87,勝幡町塩畑2633番地5,勝幡さくら園(2633番地5)西水路フェンス,35.19889, 136.74744,
愛知県,愛西市,88,勝幡町五俵入,ドン・キホーテ勝幡店（旧ピアゴ勝幡店）北事務所フェンス,35.194657, 136.749734,
愛知県,愛西市,89,勝幡町新町,佐神橋北水路フェンス,35.19386, 136.75697,緯度経度は怪しい
愛知県,愛西市,90,千引町郷浦48番地,masked,35.1909978,136.7546909,
愛知県,愛西市,91,古瀬町村内238番地,古瀬公民館（238番地）西フェンス,35.1915927,136.7516752,
愛知県,愛西市,92,北河田町郷東67番地1,北河田公民館（67番地1）北ガードレール,35.18974610000001,136.7446897,
愛知県,愛西市,93,南河田町高台10番地2,House Do愛西店（10番地2）北空地,35.1887931,136.7468454,
愛知県,愛西市,94,北河田町郷前406番地,北河田小学校（406番地）西フェンス,35.1881635,136.7424091,
愛知県,愛西市,95,持中町郷前29番地,藤浪地域防災コミュニティセンター（29番地）東フェンス,35.18527, 136.74152,
愛知県,愛西市,96,南河田町阿古佐35番地,masked,35.1858751,136.7447094,
愛知県,愛西市,97,諸桑町東浦,水金材木店資材置場北水路フェンス,35.17908, 136.75258,詳細な位置は把握できず
愛知県,愛西市,98,諸桑町郷城76番地,諸鍬神社（76番地）西,35.1813084,136.7478209,
愛知県,愛西市,99,諏訪町郷浦73番地1,愛西市商工会館（73番地1）東花壇,35.19303, 136.74225,
愛知県,愛西市,100,諏訪町郷東167番地,佐織中学校（167番地）西フェンス,35.19198, 136.7407,
愛知県,愛西市,101,諏訪町中島,藤浪駅前広場北西ガードパイプ,35.18879, 136.73812,
愛知県,愛西市,102,諏訪町池埋500番地1,佐織庁舎（500番地1）南植え込み,35.19333, 136.7385,
愛知県,愛西市,103,根高町川田52番地2,masked,35.19073059999999,136.736233,
愛知県,愛西市,104,見越町川田392番地2,喫茶「まつ」（392番地2）西ガードパイプ,35.1897032,136.7333624,
愛知県,愛西市,105,見越町堂起 高畑329番地,六所社（高畑329番地）西道路敷,35.18757, 136.73174,
愛知県,愛西市,106,町方町北堤外130番地1,ハッピーさおり（130番地1）西フェンス,35.19337, 136.73251,
愛知県,愛西市,107,町方町南堤外,新堀川堤防下フェンス,35.19084, 136.73292,詳細な位置は把握できず
愛知県,愛西市,108,町方町南堤外72番地3,町方地域防災コミュニティセンター（72番地3）北側フェンス,35.19158, 136.73046,
愛知県,愛西市,109,町方町南堤外 五軒家東8番地,ヤオキスーパー町方店（五軒家東8番地）西交差点西北,35.19419, 136.73074,
愛知県,愛西市,110,町方町北前 大原5番地,masked,35.19513, 136.72676,
愛知県,愛西市,111,町方町大杁先,名鉄町方駅踏切西フェンス,35.1895524,136.7273763,
愛知県,愛西市,112,町方町十二城１５５号線沿い,町方新田交差点北（１５５号線沿い）,35.18941, 136.72084,
愛知県,愛西市,113,大野山町郷東74番地3,むらせ接骨院（74番地3）西防火水槽,35.2048083,136.7263755,
愛知県,愛西市,114,草平町道下5番地,草平津島社（5番地）南,35.19815, 136.72227,
愛知県,愛西市,115,草平町北田名57番地,草平小学校西フェンス（57番地）前,35.1998, 136.71685,
愛知県,愛西市,116,草平町草場77番地,草平地域防災コミュニティセンター（77番地）北フェンス,35.198071,136.7172134,
愛知県,愛西市,117,町方町松川22番地,masked,35.19101, 136.71476,
愛知県,愛西市,118,草平町新佐屋川1番地11,草平台公民館（1番地11）西公園フェンス,35.1978106,136.7103155,
愛知県,愛西市,119,鷹場町川田,佐織総合運動場南フェンス,35.20269, 136.70783,
愛知県,愛西市,120,渕高町二ノ割37番地,カネヨシ酒店（37番地）前宮田用水フェンス,35.2173223,136.7289436,
愛知県,愛西市,121,渕高町権左,渕高駅北踏切西南ガードパイプ,35.21497, 136.72708,
愛知県,愛西市,122,大野山町余代29番地,masked,35.2096383,136.7298774,
愛知県,愛西市,123,西川端町北山106番地,ミタカ通商渡辺倉庫（106番地）東ガードパイプ,35.21946, 136.72206,
愛知県,愛西市,124,西川端町寺東15番地,西川端小学校（15番地）南フェンス,35.21395, 136.71959,
愛知県,愛西市,125,西川端町上兼48番地,JAあいち海部西川端支店（48番地）南道路敷,35.21334, 136.71547,
愛知県,愛西市,126,西川端町新領内,西川端橋南西フェンス,35.20794, 136.71401,
