prefecture,city,number,address,name,lat,long
愛知県,春日井市,1,西山町1617,masked,35.28117,136.981405
愛知県,春日井市,2,西山町1575-6,西山小学校北,35.278116,136.974444
愛知県,春日井市,3,桃山町1-130-5,桃山保育園東フェンス,35.279247,136.968796
愛知県,春日井市,4,桃山町2-247-1,桃山児童遊園西,35.281208,136.967072
愛知県,春日井市,5,西山町1-7-1,春日井市民病院職員宿舎東,35.276004,136.977608
愛知県,春日井市,6,桃山町3-148,伊藤サボテン園南,35.283791,136.973587
愛知県,春日井市,7,桃山町5100-105,masked,35.284229,136.967285
愛知県,春日井市,8,鷹来町4196-3,総合体育館南,35.270706,136.964798
愛知県,春日井市,9,鷹来町3905-3,パナソニックエコシステムズ株式会社北駐車場西,35.2757,136.962021
愛知県,春日井市,10,鷹来町3316,鷹来中学校北,35.2757,136.962021
愛知県,春日井市,11,田楽町850-1,ＪＡ尾張中央田楽支店西,35.274311,136.950912
愛知県,春日井市,12,田楽町1845,鷹来小学校東,35.274914,136.954193
愛知県,春日井市,13,上田楽町2693,上田楽運動広場東,35.279572,136.951767
愛知県,春日井市,14,上田楽町579-117,大縄手北児童遊園南,35.279217,136.947296
愛知県,春日井市,15,大手田酉町3-16,久手公園南,35.263149,136.963058
愛知県,春日井市,16,岩野町1-258,岩野公園南,35.267014,136.959518
愛知県,春日井市,17,大手町3-24-1,大手小学校北,35.272528,136.994321
愛知県,春日井市,18,大手田酉町1-19-10,大手田酉ちびっ子広場東,35.259003,136.959045
愛知県,春日井市,19,大手町1-20,泉公園南,35.269251,136.95632
愛知県,春日井市,20,大手町2-311,朝日出公園西,35.265427,136.955399
愛知県,春日井市,21,大手町3-13,大手公園西,35.265811,136.955377
愛知県,春日井市,22,大手町1136-3,大手なしいけ公園南,35.265018,136.950684
愛知県,春日井市,23,牛山町3180,牛山運動広場北,35.270828,136.945908
愛知県,春日井市,24,牛山町2911-47,新栄児童遊園南,35.268295,136.947174
愛知県,春日井市,25,牛山町2047-6,三本竹児童遊園西,35.273529,136.941299
愛知県,春日井市,26,牛山町2150,牛山小学校北,35.269241,136.939285
愛知県,春日井市,27,牛山町2150,牛山小学校南,35.269241,136.939285
愛知県,春日井市,28,牛山町421-1,牛山北部学習等供用施設南,35.272465,136.934937
愛知県,春日井市,29,牛山町字五反田872-7,タウン牛山第１ちびっ子広場東,35.269558,136.93576
愛知県,春日井市,30,牛山町1029-96,寺田台北児童遊園北,35.267071,136.934799
愛知県,春日井市,31,高山町2-27-1,高山学習等供用施設北,35.256573,136.955368
愛知県,春日井市,32,高山町1-11,苗田公園西,35.252659,136.95163
愛知県,春日井市,33,西高山町3-15,西高山公園北,35.255638,136.950272
愛知県,春日井市,34,高山町3-5,,35.258396,136.952072
愛知県,春日井市,35,高山町3-11,,35.258621,136.954239
愛知県,春日井市,36,高山町4-7,左右分公園北,35.260223,136.952438
愛知県,春日井市,37,前並町1-20,左右分西公園南,35.258896,136.946854
愛知県,春日井市,38,西高山町2-11,前高グラウンド西,35.257671,136.9487
愛知県,春日井市,39,四ツ家町字二ツ杁127,前並調理場南,35.263977,136.945206
愛知県,春日井市,40,西屋町字南野池34,株式会社ＩＳＯＷＡ西,35.262043,136.939865
愛知県,春日井市,41,宮町1-5-6,中原公園北,35.251499,136.948071
愛知県,春日井市,42,宮町3-8-2,西部ふれあいセンター南,35.2654,136.984087
愛知県,春日井市,43,宮町字宮町175,西部中学校東,35.2547,136.942978
愛知県,春日井市,44,宮町字宮町3,春日井小学校南,35.253689,136.939835
愛知県,春日井市,45,宮町字宮町3,春日井小学校北,35.253689,136.939835
愛知県,春日井市,46,宮町字宮町175,西部中学校西,35.2547,136.942978
愛知県,春日井市,47,下屋敷町1-4-1,村西公園東,35.244411,136.939911
愛知県,春日井市,48,如意申町1-8-1,松山小学校北,35.24593,136.94252
愛知県,春日井市,49,如意申町2-22-1,松山公園西,35.248623,136.943039
愛知県,春日井市,50,如意申町8-10,上ノ場公園南,35.246914,136.956116
愛知県,春日井市,51,如意申町5-5-1,原田公園西,35.250351,136.949753
愛知県,春日井市,52,如意申町6-9-1,四軒家公園北,35.247658,136.950699
愛知県,春日井市,53,稲口町4-25-1,二軒家公園北,35.244587,136.952972
愛知県,春日井市,54,稲口町3-11,稲口公園東,35.241543,136.9496
愛知県,春日井市,55,美濃町1-118,青原公園北,35.242237,136.939621
愛知県,春日井市,56,美濃町2-217,美濃町公園南,35.241058,136.942307
愛知県,春日井市,57,美濃町3-210,美濃前公園西,35.240509,136.946686
愛知県,春日井市,58,上ノ町1-172,西海道公園南,35.238934,136.933807
愛知県,春日井市,59,味美町1-82,味美公園東,35.237713,136.938324
愛知県,春日井市,60,味美町3-41,味美小学校西,35.236725,136.943207
愛知県,春日井市,61,花長町2-11,花長公園北,35.234035,136.939148
愛知県,春日井市,62,知多町3-180,十五丁公園北,35.232758,136.944717
愛知県,春日井市,63,花長町1-10-14,花長学供南西ゲートボール場北,35.232399,136.938812
愛知県,春日井市,64,味美白山町1-4-8,味美ふれあいセンター南西駐車場北,35.232857,136.935608
愛知県,春日井市,65,西本町2-14,西本町公園北,35.274168,136.984501
愛知県,春日井市,66,中野町2-8-6,中野町まんなか広場東,35.243854,136.959312
愛知県,春日井市,67,西本町2-1-1,味美中学校南,35.253629,136.978195
愛知県,春日井市,68,味美白山町2-3-1,白山小学校西,35.231014,136.931961
愛知県,春日井市,69,味美白山町2-3-1,白山小学校東,35.231014,136.931961
愛知県,春日井市,70,中新町2-20,春日山公園東,35.228729,136.931946
愛知県,春日井市,71,二子町2-11-3,白山神社北,35.226948,136.935379
愛知県,春日井市,72,南花長町16-30,南花長ふれあいの家南,35.226204,136.938812
愛知県,春日井市,73,二子町2-11-1,二子山公園南,35.226948,136.935379
愛知県,春日井市,74,二子町2-11-1,二子山公園西,35.226948,136.935379
愛知県,春日井市,75,中新町1-21,中新公園東,35.226009,136.932159
愛知県,春日井市,76,中新町1-18,戸田公園北,35.224258,136.931915
愛知県,春日井市,77,勝川町1-3-1,地蔵ケ池公園南,35.220238,136.945694
愛知県,春日井市,78,長塚町1-138,長塚公園西,35.221603,136.95105
愛知県,春日井市,79,勝川町西1-62,追進公園東,35.221996,136.944748
愛知県,春日井市,80,勝川町西4-94,西浦公園南,35.224834,136.94455
愛知県,春日井市,81,追進町3-156,新開公園北,35.226494,136.941299
愛知県,春日井市,82,勝川町3-48,勝川公園西,35.224442,136.949387
愛知県,春日井市,83,勝川町5-107,勝川北山公園西,35.22855,136.949234
愛知県,春日井市,84,惣中町2-97,寺地公園北,35.229702,136.946777
愛知県,春日井市,85,惣中町2-97,寺地公園南,35.229702,136.946777
愛知県,春日井市,86,大和通1-7-2,大和公園北,35.229977,136.951218
愛知県,春日井市,87,大和通1-7-2,大和公園南,35.229977,136.951218
愛知県,春日井市,88,大和通2-9,大和通２丁目地内空地,35.232918,136.953064
愛知県,春日井市,89,勝川町6-67-1,勝川駅西駐輪場西,35.228966,136.953659
愛知県,春日井市,90,勝川新町1-82,山王公園南,35.233509,136.947418
愛知県,春日井市,91,勝川新町1-49,山王小学校北,35.233292,136.948944
愛知県,春日井市,92,神明町24,徳農公園東,35.255387,136.986562
愛知県,春日井市,93,勝川新町3-100,川添公園南,35.237305,136.947266
愛知県,春日井市,94,妙慶町123-1,妙慶公園東,35.23806,136.952576
愛知県,春日井市,95,妙慶町3-81,中杁公園西,35.240337,136.951233
愛知県,春日井市,96,旭町4-25,勝川北部保育園南,35.24017,136.953645
愛知県,春日井市,97,柏井町1-42,八光公園東,35.233402,136.956985
愛知県,春日井市,98,柏井町3-185,柏井公園東,35.267337,136.983127
愛知県,春日井市,99,柏井町7-6,山ノ脇公園西,35.234589,136.965958
愛知県,春日井市,100,若草通2-1-1,勝川小学校南,35.23516,136.958444
愛知県,春日井市,101,柏井町6-62,篠田公園南,35.232788,136.962814
愛知県,春日井市,102,若草通4-51,若草公園南,35.239361,136.960129
愛知県,春日井市,103,柏原町1-235,儀田公園南,35.241791,136.956314
愛知県,春日井市,104,若草通5-70,天王公園南,35.24308,136.961807
愛知県,春日井市,105,柏原町1-97-1,中央公民館南,35.243092,136.95697
愛知県,春日井市,106,柏原町3-286,柏原公園北,35.245922,136.958633
愛知県,春日井市,107,柏原町4-136,下杁公園南,35.24781,136.961884
愛知県,春日井市,108,柏原町5-15,柏原小学校北,35.246035,136.962286
愛知県,春日井市,109,柏原町5-28,柏原保育園南,35.248534,136.964187
愛知県,春日井市,110,瑞穂通2-96,柏東公園東,35.246029,136.965164
愛知県,春日井市,111,柏原町5-375,柏原中学校南,35.248268,136.967422
愛知県,春日井市,112,柏原町1-97-10,中央公民館北,35.243092,136.95697
愛知県,春日井市,113,町田町2-114,町田公園南,35.226494,136.957184
愛知県,春日井市,114,小野町2-64,はなのき公園南,35.227444,136.963257
愛知県,春日井市,115,小野町5-70,小野小学校南,35.228222,136.966049
愛知県,春日井市,116,小野町5-70,小野小学校北,35.228222,136.966049
愛知県,春日井市,117,小野町3-53,巾川公園南,35.229816,136.962494
愛知県,春日井市,118,篠田町83,東篠公園東,35.231709,136.965652
愛知県,春日井市,119,細木町1-51,細木公園東,35.223606,136.956055
愛知県,春日井市,120,松新町6-1,勝川駅南公園東,35.228008,136.95723
愛知県,春日井市,121,松新町5-3212-10,勝川駅南東,35.229618,136.958069
愛知県,春日井市,122,下条町1-4,西津公園西,35.228644,136.971568
愛知県,春日井市,123,下条町3-7,下条公園北,35.228536,136.975892
愛知県,春日井市,124,下条町2-8,下中公園南,35.227245,136.97023
愛知県,春日井市,125,松河戸町4-15-8,安賀公園南,35.222389,136.968628
愛知県,春日井市,126,中切町2-7,中切公園東,35.225281,136.973434
愛知県,春日井市,127,下条町666-6,南部ふれあいセンター南,35.227367,136.976181
愛知県,春日井市,128,松河戸町5-9-1,道風公園西,35.222118,136.974075
愛知県,春日井市,129,松河戸町2-6-1,堤越公園北,35.223717,136.963745
愛知県,春日井市,130,王子町4,中部中学校西,35.23315,136.968048
愛知県,春日井市,131,王子町3,旧母子の家北,35.234391,136.968534
愛知県,春日井市,132,王子町1,野球場北側ケヤキ通り,35.236683,136.981134
愛知県,春日井市,133,弥生町5277-1,上条小学校東,35.240238,136.979691
愛知県,春日井市,134,弥生町5264-2,春日井駅西児童遊園南（高架下）,35.240238,136.979691
愛知県,春日井市,135,上条町3-60,土井ノ口児童遊園東,35.241692,136.988388
愛知県,春日井市,136,上条町3-43,春日井駅南駐輪場南,35.241825,136.986191
愛知県,春日井市,137,上条町1-147,春日井駅前児童遊園北,35.243176,136.982773
愛知県,春日井市,138,弥生町5154-9,JR春日井駅待車場南,35.240171,136.976714
愛知県,春日井市,139,上条町5-69-2,上条児童遊園南,35.238232,136.987061
愛知県,春日井市,140,上条町5-162,庄内川堤下道路西,35.237343,136.988174
愛知県,春日井市,141,上条町5-90,大龍院（秋葉山）北,35.237537,136.985886
愛知県,春日井市,142,上条町6-2354-9,上条６丁目ちびっこ広場西,35.237019,136.981766
愛知県,春日井市,143,上条町8-3619,和爾良神社参道,35.233955,136.984818
愛知県,春日井市,144,上条町8-3619,和爾良神社北,35.233955,136.984818
愛知県,春日井市,145,上条町9-234-5,町内会防災倉庫前広場北,35.230145,136.986694
愛知県,春日井市,146,鳥居松町4-23,中央公園東側市役所公用車駐車場西,35.246258,136.970322
愛知県,春日井市,147,鳥居松町4-205,鳥居松公園北,35.244076,136.973114
愛知県,春日井市,148,弥生町2-70,交通児童遊園南,35.240171,136.976714
愛知県,春日井市,149,月見町45,鳥居松小学校北,35.245386,136.958785
愛知県,春日井市,150,鳥居松町2-247,青少年女性センター北,35.241196,136.969131
愛知県,春日井市,151,鳥居松町3-21,中央公園西,35.244694,136.969025
愛知県,春日井市,152,鳥居松町1-26,慈恵公園西,35.240658,136.965515
愛知県,春日井市,153,鳥居松町1-244,水林公園北,35.237061,136.967636
愛知県,春日井市,154,瑞穂通5-41,八瑞公園南,35.249947,136.971344
愛知県,春日井市,155,瑞穂通7-122,瑞穂公園南,35.25259,136.973755
愛知県,春日井市,156,ことぶき町109,ことぶき公園西,35.252193,136.977661
愛知県,春日井市,157,春見町23-2,八幡小学校北,35.248863,136.975174
愛知県,春日井市,158,鳥居松町5-44,市民会館南,35.247387,136.972458
愛知県,春日井市,159,鳥居松町8-101,鳥居松上ノ町児童遊園北,35.249119,136.980713
愛知県,春日井市,160,八事町1-31,ゲートボール場東,35.244877,136.976608
愛知県,春日井市,161,八田町5-15,長池公園東,35.257969,136.961685
愛知県,春日井市,162,八田町6-16,いぬい公園北,35.25843,136.965378
愛知県,春日井市,163,朝宮町3-1,広田公園東,35.25106,136.954285
愛知県,春日井市,164,八田町1-5,下八田公園北西,35.249859,136.968857
愛知県,春日井市,165,八田町2-13-6,上八田保育園南,35.256203,136.966187
愛知県,春日井市,166,八田町2-8,上八田公園北,35.253506,136.966537
愛知県,春日井市,167,八田町3-7,寺裏公園北,35.253578,136.963303
愛知県,春日井市,168,朝宮町3-17,御殿公園南,35.251324,136.95787
愛知県,春日井市,169,八田町7-17,宮東公園西,35.255871,136.972061
愛知県,春日井市,170,八田町8-10,下ノ段公園北,35.253548,136.973404
愛知県,春日井市,171,六軒屋町西3-8,杁鹿下公園南,35.260983,136.968918
愛知県,春日井市,172,六軒屋町4-114,六原公園西,35.260319,136.976318
愛知県,春日井市,173,六軒屋町6-169,東丘公園西,35.259827,136.979996
愛知県,春日井市,174,六軒屋町5-177,六軒屋公園南,35.258053,136.977676
愛知県,春日井市,175,六軒屋町1-204,天王間公園東,35.25835,136.973587
愛知県,春日井市,176,六軒屋町西1-15-1,丸田小学校東,35.25824,136.971207
愛知県,春日井市,177,南下原町6-8-2,郷中公園西,35.264145,136.970917
愛知県,春日井市,178,東野町西1-5,三ツ又ふれあい公園東,35.263115,136.975128
愛知県,春日井市,179,東野町西2-2,池合東公園南,35.265972,136.977921
愛知県,春日井市,180,東野町9-8,下郷公園北,35.263531,136.983917
愛知県,春日井市,181,東野町10-8,上流公園北,35.261875,136.981384
愛知県,春日井市,182,東野町1-9,松原小学校南,35.263129,136.9794
愛知県,春日井市,183,東野町2-14,松原公園南,35.268514,136.984314
愛知県,春日井市,184,南下原町4-3-9,上島公園東,35.270226,136.974991
愛知県,春日井市,185,東野町西3-6,西島公園南,35.268738,136.97908
愛知県,春日井市,186,西山町4-18-1,善光寺橋公園南,35.27802,136.978352
愛知県,春日井市,187,東野町3-17,北島公園西,35.268514,136.985646
愛知県,春日井市,188,東野町6-10,中島公園西,35.265301,136.98819
愛知県,春日井市,189,東野町4-13,東野小学校西,35.270126,136.986298
愛知県,春日井市,190,東山町2292-2,グリーンパレス春日井東,35.273216,136.994965
愛知県,春日井市,191,東野町5-17,二本木公園南,35.266788,136.992477
愛知県,春日井市,192,東山町5-2343-439,桃花園内ふれあい緑道北,35.279529,136.998581
愛知県,春日井市,193,東山町3-3,桃花園中央公園西,35.281052,136.999256
愛知県,春日井市,194,東山町3-3,桃花園中央公園東,35.281052,136.999256
愛知県,春日井市,195,東山町4-2343-440,桃花園内ふれあい緑道東,35.281288,137.003859
愛知県,春日井市,196,東山町4-3,桃花園東公園北,35.280385,137.001777
愛知県,春日井市,197,東山町5-1,桃花園三角公園北,35.278685,136.997101
愛知県,春日井市,198,東山町2343-1,桃花園内ふれあい緑道南,35.279435,136.999607
愛知県,春日井市,199,十三塚町2673-33,十三塚児童遊園南,35.266394,136.996285
愛知県,春日井市,200,大泉寺町1059-5,春日井市養護老人ホーム跡地北,35.265709,137.002258
愛知県,春日井市,201,大泉寺町191-4,いとう幼稚園北駐車場北,35.271713,137.004196
愛知県,春日井市,202,金ケ口町1550,北城小学校西,35.265945,137.006882
