prefecture,city,number,address,name,lat,long,note
愛知県,東栄町,24,下田字和手貝津1,和田宅石垣,35.0751815,137.7010839,
愛知県,東栄町,25,下田字市場,旧下川診療所,35.0752939,137.7036799,
愛知県,東栄町,26,下田字門前12-5,伊藤宅前,35.0758358,137.7088561,
愛知県,東栄町,27,下田字野中20,伊藤宅前畑,35.0797336,137.7166751,
愛知県,東栄町,28,下田字尾沢23,柳沢宅付近,35.0793028,137.7206048,
愛知県,東栄町,29,下田字三ツ石14-3,三ツ石集会所付近,35.0727701,137.7249299,
愛知県,東栄町,30,川角字足神4-2,山本宅付近,35.0675276,137.7315531,
愛知県,東栄町,31,西薗目字平瀬3,西薗目集会所付近,35.0778264,137.7323451,
愛知県,東栄町,32,西薗目字渡瀬8-5,村上宅付近,35.0780374,137.7481916,
愛知県,東栄町,33,足込字栃畑4-4,井筒宅付近,35.0924052,137.7005364,
愛知県,東栄町,34,足込字橋場33,足込生活改善センター前,35.0963942,137.6994511,
愛知県,東栄町,35,足込字橋場15,田中宅前(町道敷),35.097235,137.6993693,
愛知県,東栄町,36,足込字西川合2,河野宅下,35.1038139,137.6882866,
愛知県,東栄町,37,下田字尾々1-1,亀井宅付近,35.0992795,137.7185386,
愛知県,東栄町,38,御園字大野111-12,藤原宅倉庫付近,35.117834,137.7104543,
愛知県,東栄町,39,御園字坂場113-2,消防詰所横,35.1193033,137.7132259,
愛知県,東栄町,40,御園字野地31-1,鈴木宅入口付近,35.121866,137.7172297,
愛知県,東栄町,41,御園字真地54-5,夏目宅前付近,35.1195962,137.7218497,
愛知県,東栄町,42,東薗目字中林21-3,旧農協東薗目支店前石垣,35.0917032,137.7417205,
愛知県,東栄町,43,東薗目字向平26-1,東薗目ふれあいプラザ前,35.0987191,137.734942,
愛知県,東栄町,44,東薗目字赤羽根7,西谷宅付近,35.0968869,137.7588245,
愛知県,東栄町,45,三輪字沢上84,栗嶋宅横,35.0242943,137.7082987,
愛知県,東栄町,46,三輪字戸頭露35-1,竹内宅塀,35.0291005,137.7106677,
愛知県,東栄町,47,三輪字畑畔地内,東栄病院宿舎前,35.0268157,137.7135339,
愛知県,東栄町,48,三輪字尾尻平7-7,三輪駐在所横,35.0297083,137.7149066,
愛知県,東栄町,49,三輪字上栗5,旧医療センター,35.0310937,137.7164982,
愛知県,東栄町,50,三輪字横引15-41,外山宅塀,35.0335162,137.71516,
愛知県,東栄町,51,三輪字市原31-2,旧夏目宅付近,35.036745,137.7175376,
愛知県,東栄町,52,三輪字下深谷51,大杉宅倉庫前,35.0369828,137.7099241,
愛知県,東栄町,53,三輪字上深谷24‐1,老人憩いの家深谷荘,35.0364109,137.7038338,
愛知県,東栄町,54,三輪字下河内69-1,鈴田宅前,35.0492201,137.712918,
愛知県,東栄町,55,三輪字中奈根82,旧農産物直売センター前,35.046943,137.7212567,
愛知県,東栄町,56,三輪字下奈根50-3,河内入口付近,35.0433852,137.7224657,
愛知県,東栄町,57,三輪字上奈根11,奈根住宅前,35.0546549,137.7156897,
愛知県,東栄町,58,三輪字上奈根55,佐々木宅前,35.0591455,137.7127284,
愛知県,東栄町,59,振草字下粟代向黒瀬6-4,丸山宅付近,35.0976018,137.6589033,
愛知県,東栄町,60,振草字上粟代橋場地内,下粟代バス停留所,35.0999875,137.6568982,
愛知県,東栄町,61,振草字下粟代向畑5,加藤宅付近,35.0968116,137.6520726,
愛知県,東栄町,62,振草字下粟代東貝津4,桑原集会所付近,35.0909075,137.629295,
愛知県,東栄町,63,振草字上粟代杉下23,旧希望荘跡,35.1036387,137.6530164,
愛知県,東栄町,64,振草字小林下日向35-1,小林集会所入口,35.1096557,137.6279883,
愛知県,東栄町,65,振草字小林大平10,青木宅付近石垣,35.111731,137.6156909,
愛知県,東栄町,66,振草字古戸瓢島16,柿平橋手前,35.111315,137.6615995,
愛知県,東栄町,67,振草字古戸浅井14,青山工務店宅作業所,35.1160551,137.6679743,
愛知県,東栄町,68,振草字古戸日陰地内,初沢宅前ブロック,35.115689,137.668311,
愛知県,東栄町,69,振草字古戸磨谷22,上古戸生活改善センター前,35.1183472,137.6604123,
愛知県,東栄町,70,振草字古戸川合26,伊藤宅前茶畑,35.1325857,137.6377513,
