prefecture,city,number,address,name,lat,long,note
愛知県,東郷町,1,大字諸輪字後山１,上城さくら公園（フェンス）,35.1077506,137.0718464,
愛知県,東郷町,2,大字諸輪字上市４１番地,masked,35.1055357,137.071422,
愛知県,東郷町,3,大字諸輪字米ケ廻間５６番地１,米ケ廻間池（フェンス）,35.1088697,137.0838533,緯度経度は怪しい
愛知県,東郷町,4,大字諸輪字前田６５番地１,諸輪前田バス停北,35.1061802,137.0732054,緯度経度は怪しい
愛知県,東郷町,5,大字諸輪字中市１３５番地７３,諸輪公民館敷地内,35.1047934,137.0682898,
愛知県,東郷町,6,大字諸輪字観音畑２３番地１,masked,35.1012673,137.0671218,
愛知県,東郷町,7,大字諸輪字観音畑６番地１,諸輪公園（フェンス）,35.101046,137.0674885,
愛知県,東郷町,8,北山台五丁目５番地,北山台三角公園（フェンス）,35.1007649,137.0646886,
愛知県,東郷町,9,大字和合字知々釜１３０番地,和合保育園（フェンス）,35.1033817,137.0504877,
愛知県,東郷町,10,大字和合字知々釜１１４番地３,和合区民グラウンド西（フェンス）,35.1022624,137.0513483,
愛知県,東郷町,11,大字和合字知々釜１１４番地３,和合区民グラウンド東（フェンス）,35.1022624,137.0513483,
愛知県,東郷町,12,大字和合字南蚊谷２０９番地１,masked,35.1005977,137.0531379,
愛知県,東郷町,13,大字和合字知々釜７０番地１,和合児童遊園（フェンス）,35.102072,137.0516121,緯度経度は怪しい
愛知県,東郷町,14,大字春木字和合前田２１８８番地,和合公民館南（フェンス）,35.0980452,137.0523723,
愛知県,東郷町,15,大字春木字西羽根穴２２２５番地５,イーストプラザいこまい館（フェンス）,35.0978963,137.0539728,
愛知県,東郷町,16,大字春木字石塔５番地１,（畑）,35.0934695,137.0554131,
愛知県,東郷町,17,大字春木字申下１３３７番地１,東郷町商工会（フェンス）,35.0938139,137.0549949,
愛知県,東郷町,18,大字春木字市場屋敷１１８２番地１,傍示本公民館西（フェンス）,35.0923434,137.0524775,
愛知県,東郷町,19,大字春木字上ノ畑９９１番地１,旧学校給食共同調理場（塀）,35.0921241,137.0500918,
愛知県,東郷町,20,大字春木字北反田３１番地,町ふれあい広場,35.0953655,137.0526763,
愛知県,東郷町,21,大字春木字北反田１４番地,町民会館駐車場,35.0958895,137.05322,
愛知県,東郷町,22,大字春木字桝池８８番地,歩道内（ガードパイプ）,35.0979291,137.0427949,
愛知県,東郷町,23,大字春木字仲田１１番地,祐福寺区民グラウンド南（フェンス）,35.085403,137.0488756,
愛知県,東郷町,24,大字春木字屋敷３４１７番地２,祐福寺児童遊園,35.0838003,137.0454119,
愛知県,東郷町,25,大字春木字池田７番地５,ＪＡあいち尾東春木支店（植込み）,35.0812294,137.0448851,
愛知県,東郷町,26,大字春木字清水ケ根２４６番地１,（空地）,35.0827122,137.0382349,緯度経度は怪しい
愛知県,東郷町,27,大字春木字上正葉廻間２８番地１,真菰池親水公園（フェンス）,35.0853213,137.0386529,
愛知県,東郷町,28,大字春木字新池１番地,春木中学校（フェンス）,35.0893611,137.037722,
愛知県,東郷町,29,大字春木字小坂３３番地,工業団地協同組合（フェンス）,35.0875315,137.0345704,
愛知県,東郷町,30,大字春木字西前６０７０番地４,部田コミュニティセンター（花壇）,35.0794161,137.045439,
愛知県,東郷町,31,大字春木字西前６０６７番地１,春日社境内（石塀）,35.0798405,137.0451661,
愛知県,東郷町,32,大字春木字北切山５７０８番地１,長池北（擁壁）,35.0779732,137.0421869,
愛知県,東郷町,33,大字春木字北切山５７０８番地１,長池南（フェンス）,35.0779732,137.0421869,
愛知県,東郷町,34,大字春木字四ツ塚１００番地,ビレッジハウス東郷　入口（フェンス）,35.0700282,137.0437419,
愛知県,東郷町,35,大字春木字白土１番地１８６０,西白土集会場,35.1040652,137.0268747,緯度経度は怪しい
愛知県,東郷町,36,大字春木字白土２番地１９５,旭ケ丘児童遊園（フェンス）,35.1070345,137.0238715,
愛知県,東郷町,37,大字春木字白土１番地２１９８,白土第２公園（フェンス）,35.1040652,137.0268747,緯度経度は怪しい
愛知県,東郷町,38,大字春木字音貝４３番地１００,音貝小学校（フェンス）,35.1004381,137.0302658,緯度経度は怪しい
愛知県,東郷町,39,大字春木字白土１番地２２６６,白土第１公園北（植栽）,35.1040652,137.0268747,緯度経度は怪しい
愛知県,東郷町,40,大字春木字涼松２２５番地１,せせらぎの道南駐車場,35.0987398,137.025376,緯度経度は怪しい
愛知県,東郷町,41,大字春木字音貝８６番地１,音貝小学校　西　町有地（空地）,35.0999537,137.0288248,
愛知県,東郷町,42,大字和合字牛廻間８８番地１７,masked,35.10734310000001,137.043099,
愛知県,東郷町,43,大字和合字牛廻間７番地５,牛廻間駐車場（フェンス）,35.1101214,137.0426369,
愛知県,東郷町,44,和合ケ丘２丁目２３番地５,和合ケ丘北公園（フェンス）,35.1117832,137.0455311,
愛知県,東郷町,45,和合ケ丘３丁目６番地４,和合ケ丘中央公園（擁壁）,35.1108427,137.0472461,
愛知県,東郷町,46,和合ケ丘１丁目１８番地４,和合ケ丘南公園（フェンス）,35.1094739,137.0479634,
愛知県,東郷町,47,和合ケ丘１丁目１４番地１,和合ケ丘三角公園（フェンス）,35.1094739,137.0479634,
愛知県,東郷町,48,和合ケ丘３丁目１８番地１０,らくだ書店裏の町道沿い（フェンス）,35.110951,137.0502723,
愛知県,東郷町,49,大字諸輪字北木戸西４８番地４１０,資材置場　向い（ガードパイプ）,35.1166529,137.0704011,緯度経度は怪しい
愛知県,東郷町,50,大字諸輪字北木戸西４８番地５０９,masked,35.1138184,137.0708043,緯度経度は怪しい
愛知県,東郷町,51,大字諸輪字北木戸西４８番地５０９,masked,35.1138184,137.0708043,緯度経度は怪しい
愛知県,東郷町,52,大字諸輪字北木戸西４８番地５０９,masked,35.1138184,137.0708043,緯度経度は怪しい
愛知県,東郷町,53,大字諸輪字上鉾９８番地１,総合教育センター東　愛知池線沿い（フェンス）,35.1207789,137.0686426,緯度経度は怪しい
愛知県,東郷町,54,白鳥二丁目１８番地１,大坂池（県道沿い）,35.1116047,137.0528284,緯度経度は怪しい
愛知県,東郷町,55,白鳥一丁目１７番地,尼ケ根公園,35.1087026,137.0564774,
愛知県,東郷町,56,白鳥三丁目１番地,パレマルシェ東郷店前駐車場（フェンス）,35.1131429,137.0589102,緯度経度は怪しい
愛知県,東郷町,57,白鳥二丁目９番地２,高嶺公園　北側（フェンス）,35.1116047,137.0528284,
愛知県,東郷町,58,白鳥三丁目１５番地,白鳥公園（コミセン西）,35.1132346,137.0574858,
愛知県,東郷町,59,白鳥四丁目４番地３,押草公園（フェンス）,35.113795,137.055261,緯度経度は怪しい
愛知県,東郷町,60,白鳥四丁目２番地４,押草緑道内,35.113795,137.055261,
愛知県,東郷町,61,御岳一丁目１２番地,大坊池公園,35.1107732,137.0637762,
愛知県,東郷町,62,御岳一丁目８番地２,中部電力諸輪変電所,35.1107184,137.0639364,
愛知県,東郷町,63,大字諸輪字押草４０番地１,押草下池　北（ガードパイプ）,35.1101912,137.0592734,緯度経度は怪しい
愛知県,東郷町,64,大字諸輪字押草４０番地１,押草下池　東（フェンス）,35.1101912,137.0592734,緯度経度は怪しい
愛知県,東郷町,65,御岳二丁目７番地,御嶽公園　西側（擁壁）,35.1124907,137.0625597,
愛知県,東郷町,66,御岳二丁目７番地,御嶽公園　北側（擁壁）,35.1124907,137.0625597,
愛知県,東郷町,67,御岳二丁目７番地,御嶽公園　東側（擁壁）,35.1124907,137.0625597,
愛知県,東郷町,68,春木台一丁目１６番地２,傍示本墓地（ブロック塀）,35.0892231,137.0479634,
愛知県,東郷町,69,春木台一丁目１８番地,山畑公園（フェンス）,35.0892231,137.0479634,
愛知県,東郷町,70,春木台二丁目３１番地,春木台集会所　西　町有地,35.0894313,137.0452271,
愛知県,東郷町,71,春木台二丁目８番地,喜之右衛門公園　西（フェンス）,35.0894313,137.0452271,
愛知県,東郷町,72,春木台三丁目８番地,狐塚北公園　北（フェンス）,35.08981740000001,137.0409709,
愛知県,東郷町,73,春木台四丁目５番地１,春木台小学校（フェンス）,35.0878896,137.0409856,
愛知県,東郷町,74,春木台五丁目４番地,狐塚南公園　東（フェンス）,35.0855532,137.0427949,
