prefecture,city,number,address,name,lat,long,note
愛知県,津島市,1,津島市立込町２丁目21番,市役所北,35.177059,136.741364,
愛知県,津島市,2,津島市立込町４丁目144番,商工会議所駐車場北,35.1796,136.741653,
愛知県,津島市,3,津島市東柳原町４丁目７番,ダイイチ楽器東,35.180443,136.737061,
愛知県,津島市,4,津島市柳原町３丁目１番１,ロイヤルホームセンター津島店東フェンス,35.179077,136.735001,
愛知県,津島市,5,津島市古川町２丁目156番１,古川町バス停東,35.177273,136.74585,
愛知県,津島市,6,津島市橘町４丁目50番２,愛知県津島保健所南フェンス,35.173347,136.731842,
愛知県,津島市,7,津島市埋田町１丁目63番,加藤心療クリニック南住宅フェンス,35.175571,136.739746,
愛知県,津島市,8,津島市橘町３丁目73番,津島市民病院北フェンス,35.173344,136.738327,
愛知県,津島市,9,津島市唐臼町前南83番,交差点民家北フェンス,35.157261,136.752548,
愛知県,津島市,10,津島市唐臼町柳原74番,唐臼神社南,35.161449,136.753387,
愛知県,津島市,11,津島市南新開町１丁目69番,新開霊苑北畑,35.168564,136.74968,
愛知県,津島市,12,津島市新開町４丁目53番,一本木社東（新開町公民館西）,35.171474,136.749985,
愛知県,津島市,13,津島市唐臼町四反田１番,唐臼住宅前バス停付近,35.157887,136.748306,
愛知県,津島市,14,津島市大字津島字北新開214番１,日光南バス停南フェンス,35.175606,136.750504,
愛知県,津島市,15,津島市大字津島字北新開80番１,名古屋方面古川バス停南フェンス,35.176674,136.747833,
愛知県,津島市,16,津島市宮川町１丁目内,天王川公園北西（御旅所西側）,35.172993,136.720581,
愛知県,津島市,17,津島市筏場町12番,筏場町神社西,35.176369,136.724869,
愛知県,津島市,18,津島市馬場町30番,御神木西,35.178707,136.720398,
愛知県,津島市,19,津島市大和町１丁目14番,西小学校東フェンス,35.178036,136.716339,
愛知県,津島市,20,津島市大縄町２丁目地内,市営大縄住宅公園東,35.184547,136.708878,
愛知県,津島市,21,津島市下新田町２丁目84番１,山祇社,35.178539,136.710236,
愛知県,津島市,22,津島市片町２丁目35番,山信建設(株)前緑地帯,35.175201,136.723419,
愛知県,津島市,23,津島市南本町４丁目125番２,南本町公園北フェンス,35.170692,136.726593,
愛知県,津島市,24,津島市常盤町４丁目20番,津島市立南小学校南フェンス,35.168941,136.727783,
愛知県,津島市,25,津島市西愛宕町２丁目163番,西愛宕神社東,35.167614,136.731415,
愛知県,津島市,26,津島市大政町２丁目地内,遊園地西,35.173405,136.728302,
愛知県,津島市,27,津島市今市場町３丁目地内,今市場公園西フェンス,35.176414,136.729858,
愛知県,津島市,28,津島市愛宕町１丁目20番,月極駐車場北,35.171383,136.733963,
愛知県,津島市,29,津島市本町４丁目42番,宇佐美タオル(株)西,35.175373,136.725952,
愛知県,津島市,30,津島市藤浪町３丁目89番,津島市文化会館北,35.181568,136.728882,
愛知県,津島市,31,津島市西柳原町２丁目14番,津島警察署の北駐車場フェンス,35.179874,136.733109,
愛知県,津島市,32,津島市西柳原町１丁目51番１,双葉幼稚園南,35.176575,136.73378,
愛知県,津島市,33,津島市上河原町６番,清正公社西,35.178871,136.722626,
愛知県,津島市,34,津島市藤浪町１丁目52番,ＪＡあいち海部駐車場西フェンス,35.179005,136.729996,
愛知県,津島市,35,津島市天王通り５丁目37番,ボナンザパーキング北フェンス,35.177998,136.726822,
愛知県,津島市,36,津島市藤里町１丁目52番,ＮＴＴ西日本津島藤浪ビル南,35.178341,136.732056,
愛知県,津島市,37,津島市兼平町１丁目144番,兼平橋南の民家東,35.186062,136.726562,
愛知県,津島市,38,津島市兼平町１丁目108番,金刀毘羅神社北,35.18475,136.725494,
愛知県,津島市,39,津島市松原町33番,(株)カネ正南,35.182449,136.723801,
愛知県,津島市,40,津島市申塚町１丁目146番,県道沿い,35.185772,136.718887,
愛知県,津島市,41,津島市米之座町１丁目52番,駐車場南フェンス,35.180687,136.725327,
愛知県,津島市,42,津島市又吉町１丁目３番２,向島排水機場西門,35.180843,136.721848,
愛知県,津島市,43,津島市江川町２丁目92番２,サガミ津島江川店北の畑,35.183025,136.716141,
愛知県,津島市,44,津島市宮川町１丁目43番,津島市老人福祉センター,35.171425,136.718521,
愛知県,津島市,45,津島市老松町地内,老松中央緑地帯,35.168922,136.714935,
愛知県,津島市,46,津島市宮川町２丁目地内,津島市立天王中学校プール前フェンス,35.168133,136.717545,
愛知県,津島市,47,津島市中地町４丁目65番,養護老人ホーム天王川荘西,35.166641,136.719131,
愛知県,津島市,48,津島市永楽町２丁目１番３,内田歯科医院西の畑,35.172413,136.725647,
愛知県,津島市,49,津島市江東町３丁目136番,江東給油所南,35.17252,136.716675,
愛知県,津島市,50,津島市中地町１丁目７番１,安禅寺東の畑,35.172787,136.722687,
愛知県,津島市,51,津島市東愛宕町３丁目76番２地先,温常寺川（記念橋）沿いフェンス,35.163685,136.741394,
愛知県,津島市,52,津島市愛宕町２丁目24番２,県営愛宕住宅駐車場北,35.171181,136.737366,
愛知県,津島市,53,津島市愛宕町５丁目46番１,愛宕神社北,35.16848,136.735718,
愛知県,津島市,54,津島市愛宕町７丁目105番,県営愛宕南住宅北,35.16571,136.738434,
愛知県,津島市,55,津島市愛宕町９丁目51番１,ビレッジハウス愛宕の北フェンス,35.162586,136.738159,
愛知県,津島市,56,津島市東愛宕町３丁目12番１,東愛宕児童遊園地西,35.164932,136.740662,
愛知県,津島市,57,津島市杁前町４丁目39番１,旧パチンコ店南,35.161308,136.745361,
愛知県,津島市,58,津島市神守町字中町13番,津島市立神守小学校東,35.177143,136.771378,
愛知県,津島市,59,津島市神守町字下町73番,神守一里塚跡前,35.173683,136.7742,
愛知県,津島市,60,津島市宇治町字小切70番１,アサヒゴルフセンター入口南,35.181011,136.755783,
愛知県,津島市,61,津島市下切町字坪之内104番,名古屋方面下切バス停東,35.178638,136.758301,
愛知県,津島市,62,津島市神守町字二ノ割16番１,ノリタケ神守工場東北角,35.177319,136.766724,
愛知県,津島市,63,津島市神守町字東高島１番,かもり憩の家,35.178043,136.778702,
愛知県,津島市,64,津島市光正寺町６番,寺本千代太郎翁碑西,35.184669,136.769394,
愛知県,津島市,65,津島市莪原町字東屋敷90番１,ばいばら憩の家東,35.166607,136.781952,
愛知県,津島市,66,津島市百島町字祢宜66番,旧神守配水場東,35.16993,136.76915,
愛知県,津島市,67,津島市牛田町字荒田21番,牛田町集会所前,35.171299,136.761688,
愛知県,津島市,68,津島市百島町字観音坊95番,神守中学校西ガードレール,35.171886,136.772171,
愛知県,津島市,69,津島市牛田町字江南60番,江南団地公園西,35.16637,136.762955,
愛知県,津島市,70,津島市百島町字居屋敷19番,百島公民館北日比正次宅東,35.166992,136.769196,
愛知県,津島市,71,津島市越津町字梅之木85番2,炭火焼肉「釜山」東隣の田の北西,35.177177,136.762085,
愛知県,津島市,72,津島市宇治町字小船戸156番,県道沿い,35.187618,136.761932,
愛知県,津島市,73,津島市蛭間町字西屋敷1174番,八幡社東,35.189865,136.767075,
愛知県,津島市,74,津島市葉苅町字稲葉26番１,葉苅橋東北の畑,35.193485,136.762207,
愛知県,津島市,75,津島市宇治町字茶ノ里188番２,手力雄命社東,35.185501,136.762222,
愛知県,津島市,76,津島市青塚町４丁目23番,あおつか憩の家北外壁,35.197083,136.768158,
愛知県,津島市,77,津島市牧野町字浪寄31番,牧野町ちびっ子広場北フェンス,35.194542,136.768463,
愛知県,津島市,78,津島市蛭間町字蔵掛堂地内,用水フェンス,35.191978,136.764557,
愛知県,津島市,79,津島市大坪町字壷里23番,大坪公園南フェンス,35.16153,136.779541,
愛知県,津島市,80,津島市神尾町字西之割123番１,神尾町公民館向かい水路敷,35.155067,136.779007,
愛知県,津島市,81,津島市金柳町字南脇８番,金柳公園東フェンス,35.151161,136.778412,
愛知県,津島市,82,津島市白浜町字小新開39番,白浜公民館東フェンス,35.155075,136.770279,
愛知県,津島市,83,津島市百町字矢塚34番,百町児童遊園南東,35.154324,136.76532,
愛知県,津島市,84,津島市百町字南古農９番,（株）朝本組資材置場,35.161198,136.759857,
愛知県,津島市,85,津島市神尾町字江西61番,津島市立高台寺小学校西南,35.156322,136.774521,
愛知県,津島市,86,津島市半頭町西之割47番,慈雲寺集会所東フェンス,35.145882,136.760223,
愛知県,津島市,87,津島市鹿伏兎町上郷198番,神島田祖父母の家西,35.143234,136.761795,
愛知県,津島市,88,津島市鹿伏兎町東302番,三輪商店西の畑,35.141121,136.76619,
愛知県,津島市,89,津島市中一色町東郷80番,津島市立神島田小学校西,35.150448,136.76001,
愛知県,津島市,90,津島市中一色町東郷22番１,神島田公民館東,35.152096,136.758499,
愛知県,津島市,91,津島市中一色町弥六山53番,永宝団地児童公園（集会所）東,35.158321,136.757217,
愛知県,津島市,92,津島市鹿伏兎町下春日台１番13,下春日台団地西北角公園西,35.140289,136.768066,
