prefecture,city,number,address,name,lat,long,note
愛知県,清須市,1,西枇杷島町古城二丁目１５番地１,枇杷島公園北側フェンス,35.207779,136.867783,緯度経度は怪しい
愛知県,清須市,2,西枇杷島町城並二丁目２番地１,古城小学校西側フェンス,35.208888,136.870322,
愛知県,清須市,3,西枇杷島町城並二丁目２番地１,古城小学校南東側フェンス,35.208888,136.870322,
愛知県,清須市,4,西枇杷島町城並三丁目１５番地１,六ノ条公園北側フェンス,35.2094502,136.8717916,
愛知県,清須市,5,西枇杷島町城並二丁目４番地１,古城小学校東信号交差点南側ガ-ドレ-ル,35.2081882,136.872882,
愛知県,清須市,6,西枇杷島町小田井二丁目８番地１,城跡公園南側フェンス,35.2064103,136.8737977,
愛知県,清須市,7,西枇杷島町小田井二丁目８番地１,城跡公園東側フェンス,35.2064103,136.8737977,
愛知県,清須市,8,西枇杷島町小田井一丁目１０番地１,前並公園東側フェンス,35.2040861,136.8726615,
愛知県,清須市,9,西枇杷島町小田井一丁目１３番地１,にしび創造センタ-駐車場フェンス,35.20319,136.871857,緯度経度は怪しい
愛知県,清須市,10,西枇杷島町上新９５番地,上新公園東側フェンス,35.202049,136.871475,緯度経度は怪しい
愛知県,清須市,11,西枇杷島町南大和８２番地,大和ちびっこ広場南側,35.202126,136.8685,緯度経度は怪しい
愛知県,清須市,12,西枇杷島町花咲７８番地,西枇杷島第１幼稚園南側フェンス,35.203827,136.865738,緯度経度は怪しい
愛知県,清須市,13,西枇杷島町地領一丁目４番地１,瀬部田公園南側,35.205917,136.863907,緯度経度は怪しい
愛知県,清須市,14,西枇杷島町地領二丁目１１番地１,地領公園東側,35.2049703,136.8595527,
愛知県,清須市,15,西枇杷島町宮前二丁目５５番地,宮前公園西側,35.204357,136.859177,緯度経度は怪しい
愛知県,清須市,16,西枇杷島町駅前東一丁目２番地３,ＪＲ枇杷島駅東口ロ-タリ-入口名工建設前ガ-ドパイプ,35.203655,136.860703,緯度経度は怪しい
愛知県,清須市,17,西枇杷島町住吉１番地,西枇杷島小学校北側フェンス,35.198116,136.865448,緯度経度は怪しい
愛知県,清須市,18,西枇杷島町砂入４６番地,にしびさわやかプラザ東側フェンス,35.197865,136.866928,緯度経度は怪しい
愛知県,清須市,19,西枇杷島町押花５８番地,上砂入ちびっこ広場東側フェンス,35.200272,136.867981,緯度経度は怪しい
愛知県,清須市,20,西枇杷島町十軒裏５８番地,グランドハイツ西枇杷島南側向かい側ガ-ドレ-ル,35.196136,136.869064,緯度経度は怪しい
愛知県,清須市,21,西枇杷島町住吉１番地,西枇杷島小学校南側フェンス,35.198116,136.865448,緯度経度は怪しい
愛知県,清須市,22,西枇杷島町七畝割３番地１,西枇杷島中学校体育館裏フェンス,35.2000947,136.8581766,
愛知県,清須市,23,西枇杷島町七畝割１０８番地８,ＪＲ枇杷島駅西口ロ-タリ-前ガ-ドパイプ,35.1998735,136.8595018,
愛知県,清須市,24,西枇杷島町旭三丁目８番地,明治チュ-インガム㈱本社第一工場前ガ-ドパイプ,35.198193,136.85994,緯度経度は怪しい
愛知県,清須市,25,西枇杷島町芳野二丁目５８番地２,芳野公園西側フェンス(公衆トイレ裏付近),35.194942,136.8564,緯度経度は怪しい
愛知県,清須市,26,西枇杷島町芳野二丁目１０番地２,二ツ杁駅信号交差点東側(ブレイン二ツ杁南側),35.195538,136.860001,緯度経度は怪しい
愛知県,清須市,27,西枇杷島町大野３７番地１,西枇杷島福祉センタ-東側フェンス,35.1938766,136.8604484,
愛知県,清須市,28,西枇杷島町東笹子原３２番地１,西枇杷島第三分団車庫入口横,35.194405,136.8610132,
愛知県,清須市,29,清洲櫓１９０５番地１４の西側,巡礼橋左岸交差点付近堤防道路ガ-ドパイプ,35.209953,136.840363,緯度経度は怪しい
