prefecture,city,number,address,name,lat,long,note
愛知県,田原市,1,田原市豊島町釜鋳硲８９－１,十方メモリアルホール付近,34.6685405,137.285343,緯度経度は怪しい
愛知県,田原市,2,田原市豊島町薬師７－２,安原薬師会館付近,34.6735201,137.2885708,緯度経度は怪しい
愛知県,田原市,3,田原市豊島町奥谷１８,田原東部市民館分館付近,34.6689439,137.2935481,緯度経度は怪しい
愛知県,田原市,4,田原市豊島町前田９０－４,富永医院付近,34.6660538,137.2919368,緯度経度は怪しい
愛知県,田原市,5,田原市やぐま台２７－７,やぐま台公民館付近,34.67135140000001,137.3070491,緯度経度は怪しい
愛知県,田原市,6,田原市谷熊町鍛冶屋前１－１,田原東部市民館付近,34.6660972,137.2985292,緯度経度は怪しい
愛知県,田原市,7,田原市谷熊町太神３８－７,谷熊農村公園集会所付近,34.6649326,137.303226,緯度経度は怪しい
愛知県,田原市,8,田原市相川町高木１３０,相川集会所付近,34.6600888,137.3122504,緯度経度は怪しい
愛知県,田原市,9,田原市浦町原組２３－２,真木宅付近,34.696575,137.2773118,緯度経度は怪しい
愛知県,田原市,10,田原市浦町山ノ田４,西光院付近,34.6972488,137.281574,緯度経度は怪しい
愛知県,田原市,11,田原市浦町中世古４８－１,神星電機㈱田原工場付近,34.7001244,137.2793905,緯度経度は怪しい
愛知県,田原市,12,田原市浦町中村４６,岡本宅付近,34.701915,137.2807302,緯度経度は怪しい
愛知県,田原市,13,田原市光崎一丁目４,光崎中央公園付近,34.7103727,137.2804764,緯度経度は怪しい
愛知県,田原市,14,田原市姫見台７０,姫見台公園付近,34.7062978,137.274979,緯度経度は怪しい
愛知県,田原市,15,田原市波瀬町波瀬前１９－１,波瀬農村広場付近,34.7059575,137.2768114,緯度経度は怪しい
愛知県,田原市,16,田原市浦町南松崎１－１,トヨタ自動車グランド付近,34.6688993,137.2692847,緯度経度は怪しい
愛知県,田原市,17,田原市浦町丸山１－２１,西浦公園付近,34.6997472,137.2710758,緯度経度は怪しい
愛知県,田原市,18,田原市吉胡町木綿台１６９,木綿台公園付近,34.6824387,137.2774222,緯度経度は怪しい
