prefecture,city,number,address,name,lat,long,note
愛知県,美浜町,1,美浜町大字布土字平井40番地,神明社,34.807064,136.915295,
愛知県,美浜町,2,美浜町大字布土字平井194番地,倉庫前,34.808248,136.917604,
愛知県,美浜町,3,美浜町大字布土字南亀井95番地1,布土保育所北側フェンス,34.805909,136.914232,
愛知県,美浜町,4,美浜町大字布土字上村3番地10,美浜町消防団布土分団詰所,34.804604,136.918711,
愛知県,美浜町,5,美浜町大字布土字大池183番地1,大池ふれあい公園（旧大池ちびっ子広場）,34.803187,136.921072,
愛知県,美浜町,6,美浜町大字布土字和田80番地,旧布土小学校,34.800452,136.918673,
愛知県,美浜町,7,美浜町大字布土字和田145番地1,河和口駅前駐輪場,34.79867,136.918904,
愛知県,美浜町,8,美浜町大字時志字北郷中25-2,火の見櫓横,34.793539,136.920408,
愛知県,美浜町,9,美浜町北方五丁目45番地,あたけ公園,34.785533,136.907567,
愛知県,美浜町,10,美浜町北方五丁目19番地,１号緑地,34.78459,136.904898,
愛知県,美浜町,11,美浜町北方一丁目44番地,土海道公園,34.781796,136.905681,
愛知県,美浜町,12,美浜町大字北方字東側43番地,十二神社,34.779797,136.913427,
愛知県,美浜町,13,美浜町大字河和字北田面106番地,美浜町役場,34.779147,136.908505,
愛知県,美浜町,14,美浜町大字河和字北屋敷83番地1,河和天神社,34.774729,136.913716,
愛知県,美浜町,15,美浜町大字河和字西谷81番地6地先,知多厚生病院前ガードパイプ,34.776294,136.906946,
愛知県,美浜町,16,美浜町大字河和字小坂352番地,河和児童館,34.771985,136.899677,
愛知県,美浜町,17,美浜町大字河和字小坂352番地,河和保育所,34.772536,136.900887,
愛知県,美浜町,18,美浜町河和台三丁目175番地,こぐら公園,34.770357,136.903042,
愛知県,美浜町,19,美浜町河和台一丁目129番地,小坂公園,34.771994,136.903738,
愛知県,美浜町,20,美浜町大字河和字古屋敷23番地3,河和小学校南側,34.771932,136.910891,
愛知県,美浜町,21,美浜町大字河和字古屋敷23番地3,河和小学校北側,34.772941,136.910886,
愛知県,美浜町,22,美浜町河和台二丁目187番地,花廻間公園,34.771405,136.907794,
愛知県,美浜町,23,美浜町大字河和字南屋敷31番地4,ふとんの石黒駐車場,34.772608,136.913596,
愛知県,美浜町,24,美浜町大字河和字上前田261番地3,上前田第2池,34.766907,136.910888,
愛知県,美浜町,25,美浜町大字河和字六反田171番地,六反田町営住宅駐車場,34.765806,136.917567,
愛知県,美浜町,26,美浜町大字河和字六反田130番地,河和中学校,34.765259,136.917637,
愛知県,美浜町,27,美浜町大字河和字六反田195番地,河和中学校西側ガードパイプ,34.764409,136.915759,
愛知県,美浜町,28,美浜町新浦戸一丁目6番地10,あいち知多農協河和南部支店駐車場,34.764096,136.918801,
愛知県,美浜町,29,美浜町新浦戸二丁目9番地,前田公園,34.763836,136.919691,
愛知県,美浜町,30,美浜町大字古布字屋敷73番地8,フィール美浜店北側i入口西側ガードパイプ,34.760895,136.92145,
愛知県,美浜町,31,美浜町大字古布字屋敷164番地4,屋敷ふれあい公園（旧屋敷ちびっ子広場）,34.76162,136.925053,
愛知県,美浜町,32,美浜町大字古布字九条1番地2,古布ふれあい公園（旧古布児童遊園）,34.752295,136.911732,
愛知県,美浜町,33,美浜町大字古布字平井5番地,旧河和南部公民館,34.753705,136.925491,
愛知県,美浜町,34,美浜町大字豊丘字東平井136番地1,河和南部文化交流館,34.750966,136.927946,
愛知県,美浜町,35,美浜町大字豊丘字浜17番地1,矢梨漁村センタ－,34.750968,136.934458,
愛知県,美浜町,36,美浜町大字豊丘字法華寺脇4番地1,法華寺橋北側ガードパイプ,34.749883,136.930201,
愛知県,美浜町,37,美浜町大字豊丘字西側17番地1,民家塀,34.73956,136.922404,
愛知県,美浜町,38,美浜町大字小野浦字福島6番地2,民家塀,34.751312,136.851077,
愛知県,美浜町,39,美浜町大字小野浦字西川79番地20,小野浦公会堂,34.753369,136.849624,
愛知県,美浜町,40,美浜町大字小野浦字奥法2番地,小野浦ふれあい公園（旧小野浦児童遊園）,34.754219,136.851121,
愛知県,美浜町,41,美浜町大字小野浦字清水18番地,良参寺,34.754904,136.849812,
愛知県,美浜町,42,美浜町大字小野浦字福島38番地8,小野浦信号東ガードパイプ,34.749882,136.852008,
愛知県,美浜町,43,美浜町大字野間字冨具崎252番地,細目ふれあい公園（旧細目ちびっ子広場）,34.765202,136.845683,
愛知県,美浜町,44,美浜町大字野間字中新田36番地,民家ブロック塀,34.771455,136.847238,
愛知県,美浜町,45,美浜町大字野間字東畠ケ92番地1,野間保育所,34.770212,136.851342,
愛知県,美浜町,46,美浜町大字野間字清王寺44番地1,巡回バス内扇停留所,34.768404,136.865613,
愛知県,美浜町,47,美浜町大字野間字石名原70番地,野間小学校,34.773802,136.848619,
愛知県,美浜町,48,美浜町大字野間字石名原26番地1,野間公民館,34.774416,136.850471,
愛知県,美浜町,49,美浜町大字野間字大坪59番地,野間中学校,34.776058,136.857643,
愛知県,美浜町,50,美浜町大字野間字若松35番地,若松公会堂横交差点北東角,34.779359,136.851281,
愛知県,美浜町,51,美浜町大字奥田字南大西50番地,野間漁業協同組合,34.780895,136.857461,
愛知県,美浜町,52,美浜町大字奥田字南側78番地1,奥田南ふれあい公園（旧奥田南児童遊園）,34.781497,136.859907,
愛知県,美浜町,53,美浜町大字奥田字天野1番地4,天野ふれあい公園（旧天野児童遊園）,34.782262,136.851881,
愛知県,美浜町,54,美浜町大字奥田字儀路100番地1地先,中奥田信号東ガードパイプ,34.786126,136.858758,
愛知県,美浜町,55,美浜町大字奥田字海道田55番地1,奥田小学校,34.7862339,136.862003,
愛知県,美浜町,56,美浜町大字奥田字奥田前1番地1地先,,34.789034,136.865859,
愛知県,美浜町,57,美浜町大字奥田字儀路68番地4,奥田公民館,34.787157,136.858761,
愛知県,美浜町,58,美浜町大字奥田字石畑238番地,奥田北ふれあい公園（旧奥田北児童遊園）,34.790517,136.861371,
愛知県,美浜町,59,美浜町大字奥田字石亀98番地3,巡回バス北奥田停留所,34.79615,136.860886,
愛知県,美浜町,60,美浜町美浜緑苑二丁目7番地12,小原池中央公園,34.800651,136.868657,
愛知県,美浜町,61,美浜町美浜緑苑四丁目8番地3,花木公園,34.800224,136.865717,
愛知県,美浜町,62,美浜町大字上野間字新居69番地1,民家ブロック塀,34.803809,136.860664,
愛知県,美浜町,63,美浜町大字上野間字祢宜廻間79番地3,上野間郵便局東ガードパイプ,34.806599,136.865537,
愛知県,美浜町,64,美浜町大字上野間字新田1番地1,上野間公会堂,34.807077,136.861798,
愛知県,美浜町,65,美浜町大字上野間字小手廻間34番地1,上野間保育所,34.80648,136.869124,
愛知県,美浜町,66,美浜町大字上野間字郷戸61番地,稲早公園,34.809629,136.865813,
