prefecture,city,number,address,name,lat,long,note
愛知県,蒲郡市,1,相楽町小畑ケ３３－１１,生活センター入口,34.8274849,137.2900444,
愛知県,蒲郡市,2,相楽町上ミ９－２,相楽運動広場,34.8294049,137.2838808,
愛知県,蒲郡市,3,大塚町広畑９７－３,道路壁,34.8173438,137.2903603,
愛知県,蒲郡市,4,大塚町後広畑８４－１,老人ホーム,34.81904338,137.2861374,
愛知県,蒲郡市,5,大塚町上中島２２－１,masked,34.81550684,137.2873819,
愛知県,蒲郡市,6,大塚町丸山６０,masked,34.8126334,137.2964622,
愛知県,蒲郡市,7,大塚町大門１０－４,大門チビッコ広場,34.81427405,137.2910585,
愛知県,蒲郡市,8,大塚町産子山,masked,34.81359474,137.2830173,
愛知県,蒲郡市,9,大塚町十能６９－１,旭化学資材置場西側,34.81263779,137.2710485,
愛知県,蒲郡市,10,大塚町西屋敷６８－３,大塚西運動広場,34.81264791,137.2721989,
愛知県,蒲郡市,11,大塚町平原１２５－７,市有地,34.81416101,137.2779501,
愛知県,蒲郡市,12,大塚町山ノ沢１３-９,市有地,34.8099986,137.2659421,
愛知県,蒲郡市,13,大塚町勝川７－２,勝川児童遊び場,34.81279327,137.2747797,
愛知県,蒲郡市,14,大塚町西屋敷６８－５,大塚西保育園東側駐車場,34.81210458,137.2729871,
愛知県,蒲郡市,15,大塚町岸脇１５－１,市有地,34.81101081,137.2692859,
愛知県,蒲郡市,16,三谷町若宮２６４－１,若宮公園北西側,34.80762404,137.2534621,
愛知県,蒲郡市,17,三谷町壱舗９２,若宮神社北,34.80956626,137.2551673,
愛知県,蒲郡市,18,三谷町壱舗２４－４,市有地,34.81121888,137.2531434,
愛知県,蒲郡市,19,三谷町東三丁目４２,寺戸公園東側,34.81482993,137.2562811,
愛知県,蒲郡市,20,三谷町弥生二丁目３,弥生公園東側,34.81380198,137.2532877,
愛知県,蒲郡市,21,三谷町東五丁目２２２,丸戸公園北側,34.81160927,137.2563383,
愛知県,蒲郡市,22,三谷町二舗４５－２,市有地,34.81227344,137.2509093,
愛知県,蒲郡市,23,三谷町伊与戸２７－５,市有地,34.81737005,137.2565434,
