prefecture,city,number,address,name,lat,long
愛知県,西尾市,1,末広町１０番地,老人の家鶴城会館,34.866635,137.049945
愛知県,西尾市,2,鶴ケ崎町６番地２,アクティにしお,34.86919,137.050827
愛知県,西尾市,3,住崎一丁目１００番地,住崎２号公園,34.859756,137.042999
愛知県,西尾市,4,葵町７０番地１１,市道本町永吉線（植栽）,34.857568,137.041291
愛知県,西尾市,5,住崎二丁目１１４番地,住崎調整池,34.857922,137.043777
愛知県,西尾市,6,山下町泡原１１番地２,文化会館南駐車場,34.861977,137.044479
愛知県,西尾市,7,下町八幡下２４番地１,文化会館北駐車場,34.865368,137.04483
愛知県,西尾市,8,錦城町２３１番地,歴史公園出入口,34.866653,137.048111
愛知県,西尾市,9,花ノ木町１丁目９番地,所有地,34.844385,137.03674
愛知県,西尾市,10,寄住町柴草５３番地１０,寄住稲荷社,34.86945,137.062775
愛知県,西尾市,11,西尾市花ノ木町2丁目1番地,総合福祉センター,34.867535,137.058716
愛知県,西尾市,12,道光寺町寺内下２４番地１,南駐車場,34.873859,137.058838
愛知県,西尾市,13,伊文町１６番地,伊文福祉会館,34.870102,137.057083
愛知県,西尾市,14,道光寺町東縄６２番地１,㈱エムアイシーグループ駐車場,34.871441,137.062027
愛知県,西尾市,15,大給町９７番地,所有地,34.871464,137.054459
愛知県,西尾市,16,緑町１丁目４２番地,緑町公園,34.876937,137.054337
愛知県,西尾市,17,桜町奥新田２番地２,県立西尾高等学校,34.884048,137.055984
愛知県,西尾市,18,新渡場町大西１番地３,カルチャーパーク６・３,34.884537,137.056015
愛知県,西尾市,19,伊藤二丁目４番地１,鶴城幼稚園,34.880634,137.054062
愛知県,西尾市,20,鶴城町浄念塚２番地,浄念塚墓地,34.876049,137.051147
愛知県,西尾市,21,鶴城町上道天１番地２,鶴城中学校,34.876911,137.056
愛知県,西尾市,22,宮町２４４番地,金山化成㈱,34.872723,137.056519
愛知県,西尾市,23,亀沢町４６８番地,鶴城公園,34.873962,137.053391
愛知県,西尾市,24,永吉三丁目１５番地,永吉公園,34.861565,137.049591
愛知県,西尾市,25,永吉町６９７番地５,㈱トーエネック西尾営業所,34.86034,137.053101
愛知県,西尾市,26,高畠町６丁目１番地,花ノ木小学校,34.860325,137.056992
愛知県,西尾市,27,高畠町３丁目１６６番地１,西尾駅東駅前広場,34.864208,137.058655
愛知県,西尾市,28,永楽町５丁目１番地１０,吾妻町駐車場,34.855502,137.042451
愛知県,西尾市,29,花ノ木町３丁目６１番地,駅西多目的防災広場,34.864539,137.057285
愛知県,西尾市,30,寄住町下田２２番地,北側駐車場,34.862091,137.061981
愛知県,西尾市,31,八ツ面町麓２０番地１６,masked,34.873306,137.074997
愛知県,西尾市,32,熊味町小松島１２番地,第２駐車場,34.868088,137.067352
愛知県,西尾市,33,熊味町中泡原４９番地,所有地,34.872578,137.068756
愛知県,西尾市,34,八ツ面町市場７１番地,八ツ面小学校,34.876591,137.071869
愛知県,西尾市,35,中原町半谷２０番地,masked,34.885658,137.08049
愛知県,西尾市,36,中原町前畑３２番地１,所有地,34.883099,137.077454
愛知県,西尾市,37,八ツ面町猿待４４番地４,西尾自動車学校,34.880375,137.07457
愛知県,西尾市,38,戸ケ崎三丁目１２番地,戸ケ崎公園,34.876619,137.046955
愛知県,西尾市,39,戸ケ崎町豊美１１５番地１,八ツ面ふれあいセンター,34.877808,137.067001
愛知県,西尾市,40,上町猿ケ坂１番地,masked,34.87561,137.042068
愛知県,西尾市,41,上町上屋敷６２番地１,所有地,34.879704,137.039719
愛知県,西尾市,42,法光寺町流２０番地１,法光寺緑地,34.868954,137.031006
愛知県,西尾市,43,上町丸山１１番地１,西野町保育園跡地,34.875477,137.038559
愛知県,西尾市,44,上町下屋敷１７番地１０,にしのまち保育園,34.876534,137.036148
愛知県,西尾市,45,上町御所ノ下２０番地,西野町小学校,34.872913,137.040924
愛知県,西尾市,46,下町七長２番地２,下町神明社,34.87022,137.041183
愛知県,西尾市,47,法光寺町屋敷19番地2,所有地,34.869942,137.035629
愛知県,西尾市,48,丁田町杢左５０番地１,職員第４駐車場,34.859886,137.063492
愛知県,西尾市,49,今川町石橋８番地２,花ノ木保育園,34.859085,137.06076
愛知県,西尾市,50,丁田町前通１２０番地,北側駐車場,34.857861,137.068741
愛知県,西尾市,51,今川町土井堀１番地,西尾中学校,34.856373,137.068726
