prefecture,city,number,address,name,lat,long,note
愛知県,豊川市,1,,桜ケ丘公園（地域文化広場）西,34.8306247,137.3883985,
愛知県,豊川市,2,,稲荷公園北,34.8279672,137.3906464,
愛知県,豊川市,3,,美幸公園南,34.8348259,137.3885757,
愛知県,豊川市,4,,桜木公園南,34.8322157,137.3890342,
愛知県,豊川市,5,,桜木小学校北,34.8315244,137.3921645,
愛知県,豊川市,6,,曙公園南,34.8332315,137.3951542,
愛知県,豊川市,7,,曽通公園南,34.8355289,137.3966942,
愛知県,豊川市,8,,東光公園東側フェンス,34.8307699,137.3949621,
愛知県,豊川市,9,,稲荷駐車場北東,34.8236954,137.3914878,
愛知県,豊川市,10,,豊川地区防災倉庫東,34.821425,137.3932452,
愛知県,豊川市,11,,豊川商店街駅前駐車場南,34.8226353,137.3948622,
愛知県,豊川市,12,,ＮＴＴ豊川営業所駐車場南,34.819905,137.3888496,
愛知県,豊川市,13,,縄手上公園北側フェンス,34.8183456,137.4005518,
愛知県,豊川市,14,,市道公園東,34.816083,137.3914442,
愛知県,豊川市,15,,花井幼稚園西側フェンス,34.8183556,137.3910692,
愛知県,豊川市,16,,ＪＲ飯田線豊川駅西側駐輪場,34.8233729,137.3977782,
愛知県,豊川市,17,,駅東電車通公園南側フェンス,34.824735,137.4001278,
愛知県,豊川市,18,,ＪＲ飯田線豊川駅東駐車場北,34.8233851,137.4002317,
愛知県,豊川市,19,,遠通公園西,34.824043,137.4047938,
愛知県,豊川市,20,,三明公園南側フェンス,34.8199952,137.3984001,
愛知県,豊川市,21,,松下公園東,34.8228842,137.4037124,
愛知県,豊川市,22,,ＪＲ飯田線豊川駅東駐輪場南,34.8225296,137.3976629,
愛知県,豊川市,23,,本野ケ原第２公園西側フェンス,34.8383517,137.4019637,
愛知県,豊川市,24,,太通公園西,34.8319436,137.3991031,
愛知県,豊川市,25,,本野ケ原第一公園北,34.8369857,137.4046172,
愛知県,豊川市,26,,礼通公園東,34.8343521,137.4016618,
愛知県,豊川市,27,,和通公園西側フェンス,34.8324451,137.4066266,
愛知県,豊川市,28,,西豊公園西,34.8292748,137.398483,
愛知県,豊川市,29,,豊小学校西,34.8293407,137.4054761,
愛知県,豊川市,30,,新豊児童遊園東,34.8335194,137.4049176,
愛知県,豊川市,31,,東部小学校正門南,34.8232498,137.4130225,
愛知県,豊川市,32,,土筒揚水機場南,34.8125172,137.408379,
愛知県,豊川市,33,,当古第１揚水機場南,34.8151776,137.4202477,
愛知県,豊川市,34,,住吉公園西,34.8168401,137.4033807,
愛知県,豊川市,35,,牧野西公園西,34.8266231,137.4077861,
愛知県,豊川市,36,,三上七区集会所東,34.8191151,137.4381798,
愛知県,豊川市,37,,三上揚水機場南,0.0,0.0,
愛知県,豊川市,38,,三上町深田集会所西,34.8246951,137.4191608,
愛知県,豊川市,39,,谷川公園北,34.8323205,137.409928,
