prefecture,city,number,address,name,lat,long,note
愛知県,豊明市,1,沓掛町石畑１４１番地,農村環境改善センター,35.0747754,137.0342496,
愛知県,豊明市,2,沓掛町井ノ上４２番地８,masked,35.0730274,137.0384837,
愛知県,豊明市,3,沓掛町陣田４４番地１,"加藤工務店
資材置場",35.0722195,137.0358364,
愛知県,豊明市,4,沓掛町泉３１番地１,masked,35.0570723,137.0285083,
愛知県,豊明市,5,沓掛町一之御前１６番地,沓掛小学校,35.0683422,137.0265727,
愛知県,豊明市,6,沓掛町下高根３１６番地,下高根公園,35.0720169,137.0217815,緯度経度は怪しい
愛知県,豊明市,7,沓掛町中川,"中川２９０番地先
中川水路柵",35.0619855,137.0345872,
愛知県,豊明市,8,沓掛町若王子１１番地４８,若王子集会所,35.0894129,137.0255641,緯度経度は怪しい
愛知県,豊明市,9,沓掛町小廻間３７番地４,名鉄沓掛調整池,35.0771705,137.0165862,
愛知県,豊明市,10,沓掛町勅使８番地６,山田児童遊園地,35.0829528,137.0183231,緯度経度は怪しい
愛知県,豊明市,11,沓掛町徳田池下７６番地１,徳田公園,35.0747225,137.019999,
愛知県,豊明市,12,沓掛町東門,東門12番地１　地先,35.0697182,137.0233418,
愛知県,豊明市,13,沓掛町山新田４２番地２,masked,35.09330570000001,137.0180049,
愛知県,豊明市,14,沓掛町東本郷１３６番地３,本郷公会堂,35.0685048,137.0212146,
愛知県,豊明市,15,沓掛町寺内１２３番地４,株式会社GL,35.0580377,137.026161,
愛知県,豊明市,16,沓掛町宿１９４番地１,宿ふれあい広場,35.0635315,137.0175681,
愛知県,豊明市,17,新田町吉池３番地１,中央公園（北）,35.0544007,137.0169319,
愛知県,豊明市,18,新田町吉池３番地１,中央公園（南）,35.0544007,137.0169319,
愛知県,豊明市,19,新田町吉池２６番地,市役所　第２駐車場,35.0542938,137.0157449,
愛知県,豊明市,20,新田町吉池１８番地３,豊明市総合福祉会館,35.0521164,137.0149972,
愛知県,豊明市,21,新田町西筋２３３番地,調整池,35.0498662,137.0133762,
愛知県,豊明市,22,新田町森西１３番地６,中島区民会館,35.0488577,137.0220001,
愛知県,豊明市,23,新田町南山９２番地１,中立電機㈱,35.047623,137.0155301,
愛知県,豊明市,24,三崎町三崎１番地２,三崎水辺公園（南）,35.058192,137.0049767,
愛知県,豊明市,25,三崎町高鴨１４番地,"三崎総合会館
駐車場",35.053112,137.0066302,
愛知県,豊明市,26,三崎町高鴨１番地１,青い鳥保育園,35.0548126,137.0051059,
愛知県,豊明市,27,三崎町ゆたか台５番地１,ゆたか台公園,35.055891,137.0026187,
愛知県,豊明市,28,三崎町中ノ坪１９番地１,中ノ坪公園,35.05471,137.0102759,
