prefecture,city,number,address,name,lat,long
愛知県,豊田市,1,西町３－６０,市役所前駐車場の北側,35.082838,137.156528
愛知県,豊田市,2,元城町１－４３,元城駐車場北側,35.050584,137.112282
愛知県,豊田市,3,元城町１－５１－１,桜城址公園,35.082748,137.158316
愛知県,豊田市,4,元城町４－２－１,南庁舎入り口,35.082569,137.157051
愛知県,豊田市,5,挙母町３－５９,視聴覚ライブリー駐車場植栽,35.081169,137.161697
愛知県,豊田市,6,十塚町５－４３－２,スカイホール南西側緑地帯,35.080219,137.16214
愛知県,豊田市,7,挙母町５－５８,挙母こども園西側歩道沿い,35.084515,137.162994
愛知県,豊田市,8,若宮町８－７,愛環新豊田駅前,35.087655,137.154193
愛知県,豊田市,9,喜多町４－４５,旧近代の産業とくらし発見館西側入り口,35.14832,137.319865
愛知県,豊田市,10,喜多町６－３－２４,名四国道事務所豊田（出）駐車場,35.08672,137.15964
愛知県,豊田市,11,若宮町２－１４－１,若宮ちびっこ広場,35.082108,137.157336
愛知県,豊田市,12,竹生町２－２－１１,竹生町２丁目交差点,35.091579,137.159988
愛知県,豊田市,13,久保町３－２７－２４,児の口公園（国道沿い）,35.158252,137.268598
愛知県,豊田市,14,若宮町６－２－５,若宮こども園東側フェンス,35.082108,137.157336
愛知県,豊田市,15,月見町１－３,月見公園(西),35.089477,137.152821
愛知県,豊田市,16,日南町４－３０－１,日南公園,35.093754,137.149994
愛知県,豊田市,17,陣中町１－２２－７,こまどり公園,35.093479,137.159866
愛知県,豊田市,18,陣中町２－１０－１,陣中公園(西),35.094681,137.165268
愛知県,豊田市,19,日之出町２－９－１８,日之出ちびっこ広場,35.088851,137.16388
愛知県,豊田市,20,平芝町１－１－１,挙母小学校西交差点付近,35.092663,137.157074
愛知県,豊田市,21,平芝町３－６,岩畑公園(東),35.095757,137.158447
愛知県,豊田市,22,栄町５－１６,栄町公園,35.102452,137.168815
愛知県,豊田市,23,梅坪町１－１５－２,梅坪台交流館,35.105751,137.160614
愛知県,豊田市,24,梅坪町１－１４－１,梅坪こども園,35.10553,137.159637
愛知県,豊田市,25,梅坪町６－８,田古屋公園,35.100666,137.159073
愛知県,豊田市,26,梅坪町２－４,下町公園,35.103477,137.160416
愛知県,豊田市,27,東梅坪町４－１１,高宮公園,35.105614,137.167984
愛知県,豊田市,28,東梅坪町６－７,中河原公園,35.101643,137.165833
愛知県,豊田市,29,東梅坪町１０－７－７,梅坪公園(北),35.099384,137.164719
愛知県,豊田市,30,京町３－１０８,和合公園,35.110667,137.16801
愛知県,豊田市,31,京町５－１０,京町公園,35.08302,137.158366
