prefecture,city,number,address,name,lat,long,note
愛知県,長久手市,1,中屋１１番地,北熊ちびっこ広場フェンス,35.1801798,137.0713802,
愛知県,長久手市,2,丸山２６番２地先,公園西駅（ロータリー）,35.1840825,137.0487221,緯度経度は怪しい
愛知県,長久手市,3,杁ノ洞２３３５番地３,大草東児童遊園東フェンス,35.1887887,137.0698593,
愛知県,長久手市,4,平地８番地先,ライスセンター前市道,35.1849101,137.0661875,
愛知県,長久手市,5,北浦２５８０番地１,溝之杁池西側ネットフェンス,35.1895059,137.0656334,緯度経度は怪しい
愛知県,長久手市,6,北熊２６番地先,熊張橋東三差路市道,35.1828905,137.0707909,
愛知県,長久手市,7,真行田６１番地先,県道沿い畦,35.1868303,137.0576938,
愛知県,長久手市,8,松杁３５番地先,masked,35.1849034,137.0701196,
愛知県,長久手市,9,前熊橋ノ本１００番２,nan,35.1803859,137.0686426,
愛知県,長久手市,10,前熊根ノ原２番地先,市管理地植込み,35.18218700000001,137.063302,
愛知県,長久手市,11,前熊下田２２番１地先,市管理地植込み,35.1845242,137.0601267,
愛知県,長久手市,12,前熊志水１０番地２,旧児童福祉センター跡地ネットフェンス,35.1824495,137.0683005,
愛知県,長久手市,13,岩作三ケ峯６０番地,三ケ峯第３公園北側ネットフェンス,35.1674225,137.0838056,緯度経度は怪しい
愛知県,長久手市,14,岩作三ケ峯１番地３２,栄徳高等学校東側フェンス,35.1692607,137.0624361,緯度経度は怪しい
愛知県,長久手市,15,岩作琵琶ｹ池５５番地１,市民野球場東側,35.1740075,137.0617423,
愛知県,長久手市,16,岩作三ケ峯２番地２,市広報板横ブロック塀,35.1599983,137.0876521,緯度経度は怪しい
愛知県,長久手市,17,岩作北山３３番地先,図書館通り、植込み,35.1893249,137.0421262,
愛知県,長久手市,18,岩作石田１３６番地先,中規模老人憩の家椿荘,35.185075,137.0402222,
愛知県,長久手市,19,岩作中縄手４０番地１,長久手小学校南側,35.1819132,137.047665,
愛知県,長久手市,20,富士浦４０１番地,県営長久手第２住宅東,35.1793509,137.0448368,
愛知県,長久手市,21,岩作城の内６０番地１,市役所前バス停東側植込み,35.1841172,137.0485903,
愛知県,長久手市,22,岩作元門５番地１,安昌寺,35.1842262,137.0536322,
愛知県,長久手市,23,岩作蛇洞５７番地１,松井信夫氏西隣空き地,35.1799957,137.0555651,
