prefecture,city,number,address,name,lat,long,note
愛知県,高浜市,1,八幡町一丁目９－１,大清水公園西側,34.9536399,136.9942235,
愛知県,高浜市,2,八幡町三丁目１－５,県営吉浜住宅（６棟西側）,34.9509193,136.9940722,緯度経度は怪しい
愛知県,高浜市,3,八幡町三丁目６－１７,コネクト物流駐車場,34.95151269999999,136.9956946,
愛知県,高浜市,4,小池町六丁目７－２８,丸愛内藤設備(有),34.9460343,136.9950406,
愛知県,高浜市,5,八幡町六丁目９－１,ファミール八幡南側畑,34.9504735,136.9919621,
愛知県,高浜市,6,八幡町四丁目８－２,吉浜北部保育園駐車場,34.9476019,136.9944797,
愛知県,高浜市,7,八幡町五丁目９－１４,大坪公園南側,34.9487903,136.99205,
愛知県,高浜市,8,小池町五丁目１－８,内藤様宅,34.94557090000001,136.9955846,
愛知県,高浜市,9,屋敷町五番地３－９,古橋様宅,34.9407818,136.9969096,
愛知県,高浜市,10,小池町四丁目７－１１,山田公園南側,34.94297210000001,136.9993396,
愛知県,高浜市,11,屋敷町五丁目７－２,吉浜小学校体育館北側,34.9407818,136.9969096,
愛知県,高浜市,12,呉竹町四丁目５－７,鈴木様宅,34.9407086,136.9932459,
愛知県,高浜市,13,呉竹町四丁目１３－１,小中根公園西側,34.9386754,136.9945848,
愛知県,高浜市,14,神明町一丁目１２－１,中部公園北側,34.9384599,136.9995852,
愛知県,高浜市,15,屋敷町一丁目８－１０,碧海信用金庫吉浜支店,34.9459557,136.9893416,
愛知県,高浜市,16,屋敷町二丁目６－６９,正林寺駐車場,34.9447621,136.9899241,
愛知県,高浜市,17,屋敷町七丁目２－１,前田様宅,34.943421,136.9919272,
愛知県,高浜市,18,芳川町一丁目２－４５,市営芳川住宅前,34.940711,136.9826413,
愛知県,高浜市,19,呉竹町三丁目６－９,丸七商会南側,34.9394519,136.9907475,
愛知県,高浜市,20,呉竹町七丁目７－１,月極駐車場（神谷様）,34.9379285,136.9868777,
愛知県,高浜市,21,芳川町三丁目６－１２,蛇抜公園北側,34.9362175,136.9832526,
愛知県,高浜市,22,豊田町一丁目２１１－１,吉久伝公園北側,34.9456257,137.0069833,
愛知県,高浜市,23,神明町二丁目１１－１,神明公園南側,34.9423152,137.0029847,
愛知県,高浜市,24,神明町二丁目１８－１３,翼ふれあいプラザ,34.9405222,137.000354,
愛知県,高浜市,25,神明町八丁目１０－１０,柘植様宅,34.9384482,137.0027799,
愛知県,高浜市,26,神明町八丁目２０ー１,Ｔぽーと西側,34.9362625,137.0015418,
愛知県,高浜市,27,神明町七丁目９－２,高取児童遊園東側,34.9320596,137.0020734,
愛知県,高浜市,28,神明町六丁目９－２４,神明宮東交差点東側空き地,34.9332406,137.005415,緯度経度は怪しい
愛知県,高浜市,29,沢渡町三丁目３－１,高浜いちごプラザ西側,34.9336616,136.9925564,
愛知県,高浜市,30,沢渡町三丁目６－１６,さわたり夢広場南側,34.9313708,136.9925426,
愛知県,高浜市,31,湯山町八丁目１１－１,湯山公園南側,34.9340859,136.9944797,
愛知県,高浜市,32,湯山町四丁目９－６,ビレッジハウス高取北側,34.9341557,137.0000848,
愛知県,高浜市,33,湯山町六丁目２－９,シルバー人材センター北側駐車場,34.9313858,136.9970662,
愛知県,高浜市,34,沢渡町四丁目６－２,高浜豊田病院職員用駐車場,34.9307479,136.9953529,
愛知県,高浜市,35,湯山町五丁目９－１,後世山公園西側,34.9317078,136.9993396,
愛知県,高浜市,36,本郷町一丁目,高浜高校西側市道,34.9283282,136.9993396,
愛知県,高浜市,37,本郷町六丁目７－１,ＪＡあいち中央高取支店西側,34.9276667,137.0028611,
愛知県,高浜市,38,向山町一丁目２１４－４,高取ふれあいプラザ東側,34.9263374,137.0019507,緯度経度は怪しい
愛知県,高浜市,39,清水町一丁目６－２,見澤様宅,34.9268104,137.0093454,
愛知県,高浜市,40,清水町六丁目８－１２,深谷様宅,34.92850230000001,137.016306,
愛知県,高浜市,41,向山町六丁目１－１,授産所高浜安立西側,34.9240865,136.996075,
愛知県,高浜市,42,向山町二丁目１－３１,農業センター南側,34.9267505,137.0040233,
愛知県,高浜市,43,春日町一丁目２－１,県営赤松住宅（７棟東側）,34.9345827,136.9839249,
愛知県,高浜市,44,春日町二丁目１－４,大山緑地北東,34.9322002,136.9856725,
愛知県,高浜市,45,春日町五丁目１６０,三河高浜駅西口広場,34.9307675,136.9896132,
愛知県,高浜市,46,沢渡町五丁目３５,三河高浜駅東口広場,34.9300886,136.9911389,
愛知県,高浜市,47,春日町五丁目７－４６,公用車駐車場西側,34.9298539,136.9893167,
愛知県,高浜市,48,青木町四丁目１－２,高浜市役所北側,34.9276005,136.9872923,
愛知県,高浜市,49,青木町四丁目１－２,高浜市役所南東側,34.9276005,136.9872923,
愛知県,高浜市,50,稗田町三丁目２－１１,旧刈谷豊田総合病院高浜分院北側,34.9287595,136.9948669,
愛知県,高浜市,51,稗田町二丁目５,市不燃物搬入場,34.92679529999999,136.9932648,
愛知県,高浜市,52,稗田町四丁目１－５５,三琇プレシジョン駐車場西側,34.9238745,136.9911768,
愛知県,高浜市,53,青木町六丁目７８,高浜港駅前ロータリー,34.9228292,136.9887093,
愛知県,高浜市,54,青木町八丁目１－２０,あおぞら保育園フェンス,34.924374,136.98488,
愛知県,高浜市,55,青木町九丁目６－１８,かわら美術館・図書館（本館）駐車場東側,34.92345299999999,136.981581,
愛知県,高浜市,56,青木町六丁目１－１５,高浜小学校南,34.9237519,136.9888873,
愛知県,高浜市,57,稗田町１２５,高浜衛生（株）西側市道,34.9243077,136.9914426,緯度経度は怪しい
愛知県,高浜市,58,論地町二丁目２－２０７,論地どんぐり公園南側,34.9206539,136.9993855,
愛知県,高浜市,59,論地町五丁目１５８,論地町集会所,34.918965,136.9970658,
愛知県,高浜市,60,論地町二丁目６－１７,神谷様宅,34.9180526,136.9990642,
愛知県,高浜市,61,論地町四丁目７－２,新東株式会社工場西側,34.9159936,136.9977926,
愛知県,高浜市,62,二池町三丁目３－２,南中学校北西角,34.9183579,136.9941928,
愛知県,高浜市,63,二池町四丁目２０４－１,外淵公園南側,34.9149349,136.9944797,
愛知県,高浜市,64,碧海町二丁目６－２,碧海公園南側,34.92033260000001,136.9839928,
愛知県,高浜市,65,碧海町四丁目２－１,碧海信用金庫職員駐車場,34.9168448,136.9859761,
愛知県,高浜市,66,碧海町三丁目５－６,伴幸木材株式会社西側空地,34.917979,136.9880166,
愛知県,高浜市,67,二池町二丁目３－３５,神谷食品（株）西側,34.9176163,136.9907469,
愛知県,高浜市,68,碧海町四丁目１－７,港小学校グランド南側,34.9168545,136.9853451,
愛知県,高浜市,69,碧海町四丁目６－１３,高浜南部幼稚園東側,34.9160657,136.9859233,
愛知県,高浜市,70,二池町一丁目７－２０,都築様宅前空き地,34.9154796,136.9897358,
愛知県,高浜市,71,田戸町二丁目２－６２,市営東海住宅西側,34.9145545,136.9834139,緯度経度は怪しい
愛知県,高浜市,72,田戸町二丁目２－４５,旧研屋子ども広場,34.9146545,136.9835468,緯度経度は怪しい
愛知県,高浜市,73,田戸町七丁目７－２０,洲崎公園北側,34.9112675,136.9802541,
愛知県,高浜市,74,田戸町三丁目２－３２,都築様宅,34.9133134,136.9864989,
愛知県,高浜市,75,田戸町三丁目８－２１,地域共生型福祉施設あっぽ,34.91214009999999,136.984749,
愛知県,高浜市,76,田戸町四丁目６－２０,岡本軽金属工業西側,34.91110740000001,136.9867544,
愛知県,高浜市,77,田戸町五丁目６－２５,島崎様宅,34.9094109,136.9838318,
