prefecture,city,number,address,name,lat,long,note
東京都,あきる野市,1-1,野辺１１２３,東秋留小学校前フェンス,35.7244503,139.3056772,
東京都,あきる野市,1-2,野辺４６６−１,東秋留駅南口駐輪場フェンス,35.7254508,139.3108696,
東京都,あきる野市,1-3,野辺１２６−４,野辺地区会館フェンス,35.7231137,139.3136995,
東京都,あきる野市,1-4,野辺９６９−３,焼肉まつざか東側交差点フェンス,35.7220484,139.3076545,
東京都,あきる野市,1-5,野辺４４７−１５,東秋留駅北口西側市駐輪場,35.7251818,139.3110133,
東京都,あきる野市,1-6,野辺６８３−１,落合坂せせらぎ通り鈴木様方東側畑,35.7219077,139.308229,
東京都,あきる野市,1-7,野辺１０１０−２,日室塚バス停東側,35.7224813,139.3048922,
東京都,あきる野市,1-8,野辺６０−１,前田公園西側,35.7219077,139.308229,
東京都,あきる野市,2-1,二宮１２６５−１,中島屋北側駐車場,35.726863,139.315853,緯度経度は怪しい
東京都,あきる野市,2-2,二宮１１８８−１,二宮神社御池前,35.7287618,139.308229,
東京都,あきる野市,2-3,二宮２３４１,高木 幸一 様宅北側垣根際,35.729234,139.3166871,
東京都,あきる野市,2-4,平沢６２１−１,八幡神社北側道路,35.7329286,139.3113716,
東京都,あきる野市,2-5,二宮２１９８−３,昭和橋西側フェンス,35.7287618,139.308229,
東京都,あきる野市,2-6,平沢２３１,秋川病院坂上交差点南側畑,35.7325013,139.3075951,緯度経度は怪しい
東京都,あきる野市,2-7,二宮８１８−１,ＪＡあきがわ経済センターマイム前植込み,35.7285949,139.3085868,
東京都,あきる野市,3-1,草花３２６６,小林 兼一 様北側フェンス,35.7382632,139.3034796,
東京都,あきる野市,3-2,草花１５６７−１,いなげやあきる野草花店東側道路際,35.7386656,139.3062956,緯度経度は怪しい
東京都,あきる野市,3-3,草花２３９０,草花パークハイツ南入口,35.7506486,139.3047472,緯度経度は怪しい
東京都,あきる野市,3-4,草花２８８５,多西小学校裏フェンス,35.742028,139.299694,
東京都,あきる野市,3-5,草花２６７１−１,前田 稔男 様宅前,35.7433725,139.2962111,
東京都,あきる野市,3-6,草花３４８２−１６,御堂会館北側フェンス,35.73890180000001,139.3004265,
東京都,あきる野市,3-7,原小宮１−１３−１９,田中 三好 様宅東側畑,35.7355075,139.2983806,
東京都,あきる野市,3-8,原小宮２−８−７,森ノ根公園南側フェンス,35.7338835,139.3026144,
東京都,あきる野市,4-1,菅生２７２,尾崎会館前畑,35.7483816,139.2901035,緯度経度は怪しい
東京都,あきる野市,4-2,菅生５８２,菅生交流会館入口フェンス,35.7439066,139.2894708,
東京都,あきる野市,4-3,菅生１２５６−２,追分橋国道側ガードレール,35.7483816,139.2901035,緯度経度は怪しい
東京都,あきる野市,4-4,菅生１３３８−１,菅生会館フェンス,35.7543146,139.2883676,
東京都,あきる野市,5-1,上代継３０４－１,若葉児童館入口際,35.7231178,139.2777086,
東京都,あきる野市,5-2,上代継２５２－１６,薬師坂下スーパーオザム西側フェンス,35.7254238,139.2761723,
東京都,あきる野市,5-3,渕上１８６－３,渕上郵便局東,35.7256753,139.274595,
東京都,あきる野市,5-4,下代継１２０－５,マサル設計事務所前植込み,35.7279454,139.2829009,
東京都,あきる野市,5-5,渕上３１１－１,出雲神社境内南道路際,35.7228774,139.2720882,
東京都,あきる野市,5-6,上代継２９２,西秋留小学校前フェンス,35.7231298,139.275648,
東京都,あきる野市,5-7,下代継３９０－１,中山 寛雄 様宅前道路際,35.7206269,139.2803349,
東京都,あきる野市,6-1,油平５７－２,秋川駅南口前,35.7281073,139.2866983,
東京都,あきる野市,6-2,油平３－２,比丘尼山交差点北歩道植込み,35.72631,139.2854104,
東京都,あきる野市,6-3,油平９２－７,秋川駅前運動広場西南角,35.7266396,139.2875315,
東京都,あきる野市,6-4,油平２４８,瀬沼商店北側道路際,35.7232781,139.2867111,
東京都,あきる野市,6-5,牛沼２０３－１,西側フェンス（坂本様宅）,35.7205001,139.2901244,
東京都,あきる野市,6-6,牛沼９９－５,中村 勝彦 様宅北側国道際,35.7187683,139.2859749,
東京都,あきる野市,7-1,雨間１０６５－１,よつぎ第一保育園北側道路際,35.7190239,139.2955509,緯度経度は怪しい
東京都,あきる野市,7-2,雨間５３３－１,市営雨間ハイツ前,35.7251989,139.2942345,
東京都,あきる野市,7-3,秋留４－４－３,秋留野公園南側入口際,35.7254563,139.2987202,
東京都,あきる野市,7-4,雨間１０２２－１,内田 恵子 様宅西側,35.7208192,139.2965283,
東京都,あきる野市,7-5,雨間６９７,シャトレーゼ都道南側,35.7225985,139.2952043,
東京都,あきる野市,8-1,小川５５５－１,久保クラブ前フェンス,35.7182152,139.3129946,
東京都,あきる野市,8-2,小川１８－１,小川交差点西側畑,35.7181536,139.3158372,
東京都,あきる野市,8-3,小川７９９－２,小川会館東側バス停前,35.7212205,139.317717,
東京都,あきる野市,8-4,小川１０５５－３,さわやかピュアコインランドリー前,35.7204291,139.3222311,
東京都,あきる野市,8-5,小川東１－１７－１７,仲田公園南側入口際,35.717821,139.324566,
東京都,あきる野市,8-6,二宮東１－４－４,谷後公園北側入口際,35.723124,139.3231293,
東京都,あきる野市,8-7,二宮１４６０,ビレッジハウス秋多１号棟前フェンス,35.7235676,139.3196146,
東京都,あきる野市,9-1,草花945,森山会館前ブロック塀,35.7330695,139.3157151,緯度経度は怪しい
東京都,あきる野市,9-2,草花695-1,小田川 嘉勝邸北側,35.7364401,139.3079318,
東京都,あきる野市,9-3,草花938-1,山本 勝 様宅北側畑,35.7386656,139.3062956,緯度経度は怪しい
東京都,あきる野市,9-4,草花1111-1,田中 和造 宅前ブロック塀,35.7379727,139.3153774,緯度経度は怪しい
東京都,あきる野市,9-5,草花3670-543,リバーサイドA公園,35.7411637,139.3154662,
東京都,あきる野市,9-6,草花1439-2,永田橋通り・公民館通り交差点西側道路脇,35.738369,139.3107154,
東京都,あきる野市,9-7,草花1902-1,田中 縁 様宅東側土手,35.7458378,139.3124139,
東京都,あきる野市,10-1,引田400-1,原店交差点,35.7196953,139.2664018,緯度経度は怪しい
東京都,あきる野市,10-2,引田280番地（22街区4,武蔵引田駅駐輪場,35.7196953,139.2664018,緯度経度は怪しい
東京都,あきる野市,10-3,引田589-1,二見屋金物店南側畑,35.7196953,139.2664018,緯度経度は怪しい
東京都,あきる野市,10-4,引田729-1,武田 富吉 様宅ブロック塀,35.7212133,139.26658,
東京都,あきる野市,10-5,引田394-1,秋川文化幼稚園北側キウイ畑,35.7196953,139.2664018,緯度経度は怪しい
東京都,あきる野市,10-6,引田795-1,宮川 重典 様宅南側資材置場,35.7198823,139.268387,
東京都,あきる野市,10-7,引田850-1,真照寺駐車場東側,35.7196953,139.2664018,緯度経度は怪しい
東京都,あきる野市,11-1,秋川1-23,秋川駅北口広場横,35.7293157,139.2885792,
東京都,あきる野市,11-2,雨間505-17,坂本 進 様宅東側道路際,35.7261217,139.293183,
東京都,あきる野市,11-3,秋川1-16-1,秋川キララホール南側,35.7310576,139.2882167,
東京都,あきる野市,11-4,秋川5-4,大塚原っぱ公園西側,35.73406629999999,139.2906613,
東京都,あきる野市,11-5,秋川3-4,上塚場公園西側道路際,35.733006,139.2857273,
