prefecture,city,number,address,name,lat,long
東京都,世田谷区,1-1,池尻3丁目27番,池尻三丁目公園南側,35.649602,139.6790439
東京都,世田谷区,1-2,池尻3丁目10番10号,masked,35.6512992,139.6801555
東京都,世田谷区,1-3,池尻3丁目10番10号,masked,35.6512992,139.6801555
東京都,世田谷区,1-4,池尻4丁目22番,池尻見晴し広場西側,35.6527937,139.6789343
東京都,世田谷区,1-5,池尻3丁目27番,池尻三丁目公園北側,35.649602,139.6790439
東京都,世田谷区,1-6,池尻3丁目1番18号,池尻クラブ南側,35.6511465,139.682687
東京都,世田谷区,1-7,池尻4丁目7番1号,筑波大学附属駒場中・高等学校西側,35.65493980000001,139.6809897
東京都,世田谷区,1-8,池尻3丁目1番先,三菱UFJ銀行池尻ビル北側,35.6512658,139.6831612
東京都,世田谷区,2-1,池尻1丁目1番4号,旧都立青鳥特別支援学校南側,35.6415788,139.6844523
東京都,世田谷区,2-2,池尻1丁目5番,世田谷公園東側（自衛隊中央病院前）,35.6439318,139.6804684
東京都,世田谷区,2-3,池尻1丁目5番,世田谷公園東側（旧東京都立青鳥特別支援学校前）,35.6439318,139.6804684
東京都,世田谷区,2-4,池尻2丁目4番10号,池尻小学校西側,35.6458976,139.6794503
東京都,世田谷区,2-5,池尻2丁目3番,都営池尻二丁目アパート８号棟南側,35.647082,139.683724
東京都,世田谷区,2-6,池尻1丁目5番,世田谷公園駐車場北側,35.6439318,139.6804684
東京都,世田谷区,2-7,池尻2丁目4番10号,池尻小学校南側,35.6458976,139.6794503
東京都,世田谷区,2-8,池尻2丁目4番10号,池尻２丁目体育館東側,35.6458976,139.6794503
東京都,世田谷区,3-1,三宿2丁目26番11号,多聞小学校南側,35.6525964,139.6739124
東京都,世田谷区,3-2,三宿1丁目12番6号,三宿小学校東側,35.6482153,139.6764312
東京都,世田谷区,3-3,三宿2丁目27番27号,三宿の森緑地北側,35.6508601,139.6735504
東京都,世田谷区,3-4,三宿1丁目29番先,烏山川緑道,35.6504889,139.6746279
東京都,世田谷区,3-5,三宿2丁目26番11号,多聞小学校東側,35.6525964,139.6739124
東京都,世田谷区,3-6,三宿2丁目27番27号,三宿の森緑地西側,35.6508601,139.6735504
東京都,世田谷区,3-7,三宿1丁目12番6号,三宿小学校西側,35.6482153,139.6764312
東京都,世田谷区,3-8,三宿1丁目6番先,烏山川緑道（三宿橋西）,35.6507581,139.6772595
東京都,世田谷区,4-1,太子堂5丁目7番4号,太子堂小学校東側,35.6462449,139.6674265
東京都,世田谷区,4-2,太子堂3丁目27番17号,太子堂中学校北側,35.6508127,139.6692636
東京都,世田谷区,4-3,太子堂5丁目24番27号,太子堂保育園北側,35.6490846,139.6660183
東京都,世田谷区,4-4,太子堂3丁目1番30号,したのやばし公園東側,35.6489906,139.6719602
東京都,世田谷区,4-5,太子堂5丁目23番4号,太子堂八幡広場南側,35.6474276,139.665732
東京都,世田谷区,4-6,太子堂3丁目27番17号,太子堂中学校西側,35.6508127,139.6692636
東京都,世田谷区,4-7,太子堂5丁目7番4号,太子堂小学校南側,35.6462449,139.6674265
東京都,世田谷区,4-8,太子堂3丁目27番17号,太子堂中学校東側,35.6508127,139.6692636
東京都,世田谷区,5-1,太子堂2丁目6番33号,太子堂二丁目郵政宿舎東側,35.6466096,139.6738852
東京都,世田谷区,5-2,太子堂4丁目6番8号,第二たちばな荘西側,35.6436325,139.6663061
東京都,世田谷区,5-3,太子堂2丁目17番,三軒茶屋ふれあい広場東側,35.6452946,139.6705809
東京都,世田谷区,5-4,太子堂4丁目15番1号,目青不動教学院北側,35.6449039,139.6682916
東京都,世田谷区,5-5,太子堂2丁目31番先,烏山川緑道（一善橋脇）,35.6473423,139.6714381
東京都,世田谷区,5-6,太子堂2丁目20番3号,太子堂やまもも公園東側,35.6451104,139.6720512
東京都,世田谷区,5-7,太子堂2丁目6番,太子堂サクラ通り広場北側,35.6460145,139.6741468
東京都,世田谷区,5-8,太子堂2丁目38番,烏山川緑道（山中橋北）,35.6486026,139.6720761
東京都,世田谷区,6-1,太子堂1丁目13番15号,財務省太子堂公務員宿舎西側,35.6435334,139.673269
東京都,世田谷区,6-2,三軒茶屋1丁目4番1号,中里小学校西側,35.6391165,139.6742715
東京都,世田谷区,6-3,三軒茶屋1丁目23番4号,三軒茶屋保育園南側,35.6405928,139.6697424
東京都,世田谷区,6-4,太子堂1丁目3番46号,太子堂調理場東側,35.6453617,139.6784125
東京都,世田谷区,6-5,三軒茶屋1丁目4番1号,中里小学校南側,35.6391165,139.6742715
東京都,世田谷区,6-6,三軒茶屋1丁目10番11号,正蓮寺南側,35.6401502,139.671888
東京都,世田谷区,6-7,太子堂1丁目15番,masked,35.6414996,139.6736514
東京都,世田谷区,6-8,太子堂1丁目13番15号,財務省太子堂公務員宿舎北側,35.6435334,139.673269
東京都,世田谷区,7-1,三軒茶屋2丁目33番18号,世田谷丸山公園北側,35.6411071,139.6660957
東京都,世田谷区,7-2,三軒茶屋2丁目43番先,蛇崩川緑道（三軒茶屋小学校北）,35.6406851,139.6629065
東京都,世田谷区,7-3,三軒茶屋2丁目7番8号,防衛省共済組合三軒茶屋独身寮,35.6418893,139.6674916
東京都,世田谷区,7-4,三軒茶屋2丁目27番8号,三軒茶屋公園北側,35.6421409,139.6640526
東京都,世田谷区,7-5,三軒茶屋2丁目42番1号,三軒茶屋小学校北側,35.6406044,139.6632852
東京都,世田谷区,7-6,三軒茶屋2丁目47番先,蛇崩川緑道（環七通り沿い）,35.6404193,139.6617105
