prefecture,city,number,address,name,lat,long,note
東京都,八王子市,001-1,元横山町1-29,学校給食センター(元横山) 北側,35.6656776,139.3381921,
東京都,八王子市,001-2,元横山町2-14-3,第一小学校東側コンクリート塀,35.6608493,139.3362496,
東京都,八王子市,001-3,本町25,椎名内科向かい側植込,35.6624694,139.3331179,
東京都,八王子市,001-4,元横山町3-24,元横西公園北側,35.6662409,139.3318494,
東京都,八王子市,001-5,元横山町2-14-3,第一小学校南側コンクリート塀,35.6608493,139.3362496,
東京都,八王子市,001-6,元横山町2-18-1,妙薬寺北側ブロック塀,35.6632594,139.3354985,
東京都,八王子市,001-7,元横山町2-14-3,第一小学校西側フェンス,35.6608493,139.3362496,
東京都,八王子市,001-8,元横山町1-74-1,元横一丁目公園フェンス,35.6589938,139.3398571,
東京都,八王子市,002-1,八木町7-1,第二小学校南側フェンス,35.6616833,139.3218511,
東京都,八王子市,002-2,八木町8,八木町公園東側植込,35.66185249999999,139.3210684,
東京都,八王子市,002-3,追分町10-6,藤和シティホームズ西八王子西側,35.6606639,139.3172823,
東京都,八王子市,002-4,元本郷町1-1,善能寺北側塀,35.662627,139.3229708,
東京都,八王子市,002-5,大横町1-8,エコス大横店南側フェンス,35.6614686,139.3295814,
東京都,八王子市,002-6,八木町7-1,第二小学校北側フェンス東側,35.6616833,139.3218511,
東京都,八王子市,003-1,寺町28-4,いちょう公園南大通り側,35.6559728,139.3329593,
東京都,八王子市,003-2,子安町4-31,子安公園西側,35.652613,139.3354171,
東京都,八王子市,003-3,上野町1-6,念仏院西側大谷石塀,35.6567296,139.3282561,
東京都,八王子市,003-4,天神町23-1,天神公園北側フェンス,35.6573842,139.3301053,
東京都,八王子市,003-5,中町9,西放射線中町公園 (風車の広場)北側,35.6586951,139.3352585,
東京都,八王子市,003-6,子安町4-44-5,子安濱村こかげ公園南側,35.6554047,139.3352269,
東京都,八王子市,003-7,寺町29-15,第三小学校北側フェンス,35.6555464,139.3320872,
東京都,八王子市,003-8,子安町4-31,子安公園南側,35.652613,139.3354171,
東京都,八王子市,004-1,新町5,竹の花公園北側,35.6622372,139.3416808,
東京都,八王子市,004-2,東町5-6,クリエイトホール北側植込,35.658532,139.3399542,
東京都,八王子市,004-3,明神町2-15-1,第四小学校西側フェンス,35.6579237,139.3458141,
東京都,八王子市,004-4,明神町2-15-1,第四小学校南側フェンス,35.6579237,139.3458141,
東京都,八王子市,004-5,明神町1-119-5,北田南公園北側,35.6573894,139.34628,
東京都,八王子市,004-6,明神町2-9,明神町なかよし公園北西フェンス,35.6565176,139.3469402,
東京都,八王子市,004-7,明神町4-19-1,第五中学校北側植込,35.6610785,139.344372,
東京都,八王子市,004-8,明神町4-20-1,都立南多摩中等教育学校南側植込,35.6608289,139.3446884,
東京都,八王子市,005-1,長房町45-2,せきれい児童遊園フェンス前植込,35.6614667,139.3082986,
東京都,八王子市,005-2,千人町3-4,千人町桑の実児童公園西側先,35.6581642,139.3106065,
東京都,八王子市,005-3,千人町3-5-17,千人保育園東側フェンス,35.658833,139.3100705,
東京都,八王子市,005-4,千人町3-7-7,第五小学校東側入口脇フェンス,35.6590822,139.3079233,
東京都,八王子市,005-5,千人町3-7,第五小学校西側入口脇フェンス,35.6586,139.308644,
東京都,八王子市,005-6,千人町4-8-1,都立八王子桑志高等学校敷地西側市道フェンス,35.6579193,139.3047423,
東京都,八王子市,005-7,千人町4-7,千人町どんぐり広場北側,35.6576291,139.3064856,
東京都,八王子市,006-1,子安町1-22-25,清流寺東側空地,35.6524316,139.3439258,
東京都,八王子市,006-2,子安町2-2-11,子安東公園南侧植込,35.6517423,139.3400118,
東京都,八王子市,006-3,子安町2-18-1,いずみの森義務教育学校北側フェンス,35.650136,139.3425393,
東京都,八王子市,006-4,子安町1-12-8,八王子ハローワーク西側フェンス,35.6538404,139.3407156,
