prefecture,city,number,address,name,lat,long
東京都,墨田区,01-01,墨田区横網 １- ８- １,両国中学校西側遊歩道,35.6978182,139.7959199
東京都,墨田区,01-02,墨田区横網 １-１２- １,旧安田庭園（バス停前）,35.698552,139.7945165
東京都,墨田区,01-03,墨田区横網 １-１２- １,旧安田庭園（横網１-１０向）,35.698552,139.7945165
東京都,墨田区,01-04,墨田区横網 ２- ３-２５,横網町公園（NTT向）,35.6991289,139.796014
東京都,墨田区,01-05,墨田区横網 ２- ３-２５,横網町公園（清澄通り沿い）,35.6991289,139.796014
東京都,墨田区,01-06,墨田区横網 ２- ３-２５,横網町公園（蔵前橋通り沿い）,35.6991289,139.796014
東京都,墨田区,01-07,墨田区亀沢 １- ７- ７,東京電力パワーグリッド㈱本所変電所,35.6966913,139.7977528
東京都,墨田区,02-01,墨田区両国 １-１１- ２,両国橋児童遊園,35.6938947,139.7897699
東京都,墨田区,02-02,墨田区両国 １- １先,一之橋際歩道,35.6919629,139.7908509
東京都,墨田区,02-03,墨田区両国 ４-２５- ３,両国公園（北側）,35.6935409,139.7960447
東京都,墨田区,02-04,墨田区両国 ４-２５- ３,両国公園（南側）,35.6935409,139.7960447
東京都,墨田区,02-05,墨田区両国 ４-２６- ６,両国小学校（両国４-２７向）,35.6937743,139.7952098
東京都,墨田区,02-06,墨田区両国 ４-２６- ６,両国小学校（公園側）,35.6937743,139.7952098
東京都,墨田区,02-07,墨田区両国 ４-３６-１６,両国第一児童遊園,35.6951945,139.7955942
東京都,墨田区,02-08,墨田区千歳 ２- ２-１１,都水道局墨田営業所用地（北側）,35.6905142,139.7957363
東京都,墨田区,02-09,墨田区千歳 ２- ２-１１,都水道局墨田営業所用地（南側）,35.6905142,139.7957363
東京都,墨田区,03-01,墨田区緑 １-１４-２０,（株）福島（福島質店）,35.6941807,139.799241
東京都,墨田区,03-02,墨田区緑 ２- １先,西竪川橋際橋台敷,35.6926806,139.8010666
東京都,墨田区,03-03,墨田区緑 ２-１２-１２,緑小学校（緑２-１３向）,35.694038,139.8009593
東京都,墨田区,03-04,墨田区緑 ２-１２-１２,緑小学校（緑２-８向）,35.694038,139.8009593
東京都,墨田区,03-05,墨田区緑 ２-２３- ３,緑町公園,35.6957766,139.8013589
東京都,墨田区,03-06,墨田区緑 ３- ７- ３,みどりコミュニティセンター,35.6936311,139.8032901
東京都,墨田区,03-07,墨田区緑 ３- ８-１２,玉の肌石鹸㈱正門横,35.6939603,139.8039155
東京都,墨田区,03-08,墨田区緑 ３- ８-１２,玉の肌石鹸㈱北側,35.6939603,139.8039155
東京都,墨田区,03-09,墨田区緑 ４-３５- ９,ふれあいセンター,35.6957915,139.80739
東京都,墨田区,04-01,墨田区立川 １- ５- ２,立川保育園,35.6903712,139.7994232
東京都,墨田区,04-02,墨田区立川 １-１８-１５先,二之橋際橋台敷（清澄通り）,35.6919506,139.7982375
東京都,墨田区,04-03,墨田区立川 ２-１４- ９,立川二丁目緑地広場,35.6920679,139.8018626
東京都,墨田区,04-04,墨田区立川 ４-１２-２１,菊川公園（南側）,35.6915472,139.8075527
東京都,墨田区,04-05,墨田区立川 ４-１２-２１,菊川公園（立川４-１３向）,35.6915472,139.8075527
東京都,墨田区,04-06,墨田区立川 ４-１９-１４,三之橋際橋台敷（三つ目通り）,35.6923055,139.8058843
東京都,墨田区,04-07,墨田区菊川 １-１８-１０,中和小学校,35.6899714,139.8024628
