prefecture,city,number,address,name,lat,long,note
東京都,多摩市,01-01,関戸6丁目12番地1,多摩市役所南側,35.63709060000001,139.4463635,
東京都,多摩市,01-02,関戸6丁目12番地1,多摩市役所第2庁舎西側,35.63709060000001,139.4463635,
東京都,多摩市,01-03,関戸6丁目9番地,坂下公園西側,35.6388125,139.448507,
東京都,多摩市,01-04,関戸6丁目2番地,車橋バス停(南田橋南側),35.6388125,139.448507,
東京都,多摩市,01-05,諏訪1丁目3番地,永山橋公園南側,35.6338499,139.4476648,
東京都,多摩市,01-06,永山1丁目21番地,大橋公園北側,35.6320574,139.445965,
東京都,多摩市,01-07,貝取1758番地1,乞田五差路バス停北側,35.622297,139.4402459,
東京都,多摩市,01-08,永山1丁目11番地1,滝の上公園南側,35.6320574,139.445965,
東京都,多摩市,02-01,関戸4丁目19番地5,市立健康センター(関戸・一ノ宮コミュニティセンター) 南側,35.64896969999999,139.4495366,
東京都,多摩市,02-02,関戸5丁目18番地,大栗橋公園東側(都道沿),35.6444224,139.451049,
東京都,多摩市,02-03,関戸5丁目19番地11,大栗橋バス停東側 (鉄塔フェンス),35.6444224,139.451049,
東京都,多摩市,02-04,関戸4丁目72番地先,聖蹟桜ヶ丘駅前交差点南側,35.6495785,139.4469976,
東京都,多摩市,02-05,関戸3丁目19番地8先,関戸市営第2住宅北側(多摩中西側),35.6499172,139.4561335,
東京都,多摩市,02-06,関戸1丁目11番地1先,聖蹟桜ヶ丘駅東口高架下南側歩道,35.6505265,139.4473744,
東京都,多摩市,02-07,関戸2丁目43番地3,聖蹟桜ヶ丘駅東自転車駐車場 南歩道側,35.6512535,139.4494463,
東京都,多摩市,02-08,関戸2丁目63番地,ろくせぶ公園北側,35.6512918,139.451049,
東京都,多摩市,03-01,連光寺3丁目64番地,連光寺小学校(北側)入口,35.642302,139.4599472,
東京都,多摩市,03-02,連光寺2丁目27番地16,連光寺本村集会所南側,35.6413873,139.4548624,
東京都,多摩市,03-03,連光寺3丁目79番地21,春日神社バス停,35.642302,139.4599472,
東京都,多摩市,03-04,連光寺1丁目42番地50,向ノ岡橋南側,35.6458523,139.4574047,
東京都,多摩市,03-05,連光寺1丁目21番地1,向ノ岡公園北側,35.6478055,139.4600479,
東京都,多摩市,03-06,連光寺3丁目8番地2,かじあがり公園南側,35.642302,139.4599472,
東京都,多摩市,03-07,連光寺4丁目14番地9,連光寺坂上交差点南側法面,35.6403952,139.4652014,
東京都,多摩市,03-08,連光寺5丁目17番地,大谷戸公園入口(西側),35.6374065,139.4605829,
東京都,多摩市,04-01,聖ヶ丘3丁目66番地,聖ヶ丘小学校(東側)入口,35.6305354,139.4605829,
東京都,多摩市,04-02,聖ヶ丘3丁目51番地,聖ヶ丘小学校体育館西側下遊歩道交差点,35.6311251,139.4589215,
東京都,多摩市,04-03,聖ヶ丘2丁目21番地1,ひじり館南側(橋の欄干),35.6311119,139.4580971,
東京都,多摩市,04-04,聖ヶ丘2丁目18番地,聖ヶ丘橋バス停西側,35.6338867,139.4561335,
東京都,多摩市,04-05,聖ヶ丘3丁目48番地,聖ヶ丘緑地(聖ヶ丘橋東側広場入口),35.6305354,139.4605829,
東京都,多摩市,04-06,聖ヶ丘2丁目17番地,聖ヶ丘中学校西側,35.6338867,139.4561335,
東京都,多摩市,04-07,聖ヶ丘2丁目53番地,聖ヶ丘第2児童公園北側(聖ヶ丘2丁目バス停南側),35.6338867,139.4561335,
東京都,多摩市,04-08,連光寺5丁目8番地2,連光寺公園駐車場北側(駐車場入口横),35.6374065,139.4605829,
東京都,多摩市,05-01,諏訪5丁目12番地,諏訪中学校南側,35.6214049,139.4535912,
東京都,多摩市,05-02,諏訪4丁目,諏訪4-2-8号棟東側,35.6240947,139.4574047,
東京都,多摩市,05-03,諏訪5丁目2番地,諏訪5丁目商店街南側,35.6214049,139.4535912,
東京都,多摩市,05-04,諏訪2丁目10番地,諏訪第3公園南側,35.6238459,139.4515748,
東京都,多摩市,05-05,諏訪2丁目14番地,都市再生機構東日本支社多摩事業本部(永山北公園交差点東側),35.62610129999999,139.451049,
東京都,多摩市,05-06,諏訪3丁目4番地4,諏訪第4公園西側,35.6245122,139.4536497,
東京都,多摩市,05-07,諏訪4丁目28番地,諏訪第6公園北側,35.6240947,139.4574047,
東京都,多摩市,06-01,永山5丁目13番地,瓜生小学校(北側)入口,35.6171517,139.4459708,
東京都,多摩市,06-02,永山4丁目8番地,永山第7公園南側,35.6198604,139.449778,
東京都,多摩市,06-03,永山4丁目2番地,永山4丁目交番北側(諏訪南公園バス停),35.6198604,139.449778,
東京都,多摩市,06-04,永山4丁目7番地3,永山南公園南側,35.6225172,139.4498748,
東京都,多摩市,06-05,永山5丁目13番地,瓜生小学校南側,35.6171517,139.4459708,
東京都,多摩市,06-06,永山5丁目15番地,5丁目バス停南側,35.6190209,139.4463542,
東京都,多摩市,06-07,永山5丁目31番地,永山第4西側,35.6171705,139.445965,
