prefecture,city,number,address,name,lat,long,note
東京都,大島町,1,元町１丁目６番１０号,町役場横駐車場,34.750687,139.3558808,
東京都,大島町,2,元町２丁目２番３号,朝日屋商店横,34.7493747,139.3549272,
東京都,大島町,3,元町神田屋敷617,伊豆大島ミュージアム「ジオノス」駐車場,34.7434434,139.3588095,
東京都,大島町,4,元町字家の上,つばき小グラウンド家の上団地,34.7485165,139.3614934,
東京都,大島町,5,元町字トンチ畑882番,長根浜公園,34.7544612,139.3523356,
東京都,大島町,6,元町字仲野256番,都職員仲野住宅出入口前,34.7590518,139.3561889,
東京都,大島町,7,元町字馬の背128番,山田建設資材置場出入口前,34.7623854,139.360044,
東京都,大島町,8,元町字佐右衛門野地５番３,旧北の山小学校プール,34.7770978,139.3613237,
東京都,大島町,9,元町字北の山270-2,大島町消防本部向かい,34.7802614,139.3622734,
東京都,大島町,10,元町字風待31番1,旧JA北の山店前,34.7752275,139.3632438,
東京都,大島町,11,元町字北の山108番4,カトレア荘前,34.7802653,139.3717011,
東京都,大島町,12,元町字上山196番,富士見観音堂入口横,34.7733245,139.3782656,
東京都,大島町,13,岡田字横町83番3,岡田港駐車場（伊豆大島漁業協同組合横）,34.7894522,139.3919228,
東京都,大島町,14,岡田字助田64番1,町役場岡田出張所前,34.7853425,139.3912336,
東京都,大島町,15,岡田助田58番1,朝海館駐車場,34.7841282,139.3901197,
東京都,大島町,16,岡田字沢立112番,東京都教職員住宅向かい,34.7825611,139.3837212,
東京都,大島町,17,岡田字小堀58番2,岡田平浜地区農道入口,34.7903182,139.3762706,
東京都,大島町,18,泉津字川の原14番1,泉津分団詰所横,34.7830981,139.4125352,
東京都,大島町,19,泉津９番４,神泉寺横石垣前,34.7825909,139.4161835,
東京都,大島町,20,泉津字道下317番3,新都道海側,34.780571,139.42035,
東京都,大島町,21,泉津字木積場153番3,開拓入口,34.7792434,139.3976493,
東京都,大島町,22,野増字大宮214番1,旧野増小学校体育館下都道海側,34.7339562,139.3564236,
東京都,大島町,23,野増３番地,大黒屋前都道下駐車場,34.7306226,139.3540363,
東京都,大島町,24,野増字41番1,野増公民館横駐車場北側,34.7280924,139.3535951,
東京都,大島町,25,野増字王の上,王の浜入口付近,34.7263258,139.3535352,
東京都,大島町,26,野増字間伏,間伏文化会館前,34.696219,139.3861611,
東京都,大島町,27,野増字間伏,砂の浜入口付近都道沿い防火水槽横,34.6944239,139.3864401,
東京都,大島町,28,差木地2番地,バーバーバロン横,34.6844214,139.4072288,
東京都,大島町,29,差木地字ヤスミバ437番1,民宿和幸付近,34.6853566,139.4115955,
東京都,大島町,30,差木地1番地,町役場差木地出張所入口左側,34.6835664,139.4144945,
東京都,大島町,31,差木地260番地1,元うおたつ商店前,34.6822221,139.4166066,
東京都,大島町,32,差木地4番地,差木地南口バス停留所前,34.6830156,139.4209595,
東京都,大島町,33,差木地1番地,差木地墓地駐車場入口,34.6836547,139.4175335,
東京都,大島町,34,差木地字下原,旧南部診療所付近,34.6816588,139.436049,
東京都,大島町,35,差木地字小坂1014番2,沖山商店前駐車場向かい,34.6832942,139.4355121,
東京都,大島町,36,差木地字沖の根,沖の根配水池前,34.6883544,139.4320042,
東京都,大島町,37,波浮港6番地,波浮港出張所横,34.68676,139.44087,
東京都,大島町,38,波浮港1番地,波浮港船溜まり中央付近,34.6888902,139.4374625,
東京都,大島町,39,波浮港17番地,大島町野球場入口,34.692143,139.4440921,
東京都,大島町,40,波浮港19番1,旧波浮港小学校プール前,34.6909432,139.4391316,
