prefecture,city,number,address,name,lat,long
東京都,新宿区,01-01,新宿区四谷三栄町7,三栄公園　三栄通り側,35.687923,139.7267956
東京都,新宿区,01-02,新宿区四谷三栄町12-16,新宿歴史博物館　裏側,35.6899316,139.7256868
東京都,新宿区,01-03,新宿区四谷三栄町7,三栄公園　四谷税務署側,35.687923,139.7267956
東京都,新宿区,01-04,新宿区四谷本塩町16,外堀通り　外堀公園前 (位置情報が見つかりませんでした),35.6884691,139.7307855
東京都,新宿区,01-05,新宿区四谷1-番番地,外堀通り　JR 四ツ谷駅アトレ横,35.6853727,139.7287997
東京都,新宿区,01-06,新宿区市谷本村町1-無番地,外堀通り　八幡前交番向かい,35.6911034,139.7334293
東京都,新宿区,01-07,新宿区四谷坂町11,津の守坂児童遊園,35.6915815,139.7255771
東京都,新宿区,01-08,新宿区四谷本塩町14-1,納国通り　第２日中ビル前,35.6907558,139.7287679
東京都,新宿区,02-01,新宿区四谷1-12,四谷中学校　通用門,35.6823955,139.7287298
東京都,新宿区,02-02,新宿区若葉2-9,西念寺,35.6846586,139.7257316
東京都,新宿区,02-03,新宿区四谷2-6,四谷小学校　校庭側,35.6866887,139.7248575
東京都,新宿区,02-04,新宿区四谷2-6,四谷小学校　西側,35.6866887,139.7248575
東京都,新宿区,02-05,新宿区若葉3-4,岩蔭公園,35.6828461,139.7246493
東京都,新宿区,02-06,新宿区須賀町5,須賀神社,35.6852071,139.723049
東京都,新宿区,02-07,新宿区若葉1-1,法善寺,35.687295,139.7227106
東京都,新宿区,02-08,新宿区四谷1-12,四谷中学校　正門側,35.6823955,139.7287298
東京都,新宿区,03-01,新宿区愛住町11,愛住公園,35.6899738,139.7195415
東京都,新宿区,03-02,新宿区四谷4-17,大木戸子ども園　南側,35.689118,139.716016
東京都,新宿区,03-03,新宿区四谷4-16,外苑西通り　川辺新宿郵便ビル前,35.6885948,139.7148132
東京都,新宿区,03-04,新宿区四谷4-20,四谷ひろば　正門側,35.689791,139.7179334
東京都,新宿区,03-05,新宿区荒木町10,荒木公園,35.6898962,139.7226222
東京都,新宿区,03-06,新宿区四谷4-9,大木戸児童遊園,35.6877686,139.7163475
東京都,新宿区,03-07,新宿区愛住町14-3,浄運寺,35.6905077,139.7191524
東京都,新宿区,03-08,新宿区片町4,外苑東通り　曙橋下,35.6920155,139.7240906
東京都,新宿区,04-01,新宿区南元町19,外苑東通り　信濃町駅南口バス停付近,35.6794558,139.7209381
東京都,新宿区,04-02,新宿区左門町5,左門公園,35.6864923,139.7196213
東京都,新宿区,04-03,新宿区南元町4,二葉保育園,35.67988,139.7236915
東京都,新宿区,04-04,新宿区南元町4,とよまち公園,35.67988,139.7236915
東京都,新宿区,04-05,新宿区南元町20,芳みなもと町公園,35.6801866,139.726465
東京都,新宿区,04-06,新宿区南元町18,みなみ児童遊園,35.6792327,139.7210037
東京都,新宿区,04-07,新宿区信濃町35,慶應義塾大学病院　南側,35.6812775,139.717706
東京都,新宿区,04-08,新宿区大京町30,四谷第四小学校　正門側,35.6819081,139.7160408
東京都,新宿区,05-01,新宿区新宿2-19,靖国通り　新宿カドビル前,35.6914114,139.7074122
東京都,新宿区,05-02,新宿区新宿1-32,花園西公園,35.690665,139.7118008
東京都,新宿区,05-03,新宿区新宿1-25,花園東公園,35.690336,139.7141947
東京都,新宿区,05-04,新宿区新宿1-22-1,花園小学校,35.6895594,139.7134804
東京都,新宿区,05-05,新宿区新宿2-15-18,成覚寺,35.6913458,139.7092101
東京都,新宿区,05-06,新宿区内藤町87,四谷地域センター　夜間通用口側,35.6875602,139.7145057
東京都,新宿区,05-07,新宿区新宿1-33-15,靖国通り　アサンプ京浜支店前,35.6911136,139.7123085
東京都,新宿区,05-08,新宿区新宿2-9,新宿公園,35.6898826,139.7090835
東京都,新宿区,06-01,新宿区津久戸町5-1,JCHO東京新宿メディカルセンター　東側,35.7034157,139.7421308
東京都,新宿区,06-02,新宿区白銀町29,白銀公園,35.7034004,139.738698
東京都,新宿区,06-03,新宿区新小川町4-22,東京電力新小川町変電所,35.7057286,139.7432485
東京都,新宿区,06-04,新宿区揚場町1-18,福井ビル前植え込み,35.7022554,139.7436505
東京都,新宿区,06-05,新宿区津久戸町2-2,津久戸小学校　JCHO東京新宿メディカルセンター側,35.7026812,139.7419775
東京都,新宿区,06-06,新宿区津久戸町2-2,津久戸小学校　正門側,35.7026812,139.7419775
東京都,新宿区,06-07,新宿区若宮町20,若宮公園　東側,35.6997226,139.7404895
東京都,新宿区,06-08,新宿区神楽坂5-36,毘沙門天　善国寺,35.7014454,139.7392437
東京都,新宿区,06-09,新宿区神楽坂5,箱石地　神楽坂上交差点付近,35.7022532,139.738698
東京都,新宿区,07-01,新宿区北町26,愛日小学校　正門東側,35.699694,139.7340364
東京都,新宿区,07-02,新宿区中町33,JCHO東京新宿メディカルセンター中町宿舎,35.6996611,139.7361929
東京都,新宿区,07-03,新宿区払方町25,東京電力市ヶ谷変電所,35.6968283,139.7340474
東京都,新宿区,07-04,新宿区市谷田町3-無番地,外堀通り　新見附橋付近,35.6965166,139.738698
東京都,新宿区,07-05,新宿区北町26,愛日小学校　正門西側,35.699694,139.7340364
東京都,新宿区,07-06,新宿区市谷田町3-21,専門学校　東京ホスピタリティ・アカデミー　北側,35.6967145,139.7379802
東京都,新宿区,07-07,新宿区中町5,市ヶ谷公園,35.6991713,139.7356644
東京都,新宿区,08-01,新宿区水道町1-28,江戸川小学校　正門北側,35.7066852,139.7366324
東京都,新宿区,08-02,新宿区水道町1-28,江戸川小学校　正門南側,35.7066852,139.7366324
東京都,新宿区,08-03,新宿区西五軒町13-1,白日通り　住友不動産飯田橋ビル3号館前,35.7082181,139.7376602
東京都,新宿区,08-04,新宿区水道町4,さくら児童遊園,35.7084468,139.7366224
東京都,新宿区,08-05,新宿区東五軒町6,神田川　東五軒町バス停前,35.7072972,139.7393516
東京都,新宿区,08-06,新宿区東五軒町5-24,東五軒町地域交流館,35.7067825,139.740129
東京都,新宿区,08-07,新宿区水道町4-13,日白通り　マルエツ江戸川橋店前,35.7083953,139.736343
