prefecture,city,number,address,name,lat,long,note
東京都,武蔵野市,1~1,吉祥寺東町4-6,市立吉祥寺東町緑地 東側道路沿い,35.7071826,139.5924678,
東京都,武蔵野市,1~2,吉祥寺東町3-5,市立本宿公園 南側植木沿い,35.7084255,139.5888047,
東京都,武蔵野市,1~3,吉祥寺東町3-28-3,市立東保育園 西側入口鉄柵沿い,35.7065864,139.5908785,
東京都,武蔵野市,1~4,吉祥寺東町4-18,市立本田東公園南側,35.7040622,139.5941401,
東京都,武蔵野市,1~5,吉祥寺南町5-3-16,masked,35.7025856,139.590258,
東京都,武蔵野市,1~6,吉祥寺東町4-1-9,市立本宿小学校 正門南側,35.7051273,139.5906354,
東京都,武蔵野市,1~7,吉祥寺東町4-1-9,市立本宿小学校 北側鉄柵沿い,35.7051273,139.5906354,
東京都,武蔵野市,1~8,吉祥寺東町4-1-9,市立本宿小学校 校庭東側,35.7051273,139.5906354,
東京都,武蔵野市,2~1,吉祥寺南町2-14,末広通り第3自転車駐車場 西側,35.7018639,139.5838779,
東京都,武蔵野市,2~2,吉祥寺南町4-25-5,ゆとりえ西側植込み,35.6986821,139.5915364,
東京都,武蔵野市,2~3,吉祥寺南町2-27-1,市立第三小学校 プール西側,35.7031291,139.5864237,
東京都,武蔵野市,2~4,吉祥寺南町2-35-9,市立第三小学校 校庭東側,35.7025672,139.5870354,
東京都,武蔵野市,2~5,吉祥寺南町4-2406-4,資産活用課所有地東側,35.7032126,139.5798551,
東京都,武蔵野市,2~6,吉祥寺南町4-18,南町市民農園 吾妻通り沿い,35.7015424,139.5905566,
東京都,武蔵野市,2~7,吉祥寺南町4-4,市立さつき公園 東側,35.6996673,139.5875506,
東京都,武蔵野市,3~1,吉祥寺南町3-13,タイムズ吉祥寺南町3丁目駐車場 東側フェンス沿い,35.6988546,139.5867344,
東京都,武蔵野市,3~2,吉祥寺南町3-13-1,吉祥寺南町コミセン南側駐車場,35.6992539,139.5866782,
東京都,武蔵野市,3~3,吉祥寺南町3-6-15,市立南保育園西側,35.6994436,139.5859253,
東京都,武蔵野市,3~4,吉祥寺南町3-6-15,市立南保育園 東側,35.6994436,139.5859253,
東京都,武蔵野市,3~5,吉祥寺南町3-46,東京都所有地 西側,35.697246,139.5905566,
東京都,武蔵野市,3~6,吉祥寺南町3-25,市立本田南公園 東側,35.6981225,139.588536,
東京都,武蔵野市,3~7,吉祥寺南町3-41,市立東部公園 西側,35.69564039999999,139.5888844,
東京都,武蔵野市,4~1,吉祥寺東町2-16,市立東町公園 東側,35.7123041,139.5838679,
東京都,武蔵野市,4~2,吉祥寺東町2-5,市立八幡通り公園西側,35.7102194,139.5817182,
東京都,武蔵野市,4~3,吉祥寺東町2-29-12,市立0123吉祥寺 南側,35.7093604,139.5849296,
東京都,武蔵野市,4~4,吉祥寺東町2-39-2,masked,35.7088244,139.5865553,
東京都,武蔵野市,4~5,吉祥寺東町1-17,吉祥寺の杜 宮本小路公園 公園内北西の植栽前,35.7058459,139.5841864,
東京都,武蔵野市,4~6,吉祥寺東町1-23-8,市立第三中学校 南側,35.7076207,139.5872072,
東京都,武蔵野市,4~7,吉祥寺東町1-15,市立本田北公園 東側,35.7074559,139.5849827,
東京都,武蔵野市,4~8,吉祥寺東町1-19-17,masked,35.7052403,139.5854803,
東京都,武蔵野市,5~1,吉祥寺本町1-10,masked,35.7061931,139.5793908,
東京都,武蔵野市,5~2,吉祥寺本町1-11,FFビル前バス停西側,35.705678,139.579601,
東京都,武蔵野市,5~3,吉祥寺本町1-1,北口ロータリー広場植栽ポット,35.705678,139.579601,
東京都,武蔵野市,5~4,吉祥寺本町1-21-13,市立吉祥寺図書館 東側,35.7050228,139.5822357,
東京都,武蔵野市,5~5,吉祥寺本町1-18,吉祥寺大通り東第3自転車駐車場 東側,35.7041557,139.5812405,
東京都,武蔵野市,5~6,吉祥寺南町2-5-7,末広通り自転車駐車場 西側,35.701966,139.581758,
東京都,武蔵野市,5~7,吉祥寺南町1-6,市立吉祥寺南公園 南側,35.7014395,139.5803647,
東京都,武蔵野市,6~1,吉祥寺北町1-24-1,masked,35.7089275,139.575946,
東京都,武蔵野市,6~2,吉祥寺北町2-16,市立青葉公園 東側,35.7127732,139.5773592,
東京都,武蔵野市,6~3,吉祥寺北町1-22-10,吉祥寺北コミセン 東側,35.7122698,139.5779902,
東京都,武蔵野市,6~4,吉祥寺北町2-13,市立北町子ども広場 南側,35.714306,139.57925,
東京都,武蔵野市,6~5,吉祥寺北町2-4-5,市立第四小学校 北側,35.7116106,139.5807528,
東京都,武蔵野市,6~6,吉祥寺北町2-4-5,市立第四小学校 南側,35.7116106,139.5807528,
東京都,武蔵野市,6~7,吉祥寺北町2-734-2,23,35.7135755,139.5795685,
東京都,武蔵野市,6~8,吉祥寺北町1-3,北ーパーキング 東側,35.7094977,139.580285,
東京都,武蔵野市,7~1,吉祥寺本町2-3-1,東急百貨店吉祥寺店 西側駐輪場 柵,35.7049939,139.5777451,
東京都,武蔵野市,7~2,御殿山1-17,都立井の頭自然文化園 北側角,35.7008124,139.5706521,
東京都,武蔵野市,7~3,吉祥寺本町2-11-2,吉祥寺二葉栄養調理専門職学校 西側植込み,35.7035953,139.5763043,
東京都,武蔵野市,7~4,御殿山1-17,都立井の頭自然文化園 南側,35.7008124,139.5706521,
東京都,武蔵野市,7~5,吉祥寺本町2-17,西三条通り第2自転車駐車場東側,35.7045333,139.5761451,
東京都,武蔵野市,7~6,御殿山1-6,御殿山第3自転車駐車場 南側,35.7029481,139.5755878,
東京都,武蔵野市,7~7,御殿山1-6-1,御殿山自転車駐車場 南側,35.70288439999999,139.5765829,
東京都,武蔵野市,8~1,吉祥寺北町3-3,成蹊学園 5号館西側 けやき並木道東側,35.7127725,139.5728295,
東京都,武蔵野市,8~2,吉祥寺北町3-3,成蹊学園 山桜通り 南側塀沿い,35.7127725,139.5728295,
東京都,武蔵野市,8~3,吉祥寺北町3-8,市立かくれみの公園 北側,35.7134616,139.5711297,
東京都,武蔵野市,8~4,吉祥寺本町4-12,市立野田南公園 東側,35.7067485,139.5731199,
東京都,武蔵野市,8~5,吉祥寺本町4-17-16,市立第一小学校 西側,35.7089489,139.5735333,
東京都,武蔵野市,8~6,吉祥寺本町4-31,成蹊通り 歩道 バス停 (成蹊通り) 南側,35.7089882,139.5703337,
東京都,武蔵野市,8~7,吉祥寺本町4-14,市立もみのき公園西側,35.7058296,139.572085,
東京都,武蔵野市,8~8,吉祥寺本町4-30-2,masked,35.7083863,139.5706213,
東京都,武蔵野市,9~1,吉祥寺本町3-7,吉祥寺西公園 北側,35.7047648,139.5728612,
東京都,武蔵野市,9~2,吉祥寺本町3-27-19,市立井之頭小学校 北側,35.7035386,139.568871,
東京都,武蔵野市,9~3,吉祥寺本町3-27-19,市立井之頭小学校 東側,35.7035386,139.568871,
東京都,武蔵野市,9~4,吉祥寺本町3-27-19,市立井之頭小学校 南側,35.7035386,139.568871,
東京都,武蔵野市,9~5,御殿山2-10,御殿山通り 歩道植込み,35.7019094,139.5680053,
東京都,武蔵野市,9~6,御殿山2-14,玉川上水遊歩道 フェンス沿い,35.7013429,139.5661148,
東京都,武蔵野市,9~7,御殿山2-20,玉川上水遊歩道 フェンス沿い,35.7022297,139.5631697,
東京都,武蔵野市,10~1,吉祥寺北町3-16,市立北裏公園 南側,35.7182124,139.5736771,
東京都,武蔵野市,10~2,吉祥寺北町5-6,市立扶桑通り公園 東側,35.7175199,139.5716074,
東京都,武蔵野市,10~3,吉祥寺北町5-6-14,masked,35.7182236,139.5720651,
東京都,武蔵野市,10~4,吉祥寺北町5-11-41,市立第四中学校 北側,35.7193314,139.5687316,
東京都,武蔵野市,10~5,吉祥寺北町5-11-33,市営プール 西側,35.7188001,139.5677483,
東京都,武蔵野市,10~6,緑町3-1,市立緑町ふれあい広場 北側,35.7194708,139.5665128,
東京都,武蔵野市,10~7,吉祥寺北町5-11-20,総合体育館 西側,35.7178551,139.5674521,
東京都,武蔵野市,11~1,吉祥寺北町4-9,市立なかよし公園 北側,35.715055,139.5683499,
東京都,武蔵野市,11~2,吉祥寺北町4-11-46,水道部庁舎 南側,35.7139884,139.5665242,
東京都,武蔵野市,11~3,吉祥寺北町4-8,中央図書館広場 南側,35.71198,139.5659434,
東京都,武蔵野市,11~4,吉祥寺北町4-1,かえで公園 東側 歩道沿い,35.7122255,139.5684232,
東京都,武蔵野市,11~5,中町3-9-5,市立第一中学校 西側,35.7109878,139.5661985,
東京都,武蔵野市,11~6,中町3-9-5,市立第一中学校 南側,35.7109878,139.5661985,
東京都,武蔵野市,11~7,中町3-25-7,武蔵野赤十字保育園 西側,35.7082107,139.5682144,
東京都,武蔵野市,11~8,吉祥寺北町4-8,うさぎ山公園内 西側,35.71198,139.5659434,
東京都,武蔵野市,12~1,中町2-10,横河電機㈱グラウンド 東側,35.7063671,139.5634881,
