prefecture,city,number,address,name,lat,long,note
東京都,清瀬市,1-1,旭が丘四丁目736,masked,35.79972900000001,139.5408903,
東京都,清瀬市,1-2,旭が丘五丁目782-1,旭が丘団地終点バス停脇,35.7977508,139.5408073,
東京都,清瀬市,1-3,旭が丘三丁目755-1,第3保育園東側フェンス,35.7981319,139.5390997,
東京都,清瀬市,1-4,旭が丘二丁目774-2,清明小学校プール東側市道1038号線沿,35.7944037,139.5388189,
東京都,清瀬市,1-5,旭が丘二丁目,旭が丘団地2-6-1号棟南側,35.7944037,139.5388189,
東京都,清瀬市,1-6,旭が丘二丁目280-6,三河屋酒店前,35.7944037,139.5388189,
東京都,清瀬市,1-7,旭が丘二丁目305-5,旭が丘団地2-3-7号棟北側,35.7944037,139.5388189,
東京都,清瀬市,2-1,下宿二丁目488-4,masked,35.7989747,139.5362958,
東京都,清瀬市,2-2,下宿一丁目1,下宿一丁目台田団地14号棟脇,35.7956537,139.5321017,
東京都,清瀬市,2-3,下宿一丁目1,台田団地バス停降車場,35.7956537,139.5321017,
東京都,清瀬市,2-4,下宿一丁目1,台田団地中央バス停,35.7956537,139.5321017,
東京都,清瀬市,2-5,中里六丁目95,団地保育園前バス停,35.7913085,139.5261241,
東京都,清瀬市,2-6,中里六丁目536-1,下戸バス停脇,35.7909115,139.5273632,
東京都,清瀬市,2-7,旭が丘一丁目615-4,旭が丘あかまつ児童遊園,35.7907712,139.5334041,
東京都,清瀬市,2-8,中里六丁目95,3号棟前道路脇,35.7913085,139.5261241,
東京都,清瀬市,3-1,下清戸五丁目857-6,旭清館道場北側道路沿,35.7865678,139.5397331,
東京都,清瀬市,3-2,下清戸五丁目791-2,たから幼稚園西側畑,35.7895808,139.5384106,
東京都,清瀬市,3-3,中里五丁目605-1,清瀬市役所北信号バス停付近,35.7877943,139.5267268,
東京都,清瀬市,3-4,中里五丁目741,清瀬小学校プール東側フェンス,35.7857481,139.5255279,
東京都,清瀬市,3-5,中清戸二丁目616,日枝神社西側フェンス,35.78001709999999,139.5262362,
東京都,清瀬市,3-6,中清戸四丁目1070,第八小学校校舎南側校門脇,35.7873967,139.5309717,
東京都,清瀬市,3-7,中里五丁目624-1,清瀬中学校校庭西側フェンス,35.784846,139.5248612,
東京都,清瀬市,3-8,中清戸四丁目1070,第八小学校校舎北側校門脇,35.7873967,139.5309717,
東京都,清瀬市,4-1,元町一丁目地内,清瀬駅前ロータリー植込み,35.7740936,139.5197273,
東京都,清瀬市,4-2,元町一丁目5-1,masked,35.775445,139.5198864,
東京都,清瀬市,4-3,上清戸二丁目194,masked,35.7788702,139.5216362,
東京都,清瀬市,4-4,元町二丁目27-12,元町配水所,35.7777131,139.5173417,
東京都,清瀬市,4-5,元町一丁目5-19,masked,35.7759836,139.5196305,
東京都,清瀬市,4-6,上清戸一丁目480-1,かぜのこ広場,35.7753246,139.5241814,
東京都,清瀬市,4-7,元町一丁目596-66,大岱道児童遊園,35.7740936,139.5197273,
東京都,清瀬市,4-8,上清戸一丁目6,清瀬駅北口第2駐輪場,35.7743161,139.5227497,
東京都,清瀬市,5-1,松山一丁目11-10,清瀬駅踏切沿,35.7719662,139.5185343,
東京都,清瀬市,5-2,松山二丁目960-18,(有)水道ポンプ細山営業所出入口左側塀,35.7714042,139.5159097,
東京都,清瀬市,5-3,松山二丁目935-6,ササハラスポーツ西側道路脇空地,35.7714042,139.5159097,
東京都,清瀬市,5-4,松山二丁目971-64,松山自然遊園地,35.7714042,139.5159097,
東京都,清瀬市,5-5,松山一丁目37-1,都営松山一丁目アパート1号棟脇,35.7688091,139.5180673,
東京都,清瀬市,5-6,松山二丁目975-182,松山センター駐車場出入口東側フェンス,35.7714042,139.5159097,
東京都,清瀬市,5-7,松山二丁目975-13,複十字病院職員駐車場南側フェンス,35.7714042,139.5159097,
東京都,清瀬市,6-1,松山一丁目45-6,都営松山一丁目第二アパート6号棟前,35.767245,139.5168758,
東京都,清瀬市,6-2,竹丘一丁目15-4,第三小学校校庭フェンス,35.7688584,139.5104864,
東京都,清瀬市,6-3,松山三丁目1-73,第1保育園東側フェンス,35.7685068,139.5138283,
東京都,清瀬市,6-4,松山三丁目11,都営松山三丁目アパート10号棟前,35.7671493,139.5135239,
東京都,清瀬市,6-5,竹丘一丁目6-5,竹丘一丁目都営5号棟南側,35.7644148,139.5126951,
東京都,清瀬市,6-6,松山三丁目1018-1,複十字病院バス停横,35.7692299,139.5133648,
東京都,清瀬市,6-7,竹丘一丁目17-9,救世軍清瀬病院北側,35.7699917,139.5067618,
東京都,清瀬市,7-1,竹丘三丁目10-5,都職清瀬運動場東側駐車場フェンス,35.7633066,139.5018705,
東京都,清瀬市,7-2,竹丘三丁目10-5,都職清瀬運動場西側テニスコートフェンス,35.7633066,139.5018705,
東京都,清瀬市,7-3,竹丘一丁目12,都営竹丘一丁目アパート1号棟西側,35.7663766,139.5116152,
東京都,清瀬市,7-4,竹丘三丁目1-1,社会事業大学バス停付近フェンス,35.7669728,139.5046309,
東京都,清瀬市,7-5,竹丘二丁目3-33,竹丘月極有料駐車場フェンス,35.765296,139.5085934,
東京都,清瀬市,7-6,竹丘二丁目13,都営竹丘二丁目アパート36号棟西側,35.763473,139.5093886,
東京都,清瀬市,7-7,竹丘三丁目691-6,竹丘公園フェンス,35.7670817,139.5038224,
東京都,清瀬市,7-8,竹丘三丁目691-15,下里自然公園,35.7670817,139.5038224,
東京都,清瀬市,8-1,梅園一丁目613,中央公園北側フェンス,35.7727212,139.4998589,
東京都,清瀬市,8-2,梅園一丁目3,野塩四丁目信号歩道植込み(市道0115号線),35.7727212,139.4998589,
東京都,清瀬市,8-3,梅園二丁目1646-3,梅園くぬぎ児童遊園,35.7724868,139.5044585,
東京都,清瀬市,8-4,梅園二丁目9-45,第六小学校フェンス,35.7718823,139.5044883,
東京都,清瀬市,8-5,竹丘三丁目677-1,竹丘たけのこ遊園北側フェンス,35.7670817,139.5038224,
東京都,清瀬市,8-6,梅園三丁目3-20,生光診療所跡万年塀,35.7699851,139.5003687,
東京都,清瀬市,8-7,梅園三丁目1608-1,セゾン細山パートII 前畑,35.7720847,139.5006419,
東京都,清瀬市,9-1,野塩一丁目322-2,野塩地域市民センター北側フェンス,35.7791593,139.499489,
東京都,清瀬市,9-2,野塩二丁日387,都営清瀬野塩アパート集会所周辺,35.78112170000001,139.5031863,
東京都,清瀬市,9-3,野塩一丁目353-6,キャトルセゾン清瀬西側畑,35.7783189,139.5019141,
東京都,清瀬市,9-4,野塩一丁目189,masked,35.7780149,139.5019037,
東京都,清瀬市,9-5,野塩一丁目322-2,野塩地域市民センター南側フェンス,35.7791593,139.499489,
東京都,清瀬市,9-6,野塩五丁目299-4,秋津駅南側踏切付近フェンス,35.7783125,139.4967671,
東京都,清瀬市,9-7,野塩五丁目255-1,都営野塩五丁目アパート1号棟フェンス,35.7753716,139.4985706,
東京都,清瀬市,9-8,野塩五丁目255-1,都営野塩五丁目アパート1号棟南側道路沿フェンス,35.7753716,139.4985706,
東京都,清瀬市,10-1,野塩三丁目2-3,第四中学校東側フェンス,35.7787595,139.5076789,
東京都,清瀬市,10-2,元町二丁目25,都営元町二丁目アパート,35.777853,139.5155916,
東京都,清瀬市,10-3,元町二丁目9-5,都営元町二丁目第2アパート道路周辺,35.7749731,139.5152503,
東京都,清瀬市,10-4,中里一丁目693-3,(有)松村造園南側ネットフェンス,35.776139,139.5108763,
東京都,清瀬市,10-5,元町二丁目16-8,芝山小学校北側フェンス,35.7752926,139.5113643,
東京都,清瀬市,10-6,野塩三丁目50,masked,35.7774772,139.506075,
東京都,清瀬市,10-7,元町二丁目4-17,ジュネス元町北側,35.7761295,139.5167647,
東京都,清瀬市,11-1,中里四丁目1296,都営中里団地西の柳瀬川沿フェンス,35.7879777,139.5157904,
東京都,清瀬市,11-2,中里三丁目1077,masked,35.7824685,139.517568,
東京都,清瀬市,11-3,中里三丁目1120,フォーブルパインBフェンス,35.7828083,139.515691,
東京都,清瀬市,11-4,中里四丁目1301,中里柳瀬公園,35.786544,139.5144235,
東京都,清瀬市,11-5,中里二丁目1385-17,masked,35.7823048,139.5134649,
東京都,清瀬市,11-6,中里二丁目1471,第四小学校校門脇,35.7828283,139.5097177,
東京都,清瀬市,11-7,中里二丁目1471,清瀬せせらぎ公園,35.7828283,139.5097177,
東京都,清瀬市,11-8,中里四丁目1296,都営中里四丁目アパート3号棟北側駐車場植え込み,35.7879777,139.5157904,
東京都,清瀬市,12-1,下清戸一丁目341,長命寺信号付近,35.7813047,139.5375459,
東京都,清瀬市,12-2,下清戸一丁目21-1,清戸自然公園,35.7789872,139.5358216,
東京都,清瀬市,12-3,中清戸一丁目454-14,第十小学校校門脇,35.7752049,139.5276425,
東京都,清瀬市,12-4,下清戸一丁目212-4,コミュニティプラザひまわり駐車場フェンス,35.7784267,139.5387394,
東京都,清瀬市,12-5,中清戸三丁目258-1,第五中学校北門脇,35.7750516,139.5335358,
東京都,清瀬市,12-6,中清戸一丁目556-1,中清戸第1・第2学童クラブ東側フェンス,35.7750707,139.528457,
東京都,清瀬市,12-7,中清戸五丁目88,中清戸下組稲荷児童遊園,35.7774066,139.5354173,
東京都,清瀬市,12-8,中清戸三丁目235,気象衛星センターフェンス,35.7768249,139.5326401,
