prefecture,city,number,address,name,lat,long
東京都,狛江市,１,和泉本町１-１-５,市役所正門植込,35.6349307,139.5784989
東京都,狛江市,２,元和泉１-３-１,えきまえ広場柵,35.6335357,139.5773292
東京都,狛江市,３,和泉本町１-１-５,市役所裏門左側植込,35.6349307,139.5784989
東京都,狛江市,４,中和泉１-５,masked,35.6347037,139.5768616
東京都,狛江市,５,中和泉１-18-18,松原児童遊園北側フェンス際,35.6354857,139.5737884
東京都,狛江市,６,和泉本町１-７,ザ・パークハウス狛江前畑脇,35.6369073,139.5787723
東京都,狛江市,７,東和泉１-14-５,masked,35.6330258,139.5786529
東京都,狛江市,８,東和泉１-18,狛江駅南口ロータリーバス停前植込,35.6319116,139.5775781
東京都,狛江市,９,和泉本町４-３-１,緑野小学校正門左側フェンス際,35.6410006,139.5711247
東京都,狛江市,10,和泉本町３-25-１,市民総合体育館入口左側植込,35.6420435,139.5730494
東京都,狛江市,11,和泉本町３-16-１,masked,35.6407658,139.5743837
東京都,狛江市,12,和泉本町３-22-11,masked,35.6397148,139.5721129
東京都,狛江市,13,中和泉２-26-13,masked,35.6391259,139.5695078
東京都,狛江市,14,中和泉２-18,中和泉第２マンション東側畑脇,35.63956080000001,139.5698221
東京都,狛江市,15,中和泉５-18,小田急バス狛江営業所裏畑脇,35.6416116,139.5669904
東京都,狛江市,16,中和泉５-12,名古屋商店駐車場右側フェンス際,35.6403024,139.5681844
東京都,狛江市,17,猪方１-11-１,狛江第三小学校西門左側フェンス際,35.628077,139.5849454
東京都,狛江市,18,猪方１-11-１,狛江第三小学校南門左側フェンス際,35.628077,139.5849454
東京都,狛江市,19,猪方２-８,白幡菅原神社前畑フェンス際,35.6271417,139.5822755
東京都,狛江市,20,岩戸南１-13,masked,35.6301267,139.5820366
東京都,狛江市,21,岩戸南１-６-15,小川商店フェンス際,35.6304064,139.5854405
東京都,狛江市,22,猪方１-７-18,masked,35.6286421,139.5814444
東京都,狛江市,23,岩戸南１-２-12,岩戸第二児童遊園内フェンス際,35.6317664,139.5840371
東京都,狛江市,24,東和泉２-９,清水川公園(二中通り側)出入口フェンス際,35.6300974,139.5803647
東京都,狛江市,25,西和泉１-16-１,西和泉体育館西門ブロック塀際,35.6402683,139.5651439
東京都,狛江市,26,西和泉２-１,旧多摩川住宅ニ-１号棟北側,35.638232,139.5634085
東京都,狛江市,27,中和泉５-23,狛江ショッピングセンター入口脇 根川フェンス際,35.6410236,139.5650004
東京都,狛江市,28,中和泉５-29,小田急バス狛江営業所向い なかいずみ農園脇,35.642927,139.566839
東京都,狛江市,29,西和泉１-16-１,西和泉グランド東門左側植込(体育館寄り),35.6402683,139.5651439
東京都,狛江市,30,西和泉１-15,西和泉バス停脇,35.6385088,139.5651596
東京都,狛江市,31,西和泉２-15,旧多摩川住宅ニ棟駐車場植込(根川地区センター向い側),35.6356134,139.5634881
