prefecture,city,number,address,name,lat,long
東京都,稲城市,1-1,東長沼 1595南,稲城大橋下新田交差点西,35.6410278,139.5084868
東京都,稲城市,1-2,矢野口 718,masked,35.6405827,139.5172923
東京都,稲城市,1-3,矢野口 1603,矢野口自治会館前,35.6377551,139.5165958
東京都,稲城市,1-4,矢野口 1653-4,三沢川親水公園東側,35.6361131,139.5168078
東京都,稲城市,1-5,東長沼 956,稲城市立稲城第一小学校前,35.6400256,139.5117047
東京都,稲城市,1-6,東長沼 1728,吉方公園北側,35.6388561,139.508225
東京都,稲城市,1-7,東長沼 1705,淡雪公園前,35.6383143,139.5076491
東京都,稲城市,1-8,東長沼 1718,釜池公園前,35.6428214,139.5050946
東京都,稲城市,2-1,東長沼 1193,市役所道通りNTT南側,35.6421897,139.5041862
東京都,稲城市,2-2,百村 2017,保健センター前,35.6384968,139.4974047
東京都,稲城市,2-3,大丸 100,【稲城市立稲城第三小学校体育館南側,35.6434248,139.4994393
東京都,稲城市,2-4,東長沼 542-3,JR南武線稲城長沼駅南側,35.6428214,139.5050946
東京都,稲城市,2-5,百村 7,福祉センター前,35.6395722,139.4999244
東京都,稲城市,2-6,東長沼 3135-2,【稲城駅北口自転車駐輪場前,35.6373242,139.5002844
東京都,稲城市,2-7,東長沼 3108,京王線稲城駅南側,35.6364924,139.5002444
東京都,稲城市,2-8,東長沼 2544-2西,ヤオコー稲城南山店西側,35.6310101,139.5061453
東京都,稲城市,3-1,大丸 1171,【稲城市立病院入口,35.6468195,139.4851426
東京都,稲城市,3-2,大丸 1006-2,ウエルシア南多摩駅前店前,35.6480385,139.4886803
東京都,稲城市,3-3,大丸 526西,都営大丸第二アパート1号館西側公園,35.6468688,139.4943131
東京都,稲城市,3-4,大丸 690,山崎公園前,35.6446412,139.4980111
東京都,稲城市,3-5,大丸 82,都営稲城第二アパート1号館前,35.6450269,139.4995184
東京都,稲城市,3-6,大丸 82,稲城第二アパート集会所脇,35.6450269,139.4995184
東京都,稲城市,3-7,大丸 630,大丸アパート集会所前,35.645537,139.495796
東京都,稲城市,4-1,坂浜 3182,橋南側,35.6301303,139.4901575
東京都,稲城市,4-2,坂浜 170,沢学園入口,35.6271071,139.4843833
東京都,稲城市,4-3,坂浜 409,屋駐車場前,35.6271071,139.4843833
東京都,稲城市,4-4,坂浜 425,高勝寺下(京王相模原線々路脇) 都営 扇 駒 「福島,35.6270688,139.4879506
東京都,稲城市,4-5,坂浜 2816-3,坂浜診療所前バス停西,35.6271071,139.4843833
東京都,稲城市,4-6,坂浜 590,【稲城市立稲城第二小学校正門前,35.6251511,139.4861152
東京都,稲城市,4-7,坂浜 1021,北村コンクリート作業場前,35.6218518,139.4847107
東京都,稲城市,5-1,東長沼 271,第四文化センター,35.6459238,139.5053987
東京都,稲城市,5-2,東長沼 799,松本医院前,35.643796,139.5093688
東京都,稲城市,5-3,押立 1250,稲城市立稲城第四小学校体育館前,35.6446592,139.5164011
東京都,稲城市,5-4,押立 763,masked,35.6463838,139.5125781
東京都,稲城市,5-5,矢野口 835,宿三谷公園前,35.6425618,139.5153161
東京都,稲城市,5-6,押立 891-3西,稲城押立西交差点南側,35.6459208,139.5090954
東京都,稲城市,5-7,押立 620,masked,35.6484112,139.5112792
東京都,稲城市,5-8,東長沼 1460,東長沼陸橋北側南武線高架下,35.643663,139.5089443
東京都,稲城市,6-1,押立 1768,【稲城市立稲城第四中学校西側,35.6459017,139.5179378
東京都,稲城市,6-2,押立 1698,押立児童公園,35.6497601,139.5135788
東京都,稲城市,6-3,押立 1768,【稲城市立稲城第四中学校北側,35.6459017,139.5179378
東京都,稲城市,6-4,矢野口 295-1,JR南武線矢野口駅北側,35.6419481,139.5203739
東京都,稲城市,6-5,矢野口 3750-235,九段盡性園東側市事業用地,35.6437755,139.5211739
東京都,稲城市,6-6,矢野口 3750-187,文化財収蔵庫,35.641926,139.5236022
東京都,稲城市,6-7,矢野口 256,中島ゆうし保育園南側用水脇,35.6427117,139.5192335
東京都,稲城市,7-1,平尾 3-1,平尾住宅13号棟前,35.610499,139.4861845
東京都,稲城市,7-2,平尾 4-49-1,寺谷津公園前,35.6120124,139.4817875
東京都,稲城市,7-3,平尾 3-1,平尾住宅商店街入口,35.610499,139.4861845
東京都,稲城市,7-4,平尾 4-41,三反田湧水公園,35.6137693,139.4828345
東京都,稲城市,7-5,平尾 3-1,稲城市立平尾小学校裏門前,35.610499,139.4861845
東京都,稲城市,7-6,平尾 4-46-10,masked,35.611125,139.4850428
東京都,稲城市,7-7,平尾 3-1,平尾住宅1号棟前,35.610499,139.4861845
