prefecture,city,number,address,name,lat,long,note
東京都,羽村市,1-1,羽村市羽741－37,清流地区備蓄物資設置用地南側,35.7549127,139.3029296,緯度経度は怪しい
東京都,羽村市,1-2,玉川2－8,上水通り町内会運動広場,35.7513495,139.3133803,
東京都,羽村市,1-3,川崎4－3－31,masked,35.7524147,139.3161242,
東京都,羽村市,1-4,川崎1－8,ひのきの子児童遊園,35.7537178,139.3172639,
東京都,羽村市,1-5,羽東2－18－1,羽村東小学校前,35.7548258,139.3131325,
東京都,羽村市,1-6,羽東1－5,本町ふれあい公園跡,35.758965,139.3147276,
東京都,羽村市,1-7,羽東3－12－15,masked,35.7563371,139.3113706,
東京都,羽村市,1-8,羽東1－21,本町一広場,35.7592023,139.3125085,
東京都,羽村市,2-1,羽中4－483－1,観光駐車場,35.7588768,139.3050592,
東京都,羽村市,2-2,羽東2－60－1,稲荷緑地北側,35.756684,139.312984,
東京都,羽村市,2-3,羽中3－6－33,羽村第一中学校南側,35.7621701,139.3071741,
東京都,羽村市,2-4,羽中3－6－33,羽村第一中学校北側,35.7621701,139.3071741,
東京都,羽村市,2-5,羽中2－7,なかよし児童遊園前,35.7639316,139.3087045,
東京都,羽村市,2-6,羽東1－35,旭ヶ丘公園,35.7590702,139.3139351,
東京都,羽村市,2-7,羽中4－9先,桜づつみ公園,35.7576299,139.3058517,
東京都,羽村市,3-1,羽加美4－18－6,いこいの里,35.7602076,139.2994152,
東京都,羽村市,3-2,羽中2－16,間坂コミュニティ公園,35.7646762,139.3054555,
東京都,羽村市,3-3,羽加美1－29－5,羽村市スポーツセンター,35.7683235,139.3075982,
東京都,羽村市,3-4,羽加美2－8,畑,35.7668989,139.302682,
東京都,羽村市,3-5,羽加美4－2－9,羽村西小学校,35.7652035,139.3003296,
東京都,羽村市,3-6,羽西1－20－6,美原会館,35.7682752,139.3001593,
東京都,羽村市,3-7,羽西1－2,グリーントリム公園,35.77118040000001,139.302682,
東京都,羽村市,4-1,羽西1－13－52,masked,35.7721014,139.2983678,
東京都,羽村市,4-2,羽西3－11,こやけ児童公園北側,35.77377,139.2943823,
東京都,羽村市,4-3,小作台5－14,さくら児童公園北側,35.7747408,139.3026968,
東京都,羽村市,4-4,小作台4－13－1,小作台小学校北側,35.7735404,139.2987598,
東京都,羽村市,4-5,小作台3－11,くすのき児童公園東側,35.77698609999999,139.2982456,
東京都,羽村市,4-6,小作台2－14,けやき児童公園東側,35.7785861,139.2996904,
東京都,羽村市,4-7,小作台1－31,JR小作駅前広場,35.7791662,139.3018255,緯度経度は怪しい
東京都,羽村市,4-8,小作台5－27,あかしあ児童公園,35.7730884,139.303563,
東京都,羽村市,5-1,栄町1－16,市道第1037号線分離帯,35.7747541,139.3075951,
東京都,羽村市,5-2,栄町1－14－14,栄会館,35.7734028,139.3052486,
東京都,羽村市,5-3,栄町2－5,武蔵野公園西側,35.7709091,139.310765,緯度経度は怪しい
東京都,羽村市,5-4,栄町2－5,武蔵野公園東側,35.7709091,139.310765,緯度経度は怪しい
東京都,羽村市,5-5,栄町2－17,栄小学校西側,35.7718733,139.3123091,
東京都,羽村市,5-6,栄町2－18－1,羽村市福祉センター前,35.7705394,139.3130169,
東京都,羽村市,5-7,栄町2－1,さかえ児童遊園,35.7709091,139.310765,緯度経度は怪しい
東京都,羽村市,6-1,緑ヶ丘1-9-16,緑ヶ丘会館,35.7650396,139.3152099,
東京都,羽村市,6-2,緑ヶ丘4-8,富士見公園駐車場,35.7687224,139.3152032,
東京都,羽村市,6-3,緑ヶ丘4-11,富士見公園東側,35.7687224,139.3152032,
東京都,羽村市,6-4,緑ヶ丘4-11,富士見公園西側,35.7687224,139.3152032,
東京都,羽村市,6-5,緑ヶ丘5-5,羽村市保健センター前,35.7660467,139.3128126,緯度経度は怪しい
東京都,羽村市,6-6,緑ヶ丘5-2-1,羽村市役所前,35.7677648,139.3105576,
東京都,羽村市,6-7,緑ヶ丘5-14,ペリカン児童公園南側,35.7657974,139.311508,
東京都,羽村市,7-1,緑ヶ丘2-18-5,水道事務所前,35.7647723,139.319632,
