prefecture,city,number,address,name,lat,long,note
神奈川県,寒川町,1,田端1489番地1,masked,35.351455,139.3803967,
神奈川県,寒川町,2,田端824番地,田端地域集会所フェンス,35.353698,139.3827731,
神奈川県,寒川町,3,田端563番地,亀田工業所資材置場,35.3545417,139.3792777,緯度経度は怪しい
神奈川県,寒川町,4,田端515番地1,masked,35.3544057,139.3866515,
神奈川県,寒川町,5,田端910番地,古山看板向側ガードパイプ,35.3545417,139.3792777,緯度経度は怪しい
神奈川県,寒川町,6,田端928番地,田端北交差点南側ガードパイプ,35.3545417,139.3792777,緯度経度は怪しい
神奈川県,寒川町,7,田端938番地,masked,35.3545417,139.3792777,緯度経度は怪しい
神奈川県,寒川町,8,一之宮8丁目4番,一之宮愛児園運動場フェンス,35.3623721,139.3828483,
神奈川県,寒川町,9,一之宮9丁目8番29号,寒川自動車整備工場向側ガードパイプ,35.3625234,139.3854443,
神奈川県,寒川町,10,一之宮7丁目3番2号,一之宮小学校北側フェンス,35.3647352,139.3793915,
神奈川県,寒川町,11,一之宮8丁目5番20号,南部文化福祉会館前,35.3634764,139.3831297,
神奈川県,寒川町,12,一之宮7丁目6番,城ノ下緑地東側,35.3630114,139.380706,
神奈川県,寒川町,13,一之宮1丁目15番17号,masked,35.3650916,139.3855817,
神奈川県,寒川町,14,一之宮1丁目1218番2,南台畑交差点北側花川用水路ガードレール,35.3659772,139.3862604,
神奈川県,寒川町,15,大曲3丁目10番9号,masked,35.356723,139.3931329,
神奈川県,寒川町,16,一之宮9丁目154番,菅田公園西側T字路,35.3599207,139.3868953,
神奈川県,寒川町,17,中瀬25番1号,筒井地域集会所北側フェンス,35.3617783,139.3895693,
神奈川県,寒川町,18,大曲1丁目18番38号,masked,35.3593336,139.3940898,
神奈川県,寒川町,19,中瀬9番15号,masked,35.3636663,139.3918149,
神奈川県,寒川町,20,大曲2丁目8番,大曲地域集会所前,35.356412,139.3950694,
神奈川県,寒川町,21,中瀬1番21号,寒川電話交換センター西側フェンス,35.3659063,139.389276,
神奈川県,寒川町,22,大曲1丁目6番11,与見公園西側フェンス,35.3604593,139.3950396,
神奈川県,寒川町,23,岡田1丁目146番8,寒川駅南口フェンス,35.3687867,139.3875301,
神奈川県,寒川町,24,岡田1丁目209番1,寒川駅北口フェンス,35.3687867,139.3875301,
神奈川県,寒川町,25,岡田1丁目6番地1,JAさがみ寒川支店スロープ,35.3680321,139.38789,
神奈川県,寒川町,26,岡田609番地,岡田地域集会所フェンス,35.3674279,139.3927157,
神奈川県,寒川町,27,岡田4丁目12番33号,masked,35.3692318,139.3970953,
神奈川県,寒川町,28,岡田3丁目11番5号先,ヒルトップ湘南向側畑地,35.3707754,139.3925562,
神奈川県,寒川町,29,岡田4丁目15番17号先,高田設備前ガードレール,35.3700423,139.3996585,
神奈川県,寒川町,30,一之宮3丁目31番10号先,中河原公園西側,35.3655641,139.3769833,
神奈川県,寒川町,31,一之宮3丁目22番1号先,一之宮公園東南側入口フェンス,35.367235,139.3784248,
神奈川県,寒川町,32,一之宮3丁目9番1号,寒川中学校正門横フェンス,35.3689454,139.3802795,
神奈川県,寒川町,33,一之宮3丁目8番8号先,一之宮緑道,35.368905,139.3793563,
神奈川県,寒川町,34,一之宮2丁目9番9号,ハイムミサワフェンス,35.3683712,139.3850464,
神奈川県,寒川町,35,一之宮3丁目1番,ゲート広場フェンス,35.3700957,139.3814597,
神奈川県,寒川町,36,一之宮4丁目8番72号,フジシロリサイクル本店フェンス,35.3711895,139.3776538,
神奈川県,寒川町,37,宮山3964番地,masked,35.3755106,139.3811115,
神奈川県,寒川町,38,宮山115番地1,さがみ農業協同組合寒川営農センター前,35.3719458,139.3824929,
神奈川県,寒川町,39,宮山3906番地2,宮山地域集会所フェンス,35.3804181,139.3836206,
神奈川県,寒川町,40,宮山3899番地,馬場交差点南東,35.3767218,139.3844727,緯度経度は怪しい
神奈川県,寒川町,41,宮山3605番地1,宮山駅前コンビニ北側駐車場フェンス,35.3823532,139.3799718,
神奈川県,寒川町,42,宮山2069番地,masked,35.3767218,139.3844727,緯度経度は怪しい
神奈川県,寒川町,43,宮山3554番地1,皆川梨園西側,35.3767218,139.3844727,緯度経度は怪しい
神奈川県,寒川町,44,岡田2丁目1047番,セントラルボウルパッソ入口フェンス,35.3715962,139.3887998,
神奈川県,寒川町,45,宮山275番地,さむかわ中央公園交差点,35.3751881,139.3854139,
神奈川県,寒川町,46,宮山165番地,役場交差点けやきの木前,35.3725977,139.3838044,
神奈川県,寒川町,47,宮山165番地,役場東分庁舎入口フェンス,35.3725977,139.3838044,
神奈川県,寒川町,48,岡田2423番地先,大塚児童遊園地フェンス,35.3728209,139.393244,緯度経度は怪しい
神奈川県,寒川町,49,宮山934番地,寒川小学校正門横フェンス,35.3746065,139.3892363,
神奈川県,寒川町,50,宮山500番地26,堂崎公園南側,35.3778407,139.3881199,
神奈川県,寒川町,51,岡田8丁目15番,越の山公園西側,35.371084,139.4018952,
神奈川県,寒川町,52,岡田7丁目1番11,越公園スロープ手摺,35.3736247,139.3969839,
神奈川県,寒川町,53,岡田7丁目1番1,もくせいハイツ5号棟北側ガードフェンス,35.3742738,139.3957502,
神奈川県,寒川町,54,岡田7丁目2番23号,三留米店南側駐車場,35.375226,139.3962603,
神奈川県,寒川町,55,岡田7丁目7番1号,菅谷台自治会集会所フェンス,35.3753214,139.3975397,
神奈川県,寒川町,56,岡田7丁目8番,越第2公園南側,35.3747382,139.3974504,
神奈川県,寒川町,57,大蔵939番地,masked,35.3773688,139.4002283,緯度経度は怪しい
神奈川県,寒川町,58,小動9番地1,日尾氏農園ビニールハウス前,35.3893828,139.4021184,
神奈川県,寒川町,59,宮山1193番地1,masked,35.3794828,139.3913557,
神奈川県,寒川町,60,大蔵829番地1,masked,35.3787537,139.3988195,
神奈川県,寒川町,61,小谷1丁目13番10号,小谷地域集会所西側フェンス,35.3804111,139.397047,
神奈川県,寒川町,62,小谷2丁目1番4号,第5分団消防車庫西側フェンス,35.3818041,139.3936962,緯度経度は怪しい
神奈川県,寒川町,63,小動982番地2,ふれあいセンター東駐車場ガードレール,35.385189,139.392835,
神奈川県,寒川町,64,小谷4丁目10番25号,masked,35.384347,139.3981052,
神奈川県,寒川町,65,宮山2259番地,寒川橋北側,35.3856445,139.3859026,
神奈川県,寒川町,66,宮山2817番地1,北部文化福祉会館駐輪場フェンス,35.3767218,139.3844727,緯度経度は怪しい
神奈川県,寒川町,67,倉見2876番地,masked,35.3899776,139.3812648,
神奈川県,寒川町,68,宮山2882番地,masked,35.3896117,139.3896404,
神奈川県,寒川町,69,倉見1675番地3,旭小学校正門北側フェンス,35.3912737,139.3853323,
神奈川県,寒川町,70,倉見1688番地,天幸倉見27号倉庫東側雨水幹線ガードレール,35.3919781,139.387382,
神奈川県,寒川町,71,倉見2232番地,大村ちびっこ広場南側フェンス,35.3962521,139.3830864,緯度経度は怪しい
神奈川県,寒川町,72,倉見884番地,masked,35.3962521,139.3830864,
神奈川県,寒川町,73,倉見3823番地1,倉見駅前,35.39488770000001,139.3783322,
神奈川県,寒川町,74,倉見1550番地1,倉見地域集会所,35.39462,139.3859378,
神奈川県,寒川町,75,倉見786番1,倉見十二天交差点南側ハウス前,35.3962521,139.3830864,緯度経度は怪しい
神奈川県,寒川町,76,倉見2110番地2,倉見大村地域集会所フェンス,35.3942896,139.392986,
神奈川県,寒川町,77,倉見2008番地8,倉見ちびっこ広場フェンス,35.3967359,139.3911019,
神奈川県,寒川町,78,倉見381番地先,神央設備㈱西側道路前ガードレール,35.3997227,139.3808449,
神奈川県,寒川町,79,倉見1935番地1,翔和サービス南側ガードレール,35.3983448,139.3882052,
