prefecture,city,number,address,name,lat,long,note
神奈川県,秦野市,1,曽屋228番地,不二家正門入口西側,35.3886249,139.2053071,
神奈川県,秦野市,2,曽屋1204番2,日本インター㈱右側(はだの台自治会倉庫前),35.3808821,139.2147063,
神奈川県,秦野市,3,曽屋2丁目9番9号,平塚保健福祉事務所秦野センター南側入口フェンス (位置情報が見つかりませんでした),35.3796703,139.2237406,
神奈川県,秦野市,4,入船町1948番1,イオン正面入り口(右側)歩道ガードフェンス,35.3783721,139.2303028,
神奈川県,秦野市,5,入船町12番2号,本町公民館東側植込み,35.37714400000001,139.2274263,
神奈川県,秦野市,6,曽屋2丁目4番8号付近,市立きたばら児童遊園地フェンス,35.3790743,139.2267713,
神奈川県,秦野市,7,入船町9番36号,masked,35.3787376,139.2302909,
神奈川県,秦野市,8,曽屋830番地の1,給食センター入口右側フェンス (位置情報が見つかりませんでした),35.3845368,139.2098217,緯度経度は怪しい
神奈川県,秦野市,9,ひばりヶ丘5番16号,ひばりヶ丘児童館跡地フェンス,35.3781044,139.2126057,緯度経度は怪しい
神奈川県,秦野市,10,水神町9番23号,水道局曽屋配水場前,35.3789776,139.2208167,
神奈川県,秦野市,11,ひばりヶ丘6番50号,masked,35.3781044,139.2126057,緯度経度は怪しい
神奈川県,秦野市,12,曽屋687番65,カルチャーパーク第6駐車場フェンス,35.3790104,139.2082369,緯度経度は怪しい
神奈川県,秦野市,13,富士見町1番1号,本町中学校正門東側植込み (位置情報が見つかりませんでした),35.3762255,139.2130034,
神奈川県,秦野市,14,桜町1丁目3番2号,市役所前,35.3747504,139.2200129,
神奈川県,秦野市,15,栄町9番14号,本町公民館入口交差点南(さかえちょう公園),35.3761429,139.2255744,
神奈川県,秦野市,16,文京町2番,市役所公用車駐車場フェンス(水無川側),35.3740872,139.2213607,
神奈川県,秦野市,17,文京町1番5号,本町小学校南門フェンス,35.373802,139.2239958,
神奈川県,秦野市,18,文京町1番5号,本町小学校東門横フェンス,35.373802,139.2239958,
