prefecture,city,number,address,name,lat,long,note
神奈川県,箱根町,1,湯本40番地17,町道湯210号線（箱根登山バス箱根山崎営業所横）,35.238349,139.1181278,
神奈川県,箱根町,2,湯本48番地11,エスポワール湯本付近,35.2375126,139.1188541,
神奈川県,箱根町,3,湯本139番地8,山崎公園前,35.234973,139.1147879,緯度経度は怪しい
神奈川県,箱根町,4,湯本880番地1,エッソガソリンスタンド跡裏,35.2323555,139.1085732,緯度経度は怪しい
神奈川県,箱根町,5,湯本903番地1,旧湯本中学校グラウンド前,35.2340139,139.1108742,
神奈川県,箱根町,6,湯本692番地4,桜木薬局前,35.2319945,139.1014824,
神奈川県,箱根町,7,湯本茶屋149番地,国家公務員共済組合「青風荘」跡地手前,35.2283009,139.0955097,
神奈川県,箱根町,8,湯本茶屋198番地2,片倉橋（滝通り温泉郷）付近,35.2217389,139.0892906,
神奈川県,箱根町,9,塔之澤103番地,上湯大衆浴場前,35.2328567,139.0925669,
神奈川県,箱根町,10,湯本226番地9,橋本屋小川商店前,35.2330435,139.1082308,
神奈川県,箱根町,11,湯本338番地2,（有）伊藤商店倉庫前,35.2318524,139.109651,
神奈川県,箱根町,12,湯本399番地,湯本小学校体育館横,35.2304847,139.1048625,
神奈川県,箱根町,13,湯本386番地57,湯本幼児学園前,35.2299386,139.1063118,
神奈川県,箱根町,14,湯本263番地3,消防湯本分署前,35.2326917,139.1075003,緯度経度は怪しい
神奈川県,箱根町,15,湯本468番地,ホテルマイユクール祥月下,35.2299176,139.1020417,
神奈川県,箱根町,16,湯本518番地1,松乃茶屋,35.2284804,139.0985507,
神奈川県,箱根町,17,湯本277番地6,神明神社付近,35.2314498,139.10628,
神奈川県,箱根町,18,須雲川177番地,須雲川集会所横,35.2155497,139.0741351,緯度経度は怪しい
神奈川県,箱根町,19,須雲川142番地イ,公衆トイレ横,35.2155497,139.0741351,緯度経度は怪しい
神奈川県,箱根町,20,畑宿181番地,守源寺下,35.21062,139.0564588,緯度経度は怪しい
神奈川県,箱根町,21,畑宿103番地,畑宿寄木会館駐車場,35.2130059,139.0630716,緯度経度は怪しい
神奈川県,箱根町,22,宮ノ下47番地2,出光ガソリンスタンド付近,35.2414492,139.0589836,緯度経度は怪しい
神奈川県,箱根町,23,宮ノ下113番地,宮ノ下観光案内所駐車場,35.2433771,139.0620788,緯度経度は怪しい
神奈川県,箱根町,24,宮ノ下413番地,恵明学園正門付近,35.243347,139.0574288,
神奈川県,箱根町,25,宮ノ下291番地1,楽天地町道中央,35.2414492,139.0589836,緯度経度は怪しい
神奈川県,箱根町,26,宮ノ下359番地1,菊華荘(国道1号線沿い),35.2437808,139.0596397,
神奈川県,箱根町,27,大平台565番地4,海悦温泉ホテル(旧あじさい荘)横,35.2338895,139.0741351,緯度経度は怪しい
神奈川県,箱根町,28,大平台540番地2,箱根登山鉄道踏切付近,35.2367439,139.0745954,
神奈川県,箱根町,29,大平台352番地,山神神社,35.2384811,139.0740641,緯度経度は怪しい
神奈川県,箱根町,30,大平台428番地1,鈴木有料駐車場上,35.2363923,139.0753434,
神奈川県,箱根町,31,大平台478番地1,姫ノ水下,35.2338895,139.0741351,緯度経度は怪しい
神奈川県,箱根町,32,小涌谷467番地9,小涌谷駅入口,35.2402858,139.0538585,
神奈川県,箱根町,33,小涌谷525番地145,二の平入口バス停付近,35.2409001,139.049537,緯度経度は怪しい
神奈川県,箱根町,34,小涌谷493番地2,三河屋旅館前,35.23679670000001,139.047795,
神奈川県,箱根町,35,小涌谷439番地,旧恵明学園前,35.2306659,139.0498414,緯度経度は怪しい
神奈川県,箱根町,36,小涌谷493番地15,小涌谷集会所付近,35.2370475,139.047437,
神奈川県,箱根町,37,宮城野102番地,宝珠院入口付近,35.2534387,139.0521119,
神奈川県,箱根町,38,宮城野625番地,宮城野公民館,35.2537606,139.0501471,
神奈川県,箱根町,39,宮城野166番地,リゾートトラスト宮城野寮前,35.2519432,139.053458,
神奈川県,箱根町,40,宮城野572番地2,宮沢橋横,35.2557577,139.0494293,
神奈川県,箱根町,41,宮城野638番地1,碓氷橋サニーパーク入口付近,35.2564107,139.0478021,
神奈川県,箱根町,42,宮城野881番地1,さくら館前,35.2565252,139.0445461,
神奈川県,箱根町,43,宮城野68番地1,八百豊商店前,35.25143970000001,139.0529843,緯度経度は怪しい
神奈川県,箱根町,44,宮城野922番地,宮城野温泉会館駐車場,35.254852,139.0486056,
神奈川県,箱根町,45,強羅1320番地212,強羅静雲荘付近,35.2499371,139.0373682,緯度経度は怪しい
神奈川県,箱根町,46,強羅1320番地198,函嶺白百合学園正門付近,35.2510582,139.0457196,緯度経度は怪しい
神奈川県,箱根町,47,強羅1320番地576,強羅アビタシオン前,35.2523107,139.0429139,緯度経度は怪しい
神奈川県,箱根町,48,強羅1300番地69,強羅公園前,35.2483252,139.0457391,緯度経度は怪しい
神奈川県,箱根町,49,強羅1300番地217,中強羅入口バス停付近,35.2487844,139.0478355,緯度経度は怪しい
神奈川県,箱根町,50,強羅1300番地605,強羅駅下通り,35.2506255,139.0484443,緯度経度は怪しい
神奈川県,箱根町,51,二ノ平1080番地,亀の湯,35.242604,139.0495388,
神奈川県,箱根町,52,二ノ平1116番地1,勝俣月極駐車場(元松屋商店横駐車場),35.2377731,139.0387879,
神奈川県,箱根町,53,二ノ平1202番地5,彫刻の森駅前,35.2466181,139.0503771,
神奈川県,箱根町,54,二ノ平1246番地,旧小涌園社宅前,35.2449449,139.0482436,
神奈川県,箱根町,55,二ノ平1154番地,箱根中学校校門横,35.2457318,139.0486988,
神奈川県,箱根町,56,二ノ平1297番地,緑の村管理事務所前,35.2384476,139.0446358,緯度経度は怪しい
神奈川県,箱根町,57,仙石原1286番地,小塚橋付近,35.2647227,139.0249371,緯度経度は怪しい
神奈川県,箱根町,58,仙石原185番地8,箱根ニコニコ高原学園付近,35.2702383,139.0089051,
神奈川県,箱根町,59,仙石原935番地1,仙郷楼前バス停付近,35.2713644,139.0101479,緯度経度は怪しい
神奈川県,箱根町,60,仙石原817番地524,㈱箱根ウェックス前,35.2661266,139.0101752,緯度経度は怪しい
神奈川県,箱根町,61,仙石原817番地,星槎大学箱根キャンパス,35.2661266,139.0101752,緯度経度は怪しい
神奈川県,箱根町,62,仙石原521番地1,仙石原町営住宅入口,35.2693982,139.0061428,緯度経度は怪しい
神奈川県,箱根町,63,仙石原474番地18,町道仙20号線（箱根温泉供給㈱前）,35.2718096,139.0053215,緯度経度は怪しい
神奈川県,箱根町,64,仙石原842番地,仙石原文化センター前,35.2695891,139.0106594,
神奈川県,箱根町,65,仙石原106番地,仙石原交差点付近(旧仙石原保育園跡),35.2733187,139.0106538,
神奈川県,箱根町,66,仙石原403番地,出戸町営住宅跡地子ども広場入口,35.2740352,139.0065667,
神奈川県,箱根町,67,仙石原981番地10,町有道路(仙小入口),35.2720248,139.0151992,
