prefecture,city,number,address,name,lat,long,note
福岡県,うきは市,1,吉井町1267-12,白壁交流広場国道沿い,33.3427172,130.7570045,
福岡県,うきは市,2,吉井町1085-1,吉井幼稚園前欄干,33.3441857,130.7607117,
福岡県,うきは市,3,吉井町1316-3,金子文夫資料展示館南側,33.3436955,130.7569552,
福岡県,うきは市,4,吉井町1001-4,うきは市文化会館入り口垣根,33.345819,130.758157,
福岡県,うきは市,5,吉井町216-2,筑後吉井こころホスピタルブロック,33.341819,130.75281,
福岡県,うきは市,6,吉井町684-10,消防第２分団第２詰所,33.343929,130.748444,
福岡県,うきは市,7,吉井町614-2,西鉄扇島バス停東側フェンス,33.344489,130.742503,
福岡県,うきは市,8,吉井町若宮52,権藤製材所入口ブロック塀,33.341081,130.764425,
福岡県,うきは市,9,吉井町若宮366-1,若宮八幡神社南側玉垣,33.344257,130.766226,
福岡県,うきは市,10,吉井町宮田439-7,国道２１０号線バイパス宮田信号付近,33.343529,130.775979,
福岡県,うきは市,11,吉井町桜井368-1,福久公民館東側ガードレール,33.34577,130.784964,
福岡県,うきは市,12,吉井町千年236-5,千年保育園西側フェンス,33.348499,130.769094,
福岡県,うきは市,13,吉井町福永323-7,溝口橋北東側フェンス,33.353631,130.766859,
福岡県,うきは市,14,吉井町橘田218-6,西橘田集会所斜め前方,33.35567,130.758355,
福岡県,うきは市,15,吉井町清瀬,大村橋北側ガードレール,33.335065,130.764687,
福岡県,うきは市,16,吉井町屋部152,六反田溜池北側県道ガードレール,33.330298,130.764723,
福岡県,うきは市,17,吉井町福益,県道歩道東側フェンス,33.337041,130.755414,
福岡県,うきは市,18,吉井町福益1609-1,福富コミュニティセンター駐車場北側柵,33.332282,130.753837,
福岡県,うきは市,19,吉井町富永44,古賀敦子方北側ブロック塀,33.331356,130.745665,
福岡県,うきは市,20,吉井町福益90-1,筑水キャニコム西側歩道フェンス,33.33928,130.748343,
福岡県,うきは市,21,吉井町富永801-4,藤田美智文方北側ブロック塀,33.331669,130.74073,
福岡県,うきは市,22,吉井町547-1,溝川橋西側欄干,33.344749,130.736602,
福岡県,うきは市,23,吉井町鷹取1422-3,吉岡久恵方北側ブロック塀,33.331588,130.73109,
福岡県,うきは市,24,吉井町新治316,ふれあい荘前ガードレール,33.348336,130.754173,
福岡県,うきは市,25,吉井町新治644-1,杉埜酒屋東側,33.352395,130.749786,
福岡県,うきは市,26,吉井町八和田774-1,江南小学校西側フェンス,33.353371,130.743312,
福岡県,うきは市,27,吉井町八和田996,手島勝方東側ブロック塀,33.358084,130.743813,
福岡県,うきは市,28,吉井町江南1020,県道長栖高橋線ガードレール,33.363568,130.737641,
福岡県,うきは市,29,吉井町生葉38,松浦建設資材置場入口,33.352808,130.734584,
福岡県,うきは市,30,吉井町生葉658,浮羽究真館高等学校東側フェンス,33.341933,130.733491,
福岡県,うきは市,31,吉井町長栖424-2,天満宮南側玉垣,33.352686,130.726255,
福岡県,うきは市,32,吉井町長栖1069-6,吉弘喜久男方東側ブロック塀,33.363274,130.727046,
福岡県,うきは市,33,浮羽町新川4435-1,樋口酒店前,33.294839,130.808072,
福岡県,うきは市,34,浮羽町新川4002-3,西鉄バス本村停留所横,33.291192,130.812636,
福岡県,うきは市,35,浮羽町新川3934,姫治小学校校門横,33.288043,130.818567,
福岡県,うきは市,36,浮羽町新川3002,西鉄バス三寺払停留所前,33.2805,130.824547,
福岡県,うきは市,37,浮羽町新川157,内ヶ原公民館前,33.299043,130.796675,
福岡県,うきは市,38,浮羽町小塩6542,西鉄バス笹の隈停留所前,33.322086,130.808477,
福岡県,うきは市,39,浮羽町小塩1986,西鉄バス尻深停留所横,33.317718,130.826589,
福岡県,うきは市,40,浮羽町小塩2404,masked,33.31296,130.835329,
福岡県,うきは市,41,浮羽町小塩2605-1,小塩小学校校門前,33.31083,130.842652,
福岡県,うきは市,42,浮羽町小塩3046,岩屋堂公民館前ガードレール,33.308006,130.849199,
福岡県,うきは市,43,浮羽町小塩3308-4,宮公民館先ガードレール（馬場橋手前）,33.30457,130.859335,
福岡県,うきは市,44,浮羽町小塩3,白谷橋西側ガードレール,33.303791,130.835149,
福岡県,うきは市,45,浮羽町妹川82,西鉄バス藤波停留所向側ガードレール,33.320899,130.79247,
福岡県,うきは市,46,浮羽町妹川,西鉄バス落合停留所向側ガードレール,33.315525,130.78623,
福岡県,うきは市,47,浮羽町妹川2297-1,妹川簡易郵便局前,33.312136,130.771362,
福岡県,うきは市,48,浮羽町妹川,消防尼ヶ瀬格納庫横,33.309429,130.764428,
福岡県,うきは市,49,浮羽町妹川2979,樫ヶ平橋横,33.300549,130.760631,
福岡県,うきは市,50,浮羽町妹川3725,元有集会所前,33.296838,130.753963,
福岡県,うきは市,51,浮羽町妹川1721,下持木（野上牛舎前）,33.304913,130.786971,
福岡県,うきは市,52,浮羽町田篭1368,諏訪神社境内,33.276543,130.83306,
福岡県,うきは市,53,浮羽町田篭,湯牟田林道入口,33.27599,130.837959,
福岡県,うきは市,54,浮羽町田篭1151,旧田篭保育所フェンス,33.271717,130.842001,
福岡県,うきは市,55,浮羽町田篭,中村橋欄干,33.268769,130.843239,
福岡県,うきは市,56,浮羽町山北1,賀茂神社境内,33.331029,130.805156,
福岡県,うきは市,57,浮羽町山北56-3,熊懐商店北側,33.333066,130.805303,
福岡県,うきは市,58,浮羽町山北290,旧JAにじ山北出張所横,33.332499,130.809991,
福岡県,うきは市,59,浮羽町山北737,旧山手酒店東側,33.33422,130.819973,
福岡県,うきは市,60,浮羽町山北783-6,山春小学校前,33.336057,130.827399,
福岡県,うきは市,61,浮羽町三春,袋野研修会館向側ブドウ畑前,33.33647,130.846303,
福岡県,うきは市,62,浮羽町山北,旧三ヶ名はかたや前,33.339801,130.834437,
