prefecture,city,number,address,name,lat,long,note
福岡県,太宰府市,1,大字北谷259番地,北谷公民館前（まほろば号）バス停横,33.5415567,130.5476327,
福岡県,太宰府市,2,大字内山573番地,竈門神社​第三駐車場前​​,33.527902,130.548120,
福岡県,太宰府市,3,御笠1丁目2番,大原団地前バス停横,33.5313554,130.5362049,
福岡県,太宰府市,4,三条1丁目3番,福岡県盲人協会 福岡光明園横,33.5251468,130.5331906,
福岡県,太宰府市,5,宰府5丁目6番,三条公民館前（まほろば号）バス停横,33.5240489,130.53499,
福岡県,太宰府市,6,連歌屋2丁目2番,浦の城橋横,33.5212652,130.5311958,
福岡県,太宰府市,7,宰府2丁目8番,馬場公民館,33.5181064,130.5323138,
福岡県,太宰府市,8,石坂3丁目7番,石坂ハイツ前,33.516272,130.5318797,
福岡県,太宰府市,9,五条4丁目14番,福岡女子短期大学入口,33.5128955,130.5301434,
福岡県,太宰府市,10,石坂3丁目30番,湯の谷公園前,33.515725,130.5368706,
福岡県,太宰府市,11,五条1丁目6番,新町公民館前,33.5179551,130.5283389,
福岡県,太宰府市,12,観世音寺6丁目1番,観世団地東側入口,33.518985,130.523744,
福岡県,太宰府市,13,白川5番,白川5番15号前（市道五条橋・建重寺線）,33.5171403,130.5261902,
福岡県,太宰府市,14,白川2番,太宰府市体育センター横（御笠川側）,33.5145154,130.5255053,
福岡県,太宰府市,15,五条2丁目11番,車屋第1ビル横（市道高橋口橋線）,33.5129439,130.5264081,
福岡県,太宰府市,16,五条2丁目4番,五条二丁目4番18号前（市道五条2号線）,33.512488,130.5276383,
福岡県,太宰府市,17,五条2丁目7番,西鉄五条駅前広場,33.5113407,130.5265072,
福岡県,太宰府市,18,五条4丁目6番,五条台入口（デイサービス前案内板横）,33.5087332,130.527804,
福岡県,太宰府市,19,五条3丁目4番,月見山公園,33.5101478,130.5251138,
福岡県,太宰府市,20,青山2丁目5番,東ヶ丘中央公園,33.5071564,130.5349261,
福岡県,太宰府市,21,青山3丁目4番,太宰府東小学校正門横,33.5080436,130.5379823,
福岡県,太宰府市,22,青山4丁目17番,星ヶ丘公園,33.5032066,130.5350253,
福岡県,太宰府市,23,青山4丁目11番,星ヶ丘第2（西鉄）バス停前（下り線）,33.5030178,130.5384571,
福岡県,太宰府市,24,五条6丁目25番,国道3号バイパス 星ヶ丘交差点横,33.5036169,130.5311914,
福岡県,太宰府市,25,梅香苑1丁目2番,梅香苑第2公園（梅香苑第1（西鉄）バス停前）,33.501923,130.5323119,
福岡県,太宰府市,26,梅香苑4丁目14番,梅香苑第1公園,33.4987919,130.5345989,
福岡県,太宰府市,27,高雄2丁目3855番地,太宰府南小学校正門横,33.5021782,130.539564,
福岡県,太宰府市,28,高雄1丁目3789番地,星ヶ丘保育園横,33.4992839,130.5395017,
福岡県,太宰府市,29,高雄6丁目8番,高雄中央公園,33.4980981,130.5433154,
福岡県,太宰府市,30,梅ヶ丘2丁目15番,高雄台前（西鉄）バス停横,33.495452,130.544089,
福岡県,太宰府市,31,梅ヶ丘2丁目1番,梅ヶ丘公民館横県道沿い,33.4949989,130.5420829,
福岡県,太宰府市,32,高雄4丁目12番,高雄四丁目12番16号前（市道今王・柳ヶ浦線）,33.501063,130.5417467,
福岡県,太宰府市,33,水城1丁目20番,水城老人憩いの家前（市道水城橋・小柳線）,33.495028,130.542182,
福岡県,太宰府市,34,水城5丁目21番,水城ヶ丘団地入口,33.5268204,130.4987894,
福岡県,太宰府市,35,水城3丁目10番,水城台団地北入口,33.524284,130.4976433,
福岡県,太宰府市,36,水城1丁目2番,特別史跡水城跡 第二広場,33.5225849,130.497814,
福岡県,太宰府市,37,国分1丁目8番,国分一丁目6番前（市道松本・鍛冶久線）,33.5213235,130.5043086,
福岡県,太宰府市,38,国分2丁目9番,国分小学校入口,33.521312, 130.504280,
福岡県,太宰府市,39,坂本3丁目175番地20,令和の都小正府公園（コットンヒルズ内）,33.516784,130.507043,
