prefecture,city,number,address,name,lat,long,note
福岡県,宮若市,1,宮若市役所本庁舎前,宮若市役所本庁舎前,33.72409315,130.6677926,
福岡県,宮若市,2,マリーホール宮田横,マリーホール宮田横,33.72224599,130.6665856,
福岡県,宮若市,3,旧筑前宮田駅広場公園,旧筑前宮田駅広場公園,33.72029616,130.6651318,
福岡県,宮若市,4,宮若市社会福祉センター横,宮若市社会福祉センター横,33.72518626,130.6584585,
福岡県,宮若市,5,太蔵橋西側信号機横,太蔵橋西側信号機横,33.72320081,130.661779,
福岡県,宮若市,6,生見バス停横,生見バス停横,33.72007753,130.6591237,
福岡県,宮若市,7,ＪＲ岩淵バス停横,ＪＲ岩淵バス停横,33.71207696,130.6577182,
福岡県,宮若市,8,脇野乳母組入口,脇野乳母組入口,33.70639177,130.6573963,
福岡県,宮若市,9,千石公民館横,千石公民館横,33.69705101,130.6496823,
福岡県,宮若市,10,桐野浄水場横,桐野浄水場横,33.71771603,130.6616986,
福岡県,宮若市,11,直鞍農業協同組合宮田支所前,直鞍農業協同組合宮田支所前,33.72673444,130.6691068,
福岡県,宮若市,12,太蔵東区宮田ハイツ横,太蔵東区宮田ハイツ横,33.72690398,130.6667465,
福岡県,宮若市,13,海洋センターテニスコート横,海洋センターテニスコート横,33.71832398,130.664869,
福岡県,宮若市,14,原町三叉路バス停横,原町三叉路バス停横,33.7200463,130.6680608,
福岡県,宮若市,15,ニュータウン杉坂公民館前,ニュータウン杉坂公民館前,33.71726202,130.6685865,
福岡県,宮若市,16,石炭記念館バス停横,石炭記念館バス停横,33.71489264,130.6745034,
福岡県,宮若市,17,2000年公園入口,2000年公園入口,33.71070255,130.6737739,
福岡県,宮若市,18,欅原公民館前,欅原公民館前,33.70779302,130.6810158,
福岡県,宮若市,19,上町公園フェンス,上町公園フェンス,33.70698084,130.6770301,
福岡県,宮若市,20,天竺下公民館横,天竺下公民館横,33.70480753,130.6822926,
福岡県,宮若市,21,菅牟田交差点,菅牟田交差点,33.70837204,130.6840146,
福岡県,宮若市,22,光陵小学校,光陵小学校,33.70951555,130.6873298,
福岡県,宮若市,23,飯塚信用金庫菅牟田支店横,飯塚信用金庫菅牟田支店横,33.71655255,130.6854576,
福岡県,宮若市,24,県営宮田団地前,県営宮田団地前,33.71296496,130.6898081,
福岡県,宮若市,25,ぽたぽた園横,ぽたぽた園横,33.72271336,130.6867075,
福岡県,宮若市,26,旧宮田東小学校体育館前,旧宮田東小学校体育館前,33.71968934,130.6870294,
福岡県,宮若市,27,鍋田団地集会用前,鍋田団地集会用前,33.71610188,130.6908435,
福岡県,宮若市,28,新成団地集会所,新成団地集会所,33.71598587,130.6876087,
福岡県,宮若市,29,鶴田水町信号機横,鶴田水町信号機横,33.71686825,130.695709,
福岡県,宮若市,30,いきいき本城１前,いきいき本城１前,33.72829039,130.6715369,
福岡県,宮若市,31,本城ＪＲバス停横,本城ＪＲバス停横,33.73168217,130.6790632,
福岡県,宮若市,32,宮田北小学校下宮若整形外科医院前,宮田北小学校下宮若整形外科医院前,33.73184723,130.6868201,
福岡県,宮若市,33,宮田北小学校正門横,宮田北小学校正門横,33.7325075,130.6880325,
福岡県,宮若市,34,龍徳門ノ内大森工業横,龍徳門ノ内大森工業横,33.74079947,130.6950223,
福岡県,宮若市,35,西鉄鞍手共立病院バス停横,西鉄鞍手共立病院バス停横,33.73599168,130.6963849,
福岡県,宮若市,36,白百合団地公民館前,白百合団地公民館前,33.73910991,130.7015669,
福岡県,宮若市,37,百合野団地バス停横,百合野団地バス停横,33.73294024,130.710429,
福岡県,宮若市,38,鶴田橋交差点,鶴田橋交差点,33.72797474,130.6906879,
福岡県,宮若市,39,羅漢橋バス停横,羅漢橋バス停横,33.72832274,130.6585926,
福岡県,宮若市,40,安倍病院前,安倍病院前,33.73111558,130.6530833,
福岡県,宮若市,41,長井鶴公民館前,長井鶴公民館前,33.73334175,130.651297,
福岡県,宮若市,42,長井鶴板深バス停横,長井鶴板深バス停横,33.73350682,130.6451279,
福岡県,宮若市,43,飯之倉新幹線下フェンス,飯之倉新幹線下フェンス,33.74262504,130.6487811,
福岡県,宮若市,44,記念碑バス停横,記念碑バス停横,33.74882524,130.6456804,
福岡県,宮若市,45,四郎丸バス停横,四郎丸バス停横,33.75624258,130.6442535,
福岡県,宮若市,46,倉久バス停横,倉久バス停横,33.77171748,130.6399941,
福岡県,宮若市,47,内山バス停横,内山バス停横,33.76958148,130.6265241,
福岡県,宮若市,48,上有木有吉病院前バス停横,上有木有吉病院前バス停横,33.7600023,130.6242657,
福岡県,宮若市,49,上有木公民館横,上有木公民館横,33.7588918,130.6200922,
福岡県,宮若市,50,中有木バス停前,中有木バス停前,33.75336582,130.631116,
福岡県,宮若市,51,セブンイレブン宮若芹田東店前,セブンイレブン宮若芹田東店前,33.74535497,130.6322587,
福岡県,宮若市,52,下有木なびきホール前,下有木なびきホール前,33.75006857,130.6281388,
福岡県,宮若市,53,芹田長田バス停前,芹田長田バス停前,33.74089426,130.636459,
福岡県,宮若市,54,芹田大谷交差点横,芹田大谷交差点横,33.7353359,130.6412709,
福岡県,宮若市,55,宮若市役所若宮総合支所入口,宮若市役所若宮総合支所入口,33.7312628,130.626449,
福岡県,宮若市,56,ＪＡグリーンセンター前,ＪＡグリーンセンター前,33.72983517,130.6236005,
福岡県,宮若市,57,伊野神社前,伊野神社前,33.73189185,130.6155431,
福岡県,宮若市,58,高野区広場,高野区広場,33.72525765,130.6126624,
福岡県,宮若市,59,宮若市中央公民館若宮分館入口,宮若市中央公民館若宮分館入口,33.72184889,130.6117558,
福岡県,宮若市,60,金生公民館横,金生公民館横,33.71907248,130.6226885,
福岡県,宮若市,61,向田隣保館,向田隣保館,33.72408758,130.6270874,
福岡県,宮若市,62,大谷溜池入口（大峯氏宅前三叉路）,masked,33.72927191,130.6375265,
福岡県,宮若市,63,若宮郵便局横,若宮郵便局横,33.72896965,130.627597,
福岡県,宮若市,64,保健センターパレット前,保健センターパレット前,33.72096545,130.6141376,
福岡県,宮若市,65,金丸バス停横,金丸バス停横,33.73314992,130.6312126,
福岡県,宮若市,66,旧水原バス停横,旧水原バス停横,33.73780732,130.6255907,
福岡県,宮若市,67,小伏県道前外柵,小伏県道前外柵,33.7122733,130.601027,
福岡県,宮若市,68,乙野団地集会所前,乙野団地集会所前,33.70041166,130.5869615,
福岡県,宮若市,69,脇田交差点横,脇田交差点横,33.69974222,130.5923152,
福岡県,宮若市,70,芳賀バス停前,芳賀バス停前,33.68868675,130.5713457,
福岡県,宮若市,71,脇田公民館,脇田公民館,33.69245835,130.5869615,
福岡県,宮若市,72,消防団第八分団　脇田格納庫前,消防団第八分団　脇田格納庫前,33.6949801,130.5912369,
福岡県,宮若市,73,吉川コミュ二ティセンター前,吉川コミュ二ティセンター前,33.70318755,130.5949545,
福岡県,宮若市,74,湯原生活改善センター前,湯原生活改善センター前,33.69567971,130.595566,
福岡県,宮若市,75,下隣保館前,下隣保館前,33.71327732,130.6129897,
福岡県,宮若市,76,筑前下バス停前交差点横,筑前下バス停前交差点横,33.70907823,130.610801,
福岡県,宮若市,77,沼口公民館前,沼口公民館前,33.74294622,130.6068045,
福岡県,宮若市,78,沼口ＪＲバス停前,沼口ＪＲバス停前,33.74017607,130.6106722,
福岡県,宮若市,79,若宮インターバス停入口,若宮インターバス停入口,33.7467422,130.6070673,
福岡県,宮若市,80,山口交差点前,山口交差点前,33.74968164,130.5983877,
福岡県,宮若市,81,小原中央公民館前,小原中央公民館前,33.75009199,130.5985111,
福岡県,宮若市,82,山口コミュニティセンター前,山口コミュニティセンター前,33.7520311,130.5881631,
福岡県,宮若市,83,野中公民館前,野中公民館前,33.75144235,130.5822945,
福岡県,宮若市,84,猫塚バス停横,猫塚バス停横,33.75316065,130.5678427,
福岡県,宮若市,85,畑バス停横,畑バス停横,33.73806605,130.5705249,
福岡県,宮若市,86,黒丸公民館駐車場,黒丸公民館駐車場,33.71683366,130.579918,
