prefecture,city,number,address,name,lat,long,note
福岡県,川崎町,1,川崎豊前川崎駅,JR豊前川崎駅前川崎大橋欄干,33.5969323,130.8222387,公式kmlファイル経緯
福岡県,川崎町,2,川崎９１７−１,櫛毛公民館上三叉路ガードレール,33.5986601,130.8228583,公式kmlファイル経緯
福岡県,川崎町,3,川崎１７０１,向山食堂裏ガードレール,33.5966753,130.8161721,公式kmlファイル経緯
福岡県,川崎町,4,川崎３０５,県道川崎大行事線（奥谷地区歩道ガードパイプ）,33.6010372,130.8268386,公式kmlファイル経緯
福岡県,川崎町,5,川崎２９７−１５,奥谷通り、江藤事務所前ガードレール,33.5999067,130.8259897,公式kmlファイル経緯
福岡県,川崎町,6,川崎４６２,本町小松美容室横ガードパイプ,33.5966039,130.8251127,公式kmlファイル経緯
福岡県,川崎町,7,川崎３４１−５,高見団地入口（玄龍前フェンス）,33.5953233,130.8227176,公式kmlファイル経緯
福岡県,川崎町,8,川崎１２４８−２,東川八丁教育集会所ブロック塀（ゴミステーション横）,33.5926171,130.8175949,公式kmlファイル経緯
福岡県,川崎町,9,川崎３９６６,永井生活館手前ガードパイプ,33.5961543,130.8093267,公式kmlファイル経緯
福岡県,川崎町,10,川崎１７３５−１,東村中ガードレール,33.5946739,130.8153517,公式kmlファイル経緯
福岡県,川崎町,11,川崎１８７２,旧上山田線道路、東豊集会所付近ガードパイプ,33.5913297,130.8127745,公式kmlファイル経緯
福岡県,川崎町,12,川崎東川崎公民館前,東川崎公民館付近ガードガードパイプ,33.5872882,130.8136759,公式kmlファイル経緯
福岡県,川崎町,13,川崎２９０７−１,太田入口ガードレール,33.5867011,130.8102956,公式kmlファイル経緯
福岡県,川崎町,14,川崎１５０９−１,東川浦の谷教育集会所ガードレール,33.5865196,130.8187903,公式kmlファイル経緯
福岡県,川崎町,15,安眞木５６５４,下真崎公民館入口右側フェンス,33.5712861,130.8146308,公式kmlファイル経緯
福岡県,川崎町,16,安眞木３８５２,上真崎柏木橋右側欄干,33.5677311,130.8273893,公式kmlファイル経緯
福岡県,川崎町,17,安眞木３７７５−１,上真崎村中ガードレール,33.5705001,130.8257826,公式kmlファイル経緯
福岡県,川崎町,18,安眞木De・愛前,De・愛前ガードレール,33.5734223,130.8139227,公式kmlファイル経緯
福岡県,川崎町,19,川崎２２３７,川崎町立病院東側フェンス,33.5805552,130.8155803,公式kmlファイル経緯
福岡県,川崎町,20,安眞木木城公民館前,外木城公民館前フェンス,33.5731756,130.7999522,公式kmlファイル経緯
福岡県,川崎町,21,安眞木６２５１,県道６７号線黒木入口ガードレール,33.56171,130.8144072,公式kmlファイル経緯
福岡県,川崎町,22,安眞木３０２２−２,masked,33.5593069,130.8251999,公式kmlファイル経緯
福岡県,川崎町,23,安眞木安宅公民館,masked,33.5489781,130.8242434,公式kmlファイル経緯
福岡県,川崎町,24,田原川崎町役場前,川崎町役場入口左側ガードパイプ,33.5995702,130.8158313,公式kmlファイル経緯
福岡県,川崎町,25,田原４１１−５,東田原団地入口交差点付近ガードレール,33.6070788,130.8168621,公式kmlファイル経緯
福岡県,川崎町,26,田原７２０−２,川崎小学校東口フェンス,33.6023421,130.8138997,公式kmlファイル経緯
