prefecture,city,number,address,name,lat,long,note
福岡県,志免町,1,糟屋郡志免町志免東３丁目１５,田富下深交差点付近,33.580847,130.493594,
福岡県,志免町,2,糟屋郡志免町田富１丁目７　成和,ガーデン公園前,33.57867,130.492833,
福岡県,志免町,3,糟屋郡志免町志免２丁目１４,エスポワールメゾン生活訓練施設前,33.584043,130.491401,
福岡県,志免町,4,糟屋郡志免町２丁目,福岡県信用組合　志免支店付近,33.588532,130.488009,
福岡県,志免町,5,糟屋郡志免町志免東１丁目１,志免東保育園前,33.58317,130.487571,
福岡県,志免町,6,糟屋郡志免町志免１５７５,志免橋南側,33.580696,130.483842,
福岡県,志免町,7,糟屋郡志免町向ヶ丘２丁目２４,ファミリーマート　志免向ヶ丘店　向い,33.579181,130.481534,
福岡県,志免町,8,糟屋郡志免町向ヶ丘１丁目９－４,向ヶ丘第一公園入口,33.581241,130.47953,
福岡県,志免町,9,糟屋郡志免町吉原１７５－３,吉原公民館,33.577731,130.489181,
福岡県,志免町,10,糟屋郡志免町吉原５５８,志免南小学校,33.573656,130.485573,
福岡県,志免町,11,糟屋郡志免町桜丘１丁目３４－１,南国殖産株式会社　福岡Sakura寮,33.571988,130.484186,
福岡県,志免町,12,糟屋郡志免町桜丘４丁目１６,西鉄バス　桜丘営業所,33.564281,130.485678,
福岡県,志免町,13,糟屋郡志免町桜丘２丁目１０,もみじ薬局,33.570049,130.480899,
福岡県,志免町,14,糟屋郡志免町桜丘１丁目２４,桜ケ丘1丁目公園,33.573168,130.482168,
福岡県,志免町,15,糟屋郡志免町桜丘１丁目１,桜丘一公民館,33.574095,130.479474,
福岡県,志免町,16,糟屋郡志免町石橋台２,,33.57841,130.478473,
福岡県,志免町,17,糟屋郡志免町志免１丁目１９,志免鉄道記念公園,33.589332,130.48512,
福岡県,志免町,18,糟屋郡志免町志免４丁目２１,ハローデイ,33.583903,130.480394,
福岡県,志免町,19,糟屋郡志免町志免中央１丁目９,志免町メインパーク,33.589537,130.480979,
福岡県,志免町,20,糟屋郡志免町志免中央１丁目２,志免役場前バス停,33.591612,130.478912,
福岡県,志免町,21,糟屋郡志免町片峰４丁目９,,33.590681,130.474089,
福岡県,志免町,22,糟屋郡志免町南里２丁目２７,郷土館,33.596295,130.471599,
福岡県,志免町,23,糟屋郡志免町別府東２丁目１,,33.594062,130.467938,
福岡県,志免町,24,糟屋郡志免町片峰３丁目２,片峰交差点,33.586583,130.473797,
福岡県,志免町,25,糟屋郡志免町片峰中央３丁目１６－２３,坂瀬歩道橋,33.581479,130.476419,
福岡県,志免町,26,糟屋郡志免町南里６丁目１３－７,２公民館,33.60025,130.467628,
福岡県,志免町,27,糟屋郡志免町別府東３丁目１,,33.598529,130.464333,
福岡県,志免町,28,糟屋郡志免町別府２丁目４－１,セブンイレブン志免西小学校前店,33.601886,130.463268,
福岡県,志免町,29,糟屋郡志免町別府４丁目７,別府児童公園,33.605746,130.459703,
福岡県,志免町,30,糟屋郡志免町別府北１丁目１７,仲原病院　裏,33.607688,130.455109,
福岡県,志免町,31,糟屋郡志免町別府北２丁目９,志免鉄道公園　(国鉄勝田線　御手洗駅跡),33.606856,130.451389,
福岡県,志免町,32,糟屋郡志免町別府３丁目１１,亀山バス停,33.602251,130.456785,
福岡県,志免町,33,糟屋郡志免町別府西３丁目３－１０,特別養護老人ホームこころ横,33.600212,130.456982,
福岡県,志免町,34,糟屋郡志免町別府西２丁目２１,マルショク空港東店駐車場向い,33.598024,130.454373,
