prefecture,city,number,address,name,lat,long
福岡県,春日市,1-1,春日市一の谷3丁目16番地,一の谷３丁目交差点,33.5204951,130.4500414
福岡県,春日市,1-2,春日市昇町1丁目142番地,春日小学校西側,33.5294169,130.4486568
福岡県,春日市,1-3,春日市昇町3丁目159番地,昇町保育所,33.5289773,130.4453544
福岡県,春日市,1-4,春日市須玖南2丁目172番地,春日中学校南側,33.5340909,130.4471993
福岡県,春日市,1-5,春日市昇町1丁目142番地,春日小学校正門側,33.5294169,130.4486568
福岡県,春日市,1-6,春日市小倉3丁目242番地1,春日市福祉ぱれっと館,33.5292503,130.4498425
福岡県,春日市,1-7,春日市小倉3丁目13番地,小倉第１緑地,33.5307894,130.450678
福岡県,春日市,1-8,春日市小倉7丁目33番地,井ノ尻公園,33.5341026,130.4552933
福岡県,春日市,2-1,春日市若葉台東1丁目51番地,春日東小学校南側,33.5282064,130.4630028
福岡県,春日市,2-2,春日市若葉台東1丁目51番地,春日東小学校正門側,33.5282064,130.4630028
福岡県,春日市,2-3,春日市若葉台東1丁目41番地,春日東中学校正門,33.5285903,130.4617494
福岡県,春日市,2-4,春日市原町3丁目3番地1先道路,光町三丁目バス停横,33.5306807,130.4634402
福岡県,春日市,2-5,春日市原町3丁目1番地5,春日市役所,33.5325883,130.4705044
福岡県,春日市,2-6,春日市千歳町3丁目32番地1,千歳町共同利用施設,33.5330491,130.4654922
福岡県,春日市,2-7,春日市光町2丁目180番地2,光公園,33.5326765,130.4630989
福岡県,春日市,2-8,春日市宝町4丁目15番地3,宝町共同利用施設,33.534419,130.4601269
福岡県,春日市,2-9,春日市若葉台西3丁目4番地1,若葉台中央公園,33.5291818,130.4585953
福岡県,春日市,3-1,春日市岡本3丁目57番地,奴国の丘歴史公園,33.5380881,130.451685
福岡県,春日市,3-2,春日市岡本1丁目35番地,春日北小学校南側,33.5414718,130.4479227
福岡県,春日市,3-3,春日市岡本1丁目35番地,春日北小学校東側,33.5414718,130.4479227
福岡県,春日市,3-4,春日市須玖北2丁目38番地,須玖北公園,33.5447536,130.4449483
福岡県,春日市,3-5,春日市桜ヶ丘5丁目10番地,桜ヶ丘公園,33.5459324,130.4494048
福岡県,春日市,3-6,春日市桜ヶ丘8丁目5番地,欽修市営住宅,33.5480691,130.4493356
福岡県,春日市,3-7,春日市桜ヶ丘7丁目1番地2,桜ヶ丘地区公民館,33.5467506,130.4509566
福岡県,春日市,3-8,春日市桜ヶ丘6丁目107番地先道路,コミュニティバスやよい日の出町２丁目バス停横,33.5460271,130.451892
福岡県,春日市,4-1,春日市春日原北町1丁目3番地1,春日原北緑地,33.5375221,130.4696171
福岡県,春日市,4-2,春日市春日原北町4丁目50番地49,龍神池自転車駐車場横,33.5361889,130.4718811
福岡県,春日市,4-3,春日市原町3丁目7番地2,春日原南第１緑地,33.5353728,130.4685016
福岡県,春日市,4-4,春日市春日原南町4丁目37番地84,春日原共同利用施設,33.5348545,130.4723073
福岡県,春日市,4-5,春日市春日原南町4丁目52番地2,春日原南共同利用施設,33.5332528,130.4746141
福岡県,春日市,4-6,春日市春日原南町4丁目37番地1,春日原小学校東側,33.5336995,130.4731361
福岡県,春日市,4-7,春日市春日原南町4丁目37番地1,春日原小学校西側,33.5336995,130.4731361
福岡県,春日市,4-8,春日市春日原北町5丁目2番地2,ＪＲ春日駅東,33.5354897,130.4687077
福岡県,春日市,5-1,春日市下白水南4丁目134番地,春日西小学校,33.5225802,130.4430423
福岡県,春日市,5-2,春日市下白水南4丁目134番地,春日西小学校東側,33.5225802,130.4430423
福岡県,春日市,5-3,春日市下白水南4丁目10番地1先道路,西中入口北交差点,33.5257826,130.4419546
