prefecture,city,number,address,name,lat,long
福岡県,柳川市,1-1,福岡県柳川市京町京町商店街,市民広場前,33.1671811,130.4103385
福岡県,柳川市,2-1,福岡県柳川市新町５７,風浪宮 東水路防護柵,33.1634785,130.4137968
福岡県,柳川市,3-1,福岡県柳川市細工町５−２,柳河ふれあいセンター,33.1632461,130.411326
福岡県,柳川市,4-1,福岡県柳川市隅町２１,masked,33.1702563,130.4130936
福岡県,柳川市,5-1,福岡県柳川市細工町２２,常光寺正門向かい,33.1656104,130.4109611
福岡県,柳川市,6-1,福岡県柳川市椿原町３７−８,メゾンファミーユ前,33.1644792,130.4115753
福岡県,柳川市,7-1,福岡県柳川市東魚屋町１７−３,柳川市シルバー人材センターフェンス,33.1652242,130.4098038
福岡県,柳川市,1-2,福岡県柳川市上町１,出の橋,33.1710761,130.4075352
福岡県,柳川市,2-2,福岡県柳川市中町１５,柳河小学校前,33.1691655,130.4075759
福岡県,柳川市,3-2,福岡県柳川市新船津町１−４,大門橋東側歩道ガードパイプ,33.1714793,130.4049138
福岡県,柳川市,4-2,福岡県柳川市鍛冶屋町１５−１５,延命橋,33.1663876,130.4045398
福岡県,柳川市,5-2,福岡県柳川市八軒町５,柳河小学校裏門,33.1687896,130.4096025
福岡県,柳川市,6-2,福岡県柳川市糀屋町３７−２,若宮団地広場前,33.1696936,130.4041718
福岡県,柳川市,1-3,福岡県柳川市本町柳川市役所（柳川庁舎）,柳川市役所柳川庁舎前,33.1636651,130.4054988
福岡県,柳川市,2-3,福岡県柳川市本城町５−１,消防本部北側ガードパイプ,33.1620193,130.4039646
福岡県,柳川市,3-3,福岡県柳川市本城町本城町（バス）,筑紫ビル向かい,33.1603405,130.3993674
福岡県,柳川市,4-3,福岡県柳川市新外町１３２−１３,藤平門橋西側,33.1649559,130.4005249
福岡県,柳川市,5-3,福岡県柳川市新外町１,御花前,33.1589121,130.3972539
福岡県,柳川市,6-3,福岡県柳川市本町５２−８,柳川市民体育館前,33.1597312,130.4044689
福岡県,柳川市,7-3,福岡県柳川市本城町柳川高校前（バス）,バス停「柳川高校」横,33.1600501,130.4017324
福岡県,柳川市,1-5,福岡県柳川市筑紫町５６９,等應寺南側,33.1639767,130.3927779
福岡県,柳川市,2-5,福岡県柳川市筑紫町６６１−１,沖端保育園前,33.1611026,130.3954432
福岡県,柳川市,3-5,福岡県柳川市矢留本町うぶすな館,うぶすな館前,33.1558326,130.3937578
福岡県,柳川市,4-5,福岡県柳川市矢留本町４４１−３,矢留開 柳川地方防犯協会沖端支部前ガードパイプ,33.1503771,130.3880899
福岡県,柳川市,5-5,福岡県柳川市上宮永町３９５−１,まるまつストアー西側駐車場フェンス,33.1520894,130.4047937
福岡県,柳川市,6-5,福岡県柳川市弥四郎町１６５,日吉神社前,33.1545021,130.3987452
福岡県,柳川市,7-5,福岡県柳川市吉富町２０８−１,金子酒店西側,33.1500383,130.389476
福岡県,柳川市,8-5,福岡県柳川市吉富町３９２−１,大坪酒店前,33.1470416,130.3915149
福岡県,柳川市,1-7,福岡県柳川市下宮永町３７３,東宮永小学校前,33.1440444,130.4056305
福岡県,柳川市,2-7,福岡県柳川市下宮永町１０８２,中開橋西側付近,33.1375432,130.3994415
福岡県,柳川市,3-7,福岡県柳川市下宮永町１４５−１,柳川農村環境改善センター前,33.1495599,130.4020473
福岡県,柳川市,4-7,福岡県柳川市佃町１６３３−２,野々内十字路（柳川漁業協同組合東宮永支所 東側）,33.1325791,130.4047234
福岡県,柳川市,5-7,福岡県柳川市佃町１５６１−１,四丁開公民館北側,33.1338886,130.4081473
福岡県,柳川市,6-7,福岡県柳川市佃町１２８７−６,御仮橋公民館南,33.1481648,130.4140817
福岡県,柳川市,7-7,福岡県柳川市佃町１０３１−２,江上神社前 (長寿寺北側),33.1401105,130.4101757
福岡県,柳川市,1-8,福岡県柳川市有明町１７４９,有明まほろばセンター前,33.1306175,130.3937584
福岡県,柳川市,2-8,福岡県柳川市大浜町２０８７,霊鷲寺前,33.1281011,130.3924351
福岡県,柳川市,3-8,福岡県柳川市有明町２５３５−７,東の切橋南側交差点,33.1232893,130.4003938
