prefecture,city,number,address,name,lat,long,note
福岡県,福岡市,春吉第一-1,中央区西中洲6番27号,十八親和銀行ビル駐車場フェンス,33.5920947,130.4037078,
福岡県,福岡市,春吉第一-2,中央区春吉一丁目17番38号,春吉小学校正門横,33.5849248,130.4067784,
福岡県,福岡市,春吉第一-3,中央区春吉一丁目17番38号,春吉小学校東門横,33.5849248,130.4067784,
福岡県,福岡市,春吉第一-4,中央区春吉一丁目17番38号,春吉小学校南側,33.5849248,130.4067784,
福岡県,福岡市,春吉第一-5,中央区春吉一丁目17番,春吉公園西側,33.5847191,130.4065155,
福岡県,福岡市,春吉第一-6,中央区渡辺通四丁目6番2号,パーキング 303駐車場フェンス,33.5855841,130.4024819,
福岡県,福岡市,春吉第一-7,中央区渡辺通二丁目1番,電気ビル新館西側,33.5837107,130.4047947,
福岡県,福岡市,春吉第一-8,中央区春吉二丁目3番,六軒屋公園西側,33.58678,130.4091249,
福岡県,福岡市,春吉第二-1,中央区清川三丁目4番,清川公園北側入口横,33.5782521,130.4129471,
福岡県,福岡市,春吉第二-2,中央区清川一丁目4番1号,ロイヤル渡辺通154駐車場,33.5820557,130.408547,
福岡県,福岡市,春吉第二-3,中央区清川二丁目12番,清川中公園入口横,33.5796696,130.4100804,
福岡県,福岡市,春吉第二-4,中央区清川三丁目4番,清川公園西側入口横,33.5782521,130.4129471,
福岡県,福岡市,春吉第二-5,中央区清川一丁目3番,清川一丁目3番歩道,33.5824918,130.4090452,
福岡県,福岡市,春吉第二-6,中央区清川一丁目10番,渡辺通パーキング,33.5819666,130.4077711,
福岡県,福岡市,春吉第二-7,中央区清川二丁目3番,アーベイン渡辺通り南前,33.5796734,130.4123101,
福岡県,福岡市,春吉第二-8,中央区清川二丁目22番8号,FBS福岡放送本社北側,33.5805453,130.4084082,
福岡県,福岡市,警固第一-1,中央区警固一丁目11番1号,警固小学校正門横,33.5839738,130.3930842,
福岡県,福岡市,警固第一-2,中央区警固三丁目13番18号,西光寺入口横,33.58178960000001,130.3914899,
福岡県,福岡市,警固第一-3,中央区警固二丁目11番,警固本町公園,33.583788,130.3905524,
福岡県,福岡市,警固第一-4,中央区警固二丁目8番1号,筑紫女学園高等学校北側,33.581936,130.388899,
福岡県,福岡市,警固第一-5,中央区薬院二丁目13番,薬院北公園前,33.5822773,130.3944708,
福岡県,福岡市,警固第一-6,中央区警固三丁目13番,警固一号公園入口横,33.5815602,130.3914439,
