prefecture,city,number,address,name,lat,long
福岡県,福津市,1,福津市中央1丁目5060番地,福津市役所前バス停横植込み,33.767094,130.490753
福岡県,福津市,2,福津市光陽台1丁目9番地7,旧光陽台下水処理場フェンス,33.767837,130.493997
福岡県,福津市,3,福津市光陽台3丁目10番地1,光陽台３丁目テニスコート公園植込み,33.768542,130.498334
福岡県,福津市,4,福津市光陽台1丁目34番地,美容室ボア・フレア横歩道フェンス,33.767588,130.497257
福岡県,福津市,5,福津市福間駅東1丁目2895番地4,白菊幼稚園入口交差点歩道ガードパイプ,33.762847,130.492568
福岡県,福津市,6,福津市光陽台1丁目25番地1,調整池前歩道ガードパイプ,33.766278,130.49191
福岡県,福津市,7,福津市中央3丁目5171番地,ＪＲ福間駅前広場道路側柵,33.763514,130.486097
福岡県,福津市,8,福津市中央2丁目3482番地1,大和保育所前ガードパイプ,33.768212,130.48819
福岡県,福津市,9,福津市中央4丁目5066番地,上妻整形外科第２駐車場前花壇,33.767067,130.484279
福岡県,福津市,10,福津市中央4丁目5104番地12地先,太郎丸交差点ピザクック前歩道ガードパイプ,33.769687,130.48471
福岡県,福津市,11,福津市中央5丁目3682番地,昭和公園セブンイレブン側入口横柵,33.769104,130.482098
福岡県,福津市,12,福津市中央6丁目3769番地1,福間会館前板鳥邸ブロック塀,33.765752,130.481396
福岡県,福津市,13,福津市西福間1丁目4963番地2,西福間１公民館前フェンス,33.769264,130.478695
福岡県,福津市,14,福津市西福間2丁目3960番地1,福間小学校グラウンド武道館前フェンス,33.766724,130.477868
福岡県,福津市,15,福津市西福間2丁目4037番地4,福間体育センター正面玄関横植込み,33.764576,130.478559
福岡県,福津市,16,福津市中央6丁目2657番地,ＮＴＴ西日本福間電話交換所フェンス,33.76352,130.47941
福岡県,福津市,17,福津市西福間2丁目4013番地,福間郷づくり交流センター,33.764414,130.476312
福岡県,福津市,18,福津市西福間2丁目3960番地1,福間小学校正門横ブロック塀,33.765251,130.477454
福岡県,福津市,19,福津市西福間3丁目4466番地,緑町公民館前フェンス,33.765296,130.473901
福岡県,福津市,20,福津市西福間3丁目2595番地1,南町公民館前フェンス,33.763104,130.472133
福岡県,福津市,21,福津市西福間5丁目4560番地343,西福間１号公園フェンス,33.771506,130.476328
福岡県,福津市,22,福津市花見が浜3丁目2258番地2,向山第２公園フェンス,33.759442,130.471761
福岡県,福津市,23,福津市花見の里3丁目1940番地2,苅目川横ハウス前歩道フェンス,33.755757,130.472034
福岡県,福津市,24,福津市花見の里2丁目5062番地,花見原町団地入口交差点正面ガードパイプ,33.755286,130.474628
福岡県,福津市,25,福津市花見の里1丁目1697番地8,花見の里１丁目苅目川排水池フェンス,33.753182,130.479326
福岡県,福津市,26,福津市花見が丘2丁目1801番地1,福間中学校運動場フェンス,33.756892,130.47643
福岡県,福津市,27,福津市花見が丘1丁目183番地1,花見が丘1丁目公園フェンス,33.761541,130.482176
福岡県,福津市,28,福津市花見が浜1丁目2453番地2,向山バス停そば福間病院敷地,33.760856,130.476812
福岡県,福津市,29,福津市日蒔野1丁目102番地,福間駅さいごう口自動車駐車場,33.763173,130.487151
福岡県,福津市,30,福津市日蒔野3丁目2番地2,日蒔野１２号公園（かんなづき公園）交差点横,33.760452,130.484428
福岡県,福津市,31,福津市福間南3丁目1279番地1地先,寺田公園前バス停ガードレール,33.75695,130.482646
福岡県,福津市,32,福津市有弥の里1丁目5番地1,消防団第７分団格納庫フェンス,33.751881,130.485568
福岡県,福津市,33,福津市日蒔野6丁目33番地1,原町団地南口交差点竹尾緑地側ガードパイプ,33.750457,130.487978
福岡県,福津市,34,福津市日蒔野6丁目17番地,日蒔野８号公園（むつき公園）イオン側,33.755203,130.493438
福岡県,福津市,35,福津市日蒔野4丁目11番地2,福間南小学校体育館駐車場フェンス,33.759983,130.489288
福岡県,福津市,36,福津市福間南1丁目1154番地4,パシオンクレシア前横断歩道正面ガードパイプ,33.7550164,130.487566
福岡県,福津市,37,福津市上西郷10番地14,ミノブチ松田工務店横防火水槽フェンス,33.766849,130.503697
福岡県,福津市,38,福津市上西郷263番地1,鞍掛橋正面,33.760916,130.500452
福岡県,福津市,39,福津市上西郷790番地2,折目酒店横交差点なまずの郷運動公園側ガードパイプ,33.753985,130.506343
福岡県,福津市,40,福津市内殿591番地15,上西郷郷づくり交流センター県道側フェンス,33.757026,130.517311
福岡県,福津市,41,福津市内殿431番地1,内殿公民館入口フェンス,33.749748,130.518705
福岡県,福津市,42,福津市舎利蔵168番地2,舎利蔵防火水槽横ガードレール,33.741281,130.534375
福岡県,福津市,43,福津市畦町447番地3,朝日が丘団地入口歩道ガードパイプ,33.758608,130.521973
