prefecture,city,number,address,name,note,lat,long
福岡県,飯塚市,292,,292　口原橋火の見櫓横,,33.685605,130.712828
福岡県,飯塚市,293,,293　大畑公民館前,,33.698694,130.713664
福岡県,飯塚市,294,,294　石丸公民館前,,33.68186,130.717148
福岡県,飯塚市,295,,295　頴田交流センター入口フェンス,,33.684092,130.729298
福岡県,飯塚市,296,,296　佐藤医院横,,33.687125,130.723546
福岡県,飯塚市,297,,297　北勢田公民館横,,33.697142,130.721616
福岡県,飯塚市,298,,298　新立入口,,33.686315,130.737342
福岡県,飯塚市,299,,299　桜ケ丘バス停留所付近,,33.688788,130.745411
福岡県,飯塚市,300,,300　東勢田３公民館,,33.6917098,130.7410416
福岡県,飯塚市,301,,301　明治第１児童遊園地付近,,33.694629,130.737744
福岡県,飯塚市,302,,302　東勢田１公民館前,,33.690939,130.733524
福岡県,飯塚市,303,,303　木浦岐公民館入口付近,,33.698926,130.728688
福岡県,飯塚市,304,,304　東勢田児童遊園地付近,,33.6911452,130.7364609
福岡県,飯塚市,305,,305　東佐與交差点ガードパイプ,,33.6723532,130.7240024
福岡県,飯塚市,306,,306　西佐與公民館前,,33.663447,130.719485
福岡県,飯塚市,307,,307　鯰田東区広場前,,33.666519,130.713057
福岡県,飯塚市,308,,308　牧野公民館前,,33.67705,130.728741
福岡県,飯塚市,309,,309　鹿毛馬地区公民館前,,33.674443,130.735693
福岡県,飯塚市,310,,310　鹿毛馬上公民館付近,,33.672009,130.739561
福岡県,飯塚市,311,,311　小峠西公民館前,,33.683515,130.749201
福岡県,飯塚市,312,,312　改良住宅入口,,33.684816,130.751189
福岡県,飯塚市,313,,313　石丸団地付近,,33.679372,130.719443
福岡県,飯塚市,314,,314　渡邊プレス工業付近丁字路,,33.67622,130.718917
福岡県,飯塚市,315,,315　中央団地入口（野球場付近）,,33.678852,130.723807
福岡県,飯塚市,316,,316　中央団地３三叉路,,33.68087,130.726357
福岡県,飯塚市,317,,317　旧サンシャインかいた,,33.680115,130.722211
福岡県,飯塚市,260,,260　飯塚市役所庄内支所,,33.636616,130.729892
福岡県,飯塚市,261,,261　綱分関の台団地入口（防火水槽前）,,33.638644,130.730745
福岡県,飯塚市,262,,262　安丸口バス停留所前,,33.630176,130.731082
福岡県,飯塚市,263,,263　庄内栄町市営道祖住宅前,,33.628525,130.727262
福岡県,飯塚市,264,,264　市営住宅大坪改良住宅前,,33.628978,130.725995
福岡県,飯塚市,265,,265　安丸農業倉庫前,,33.631571,130.728052
福岡県,飯塚市,266,,266　立入口,,33.635095,130.725542
福岡県,飯塚市,267,,267　仁保〜赤坂線 赤松交差点,,33.627548,130.736371
福岡県,飯塚市,268,,268　庄内こども園前,,33.622268,130.7335
福岡県,飯塚市,269,,269　市営小僧住宅入口,,33.619754,130.734384
福岡県,飯塚市,270,,270　赤坂新町入口バス停留所,,33.61986,130.737814
福岡県,飯塚市,271,,271　新町二区市営新町西住宅入口,,33.6166046,130.7302758
福岡県,飯塚市,272,,272　ＪＲ筑前庄内駅横,,33.616574,130.73853
福岡県,飯塚市,273,,273　山倉入口交差点,,33.623567,130.742638
福岡県,飯塚市,274,,274　入水入口交差点,,33.619325,130.748607
福岡県,飯塚市,275,,275　筒野バス停留所,,33.610351,130.745342
福岡県,飯塚市,276,,276　高倉入口交差点,,33.607845,130.759826
福岡県,飯塚市,277,,277　仁保集会所内公園,,33.650012,130.729442
福岡県,飯塚市,278,,278　仁保四角バス停留所前,,33.650642,130.727844
福岡県,飯塚市,279,,279　仁保〜 赤松線　（元ヤクルト敷地横）,,33.649504,130.731414
福岡県,飯塚市,280,,280　多田ポケット公園前,,33.645109,130.735563
福岡県,飯塚市,281,,281　大門公民館,,33.6564875,130.7287901
福岡県,飯塚市,282,,282　県道口の原〜稲築線（庄内元吉点滅信号横）,,33.662138,130.729697
福岡県,飯塚市,283,,283　岡本農園直売所前,,33.645695,130.729316
福岡県,飯塚市,284,,284　仁保〜赤坂線（藤田／松尾アパート前）,,33.640249,130.736559
福岡県,飯塚市,285,,285　庄内体育館駐車場,,33.640157,130.723814
福岡県,飯塚市,286,,286　有井〜栄町線（工場団地入口三叉路）,,33.638308,130.726144
福岡県,飯塚市,287,,287　有安団地下交差点付近,,33.643711,130.721485
福岡県,飯塚市,288,,288　有井団地（ゴルフガーデンしろ前）,,33.647708,130.7217
福岡県,飯塚市,289,,289　市道有井団地５号線沿い（トヨペット側）,,33.646733,130.71676
福岡県,飯塚市,290,,290　有井バス停留所前,,33.649934,130.724377
福岡県,飯塚市,291,,291　県道鯰田停車場〜有井線　（防火水槽沿）,,33.654632,130.72293
福岡県,飯塚市,216,,216　飯塚市役所筑穂支所,,33.5699975,130.6465615
福岡県,飯塚市,217,,217　上穂波小学校南側,,33.569765,130.64165
福岡県,飯塚市,218,,218　筑穂元吉公民館,,33.569916,130.638496
福岡県,飯塚市,219,,219　筑穂元吉三軒屋付近ガードレール,,33.5685913,130.6331261
福岡県,飯塚市,220,,220　山口　入口付近ガードレール,,33.561775,130.624121
福岡県,飯塚市,221,,221　山口　サンビレッジ茜入口,,33.556371,130.619851
福岡県,飯塚市,222,,222　上馬敷公民館前,,33.564644,130.618142
福岡県,飯塚市,223,,223　下馬敷公民館付近,,33.5701,130.62469
福岡県,飯塚市,224,,224　大分　消防団格納庫付近,,33.583434,130.628218
福岡県,飯塚市,225,,225　長楽寺団地集会所前,,33.5863,130.62982
福岡県,飯塚市,226,,226　鶯塚集会所前,,33.588672,130.632419
福岡県,飯塚市,227,,227　大分駅前アイアイだいぶ（旧Aコープ）,,33.58991,130.629555
福岡県,飯塚市,228,,228　大分駅前団地集会所,,33.587814,130.629936
福岡県,飯塚市,229,,229　うぐいす台集会所,,33.586996,130.626676
福岡県,飯塚市,230,,230　切畑　入口付近,,33.57973,130.615203
福岡県,飯塚市,231,,231　内住本村公民館前,,33.5863502,130.6049812
福岡県,飯塚市,232,,232　久保山公民館,,33.5986787,130.598234
福岡県,飯塚市,233,,233　内住コミュニティセンター駐車場,,33.5966576,130.5888407
福岡県,飯塚市,234,,234　大野峠付近ガードレール,,33.597291,130.580995
福岡県,飯塚市,235,,235　旧大分小跡地付近ガードパイプ,,33.592815,130.62916
福岡県,飯塚市,236,,236　氷屋集会所,,33.586215,130.644357
福岡県,飯塚市,237,,237　JR吉田踏切前ガードレール,,33.58598,130.646492
福岡県,飯塚市,238,,238　北古賀村中　天理教付近,,33.581703,130.651706
福岡県,飯塚市,239,,239　北古賀　ドリームハイツ付近,,33.581279,130.6551046
福岡県,飯塚市,240,,240　長尾東団地公民館前,,33.581081,130.656888
福岡県,飯塚市,241,,241　出雲東団地南側入口,,33.573903,130.661567
福岡県,飯塚市,242,,242　平塚　旧公民館跡地,,33.569756,130.656578
福岡県,飯塚市,243,,243　長尾三叉路ふれあいバス停,,33.572928,130.650311
福岡県,飯塚市,244,,244　筑穂栄町　筑穂中学校南東側フェンス,,33.572352,130.642558
福岡県,飯塚市,245,,245　嘉穂　筑穂中学校西側フェンス,,33.572633,130.640514
福岡県,飯塚市,246,,246　浦田団地入口ガードレール,,33.575757,130.640015
福岡県,飯塚市,247,,247　阿恵四郎丸橋前,,33.564661,130.639193
福岡県,飯塚市,248,,248　阿恵児童遊園地前,,33.566538,130.647188
福岡県,飯塚市,249,,249　阿恵湯の浦　公民館前,,33.554892,130.64136
福岡県,飯塚市,250,,250　内野横山バス停前,,33.547529,130.640965
福岡県,飯塚市,251,,251　内野小学校フェンス,,33.538734,130.639258
福岡県,飯塚市,252,,252　内野宿展示館前,,33.537082,130.638479
福岡県,飯塚市,253,,253　関屋老松宮前,,33.534372,130.636231
福岡県,飯塚市,254,,254　内野・見定橋付近ガードレール,,33.535509,130.63982
福岡県,飯塚市,255,,255　内野下揚 内野太郎丸防火水槽付近,,33.542836,130.643077
福岡県,飯塚市,256,,256　弥山バス停前ガードレール,,33.541831,130.668631
福岡県,飯塚市,257,,257　弥山公民館前ガードレール,,33.542653,130.669688
福岡県,飯塚市,258,,258　君ヶ畑公民館フェンス,,33.528866,130.66668
福岡県,飯塚市,259,,259　桑曲ゲートボール場フェンス,,33.511789,130.637722
福岡県,飯塚市,1,,1　飯塚市吉原町　新飯塚橋西交差点南側　緑道公園付近,,33.643391,130.68523
福岡県,飯塚市,2,,2　飯塚市稲荷町　児童公園前,,33.643119,130.683038
福岡県,飯塚市,3,,3　飯塚市本町　　飯塚小学校裏門付近,,33.638092,130.682516
福岡県,飯塚市,4,,4　飯塚市東町　　イイヅカコミュニティセンター北側（元いぎすや前）,,33.6363032,130.6850171
福岡県,飯塚市,5,,5　飯塚市本町　　オーヴィジョン飯塚本町前,,33.637513,130.68604
福岡県,飯塚市,6,,6　飯塚市吉原町　芳雄橋西交差点西側（あいタウン横フェンス）,,33.6417070949427,130.686699246019
福岡県,飯塚市,7,,7　飯塚市西町　　旧飯塚医師会付近ガードパイプ,,33.640406,130.679695
福岡県,飯塚市,8,,8　飯塚市徳前　　飯塚小学校正門横,,33.638385,130.681088
福岡県,飯塚市,9,,9　飯塚市西町　　徳前片峰改良住宅集会所,,33.639339,130.677488
福岡県,飯塚市,10,,10　飯塚市徳前　　徳前公園前,,33.636957,130.682508
福岡県,飯塚市,11,,11　飯塚市徳前　　徳前郵便局付近（消防車庫前）,,33.636482,130.679762
福岡県,飯塚市,12,,12　飯塚市徳前　　徳前大橋南側歩道ガードパイプ,,33.632674,130.682426
福岡県,飯塚市,13,,13　飯塚市徳前　　徳前川沿い徳前団地付近（ベスト電器南東側付近）,,33.6352888094328,130.677871523525
福岡県,飯塚市,14,,14　飯塚市菰田東　中田公園フェンス,,33.633293,130.690671
福岡県,飯塚市,15,,15　飯塚市菰田西　飯塚駅横公園植込み,,33.629496,130.689137
福岡県,飯塚市,16,,16　飯塚市菰田東　菰田小学校正門付近,,33.631316,130.692044
福岡県,飯塚市,17,,17　飯塚市菰田東　菰田小学校東側入口（国道沿い） 付近,,33.631349,130.69348
福岡県,飯塚市,18,,18　飯塚市菰田東　菰田交流センター入口付近,,33.6286238337619,130.692181550235
福岡県,飯塚市,19,,19　飯塚市菰田西　飯塚橋南側歩道ガードパイプ,,33.633305,130.68695
福岡県,飯塚市,20,,20　飯塚市芳雄町　飯塚病院救命センター救急車出入口横,,33.641679,130.692737
福岡県,飯塚市,21,,21　飯塚市旧芳雄　サン・アビリティーズいいづか前フェンス,,33.642124,130.695994
福岡県,飯塚市,22,,22　飯塚市柏の森　旧芳雄踏切北側付近（線路沿いフェンス）,,33.639549,130.69265
福岡県,飯塚市,23,,23　飯塚市新飯塚　新飯塚駅ロータリー北側（ビル沿いガードパイプ）,,33.644652,130.693936
福岡県,飯塚市,24,,24　飯塚市芳雄町　飯塚病院正門入口付近（正門と歩行者入口の中間）,,33.642923,130.691327
福岡県,飯塚市,25,,25　飯塚市柏の森　飯塚市歴史資料館付近,,33.643274,130.697769
福岡県,飯塚市,26,,26　飯塚市柏の森　柏の森麻生塾ボウル付近ガードパイプ,,33.6451122354964,130.709234988792
福岡県,飯塚市,27,,27　飯塚市柏の森　飯塚第二中学校入口付近正門横フェンス,,33.636583,130.700911
福岡県,飯塚市,28,,28　飯塚市下三緒　飯塚東交流センター入口付近,,33.631632,130.706231
福岡県,飯塚市,29,,29　飯塚市下三緒　元 金池バス停付近,,33.639321,130.703957
福岡県,飯塚市,30,,30　飯塚市下三緒　下三緒公民館入口付近ガードレール,,33.6335248,130.7034365
福岡県,飯塚市,31,,31　飯塚市鯰田　　県営鯰田団地駐車場付近ガードパイプ,,33.659421,130.702169
福岡県,飯塚市,32,,32　飯塚市鯰田　　世尊寺バス停(線路側)付近,,33.66423,130.699681
福岡県,飯塚市,33,,33　飯塚市鯰田　　JR鯰田駅入口付近,,33.668269,130.701372
福岡県,飯塚市,34,,34　飯塚市鯰田　　鯰田小学校入口,,33.668169,130.705403
福岡県,飯塚市,35,,35　飯塚市鯰田　　鯰田新町公民館付近ガードパイプ,,33.666839,130.709137
福岡県,飯塚市,36,,36　飯塚市鯰田　　畝割公民館前フェンス,,33.676424,130.714207
福岡県,飯塚市,37,,37　飯塚市鯰田　　簀子町公民館前,,33.667129,130.705398
福岡県,飯塚市,38,,38　飯塚市鯰田　　鯰田愛宕団地バス停付近　(旧愛生苑前),,33.653225,130.705267
福岡県,飯塚市,39,,39　飯塚市忠隈　　国道201号バイパス五穀神交差点付近,,33.622559,130.694111
