prefecture,city,number,address,name,lat,long,note
長野県,上松町,1,大字上松1302-116,北上条 町道横上台が峰線交差点Gｒ,35.8093345,137.6842274,緯度経度は怪しい
長野県,上松町,2,大字上松756,下瀬木 玉林院フェンス,35.7861974,137.6963015,緯度経度は怪しい
長野県,上松町,3,本町通り2丁目104-2付近,本 町 塚本歯科医院前防火水槽,35.7855181,137.6956931,
長野県,上松町,4,大字上松159-5,常盤町 上松町ひのきの里総合文化センター前,35.783342,137.6935019,
長野県,上松町,5,駅前通り1丁目62,沖 田 駅前駐車場フェンス,35.7853027,137.6938277,
長野県,上松町,6,本町通り4丁目38,下 町 寺坂土蔵付近Gｒ,35.7818732,137.6944438,
長野県,上松町,7,大字上松811-1,下瀬木 小脇橋付近Gｒ,35.8107364,137.7391014,緯度経度は怪しい
長野県,上松町,8,大字小川1947-ロ-1,北見帰 堀田美容室付近,35.7768686,137.6969949,緯度経度は怪しい
長野県,上松町,9,大字小川2398-1,寝覚1 たせや前駐車場付近,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,10,大字上松1844-9,寝覚2 松原住宅入口付近Gｒ,35.7669072,137.699331,緯度経度は怪しい
長野県,上松町,11,大字小川1975-1付近,北見帰 (株)イリイチ横Gｒ,35.7748834,137.6961412,
長野県,上松町,12,大字萩原2894-1,吉 野 吉野下バス停留所横,35.784029,137.6941543,緯度経度は怪しい
長野県,上松町,13,大字萩原2321-1,小 野 小野バス停向かい側,35.784029,137.6941543,緯度経度は怪しい
長野県,上松町,14,大字上松1770-14,寝覚2 県営住宅寝覚団地入口防火水槽付近,35.7705905,137.7048979,緯度経度は怪しい
長野県,上松町,15,大字上松1744,寝覚1 上松中学校北門付近Gｒ,35.8107364,137.7391014,緯度経度は怪しい
長野県,上松町,16,大字萩原2034-1付近,萩 原 荻原集会所前,35.784029,137.6941543,緯度経度は怪しい
長野県,上松町,17,大字萩原1234-1,立 町 ふれあい交流広場入口,35.784029,137.6941543,緯度経度は怪しい
長野県,上松町,18,大字萩原1182-1,立 町 空沢橋欄干,35.784029,137.6941543,緯度経度は怪しい
長野県,上松町,19,大字萩原381-4,倉本下条 茂澄商店横Gｒ,35.784029,137.6941543,緯度経度は怪しい
長野県,上松町,20,大字萩原925,倉本上条 JR倉本ガード付近,35.784029,137.6941543,緯度経度は怪しい
長野県,上松町,21,大字萩原509-2,倉本上条 倉本新田ポンプ横前,35.784029,137.6941543,緯度経度は怪しい
長野県,上松町,22,大字萩原1580-1,立 町 西野機械工業 (株) 前Gｒ,35.784029,137.6941543,緯度経度は怪しい
長野県,上松町,23,大字萩原1651-1,萩 原 東野入口橋付近,35.784029,137.6941543,緯度経度は怪しい
長野県,上松町,24,大字小川880-2,東里2 東小川生活改善センター前,35.7868429,137.7173922,緯度経度は怪しい
長野県,上松町,25,大字小川2685-1,徳 原 〇〇宅前Gｒ,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,26,大字小川490,芦 島 〇〇宅前,35.7985211,137.725916,緯度経度は怪しい
長野県,上松町,27,大字小川1009-1付近,東里2 神田橋付近Gｒ,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,28,大字小川2525,野 尻 〇〇宅前Gｒ,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,29,大字小川854,大 木 大奈良バス停留所付近,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,30,大字小川3808-102,小田野 灰沢鉱泉入口停留所Gｒ,35.7726085,137.6720902,緯度経度は怪しい
長野県,上松町,31,大字小川4128-3,西 中 西中生活改善センター前Gｒ,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,32,大字小川4230-77,西 中 大畑バス停Gｒ,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,33,大字小川4800-16付近,西 中 高倉橋南側付近Gｒ,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,34,大字小川4702-2,西 奥 焼笹バス停付近,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,35,大字小川4423-1,才 児 〇〇宅付近,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,36,緑町2丁目21,宮 前 上松小学校正門防火水槽付近,35.7805113,137.6944434,
長野県,上松町,37,大字小川1383-3,東里1 町営近所住宅入口Gｒ,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,38,緑町2丁目11-2,宮 前 上松小学校下 烏居Gｒ,35.779539,137.6943472,
長野県,上松町,39,大字小川1703-1,東里1 ひのきの里総合福祉センター フェンス,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,40,大字小川1419付近,東里1 〇〇宅上町道Gｒ,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,41,緑町3丁目1880-1,南栄町 中沢橋北側フェンス,35.7775529,137.6957518,
長野県,上松町,42,栄町1丁目40,北栄町 第3分団詰所前フェンス,35.779448,137.6919806,
長野県,上松町,43,栄町2丁目31-2,北栄町 元日通駐車場フェンス,35.778028,137.6925963,
長野県,上松町,44,大字小川1635-6,東里1 上松町健康増進センター付近町道退避スペース,35.7811309,137.6967331,緯度経度は怪しい
長野県,上松町,45,大字小川1293-1,野 口町営野口コーポラス フェンス,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,46,大字上松1537付近,南上条 町営池島住宅入口,35.7968227,137.686589,緯度経度は怪しい
長野県,上松町,47,大字小川2808-9,南上条 台ケ峰線交差点Gｒ,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,48,大字上松971-10,上旭町 関西電力社宅向かい側土手,35.8107364,137.7391014,緯度経度は怪しい
長野県,上松町,49,旭町3-2,下旭町 上松陸送(株)付近ブロック塀,35.7864053,137.6919739,
長野県,上松町,50,大字小川3173-2,島 島防災コミュニティセンター付近,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,51,大字小川3118-4,鳥 島 バス停フェンス,35.779397,137.6897652,緯度経度は怪しい
長野県,上松町,52,正島町2丁目45,正 島 木曽木材会館フェンス,35.7814299,137.6913649,
長野県,上松町,53,大字小川3518-1,小田野 よろまいか敷地内,35.7525913,137.6356755,緯度経度は怪しい
長野県,上松町,54,正島町2丁目67,正 島 正島公民館横フェンス,35.7814299,137.6913649,
長野県,上松町,55,正島町1丁目17,下旭町 木曽森林管理署庁舎前（向かい側）,35.7846107,137.6905906,
