prefecture,city,number,address,name,lat,long,note
長野県,伊那市,1-1,山寺区,masked,35.849701,137.958405,緯度経度は怪しい
長野県,伊那市,1-2,山寺区,masked,35.849701,137.958405,緯度経度は怪しい
長野県,伊那市,1-3,山寺区,伊那北地域活性化センター,35.849701,137.958405,緯度経度は怪しい
長野県,伊那市,1-4,山寺区,水神橋西交差点,35.849701,137.958405,緯度経度は怪しい
長野県,伊那市,1-5,山寺区,伊那市保健センター西側フェンス,35.849701,137.958405,緯度経度は怪しい
長野県,伊那市,1-6,山寺区,㈱吉川屋東側フェンス,35.849701,137.958405,緯度経度は怪しい
長野県,伊那市,1-7,山寺区,伊那北駅前しなのや駐車場,35.849701,137.958405,緯度経度は怪しい
長野県,伊那市,1-8,山寺区,小鳩園駐車場北側フェンス,35.849701,137.958405,緯度経度は怪しい
長野県,伊那市,1-9,山寺区,竹村建設向かいミニパーク土手,35.849701,137.958405,緯度経度は怪しい
長野県,伊那市,2-1,坂下区,坂下広場フェンス,35.843826,137.956558,緯度経度は怪しい
長野県,伊那市,2-2,坂下区,入口蔦屋ブロック塀,35.843826,137.956558,緯度経度は怪しい
長野県,伊那市,2-3,坂下区,坂下神社玉垣,35.843826,137.956558,緯度経度は怪しい
長野県,伊那市,3-1,荒井区,荒井橋南市道,35.844036,137.9431,緯度経度は怪しい
長野県,伊那市,3-2,荒井区,エビヤ鉄工設備南側ブロック塀,35.844036,137.9431,緯度経度は怪しい
長野県,伊那市,3-3,荒井区,伊那中学校テニスコート,35.844036,137.9431,緯度経度は怪しい
長野県,伊那市,3-4,荒井区,市道錦町１号線大正橋付近ガードレール,35.844036,137.9431,緯度経度は怪しい
長野県,伊那市,3-5,荒井区,伊那市中央駐車場北側フェンス,35.844036,137.9431,緯度経度は怪しい
長野県,伊那市,3-6,荒井区,伊那市再開発ビル駐車場西側フェンス,35.844036,137.9431,緯度経度は怪しい
長野県,伊那市,3-7,荒井区,masked,35.844036,137.9431,緯度経度は怪しい
長野県,伊那市,3-8,荒井区,伊那市創造館北側垣根,35.844036,137.9431,緯度経度は怪しい
長野県,伊那市,3-9,荒井区,仙醸駐車場道路沿いフェンス,35.844036,137.9431,緯度経度は怪しい
長野県,伊那市,3-10,荒井区,荒井神社前県道歩道,35.844036,137.9431,緯度経度は怪しい
長野県,伊那市,3-11,荒井区,室町ポケットパーク,35.844036,137.9431,緯度経度は怪しい
長野県,伊那市,4-1,西町区,masked,35.834656,137.944366,緯度経度は怪しい
長野県,伊那市,4-2,西町区,㈲西村電気工事商会前フェンス,35.834656,137.944366,緯度経度は怪しい
長野県,伊那市,4-3,西町区,割烹いづみ東（歩道）フェンス,35.834656,137.944366,緯度経度は怪しい
長野県,伊那市,4-4,西町区,西町公民館東側水路ガードレール,35.834656,137.944366,緯度経度は怪しい
長野県,伊那市,4-5,西町区,ＭＥＧＡドン・キホーテＵＮＹ伊那店東側駐車場北角鉄柵,35.834656,137.944366,緯度経度は怪しい
長野県,伊那市,4-6,西町区,竜南保育園南側フェンス,35.834656,137.944366,緯度経度は怪しい
長野県,伊那市,4-7,西町区,masked,35.834656,137.944366,緯度経度は怪しい
長野県,伊那市,4-8,西町区,masked,35.834656,137.944366,緯度経度は怪しい
長野県,伊那市,4-9,西町区,masked,35.834656,137.944366,緯度経度は怪しい
長野県,伊那市,4-10,西町区,春日公園第二駐車場南側花壇,35.834656,137.944366,緯度経度は怪しい
長野県,伊那市,4-11,西町区,富士塚スポーツ公園南東角敷地,35.834656,137.944366,緯度経度は怪しい
長野県,伊那市,5-1,大坊,大坊公民館内,35.827499,137.953888,緯度経度は怪しい
長野県,伊那市,5-2,内の萱,内の萱公民館内,35.827499,137.953888,緯度経度は怪しい
長野県,伊那市,6-1,ますみヶ丘区,masked,35.843212,137.914322,緯度経度は怪しい
長野県,伊那市,6-2,ますみヶ丘区,ますみケ丘公民館,35.843212,137.914322,緯度経度は怪しい
長野県,伊那市,6-3,ますみヶ丘区,masked,35.843212,137.914322,緯度経度は怪しい
長野県,伊那市,7-1,小沢区,masked,35.849205,137.927216,緯度経度は怪しい
長野県,伊那市,7-2,中の原,西天竜発電所入口（向かって右側）,35.854412,137.923355,緯度経度は怪しい
長野県,伊那市,7-3,中の原,中の原公民館（庭）,35.854412,137.923355,緯度経度は怪しい
長野県,伊那市,8-1,平沢区,平沢公民館前市道ガードレール,35.854053,137.906433,緯度経度は怪しい
長野県,伊那市,9-1,横山区,横山集会施設内,35.847637,137.895554,緯度経度は怪しい
長野県,伊那市,10-1,境区,境区公民館,35.832008,137.971832,緯度経度は怪しい
長野県,伊那市,10-2,境区,東小学校前交差点東側歩道フェンス,35.832008,137.971832,緯度経度は怪しい
長野県,伊那市,10-3,境区,㈱たちばな南側水路,35.832008,137.971832,緯度経度は怪しい
長野県,伊那市,10-4,境区,masked,35.832008,137.971832,緯度経度は怪しい
長野県,伊那市,10-5,境区,境交差点南側歩道フェンス,35.832008,137.971832,緯度経度は怪しい
長野県,伊那市,11-1,狐島区,竜東橋北交差点ポケットパーク,35.833984,137.960266,緯度経度は怪しい
長野県,伊那市,11-2,上新田区,上新田交差点ポケットパーク,35.827232,137.965225,緯度経度は怪しい
長野県,伊那市,11-3,下新田区,下新田公民館西側フェンス,35.825623,137.95459,緯度経度は怪しい
長野県,伊那市,11-4,下新田区,masked,35.825623,137.95459,緯度経度は怪しい
長野県,伊那市,11-5,下新田区,狐島第一公民館駐車場,35.825623,137.95459,緯度経度は怪しい
長野県,伊那市,11-6,下新田区,市役所前庭信号機付近,35.825623,137.95459,緯度経度は怪しい
長野県,伊那市,11-7,下新田区,JA南信会館西側フェンス,35.825623,137.95459,緯度経度は怪しい
長野県,伊那市,11-8,下新田区,伊那市役所西側駐車場,35.825623,137.95459,緯度経度は怪しい
長野県,伊那市,12-1,中央区,北町竜東線歩道安全柵,35.842743,137.971191,緯度経度は怪しい
長野県,伊那市,12-2,中央区,伊那公民館駐車場西側フェンス,35.842743,137.971191,緯度経度は怪しい
長野県,伊那市,12-3,中央区,中央区公民館スロープガード,35.842743,137.971191,緯度経度は怪しい
長野県,伊那市,12-4,中央区,伊那スタジアムフェンス,35.842743,137.971191,緯度経度は怪しい
長野県,伊那市,12-5,中央区,中央区交差点ポケットパーク,35.842743,137.971191,緯度経度は怪しい
長野県,伊那市,12-6,中央区,警察署前バス停東側フェンス,35.842743,137.971191,緯度経度は怪しい
長野県,伊那市,12-7,中央区,センターテニスコート駐車場,35.842743,137.971191,緯度経度は怪しい
長野県,伊那市,13-1,上牧区,masked,35.853539,137.978836,緯度経度は怪しい
