prefecture,city,number,address,name,lat,long,note
長野県,佐久穂町,1-1,大字海瀬 37-1,ブロック塀又は敷地,36.16020930000001,138.4862908,
長野県,佐久穂町,1-2,大字海瀬 224-6,敷地,36.1563294,138.4841386,
長野県,佐久穂町,1-3,大字海瀬 329-3,ブロック塀,36.1558364,138.4878965,
長野県,佐久穂町,1-4,大字海瀬 693,ブロック塀,36.1524939,138.4975076,
長野県,佐久穂町,1-5,大字海瀬 2744,ブロック塀,36.1534835,138.4819894,
長野県,佐久穂町,1-6,大字海瀬 567,ブロック塀,36.1494867,138.4992419,
長野県,佐久穂町,1-7,大字海瀬 76-5,フェンス,36.158426,138.4873377,
長野県,佐久穂町,1-8,大字海瀬 676,ブロック塀,36.1517186,138.4985856,
長野県,佐久穂町,2-1,大字高野町 622-3,ブロック塀,36.1626284,138.4844893,
長野県,佐久穂町,2-2,大字高野町 469,ブロック塀,36.1640703,138.4843848,
長野県,佐久穂町,2-3,大字高野町 2942,公会場北ブロック塀,36.1637523,138.4876255,
長野県,佐久穂町,2-4,大字高野町 716-1,ラーチ内ガスト塀フェンス,36.1651055,138.4851672,
長野県,佐久穂町,2-5,大字高野町 569,庁舎歩道フェンス,36.161003,138.4834025,
長野県,佐久穂町,2-6,大字高野町 482-9,フェンス,36.1639793,138.4835324,
長野県,佐久穂町,2-7,大字高野町 648-1,町有地敷地,36.163903,138.4860591,
長野県,佐久穂町,3-1,大字高野町 67-1,ブロック塀,36.1607877,138.4805409,
長野県,佐久穂町,3-2,大字高野町 144,ブロック塀,36.1626221,138.4821781,
長野県,佐久穂町,3-3,大字高野町 97-2,敷地,36.1614698,138.4811105,
長野県,佐久穂町,3-4,大字高野町 24,ブロック塀,36.1596866,138.4794868,
長野県,佐久穂町,3-5,大字高野町 413-2,ブロック塀,36.1646992,138.4814995,
長野県,佐久穂町,3-6,大字高野町 328,千曲病院駐車場,36.16156, 138.47805,目視確認済み
長野県,佐久穂町,3-7,大字高野町 1700-6,ブロック塀,36.1634, 138.47708,目視確認済み
長野県,佐久穂町,3-8,大字高野町 1636-2,団地入口,36.16437, 138.47182,目視確認済み
長野県,佐久穂町,4-1,大字高野町 1821-1,ブロック塀,36.1611396,138.473158,
長野県,佐久穂町,4-2,大字上 42-6,ブロック塀,36.1612312,138.4667411,
長野県,佐久穂町,4-3,大字上 1341-2,公道敷,36.16118240000001,138.461546,
長野県,佐久穂町,4-4,大字上 1296,ブロック塀,36.15942870000001,138.4599651,
長野県,佐久穂町,4-5,大字上 1179,ブロック塀,36.1582064,138.4548175,
長野県,佐久穂町,4-6,大字上,大栄生活改善センター土手,36.15096, 138.44199,目視確認済み
長野県,佐久穂町,4-7,大字上 1404,防火水槽フェンス,36.16247, 138.46169,目視確認済み
長野県,佐久穂町,4-8,大字上 1596,ブロック塀,36.1606193,138.4507596,
長野県,佐久穂町,4-9,大字上 2218,玉石積,36.16202850000001,138.4492105,
長野県,佐久穂町,5-1,大字宿岩 86,ブロック塀,36.1671142,138.484826,
長野県,佐久穂町,5-2,大字宿岩 7,ブロック塀,36.1684645,138.4842115,
長野県,佐久穂町,5-3,大字宿岩 58-1,ブロック塀,36.16807240000001,138.4854231,
長野県,佐久穂町,5-4,大字宿岩 96,ブロック塀,36.16781, 138.48604,目視確認済み
長野県,佐久穂町,5-5,大字宿岩,masked,36.17078, 138.48799,目視確認済み
長野県,佐久穂町,6-1,大字平林 71-7,ブロック塀,36.1691431,138.4896491,
長野県,佐久穂町,6-2,大字平林 95-2,吉本アパートA棟フェンス,36.166451,138.4881425,
長野県,佐久穂町,6-3,大字平林 114-5,ブロック塀,36.166229,138.4889715,
長野県,佐久穂町,6-4,大字平林 84-6,空地フェンス,36.1667529,138.4887855,
長野県,佐久穂町,6-5,大字平林 267-1,フェンス,36.1663866,138.4927625,
長野県,佐久穂町,6-6,大字平林 795-1,ブロック塀,36.1607006,138.4963858,
長野県,佐久穂町,6-7,大字平林 93-10,ブロック塀,36.1676292,138.4884844,
長野県,佐久穂町,7-1,大字余地 990,研修センターフェンス,36.156943,138.5225722,
長野県,佐久穂町,7-2,大字余地 28,ブロック塀,36.15427, 138.51569,目視確認済み
長野県,佐久穂町,7-3,大字余地 638,フェンス,36.1645419,138.5377001,
長野県,佐久穂町,7-4,大字余地 834-9,ブロック塀,36.1600713,138.5274591,
長野県,佐久穂町,7-5,大字余地 127,ブロック塀,36.155225,138.5178,
長野県,佐久穂町,7-6,大字余地 733,研修センター敷地内,36.1627826,138.5331909,
長野県,佐久穂町,8-1,大字海瀬 1733,ブロック塀,36.1491561,138.507277,
長野県,佐久穂町,8-2,大字海瀬 6396,フェンス,36.14670479999999,138.5043869,
長野県,佐久穂町,8-3,大字海瀬 5653,敷地内,36.14114, 138.51296,目視確認済み
長野県,佐久穂町,8-4,大字海瀬 公道,団地入口ガードパイプ,36.1542, 138.50817,目視確認済み
長野県,佐久穂町,8-5,大字海瀬 1720-1,ブロック塀,36.1503896,138.5048351,
長野県,佐久穂町,8-6,大字海瀬 5642,公民館板塀,36.13795, 138.51588,目視確認済み
長野県,佐久穂町,8-7,大字海瀬 1688-1,敷地内,36.1506869,138.5085391,
長野県,佐久穂町,9-1,大字大日向 67-3,ブロック塀,36.1444915,138.5224081,
長野県,佐久穂町,9-2,大字大日向 268-1,ブロック塀,36.1429205,138.5291664,
長野県,佐久穂町,9-3,大字大日向 200,ブロック塀,36.14357, 138.52628,目視確認済み
長野県,佐久穂町,9-4,大字大日向 419-ロ,ブロック塀,36.1440997,138.5339339,
長野県,佐久穂町,9-5,大字大日向 594-1,諏訪社敷地内,36.14358259999999,138.5365972,
長野県,佐久穂町,9-6,大字大日向 770-1,敷地,36.1433387,138.5401098,
長野県,佐久穂町,9-7,大字大日向 3295-1,ブロック塀,36.1431104,138.5433744,
長野県,佐久穂町,10-1,大字大日向 2003,道路敷,36.1297059,138.5780969,
長野県,佐久穂町,10-2,大字大日向 1926-イ,板塀,36.1315163,138.5733599,
長野県,佐久穂町,10-3,大字大日向 1717-1,ブロック塀,36.1365617,138.5644712,
長野県,佐久穂町,10-4,大字大日向 1401-2,ブロック塀,36.1375853,138.5597248,
長野県,佐久穂町,10-5,大字大日向 1161-7,団地入口フェンス,36.1420023,138.5532501,
長野県,佐久穂町,11-1,大字海瀬 4647,ブロック塀,36.138956,138.4849759,
長野県,佐久穂町,11-2,大字海瀬 4762-1,りんご園土手,36.13643, 138.48658,目視確認済み
長野県,佐久穂町,11-3,大字海瀬 花岡農村広場フェンス,nan,36.13707, 138.48363,目視確認済み
長野県,佐久穂町,11-4,大字穂積196,フェンス,36.1343373,138.4833203,
長野県,佐久穂町,11-5,大字穂積262,ブロック塀,36.13484529999999,138.4846556,
長野県,佐久穂町,12-1,大字海瀬 4031-1,ブロック塀,36.1390496,138.477793,
長野県,佐久穂町,12-2,大字海瀬 3829,ブロック塀,36.1440029,138.478349,
長野県,佐久穂町,12-3,大字海瀬 3497,ブロック塀,36.1472501,138.4799107,
長野県,佐久穂町,12-4,大字海瀬 3475,ブロック塀,36.1482687,138.4799932,
長野県,佐久穂町,12-5,大字海瀬 3452,白色の塀,36.1492518,138.479876,
長野県,佐久穂町,13-1,大字畑 594-1,板塀,36.14358, 138.47194,目視確認済み
長野県,佐久穂町,13-2,大字畑 675-1,ブロック塀,36.1422136,138.4706646,
長野県,佐久穂町,13-4,大字畑 828-1,ブロック塀,36.1388598,138.4707084,
長野県,佐久穂町,13-5,大字畑 921,ブロック塀,36.1358644,138.4709586,
長野県,佐久穂町,13-6,大字畑 163,旧庁舎敷地,36.13691, 138.47156,目視確認済み
長野県,佐久穂町,13-7,大字畑 124,masked,36.13446, 138.47126,目視確認済み
長野県,佐久穂町,13-9,大字畑 143,旧保育園フェンス,36.1367311,138.472892,
長野県,佐久穂町,13-10,大字千代里 3680-イ,ブロック塀,36.129065,138.4700829,
長野県,佐久穂町,13-11,大字畑 1162,団地入口案内板横,36.12978, 138.46706,目視確認済み
長野県,佐久穂町,13-13,大字畑,千ヶ日向団地ガードレール,36.13034, 138.46576,目視確認済み
長野県,佐久穂町,14-1,大字畑 3810-1,ガードレール,36.1568, 138.47873,目視確認済み
長野県,佐久穂町,14-2,大字畑 3499,研修センターフェンス,36.15113, 138.4752,目視確認済み
長野県,佐久穂町,14-3,大字畑 3323,板塀,36.1495634,138.4745103,
長野県,佐久穂町,14-4,大字畑 3400-1,城山コミュニティセンター前,36.14896, 138.47217,目視確認済み
長野県,佐久穂町,14-5,大字畑 3044,フェンス,36.1450122,138.473277,
長野県,佐久穂町,14-6,大字畑 3050,ブロック塀,36.1444786,138.4729999,
長野県,佐久穂町,15-1,大字畑 4950,ブロック塀,36.1451479,138.4530247,
長野県,佐久穂町,15-2,大字畑 4999-1,ブロック塀,36.1443453,138.4514015,
長野県,佐久穂町,15-3,大字畑 5092,ブロック塀,36.1432615,138.4494575,
長野県,佐久穂町,15-4,大字畑 5068,ブロック塀,36.1443885,138.4490289,
長野県,佐久穂町,15-5,大字畑,大久保公民館,36.15234, 138.47012,目視確認済み
長野県,佐久穂町,15-6,大字畑 4256,ブロック塀,36.1457697,138.4662263,
長野県,佐久穂町,16-1,大字畑 5877-3,ブロック塀,36.1312992,138.4144325,
長野県,佐久穂町,16-2,大字畑 5911-1,道路フェンス,36.129578,138.4118955,
長野県,佐久穂町,16-3,大字八郡 589-1,ブロック塀,36.1290314,138.4472411,
長野県,佐久穂町,16-4,大字八郡 158,ブロック塀,36.1277033,138.4483597,
長野県,佐久穂町,16-5,大字八郡 110-1,ブロック塀,36.1265906,138.4503093,
長野県,佐久穂町,16-6,大字八郡 819-4,ブロック塀,36.1253933,138.4333281,
長野県,佐久穂町,16-7,大字八郡 2487,公民館横ガードレール,36.1159, 138.41958,目視確認済み
長野県,佐久穂町,16-8,大字八郡 2447-1,畑,36.117508,138.4257656,
長野県,佐久穂町,17-1,大字八郡 1356,ガードレール,36.1174305,138.446637,
長野県,佐久穂町,17-2,大字八郡 1684-1,畑,36.115, 138.4424,目視確認済み
長野県,佐久穂町,17-3,大字八郡 1700,ブロック塀,36.1124575,138.4404745,
長野県,佐久穂町,17-4,大字八郡 1983,ガードレール,36.1102014,138.4372962,
長野県,佐久穂町,17-5,大字八郡 2556-3,別荘管理舎前,36.10816, 138.41085,目視確認済み
長野県,佐久穂町,18-1,大字穂積 1335-3,広場,36.1337607,138.4772276,
長野県,佐久穂町,18-2,大字穂積 1534,ブロック塀,36.1318272,138.4763239,
長野県,佐久穂町,18-3,大字穂積 1582,masked,36.12911, 138.47403,目視確認済み
長野県,佐久穂町,18-4,大字穂積1466,はせ小屋,36.13506, 138.47538,目視確認済み
長野県,佐久穂町,19-1,大字穂積1937,フェンス,36.1191463,138.4787723,
長野県,佐久穂町,19-2,大字穂積1962,道路,36.119264,138.4800349,
長野県,佐久穂町,19-3,大字穂積 六原入口三ツ角ガードレール,六原入口三ツ角ガードレール,36.12081, 138.47653,目視確認済み
長野県,佐久穂町,19-4,大字穂積2365,フェンス,36.1175809,138.4766322,
長野県,佐久穂町,19-5,大字穂積2426,フェンス,36.1162991,138.4768248,
長野県,佐久穂町,19-6,大字穂積2553,ブロック塀,36.113759,138.4774629,
長野県,佐久穂町,19-7,大字穂積2578,ブロック塀,36.1129215,138.4778557,
長野県,佐久穂町,19-8,大字穂積3316,ブロック塀,36.1124402,138.4943206,
長野県,佐久穂町,20-1,大字千代里4326,ブロック塀,36.1245259,138.4583401,
長野県,佐久穂町,20-2,大字千代里4308,ブロック塀,36.1234255,138.4579775,
長野県,佐久穂町,20-3,大字千代里4127-1,公民館前道路脇,36.12387,138.4594015,
長野県,佐久穂町,20-4,大字千代里4649-36,防火池道路脇,36.10853, 138.45108,目視確認済み
長野県,佐久穂町,20-5,大字千代里5084-63,畑,36.10381, 138.43981,目視確認済み
