prefecture,city,number,address,name,lat,long,note
長野県,南牧村,1,大字海ノ口764先,大芝入口北側歩道上,36.0255958,138.4885537,緯度経度は怪しい
長野県,南牧村,2,大字海ノ口235－3,坂本 功氏畑,36.0083977,138.4887224,緯度経度は怪しい
長野県,南牧村,3,大字海ノ口204－5,masked,36.0083977,138.4887224,緯度経度は怪しい
長野県,南牧村,4,大字海ノ口1033,NTT海ノ口交換局敷地（社協前）,36.0083977,138.4887224,緯度経度は怪しい
長野県,南牧村,5,大字海ノ口978－3先,南牧北小学校校門左,36.0219687,138.4900134,緯度経度は怪しい
長野県,南牧村,6,大字深山口1057－1,masked,34.986469,136.2318819,緯度経度は怪しい
長野県,南牧村,7,大字海ノ口1132－2先,中央公民館東側歩道上,36.0083977,138.4887224,緯度経度は怪しい
長野県,南牧村,8,大字平沢203,masked,35.9176722,138.4507133,緯度経度は怪しい
長野県,南牧村,9,大字平沢82,masked,35.9164096,138.450952,緯度経度は怪しい
長野県,南牧村,10,大字平沢94,masked,35.9157482,138.4506397,緯度経度は怪しい
長野県,南牧村,11,大字平沢175,masked,35.9150577,138.450338,緯度経度は怪しい
長野県,南牧村,12,大字平沢166,masked,35.9147371,138.4503588,緯度経度は怪しい
長野県,南牧村,13,大字平沢320,JA長野八ヶ岳平沢給油所,35.9161907,138.4737282,緯度経度は怪しい
長野県,南牧村,14,大字平沢154,masked,35.9138931,138.4507642,緯度経度は怪しい
長野県,南牧村,15,大字平沢157,masked,35.9142237,138.4503143,緯度経度は怪しい
長野県,南牧村,16,大字板橋49－1,JA長野八ヶ岳予冷庫敷地,35.9839438,138.4854419,緯度経度は怪しい
長野県,南牧村,17,大字板橋750,masked,35.977354,138.4821178,緯度経度は怪しい
長野県,南牧村,18,大字板橋68,masked,35.9781455,138.4817435,緯度経度は怪しい
長野県,南牧村,19,大字板橋71－4,三井三男氏倉庫,35.9774815,138.4825035,緯度経度は怪しい
長野県,南牧村,20,大字板橋69,吉澤安則氏倉庫,35.9778135,138.4813082,緯度経度は怪しい
長野県,南牧村,21,大字板橋823,旧消防器具置場,35.9716913,138.4337638,緯度経度は怪しい
長野県,南牧村,22,大字板橋875先,masked,35.9736614,138.479707,緯度経度は怪しい
長野県,南牧村,23,大字板橋1409,masked,35.9727901,138.4800937,緯度経度は怪しい
長野県,南牧村,24,大字広瀬440,菊池健泰氏墓地塀,36.0005221,138.5237246,緯度経度は怪しい
長野県,南牧村,25,大字広瀬568,広瀬旧精米所上の防火水槽,36.008215,138.5141926,緯度経度は怪しい
長野県,南牧村,26,大字広瀬507,故菊池孝之氏倉庫,36.0098303,138.5151997,緯度経度は怪しい
長野県,南牧村,27,大字広瀬624,masked,36.007317,138.5143075,緯度経度は怪しい
長野県,南牧村,28,大字広瀬1245－1,masked,36.0005221,138.5237246,緯度経度は怪しい
長野県,南牧村,29,大字広瀬1112－口,masked,35.995331,138.5197625,緯度経度は怪しい
長野県,南牧村,30,大字広瀬1139,masked,35.9949854,138.5210379,緯度経度は怪しい
長野県,南牧村,31,大字広瀬1099,masked,35.9955655,138.5196519,緯度経度は怪しい
長野県,南牧村,32,大字海尻321－1,masked,36.0442562,138.4703844,緯度経度は怪しい
長野県,南牧村,33,大字海尻374,masked,36.0427944,138.470707,緯度経度は怪しい
長野県,南牧村,34,大字海尻393,海尻精米所,36.0424049,138.4706545,緯度経度は怪しい
長野県,南牧村,35,大字海尻555－1,masked,36.04122020000001,138.4716953,緯度経度は怪しい
長野県,南牧村,36,大字海尻601,masked,36.0397488,138.4719248,緯度経度は怪しい
長野県,南牧村,37,大字海尻570,masked,36.0403244,138.4723328,緯度経度は怪しい
長野県,南牧村,38,大字海尻595,masked,36.0394447,138.4722014,緯度経度は怪しい
長野県,南牧村,39,大字海尻1131,海尻農村広場,36.0362117,138.475156,緯度経度は怪しい
長野県,南牧村,40,大字海ノ口1769,海ノ口ゲートボール場,36.0083977,138.4887224,緯度経度は怪しい
長野県,南牧村,41,大字海ノ口1728,masked,36.0080831,138.4974888,緯度経度は怪しい
長野県,南牧村,42,大字海ノ口1692,masked,36.0078434,138.4978766,緯度経度は怪しい
長野県,南牧村,43,大字海ノ口1676,岸金一成氏倉庫,36.00757830000001,138.4988384,緯度経度は怪しい
長野県,南牧村,44,大字海ノ口2181－1,一本松防除用水付近,36.0083977,138.4887224,緯度経度は怪しい
長野県,南牧村,45,大字海ノ口2155,大村邸江氏倉庫,36.0083977,138.4887224,緯度経度は怪しい
長野県,南牧村,46,大字海ノ口2051－4,JA長野八ヶ岳太原集荷所,35.9930224,138.5016908,緯度経度は怪しい
長野県,南牧村,47,大字海ノ口2196,市場集落センター敷地,36.0083977,138.4887224,緯度経度は怪しい
長野県,南牧村,48,大字野辺山79－20,南牧村複合支援ハウス きぼうの家敷地,35.9571717,138.4741167,緯度経度は怪しい
長野県,南牧村,49,大字野辺山79－9,銀河公園敷地,35.9563161,138.473531,緯度経度は怪しい
長野県,南牧村,50,大字野辺山34－1,中島雄一氏フェンス,35.9554264,138.4737434,緯度経度は怪しい
長野県,南牧村,51,大字野辺山381,青木雅徳氏防風林,35.9554264,138.4737434,緯度経度は怪しい
長野県,南牧村,52,大字野辺山462－1,信州大学野辺山農場敷地,35.94900210000001,138.4726391,緯度経度は怪しい
長野県,南牧村,53,大字野辺山155,masked,35.952181,138.472069,緯度経度は怪しい
長野県,南牧村,54,大字野辺山274,masked,35.9460478,138.4695607,緯度経度は怪しい
長野県,南牧村,55,大字野辺山110,総合グランド入り口,35.9559114,138.4696875,緯度経度は怪しい
