prefecture,city,number,address,name,lat,long,note
長野県,小布施町,1-1,小布施 915番地2,小布施 915番地2,36.691729,138.3148443,緯度経度は怪しい
長野県,小布施町,1-2,小布施 796番地3,小布施 796番地3,36.7087248,138.2928715,緯度経度は怪しい
長野県,小布施町,1-3,小布施 595番地,小布施 595番地,36.6988492,138.3187356,緯度経度は怪しい
長野県,小布施町,1-4,小布施 1458番地1,小布施 1458番地1,36.6981904,138.31457,緯度経度は怪しい
長野県,小布施町,1-5,小布施1507番地8,小布施1507番地8,36.6979025,138.3114832,緯度経度は怪しい
長野県,小布施町,1-6,小布施1077番地2,小布施1077番地2,36.6960653,138.3132231,緯度経度は怪しい
長野県,小布施町,1-7,福原220番地56,福原220番地56,36.6890311,138.3147569,緯度経度は怪しい
長野県,小布施町,2-8,小布施2367番地16,小布施2367番地16,36.7087248,138.2928715,緯度経度は怪しい
長野県,小布施町,2-9,大島83番地,大島83番地,36.6904164,138.3042159,緯度経度は怪しい
長野県,小布施町,2-10,小布施1601番地2,小布施1601番地2,36.7087248,138.2928715,緯度経度は怪しい
長野県,小布施町,2-11,小布施2049番地1,小布施2049番地1,36.7087248,138.2928715,緯度経度は怪しい
長野県,小布施町,2-12,山王島77番地2,山王島77番地2,36.7062698,138.3028342,緯度経度は怪しい
長野県,小布施町,2-13,山王島99番地1,山王島99番地1,36.7062698,138.3028342,緯度経度は怪しい
長野県,小布施町,2-14,小布施2488番地9,小布施2488番地9,36.7087248,138.2928715,緯度経度は怪しい
長野県,小布施町,2-15,飯田556番地,飯田556番地,36.6958636,138.2992576,緯度経度は怪しい
長野県,小布施町,3-16,小布施1200番地3,小布施1200番地3,36.7014065,138.3149399,緯度経度は怪しい
長野県,小布施町,3-17,北岡467番地1,北岡467番地1,36.7074615,138.312176,緯度経度は怪しい
長野県,小布施町,3-18,押羽473番地1,押羽473番地1,36.7178189,138.3115531,緯度経度は怪しい
長野県,小布施町,3-19,都住253番地1,都住253番地1,36.7052863,138.3188839,緯度経度は怪しい
長野県,小布施町,3-20,都住944番地1,都住944番地1,36.7085549,138.3239674,緯度経度は怪しい
長野県,小布施町,3-21,都住896番地1,都住896番地1,36.7173781,138.3314873,緯度経度は怪しい
長野県,小布施町,3-22,都住468番地1,都住468番地1,36.7173781,138.3314873,緯度経度は怪しい
長野県,小布施町,3-23,都住136番地1,都住136番地1,36.7012813,138.3212573,緯度経度は怪しい
長野県,小布施町,4-24,小布施298番地1,小布施298番地1,36.7087248,138.2928715,緯度経度は怪しい
長野県,小布施町,4-25,小布施 56 番地2,小布施 56 番地2,36.6967016,138.3202209,緯度経度は怪しい
長野県,小布施町,4-26,中松 753 番地2,中松 753 番地2,36.7013023,138.3262889,緯度経度は怪しい
長野県,小布施町,4-27,中松 111 番地4,中松 111 番地4,36.6952801,138.323072,緯度経度は怪しい
長野県,小布施町,4-28,雁田 568 番地1,雁田 568 番地1,36.69383250000001,138.3339796,緯度経度は怪しい
長野県,小布施町,4-29,中松193番地,中松193番地,36.7012435,138.3277491,緯度経度は怪しい
長野県,小布施町,4-30,小布施490番地,小布施490番地,36.6944183,138.317666,緯度経度は怪しい
長野県,小布施町,4-31,中松4番地1,中松4番地1,36.6892297,138.3221617,緯度経度は怪しい
