prefecture,city,number,address,name,lat,long,note
長野県,小海町,1,大字稲子767,masked,36.046597,138.450368,
長野県,小海町,2,大字稲子681,masked,36.0447285,138.452303,
長野県,小海町,3,大字豊里4642,masked,36.0454271,138.4567687,
長野県,小海町,4,大字稲子45,芦平区掲示板,36.0373326,138.4287702,緯度経度は怪しい
長野県,小海町,5,大字豊里4292,国際交流センター前,36.0508988,138.4582308,
長野県,小海町,6,大字豊里4360,松原精米所板壁,36.0507075,138.4593873,緯度経度は怪しい
長野県,小海町,7,大字豊里4232,松原保育所フェンス,36.0662245,138.4437522,緯度経度は怪しい
長野県,小海町,8,大字豊里3765-1,masked,36.0584712,138.4645971,
長野県,小海町,9,大字豊里2945,八那池上村バス停向いのフェンス,36.0662245,138.4437522,緯度経度は怪しい
長野県,小海町,10,大字豊里3047-1,松原観光タクシー跡地擁壁,36.0662245,138.4437522,緯度経度は怪しい
長野県,小海町,11,大字豊里2826,masked,36.0578933,138.4668909,
長野県,小海町,12,大字豊里2078-1,ナナーズ小海店,36.0692939,138.4754649,緯度経度は怪しい
長野県,小海町,13,大字豊里1212,釜掛精米所前面の板壁,36.0777206,138.4791293,緯度経度は怪しい
長野県,小海町,14,大字豊里865,二子池集会場石垣,36.0662245,138.4437522,緯度経度は怪しい
長野県,小海町,15,大字豊里798,小海町総合センター前フェンス,36.084306,138.4798938,緯度経度は怪しい
長野県,小海町,16,大字豊里148,旧土田屋旅館前道路フェンス,36.0895552,138.4816795,緯度経度は怪しい
長野県,小海町,17,大字豊里251,masked,36.0927687,138.481752,緯度経度は怪しい
長野県,小海町,18,大字豊里288,masked,36.0946185,138.4830886,緯度経度は怪しい
長野県,小海町,19,大字豊里281-1,小原団地入口道路法面,36.0942082,138.4826025,緯度経度は怪しい
長野県,小海町,20,大字豊里5766-87,杉尾集落入口付近,36.0868959,138.4639307,緯度経度は怪しい
長野県,小海町,21,大字豊里95-2,千曲屋前ガードパイプ,36.0939523,138.4834064,緯度経度は怪しい
長野県,小海町,22,大字千代里1305,宮下公民館フェンス,36.1093718,138.4775404,
長野県,小海町,23,大字千代里2332,masked,36.1122241,138.4734403,緯度経度は怪しい
長野県,小海町,24,大字千代里2474-1,篠原隆俊さん畑法面,36.0800625,138.4337638,緯度経度は怪しい
長野県,小海町,25,大字千代里3627-3,大田団地入口フェンス,36.0800625,138.4337638,緯度経度は怪しい
長野県,小海町,26,大字千代里3595-1,旧道入口ガードパイプ（本間下標示下）,36.0800625,138.4337638,緯度経度は怪しい
長野県,小海町,27,大字千代里3532,本間JAスタンド北側国道フェンス（バス停横）,36.1227332,138.4691174,
長野県,小海町,28,大字千代里2399,masked,36.1144762,138.4734908,緯度経度は怪しい
長野県,小海町,29,大字千代里3014,古川団地入口ガードパイプ,36.1188721,138.4724903,緯度経度は怪しい
長野県,小海町,30,大字千代里3532,masked,36.1227332,138.4691174,
長野県,小海町,31,大字千代里245,五箇集落入口交差点,36.0800625,138.4337638,緯度経度は怪しい
長野県,小海町,32,大字千代里1594,masked,36.0902512,138.448986,
長野県,小海町,33,大字千代里1985,入相沢三叉路道路法面,36.0968186,138.4583603,緯度経度は怪しい
長野県,小海町,34,大字千代里1983,masked,36.0966905,138.4592453,緯度経度は怪しい
長野県,小海町,35,大字小海4041-1,小海保育所ガードパイプ,36.0813672,138.4821253,緯度経度は怪しい
長野県,小海町,36,大字小海4159,masked,36.0847913,138.4824893,緯度経度は怪しい
長野県,小海町,37,大字小海4269,佐久病院小海診療所前ガードレール,36.0883125,138.4825038,緯度経度は怪しい
長野県,小海町,38,大字小海4297,嶋屋本店前歩道ガードパイプ,36.0903746,138.4830338,
長野県,小海町,39,大字小海4395,馬流橋卒道路切前ガードパイプ,36.0866795,138.5137217,緯度経度は怪しい
長野県,小海町,40,大字小海4258-1,旧依田電機フェンス,36.0880361,138.48353,緯度経度は怪しい
長野県,小海町,41,大字小海4391-2,masked,36.0866795,138.5137217,緯度経度は怪しい
長野県,小海町,42,大字小海4453,masked,36.0871605,138.4853352,緯度経度は怪しい
長野県,小海町,43,大字小海4439-1,masked,36.0869133,138.4840214,緯度経度は怪しい
長野県,小海町,44,大字小海4265-1,土村公民館ガードパイプ,36.0866795,138.5137217,緯度経度は怪しい
長野県,小海町,45,大字小海2997-5,masked,36.0799516,138.4881777,緯度経度は怪しい
長野県,小海町,46,大字小海3861,大畑町営住宅横直近,36.0770533,138.4828704,緯度経度は怪しい
長野県,小海町,47,大字小海3962,大畑掲示板サイレン直近,36.079784,138.4835375,
長野県,小海町,48,大字小海3244,芦谷公民館北側鉄塔ガードレール,36.0866795,138.5137217,緯度経度は怪しい
長野県,小海町,49,大字小海3123-42,芳ノ窪町営団地入口,36.0725898,138.4827165,
長野県,小海町,50,大字小海3606,箕輪バス停横,36.065065,138.4772138,
長野県,小海町,51,大字小海3448-5,伊藤英夫直近道路側フェンス,36.0563587,138.470184,緯度経度は怪しい
長野県,小海町,52,大字小海2348,小海原公民館前,36.0553569,138.4766328,緯度経度は怪しい
長野県,小海町,53,大字小海2410-1,小海原集荷所直近電柱付近,36.0634508,138.4844838,緯度経度は怪しい
長野県,小海町,54,大字小海502,masked,36.0610724,138.5024011,緯度経度は怪しい
長野県,小海町,55,大字小海657,本村火の見（馬場平）,36.0650934,138.504007,緯度経度は怪しい
長野県,小海町,56,大字小海895-2,待避所ガードレール,36.0866795,138.5137217,緯度経度は怪しい
長野県,小海町,57,大字小海974,masked,36.0685972,138.4997596,緯度経度は怪しい
長野県,小海町,58,大字小海1655,masked,36.0696126,138.4969042,緯度経度は怪しい
長野県,小海町,59,大字小海1515,旧本村保育所前県道ガードパイプ,36.0683002,138.4987448,緯度経度は怪しい
長野県,小海町,60,大字小海1693,中村火の見,36.0715266,138.4968211,緯度経度は怪しい
長野県,小海町,61,大字小海8205,masked,36.0814255,138.5213995,緯度経度は怪しい
長野県,小海町,62,大字小海7953,masked,36.082052,138.520992,緯度経度は怪しい
長野県,小海町,63,大字小海8052番地1,masked,36.0845206,138.5233162,緯度経度は怪しい
長野県,小海町,64,大字小海8086-3,簡易郵便局前（旧消防小屋付近）,36.0866795,138.5137217,緯度経度は怪しい
長野県,小海町,65,大字小海8896,区の掲示板横石垣直近,36.0807444,138.5315803,緯度経度は怪しい
長野県,小海町,66,大字小海8788,部落入口バス停直近,36.0818506,138.5284136,緯度経度は怪しい
長野県,小海町,67,大字小海4886,卒道入口バス停ガードレール,36.0935416,138.4866926,
長野県,小海町,68,大字小海5859,三区児童遊園地フェンス,36.0963129,138.503429,緯度経度は怪しい
長野県,小海町,69,大字小海5859,笠原部落入口大カーブ道路法面,36.0963129,138.503429,緯度経度は怪しい
長野県,小海町,70,大字小海5229,笠原方面旧分岐点手前道路,36.090474,138.4957193,緯度経度は怪しい
長野県,小海町,71,大字小海5350,masked,36.0898757,138.4986024,緯度経度は怪しい
長野県,小海町,72,大字小海5226,masked,36.0866795,138.5137217,緯度経度は怪しい
長野県,小海町,73,大字東馬流4036,masked,36.1010475,138.484378,
長野県,小海町,74,大字東馬流4034,masked,36.1011783,138.4845144,緯度経度は怪しい
長野県,小海町,75,大字東馬流3992,masked,36.1017553,138.4852794,
長野県,小海町,76,大字東馬流3006-1,masked,36.1027215,138.4843418,
長野県,小海町,77,大字千代里3-2,内田孔建設横フェンス,36.0800625,138.4337638,緯度経度は怪しい
長野県,小海町,78,大字千代里909,小海高校登り口ガードレール,36.0800625,138.4337638,緯度経度は怪しい
長野県,小海町,79,大字千代里754-2,公民館入口掲示板ガードレール,36.0800625,138.4337638,緯度経度は怪しい
