prefecture,city,number,address,name,lat,long
長野県,松川村,1,緑町　松川村役場駐車場　北フェンス,緑町　松川村役場駐車場　北フェンス,36.4248348,137.8546822
長野県,松川村,2,緑町　松川村商工会駐車場　南フェンス,緑町　松川村商工会駐車場　南フェンス,36.4252795,137.8574596
長野県,松川村,3,masked,masked,36.4278332,137.8572522
長野県,松川村,4,東部　佐藤石材店　北東塀,東部　佐藤石材店　北東塀,36.43486,137.8568179
長野県,松川村,5,東部　松川村就労センター　北フェンス,東部　松川村就労センター　北フェンス,36.431046,137.8583291
長野県,松川村,6,緑町　いろは亭 　南柵,緑町　いろは亭 　南柵,36.4260085,137.8585932
長野県,松川村,7,masked,masked,36.4233226,137.8605412
長野県,松川村,8,masked,masked,36.4219654,137.8615629
長野県,松川村,9,三軒家　黒岩商店　東フェンス,三軒家　黒岩商店　東フェンス,36.421243,137.8578933
長野県,松川村,10,masked,masked,36.4192002,137.8580419
長野県,松川村,11,masked,masked,36.4145095,137.8584433
長野県,松川村,12,masked,masked,36.413942,137.8532653
長野県,松川村,13,西原　西原公民館　東フェンス,西原　西原公民館　東フェンス,36.4108686,137.84502
長野県,松川村,14,masked,masked,36.4203973,137.8493702
長野県,松川村,15,masked,masked,36.4253526,137.8481962
長野県,松川村,16,中部　消防団(旧)第6分団火の見,中部　消防団(旧)第6分団火の見,36.4248887,137.8450599
長野県,松川村,17,中部　町屋公会堂　西,中部　町屋公会堂　西,36.4291211,137.8481255
長野県,松川村,18,masked,masked,36.4306015,137.8521413
長野県,松川村,19,masked,masked,36.4341876,137.850562
長野県,松川村,20,masked,masked,36.4367401,137.849658
長野県,松川村,21,masked,masked,36.4362107,137.8446911
長野県,松川村,22,masked,masked,36.4310938,137.8457953
長野県,松川村,23,川西　一本松　南西県道沿い,川西　一本松　南西県道沿い,36.433532,137.8344286
長野県,松川村,24,川西　川西公民館　西,川西　川西公民館　西,36.4292981,137.8356354
長野県,松川村,25,川西　県道有明大町線　矢地橋西十字路,川西　県道有明大町線　矢地橋西十字路,36.4205836,137.838229
長野県,松川村,26,西原　県道有明大町線　かぼちゃ山農場東,西原　県道有明大町線　かぼちゃ山農場東,36.4172892,137.8413041
長野県,松川村,27,西原　消防団(旧)第3分団詰所火の見,西原　消防団(旧)第3分団詰所火の見,36.405075,137.8492103
長野県,松川村,28,masked,masked,36.4015753,137.8515483
長野県,松川村,29,masked,masked,36.4126494,137.8586829
長野県,松川村,30,masked,masked,36.4060797,137.8614477
長野県,松川村,31,masked,masked,36.4030358,137.8615137
長野県,松川村,32,細野　寄って停まつかわ　西,細野　寄って停まつかわ　西,36.3955391,137.8678248
長野県,松川村,33,masked,masked,36.3893883,137.8684778
長野県,松川村,34,細野　国道沿い白フェンス,細野　国道沿い白フェンス,36.3923081,137.8638647
長野県,松川村,35,masked,masked,36.3969512,137.8617576
長野県,松川村,36,南神戸　南神戸会館前,南神戸　南神戸会館前,36.3941133,137.8479512
長野県,松川村,37,南神戸　㈱鍋林南歩道フェンス,南神戸　㈱鍋林南歩道フェンス,36.391704,137.8408376
長野県,松川村,38,masked,masked,36.3873753,137.8356578
長野県,松川村,39,鼠穴　㈱平林工業資材置場　南県道沿い,鼠穴　㈱平林工業資材置場　南県道沿い,36.3930692,137.8386021
長野県,松川村,40,masked,masked,36.4069765,137.8636033
長野県,松川村,41,masked,masked,36.4048317,137.8653281
長野県,松川村,42,東細野　東細野会館　東フェンス,東細野　東細野会館　東フェンス,36.4103885,137.86493
長野県,松川村,43,masked,masked,36.4123714,137.8655357
長野県,松川村,44,masked,masked,36.4121336,137.8635257
長野県,松川村,45,東松川南　中山製菓舗　南村有地フェンス,東松川南　中山製菓舗　南村有地フェンス,36.4156008,137.8627214
長野県,松川村,46,東松川南　中学校東　個人水田畦,東松川南　中学校東　個人水田畦,36.4180796,137.8675137
長野県,松川村,47,東松川南　㈲清和南,東松川南　㈲清和南,36.4206182,137.8644193
長野県,松川村,48,東松川　高瀬川大橋西　交差点北,東松川　高瀬川大橋西　交差点北,36.4225861,137.8666558
長野県,松川村,49,masked,masked,36.426211,137.864193
長野県,松川村,50,masked,masked,36.4276451,137.8625818
長野県,松川村,51,masked,masked,36.4290551,137.861368
