prefecture,city,number,address,name,lat,long
長野県,松川町,1,,1,35.5782777777778,137.913583333333
長野県,松川町,2,,2,35.5837809,137.9121354
長野県,松川町,3,,3,35.5816666666667,137.915111111111
長野県,松川町,4,,4,35.58651,137.9116665
長野県,松川町,5,,5,35.5908055555556,137.913861111111
長野県,松川町,6,,6,35.5958055555556,137.913138888889
長野県,松川町,7,,7,35.5963055555556,137.915611111111
長野県,松川町,8,,8,35.5960277777778,137.915111111111
長野県,松川町,9,,9,35.5940833333333,137.915638888889
長野県,松川町,10,,10,35.5961933,137.9178012
長野県,松川町,11,,11,35.5951666666667,137.918083333333
長野県,松川町,12,,12,35.5981666666667,137.917472222222
長野県,松川町,13,,13,35.597494,137.9209044
長野県,松川町,14,,14,35.5969174,137.9264242
長野県,松川町,15,,15,35.6004346,137.9253809
長野県,松川町,16,,16,35.5967666,137.9093087
長野県,松川町,17,,17,35.5967843,137.910757
長野県,松川町,18,,18,35.5981972,137.9064917
長野県,松川町,19,,19,35.5914166666667,137.902861111111
長野県,松川町,20,,20,35.5878862,137.8980387
長野県,松川町,21,,21,35.5871459,137.9069632
長野県,松川町,22,,22,35.5914088,137.8990363
長野県,松川町,23,,23,35.5833055555556,137.906833333333
長野県,松川町,24,,24,35.5971662,137.8858333
長野県,松川町,25,,25,35.6028889,137.8879444
長野県,松川町,26,,26,35.6068213,137.8907488
長野県,松川町,27,,27,35.6122072,137.8916692
長野県,松川町,28,,28,35.6077429,137.9041916
長野県,松川町,29,,29,35.6027375,137.897435
長野県,松川町,30,,30,35.600183,137.8927534
長野県,松川町,31,,31,35.60447,137.8920927
長野県,松川町,32,,32,35.6051666666667,137.881944444444
長野県,松川町,33,,33,35.6089444444444,137.875
長野県,松川町,34,,34,35.6060555555556,137.920027777778
長野県,松川町,35,,35,35.6093055555556,137.917222222222
長野県,松川町,36,,36,35.6158888888889,137.909916666667
長野県,松川町,37,,37,35.6146111111111,137.903777777778
長野県,松川町,38,,38,35.6174722222222,137.9045
長野県,松川町,39,,39,35.6180833333333,137.903416666667
長野県,松川町,40,,40,35.6174444444444,137.90025
長野県,松川町,41,,41,35.6212777777778,137.903333333333
長野県,松川町,42,,42,35.6236944444444,137.902305555556
長野県,松川町,43,,43,35.6162849,137.8909779
長野県,松川町,44,,44,35.6202222222222,137.892361111111
長野県,松川町,45,,45,35.6203888888889,137.894194444444
長野県,松川町,46,,46,35.6233888888889,137.895027777778
長野県,松川町,47,,47,35.6296666666667,137.89775
長野県,松川町,48,,48,35.6357222222222,137.898444444444
長野県,松川町,49,,49,35.6351086,137.9001947
長野県,松川町,50,,50,35.5901666666667,137.928277777778
長野県,松川町,51,,51,35.5929269,137.92857
長野県,松川町,52,,52,35.5848289,137.9261962
長野県,松川町,53,,53,35.5804722222222,137.924444444444
長野県,松川町,54,,54,35.5832777777778,137.946916666667
長野県,松川町,55,,55,35.5907946,137.9720366
長野県,松川町,56,,56,35.583536,137.9821165
長野県,松川町,57,,57,35.5838055555556,137.954416666667
長野県,松川町,58,,58,35.5914166666667,137.953805555556
長野県,松川町,59,,59,35.5846411,137.9710278
長野県,松川町,60,,60,35.5832994,137.979178
長野県,松川町,61,,61,35.5746388888889,137.952638888889
長野県,松川町,62,,62,35.5962669,137.9407577
長野県,松川町,63,,63,35.5975,137.943611111111
長野県,松川町,64,,64,35.5981944444444,137.950638888889
長野県,松川町,65,,65,35.5950277777778,137.938111111111
長野県,松川町,66,,66,35.5971111111111,137.913333333333
長野県,松川町,67,,67,35.6007222,137.9121303
長野県,松川町,68,,68,35.6024444444444,137.913416666667
長野県,松川町,69,,69,35.6008611,137.9163862
長野県,松川町,70,,70,35.6044726,137.9082627
長野県,松川町,71,,71,35.6050555555556,137.910694444444
長野県,松川町,72,,72,35.5992222222222,137.915416666667
