prefecture,city,number,address,name,lat,long,note
長野県,松本市,1-1,大手3-8-7,元川船専用駐車場南側フェンス,36.2371478,137.9698513,
長野県,松本市,1-2,大手4-2-9,辰巳の庭公園,36.2352719,137.971553,
長野県,松本市,1-3,開智2-4-51,開智小学校南側フェンス,36.2412724,137.9692134,
長野県,松本市,1-4,丸ノ内9-13,松本市役所職員用駐車場北側,36.2403343,137.9718422,
長野県,松本市,1-5,城東2-1-17,城東公園東側フェンス,36.2397464,137.975074,
長野県,松本市,1-6,北深志1-9-17,北深志児童遊園地東側金網フェンス（新町緑地東側金網フェンス）,36.2434801,137.9736552,
長野県,松本市,1-7,丸ノ内7-40,市役所東庁舎　南駐車場　金網フェンス,36.2370655,137.9720299,
長野県,松本市,1-8,丸ノ内3-7,市役所別棟西側の庭,36.2382652,137.9715056,
長野県,松本市,2-1,中央1-24-2,分銅町公園（せせらぎ公園）,36.233957,137.9652881,
長野県,松本市,2-2,中央2-1-23,中央西公園（花時計公園）,36.2316728,137.9685574,
長野県,松本市,2-3,深志1-1,松本駅前広場お城口自転車駐車場の東側道路沿いの植栽帯,36.2304791,137.9657957,
長野県,松本市,2-4,深志1-1089-1,市道２０２１号線　歩道,36.2269653,137.9666428,
長野県,松本市,2-5,中央2-10,中町駐車場（松本商工会議所）,36.233822,137.970552,
長野県,松本市,2-6,深志3-10-1,まつもと市民芸術館北側,36.2311171,137.9746039,
長野県,松本市,2-7,本庄1‐1‐36,松本駅前記念公園　北側　 　  ,36.228814,137.9677686,
長野県,松本市,2-8,深志1-2-23,松本駅前広場,36.2314538,137.9651272,
長野県,松本市,3-1,巾上8-26,長沢川沿い歩道の柵,36.2302034,137.9629009,
長野県,松本市,3-2,渚3-8-7,渚本村公民館  ,36.2277366,137.9567014,
長野県,松本市,3-3,渚3-2-7,田川公民館,36.230164,137.9554535,
長野県,松本市,3-4,渚1-6-11,松本市立田川小学校　北側フェンスの西側,36.234805,137.9569311,
長野県,松本市,3-5,渚1-1-26,松本市立田川小学校東側,36.2342618,137.9581161,
長野県,松本市,3-6,白板2-5,公共下水道渚中継ポンプ場,36.237022,137.9560431,
長野県,松本市,3-7,渚2-6-6,masked,36.2304891,137.958857,
長野県,松本市,3-8,宮渕本村5-18,宮渕本村公民館,36.2416092,137.9541021,
長野県,松本市,4-1,井川城2-6-4,上下水道局　井城流量調整所西側,36.2207366,137.9674554,
長野県,松本市,4-2,出川２－１,ダスキン南松本支店南側歩道フェンス,36.2183488,137.9708591,
長野県,松本市,4-3,鎌田1-13-28,鎌田北向観音堂西側,36.2218322,137.9623936,
長野県,松本市,4-4,高宮東5-19,㈱長野銀行高宮支店北側,36.2168839,137.9607041,
長野県,松本市,4-5,鎌田1-8-1,鎌田小学校敷地北西角のフェンス,36.2237372,137.9600741,
長野県,松本市,4-6,鎌田2-7-6,masked,36.2219942,137.9597744,
長野県,松本市,4-7,中条4-8,旧中条保育園西側,36.2269038,137.9640368,
長野県,松本市,5-1,高宮南7-40,高宮児童センター北側フェンス,36.2115827,137.9564341,
長野県,松本市,5-2,笹部4-530,月見東公園　東側フェンス,36.2145565,137.9467888,
長野県,松本市,5-3,笹部2-3-3,笹部保育園東側フェンス,36.2156444,137.949614,
長野県,松本市,5-4,石芝1-1-1,㈱ＩＨＩシバウラアグリテック松本工場フェンス西端,36.212141,137.9500789,
長野県,松本市,5-5,高宮西1-1,自衛隊松本駐屯部隊東側フェンス,36.2081497,137.9556624,
長野県,松本市,5-6,笹部4-7-13,月見町公園東側フェンス,36.2137061,137.9459281,
長野県,松本市,5-7,南原1-1053-2,南原公園南側,36.2098647,137.9480166,
長野県,松本市,5-8,高宮北11-13,高宮征矢野公園東側,36.2168529,137.9575164,
長野県,松本市,5-9,征矢野2-14,野々宮神社西側公園西側フェンス,36.2133118,137.95412,
長野県,松本市,6-1,宮田11-41,松本市開明小学校北側フェンス(児童育成クラブ周辺),36.2089256,137.9598195,
