prefecture,city,number,address,name,lat,long,note
長野県,諏訪市,1,大和三丁目20番20号,諏訪市城北保育園,36.0560863,138.1166581,
長野県,諏訪市,2,湯の脇二丁目11番16号,湯の脇公民館,36.0508339,138.1168436,
長野県,諏訪市,3,諏訪一丁目21番16号,諏訪市片羽保育園,36.0476784,138.1183815,
長野県,諏訪市,4,岡村二丁目9番26号,諏訪市角間川保育園,36.0421991,138.1252038,
長野県,諏訪市,5,小和田19番3号,諏訪市総合福祉センター,36.0384779,138.1200043,
長野県,諏訪市,6,高島一丁目22番30号,諏訪市役所1階ロビー,36.0390494,138.1141354,
長野県,諏訪市,7,湖岸通り五丁目12番18号,諏訪市公民館,36.0437409,138.1117508,
長野県,諏訪市,8,大字上諏訪13051番地1,諏訪市角間新田保育園,36.077991,138.139282,緯度経度は怪しい
長野県,諏訪市,9,大字豊田2591番地,諏訪市豊田公民館,36.0217807,138.0889587,
長野県,諏訪市,10,大字豊田5724番地の1,上野公民館,36.006775,138.056183,緯度経度は怪しい
長野県,諏訪市,11,大字四賀2994番地,諏訪市神戸保育園,36.016266,138.137451,緯度経度は怪しい
長野県,諏訪市,12,大字中洲2847番地1,諏訪市中洲公民館,36.0080383,138.1244755,
長野県,諏訪市,13,大字湖南4038番地の6,諏訪市湖南公民館,36.0104625,138.1005713,
長野県,諏訪市,14,大字湖南8880番地の1,後山構造改善センター,36.010372,138.100281,緯度経度は怪しい
長野県,諏訪市,15,大字豊田568番地3,文出第二公民館,36.0338603,138.1007554,
長野県,諏訪市,16,大字上諏訪9473番地,桜ヶ丘公民館,36.077991,138.139282,緯度経度は怪しい
長野県,諏訪市,17,湖岸通り三丁目1番4号,中浜町公民館,36.0508329,138.1135906,
長野県,諏訪市,18,大字四賀410番地の1,諏訪市四賀保育園,36.0256974,138.131193,
長野県,諏訪市,19,大字四賀2014番地,赤沼公民館,36.020393,138.130936,緯度経度は怪しい
長野県,諏訪市,20,大字中洲4975番地,福島公民館,35.995308,138.117081,緯度経度は怪しい
長野県,諏訪市,21,大字湖南3210番地,諏訪市こなみ保育園,36.005535,138.109238,緯度経度は怪しい
長野県,諏訪市,22,沖田町二丁目25番地,沖田公園集会所,36.0065988,138.1343357,
