prefecture,city,number,address,name,lat,long,note
長野県,辰野町,1,伊那富 小横川 処理場入口ガ-ドレ-ル,処理場入口ガードレール,35.99531231,137.9692215,手動補正
長野県,辰野町,2,伊那富 小横川 小横川公民館前ガ-ドレ-ル,小横川公民館前ガードレール,35.9966537,137.9642548,手動補正
長野県,辰野町,3,伊那富 小横川 旧農協利用部前ガ-ドレ-ル,旧農協利用部前ガードレール,35.99642338,137.9676282,手動補正
長野県,辰野町,4,伊那富 宮所 宮所コミュニティセンタ-フェンス,宮所コミュニティセンターフェンス,35.98863252,137.9805779,手動補正
長野県,辰野町,5,伊那富 宮所 グレイスフル辰野前ガ-ドレ-ル,グレイスフル辰野前ガードレール,35.98742584,137.9799449,手動補正
長野県,辰野町,6,masked,masked,35.98505584,137.981903,手動補正
長野県,辰野町,7,中央 宮所 宮所児童公園東側フェンス,宮所児童公園東側フェンス,35.98762551,137.9826164,手動補正
長野県,辰野町,8,伊那富 湯舟 南湯舟会民館向いフェンス,南湯舟会民館向いフェンス,35.98185666,137.9821068,手動補正
長野県,辰野町,9,伊那富 元町 辰野高校入口,辰野高校入口,35.97949517,137.9839575,手動補正
長野県,辰野町,10,中央 中央 上水道中央水源前フェンス,上水道中央水源前フェンス,35.98199122,137.9857492,手動補正
長野県,辰野町,11,伊那富 桜ケ丘 長久寺上西天フェンス,長久寺上西天フェンス,35.97831006,137.982493,手動補正
長野県,辰野町,12,masked,masked,35.97433351,137.9830456,手動補正
長野県,辰野町,13,中央 泉水 ガ-デンテラス辰野(旧辰野病院)前フェンス,ガーデンテラス辰野（旧辰野病院）前フェンス,35.97527991,137.9838932,手動補正
長野県,辰野町,14,伊那富 横町 辰野公園前,辰野公園前,35.97751563,137.9842365,手動補正
長野県,辰野町,15,伊那富 仲町 宮木便局向いフェンス,宮木便局向いフェンス,35.97772835,137.9853415,手動補正
長野県,辰野町,16,伊那富 東町1 辰野西小学校西側フェンス,辰野西小学校西側フェンス,35.97744617,137.9879862,手動補正
長野県,辰野町,17,伊那富 東町1 辰野西小学校東側ヨゼフ幼稚園駐車場フェンス,辰野西小学校東側ヨゼフ幼稚園駐車場フェンス,35.97789331,137.9901695,手動補正
長野県,辰野町,18,masked,masked,35.97985982,137.9886246,手動補正
長野県,辰野町,19,masked,masked,35.98018973,137.9911405,手動補正
長野県,辰野町,20,伊那富 城前 老人福祉センタ-前,老人福祉センター前,35.97678632,137.9917467,手動補正
長野県,辰野町,21,伊那富 城前 城南公民館,城南公民館,35.9728949,137.9923763,手動補正
長野県,辰野町,22,中央 中央 役場入口,役場入口,35.98165697,137.9874015,手動補正
長野県,辰野町,23,masked,masked,35.97329159,137.9848051,手動補正
長野県,辰野町,24,masked,masked,35.96858106,137.9825199,手動補正
長野県,辰野町,25,伊那富 新町 新町コミュニティセンタ-,新町コミュニティセンター,35.96916718,137.9832655,手動補正
長野県,辰野町,26,伊那富 新町 新町駅前一ノ瀬克彦所有地フェンス,新町駅前一ノ瀬克彦所有地フェンス,35.96845515,137.9835927,手動補正
長野県,辰野町,27,masked,masked,35.96815992,137.9819405,手動補正
長野県,辰野町,28,masked,masked,35.9621682,137.9800093,手動補正
