prefecture,city,number,address,name,lat,long,note
長野県,飯山市,1.0,大字静間383-5,県町公会堂,36.8411177,138.3609393,緯度経度は怪しい
長野県,飯山市,2.0,大字飯山226-1,飯山赤十字病院西側花壇,36.856636,138.3603171,緯度経度は怪しい
長野県,飯山市,3.0,大字飯山104,１-３所有地塀,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,4.0,南町20-7,１-４所有地,36.8485617,138.3634824,
長野県,飯山市,5.0,南町18-14,１-５駐車場入口ガードパイプ,36.84814679999999,138.362194,
長野県,飯山市,6.0,南町21-5北側,上町西交差点東側緑地,36.8491669,138.3628533,
長野県,飯山市,7.0,大字飯山1436-1,飯山市公民館西側花壇,36.8500308,138.3574279,
長野県,飯山市,8.0,大字飯山1662-1,斑尾高原入口交差点北東側緑地,36.8476757,138.3533944,
長野県,飯山市,9.0,大字飯山509-2,masked,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,10.0,大字飯山243-4,飯山駅交差点南東側,36.8452051,138.3599681,
長野県,飯山市,11.0,大字静間450-7,サン・コ－ポラス飯山入口柵,36.83997919999999,138.3566796,
長野県,飯山市,12.0,大字飯山1200-1,本町ぶらり広場西側花壇,36.8516627,138.3632224,緯度経度は怪しい
長野県,飯山市,13.0,南町24-3,鉄砲町児童公園,36.85032,138.3604576,
長野県,飯山市,14.0,大字飯山1177-2,masked,36.8526669,138.3628128,緯度経度は怪しい
長野県,飯山市,15.0,大字飯山1864-6,正受庵西側駐車場,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,16.0,大字飯山1502-1,２-５所有地,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,17.0,大字飯山2045-2,坂上交差点南西側案内板,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,18.0,大字飯山2125,masked,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,19.0,大字飯山1110,市役所西側道路沿い花壇,36.8516851,138.3654886,
長野県,飯山市,20.0,大字飯山3072-2,愛宕町交差点東側,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,21.0,大字飯山7900-1,２-１０所有地西側緑地,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,22.0,大字飯山7915-1,水上団地集会所,36.8583649,138.3552478,緯度経度は怪しい
長野県,飯山市,23.0,大字飯山9764,十三ケ丘バス停向い,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,24.0,大字飯山11411-15,分道バス停,36.8559228,138.3045498,緯度経度は怪しい
長野県,飯山市,25.0,大字飯山11149-71,斑尾高原山の家南側県道沿い緑地,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,26.0,大字飯山11492-207,斑尾高原第３駐車場南,36.8577331,138.297317,緯度経度は怪しい
長野県,飯山市,27.0,大字飯山2745-2,弓道場下駐車場南側入口,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,28.0,大字飯山2735-1,栄川橋欄干,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,29.0,大字飯山2542-8,北町団地入口市道ガードパイプ,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,30.0,大字飯山2853-2,北飯山駅南側柵,36.8589768,138.3639175,
長野県,飯山市,31.0,大字飯山2765-3,masked,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,32.0,大字飯山3401-3脇,有尾橋欄干,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,33.0,大字飯山3155-1,masked,36.8598971,138.3634542,
長野県,飯山市,34.0,大字飯山7312-5,３-８所有地（須田峰登り口三叉路）,36.8534866,138.3634842,緯度経度は怪しい
長野県,飯山市,35.0,大字飯山3288-4,masked,36.8621166,138.3635849,
長野県,飯山市,36.0,大字飯山7371-4,須田峯介護センター東側ゴミステーション,36.8675626,138.3600065,
長野県,飯山市,37.0,大字蓮1771-1,4-１所有地（秋津郵便局駐車場北）,36.8189447,138.3335902,緯度経度は怪しい
長野県,飯山市,38.0,大字蓮2701-1,上組集落センタ－前,36.8082466,138.3490644,緯度経度は怪しい
長野県,飯山市,39.0,大字蓮1582,４-３所有地,36.8121117,138.3493778,緯度経度は怪しい
長野県,飯山市,40.0,大字蓮2875,蓮神社旗竿置場南,36.8161694,138.348161,緯度経度は怪しい
長野県,飯山市,41.0,大字蓮3612-7,深沢農業改善センター駐車場,36.8068162,138.3304543,緯度経度は怪しい
長野県,飯山市,42.0,大字蓮4747,新田創造館敷地,36.8189447,138.3335902,緯度経度は怪しい
長野県,飯山市,43.0,大字蓮4241-2,火の見北側倉庫,36.8124064,138.3379557,緯度経度は怪しい
長野県,飯山市,44.0,大字静間1281-1,6-１所有地（中町バス停脇）,36.8349932,138.3538134,緯度経度は怪しい
長野県,飯山市,45.0,大字静間1401-5,いいやま人権福祉センターゴミ集積所横,36.8364172,138.3548081,
長野県,飯山市,46.0,大字静間1380,masked,36.8354693,138.3589368,
長野県,飯山市,47.0,大字静間712-3,６-４所有地車庫,36.8378256,138.3527185,
長野県,飯山市,48.0,大字静間338-1,６-５所有地,36.8332095,138.3250207,緯度経度は怪しい
長野県,飯山市,49.0,大字静間2598-1,秋津地区活性化センター敷地,36.82620980000001,138.3513497,緯度経度は怪しい
長野県,飯山市,50.0,大字静間1927,７-２所有地柵,36.8317207,138.3516497,緯度経度は怪しい
長野県,飯山市,51.0,大字静間1811-1,７-３所有地,36.8308437,138.3500473,
長野県,飯山市,52.0,大字静間3012-4,７-４所有地（荒船ごみステーション東）,36.8332095,138.3250207,緯度経度は怪しい
