prefecture,city,number,address,name,lat,long,note
長野県,飯綱町,1-1,大字平出172,masked,36.724286,138.246386,
長野県,飯綱町,1-2,大字平出284,平出集落センター,36.726842,138.245652,
長野県,飯綱町,1-3,大字平出番匠入口バス停付近,町道K２－１号線道路敷,36.729049,138.245716,
長野県,飯綱町,1-4,大字平出2955-1,三本松農産物加工施設前・平井喜一朗所有地,36.736420,138.243763,
長野県,飯綱町,1-5,大字豊野4423-1,番匠公民館道向かい・廣瀬みい子氏所有地,36.729983,138.249121,
長野県,飯綱町,2-1,大字豊野1025,宮川マスミ所有地,36.738652,138.245074,
長野県,飯綱町,2-2,大字豊野南部保育園下の駐車場前,,36.740208,138.249227,
長野県,飯綱町,2-3,大字豊野フォレストヒルズ入口バス停付近,町道K２－１４号線道路敷,36.743313,138.248543,
長野県,飯綱町,2-4,大字豊野1802,masked,36.742341,138.247071,
長野県,飯綱町,2-5,大字豊野福井団地終末処理場貯水池フェンス,,36.738360,138.252792,
長野県,飯綱町,3-1,大字牟礼991,masked,36.740986,138.240723,
長野県,飯綱町,3-2,大字牟礼687-1,牟礼自動車整備工場道向かい,36.746200,138.238158,
長野県,飯綱町,3-3,大字豊野福井集落センター前,,36.743678,138.243044,
長野県,飯綱町,3-4,大字豊野牟礼駅道向かい,,36.750710,138.244794,
長野県,飯綱町,3-5,大字牟礼527-3,朝日屋旅館駐車場前,36.751111,138.241927,
長野県,飯綱町,3-6,大字牟礼坂上ごみステーション,,36.744331,138.238708,緯度経度は怪しい
長野県,飯綱町,3-7,大字牟礼ガード下付近道路敷きフェンス,,36.750914,138.238036,
長野県,飯綱町,3-8,大字牟礼飯綱病院駐車場,,36.748197,138.235989,
長野県,飯綱町,3-9,大字牟礼牟礼郵便局裏フェンス,,36.753946,138.235132,
長野県,飯綱町,3-10,大字小玉消防詰所北側線路沿いフェンス,,36.757081,138.226568,
長野県,飯綱町,3-11,大字牟礼2578-9,北澤治男所有地,36.753961,138.230431,
長野県,飯綱町,3-12,大字牟礼民会館入口,,36.740814,138.236558,
長野県,飯綱町,4-1,大字黒川1455,masked,36.746867,138.229367,
長野県,飯綱町,4-2,大字黒川1132-1,masked,36.742354,138.227294,
長野県,飯綱町,4-3,大字黒川1038-1,良松寺駐車場フェンス,36.741295,138.225261,
長野県,飯綱町,4-4,大字黒川牟礼小学校前水防倉庫横,,36.750195,138.230778,
長野県,飯綱町,4-5,大字黒川1712-3,飯島とみ子所有地,36.745935,138.222919,
長野県,飯綱町,4-6,大字古町692-3,古町ゲートボール場前,36.749481,138.215914,
長野県,飯綱町,5-1,大字袖之山523-4,masked,36.725798,138.220799,
長野県,飯綱町,5-2,大字地蔵久保地蔵久保鐘鐘楼跡,,36.716379,138.207351,
長野県,飯綱町,5-3,大字坂口坂口公民館フェンス,,36.721069,138.205982,
長野県,飯綱町,5-4,大字高坂400-2,中根喜久男所有地,36.724788,138.200099,
長野県,飯綱町,5-5,大字高坂高坂下バス停前水路敷,,36.729975,138.202372,
長野県,飯綱町,5-6,大字川上761-1,夏川公民館駐車場（上段）,36.733974,138.207025,
長野県,飯綱町,5-7,大字川上いいづなコネクトW.E.S.T（旧牟礼西小学校）前フェンス,,36.736638,138.214185,
長野県,飯綱町,5-8,大字川上1152-8,野村上戸谷商店上水路フェンス,36.735168,138.212114,
長野県,飯綱町,5-9,大字川上北川消防コミュニティセンター横県道敷,,36.739622,138.208787,
長野県,飯綱町,5-10,大字柳里880-3,金井達也所有地,36.746655,138.209016,
長野県,飯綱町,5-11,大字柳里316-1,中宿公民館前,36.741477,138.214213,
長野県,飯綱町,6-1,大字川上2755-41,外山邦廣所有地・直売所横,36.739674,138.185556,
長野県,飯綱町,6-2,大字川上白樺地区集積所横（町道M1-15号線道路敷）,,36.751667,138.190526,
