prefecture,city,number,address,name,lat,long,note
埼玉県,所沢市,1-1,東町5-22,トコトコスクエア　西側,35.7888614,139.469562,
埼玉県,所沢市,1-2,東町5-22,トコトコスクエア　南側,35.7888614,139.469562,
埼玉県,所沢市,1-3,東町24,七世橋　北西側,35.791725,139.472488,緯度経度は怪しい
埼玉県,所沢市,1-4,日吉町12,所沢駅西口ロ-タリ-西側(ワルツ側),35.78648,139.472,緯度経度は怪しい
埼玉県,所沢市,1-5,日吉町12,所沢駅西口ロ-タリ-東側(駅側),35.78648,139.472,緯度経度は怪しい
埼玉県,所沢市,1-6,日吉町13,所沢駅西口入口交差点先,35.786854,139.470764,緯度経度は怪しい
埼玉県,所沢市,1-7,東町18,日東地域こども広場　南側,35.791092,139.47261,緯度経度は怪しい
埼玉県,所沢市,2-1,元町7-37,所沢小学校東側,35.78720980000001,139.4653801,
埼玉県,所沢市,2-2,寿町9-7,寿町公園南側,35.7888247,139.4668502,
埼玉県,所沢市,2-3,元町20(地番604-2),実蔵院東側,35.790806,139.463623,緯度経度は怪しい
埼玉県,所沢市,2-4,元町7-32,市立所沢保育園北側,35.7892735,139.4661262,
埼玉県,所沢市,2-5,元町7-37,所沢小学校西側,35.78720980000001,139.4653801,
埼玉県,所沢市,2-6,元町9-18,ＮＴＴ東日本所沢元町ビル　(東側フェンス),35.7880594,139.4642379,
埼玉県,所沢市,2-7,金山町9-7,まなべ整骨院南側,35.79015460000001,139.4602656,
埼玉県,所沢市,2-8,元町27-1(地番702番地),元町コミュニティ広場,35.7922286,139.4644763,
埼玉県,所沢市,3-1,宮本町1-17-15,所沢市消防団第一分団詰所東側,35.794662,139.458176,緯度経度は怪しい
埼玉県,所沢市,3-2,宮本町1-16-8,市営住宅宮本町団地内西側,35.793526,139.458649,緯度経度は怪しい
埼玉県,所沢市,3-3,御幸町13-4(地番742-12),鳥居橋東側,35.7926876,139.4700668,
埼玉県,所沢市,3-4,宮本町1-16-8,市営住宅宮本町団地内東側植栽,35.793526,139.458649,緯度経度は怪しい
埼玉県,所沢市,3-5,宮本町1-1-2,旧庁舎駐車場　北側,35.792526,139.464447,緯度経度は怪しい
埼玉県,所沢市,3-6,宮本町1-2-6,神明社東側鳥居脇,35.793354,139.463669,緯度経度は怪しい
埼玉県,所沢市,3-7,宮本町1-1-2,旧庁舎駐車場　東側,35.792526,139.464447,緯度経度は怪しい
埼玉県,所沢市,4-1,北有楽町26-20,明峰小学校南側,35.7963718,139.464245,
埼玉県,所沢市,4-2,宮本町2-21-4,所沢市上下水道局庁舎西側植栽,35.797726,139.460052,緯度経度は怪しい
埼玉県,所沢市,4-3,北有楽町26-20,明峰小学校西側,35.7963718,139.464245,
埼玉県,所沢市,4-4,北有楽町26-20,明峰小学校東側,35.7963718,139.464245,
埼玉県,所沢市,4-5,宮本町2-17,根岸公園北側,35.797318,139.461182,緯度経度は怪しい
埼玉県,所沢市,4-6,北有楽町26-20,明峰小学校北側,35.7963718,139.464245,
埼玉県,所沢市,4-7,宮本町2-7-7,所沢第一浄水場西側,35.796783,139.463348,緯度経度は怪しい
埼玉県,所沢市,5-1,くすのき台1-3,長者久保公園東側,35.788391,139.47493,緯度経度は怪しい
埼玉県,所沢市,5-2,旭町17,七世橋　南東側,35.79134,139.473358,緯度経度は怪しい
埼玉県,所沢市,5-3,くすのき台1-10,所沢駅東口第2自転車駐車場北側,35.787285,139.475616,緯度経度は怪しい
埼玉県,所沢市,5-4,旭町20-18,旭町公民館,35.7920013,139.4742791,
埼玉県,所沢市,5-5,くすのき台1-10,所沢駅東口第2自転車駐車場東側,35.787285,139.475616,緯度経度は怪しい
埼玉県,所沢市,5-6,旭町22-8,昌平寺入口西,35.7923897,139.4754428,
埼玉県,所沢市,5-7,くすのき台1-3,長者久保公園西側,35.788391,139.47493,緯度経度は怪しい
埼玉県,所沢市,6-1,西所沢1-13-3,個人宅北側,35.788994,139.457733,緯度経度は怪しい
埼玉県,所沢市,6-2,西所沢1-14,西所沢会館北側,35.789696,139.457855,緯度経度は怪しい
埼玉県,所沢市,6-3,西所沢2-12(地番670-1),市営西所沢北団地西側,35.793026,139.453659,緯度経度は怪しい
埼玉県,所沢市,6-4,西所沢1-20-9付近(地番680-3付近),西所沢駅第3駐車場北側河川敷,35.791523,139.454102,緯度経度は怪しい
埼玉県,所沢市,6-5,西所沢2-9,西所沢公園西側,35.79232,139.455765,緯度経度は怪しい
埼玉県,所沢市,6-6,西所沢2-3-20,市営住宅西所沢稲荷団地2号棟南側,35.793072,139.457169,緯度経度は怪しい
埼玉県,所沢市,6-7,西所沢2-3-20,市営住宅西所沢稲荷団地2号棟北側,35.793072,139.457169,緯度経度は怪しい
埼玉県,所沢市,6-8,西所沢2-3-20,市営住宅西所沢稲荷団地2号棟西側,35.793072,139.457169,緯度経度は怪しい
埼玉県,所沢市,7-1,星の宮1-16,星の宮交差点　南東側,35.788559,139.461151,緯度経度は怪しい
埼玉県,所沢市,7-2,星の宮2-3,ベルヴィザグラン反対側　植栽,35.786079,139.461914,緯度経度は怪しい
埼玉県,所沢市,7-3,星の宮1-3-5,ベルヴィザグラン南側植栽,35.786366,139.462433,緯度経度は怪しい
埼玉県,所沢市,7-4,星の宮1-13-25,ＮＴＴ東日本埼玉西メンテナンスセンタ-西側,35.78809,139.463959,緯度経度は怪しい
埼玉県,所沢市,7-5,星の宮1-6-12,第二所沢児童クラブ,35.787621,139.464111,緯度経度は怪しい
埼玉県,所沢市,7-6,星の宮2-6,星の宮2丁目こども広場　東側,35.787212,139.459549,緯度経度は怪しい
埼玉県,所沢市,7-7,星の宮1-3-10付近(地番1-983-2),ファミリ-マ-ト所沢星の宮店付近,35.786858,139.461838,緯度経度は怪しい
埼玉県,所沢市,8-1,並木1-1-1,所沢市役所北側,35.799072,139.467957,緯度経度は怪しい
埼玉県,所沢市,8-2,並木3-1,所沢市役所バス停脇植栽,35.800636,139.469254,緯度経度は怪しい
埼玉県,所沢市,8-3,並木2-3,所沢パ-クタウン公園通り団地1号棟東側,35.801792,139.463409,緯度経度は怪しい
埼玉県,所沢市,8-4,並木2-4,航空公園駅東口ロ-タリ-北側,35.794804,139.470306,緯度経度は怪しい
埼玉県,所沢市,8-5,並木2-4,航空公園駅東口ロ-タリ-南側,35.794804,139.470306,緯度経度は怪しい
埼玉県,所沢市,8-6,並木4-1,国立障害者リハビリテ-ションセンタ-　南側,35.80566,139.46312,緯度経度は怪しい
埼玉県,所沢市,8-7,並木1-9,市民文化センタ-バス停脇,35.800171,139.473694,緯度経度は怪しい
埼玉県,所沢市,9-1,並木7-2,東部浄水場東側,35.807899,139.47937,緯度経度は怪しい
埼玉県,所沢市,9-2,並木8-7,県営住宅武蔵野団地集会所,35.810829,139.47641,緯度経度は怪しい
埼玉県,所沢市,9-3,並木7-1,所沢パ-クタウングリ-ン並木14号棟北側,35.807919,139.4767,緯度経度は怪しい
埼玉県,所沢市,9-4,並木8-1,所沢パ-クタウン並木通り団地2号棟西側,35.809093,139.476593,緯度経度は怪しい
埼玉県,所沢市,9-5,並木8-1,所沢パ-クタウン並木通り団地ﾊﾞｽ折返し場東側,35.809093,139.476593,緯度経度は怪しい
埼玉県,所沢市,9-6,並木8-5,市営住宅並木団地内児童公園東側,35.811974,139.477905,緯度経度は怪しい
埼玉県,所沢市,9-7,並木8-3,並木まちづくりセンタ-,35.812225,139.473434,緯度経度は怪しい
埼玉県,所沢市,10-1,下新井1286-1,所沢カルチャ-パ-ク第2駐車場,35.8021311,139.490207,
埼玉県,所沢市,10-2,こぶし町11-25,個人宅北側,35.799761,139.4830928,
埼玉県,所沢市,10-3,こぶし町18,こぶし団地　中央公園,35.800919,139.484741,緯度経度は怪しい
埼玉県,所沢市,10-4,下新井1231-2,若松小学校東側,35.7997968,139.4892079,
埼玉県,所沢市,10-5,下新井1296-1,所沢カルチャ-パ-ク　グラウンド前,35.8012854,139.4921165,
埼玉県,所沢市,10-6,若松町720-1,秩父学園入口バス停北側,35.8012984,139.4801221,
埼玉県,所沢市,10-7,下新井1231-2,若松小学校　北側,35.7997968,139.4892079,
埼玉県,所沢市,10-8,若松町2053,若松西公園　西側,35.8022899,139.4834704,
